Time,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC
21.1,-0.4148,0.5613,0.7047,0.3388,0.4914,0.4151,0.693,0.7362,0.7146,0.5153,0.5605,0.5379
21.2,-0.3999,0.5685,0.6992,0.3675,0.4958,0.4316,0.7019,0.7393,0.7206,0.5236,0.5723,0.5479
21.3,-0.3745,0.5737,0.6908,0.3954,0.497,0.4462,0.7079,0.7418,0.7248,0.5299,0.5839,0.5569
21.4,-0.3394,0.5771,0.68,0.4231,0.4952,0.4592,0.7108,0.7434,0.7271,0.5342,0.5956,0.5649
21.5,-0.2968,0.5794,0.6675,0.4512,0.4913,0.4713,0.7108,0.7439,0.7273,0.5366,0.6077,0.5722
21.6,-0.2494,0.5813,0.6534,0.4799,0.4865,0.4832,0.7084,0.7429,0.7257,0.5375,0.6201,0.5788
21.7,-0.1999,0.5828,0.6375,0.5086,0.4819,0.4952,0.7041,0.74,0.7221,0.5373,0.6322,0.5848
21.8,-0.1495,0.5832,0.6194,0.5359,0.4785,0.5072,0.6985,0.7347,0.7166,0.5368,0.6436,0.5902
21.9,-0.0992,0.5821,0.5992,0.5608,0.477,0.5189,0.6923,0.7269,0.7096,0.5366,0.6538,0.5952
22,-0.0497,0.579,0.5774,0.5825,0.4771,0.5298,0.6856,0.7164,0.701,0.537,0.6625,0.5997
22.1,-0.0018,0.5736,0.5545,0.6006,0.4787,0.5397,0.6788,0.7031,0.6909,0.5381,0.6694,0.6038
22.2,0.0437,0.5659,0.5307,0.6148,0.4815,0.5482,0.6717,0.6869,0.6793,0.5401,0.6743,0.6072
22.3,0.0858,0.5561,0.507,0.6254,0.4856,0.5555,0.6638,0.6685,0.6662,0.5433,0.6771,0.6102
22.4,0.1232,0.545,0.4856,0.633,0.4913,0.5622,0.6554,0.6495,0.6525,0.5486,0.6788,0.6137
22.5,0.1549,0.5334,0.4692,0.6373,0.4987,0.568,0.6476,0.6312,0.6394,0.557,0.6804,0.6187
22.6,0.1797,0.5216,0.4596,0.6381,0.5071,0.5726,0.6408,0.6141,0.6275,0.5677,0.6819,0.6248
22.7,0.1969,0.5101,0.4566,0.6351,0.5154,0.5752,0.6348,0.598,0.6164,0.5784,0.6818,0.6301
22.8,0.2068,0.4991,0.4587,0.6286,0.523,0.5758,0.6289,0.5828,0.6059,0.5868,0.6788,0.6328
22.9,0.2097,0.4886,0.4647,0.6195,0.5304,0.5749,0.6233,0.5693,0.5963,0.5926,0.6725,0.6325
23,0.2057,0.4793,0.4745,0.6089,0.5385,0.5737,0.6188,0.5591,0.5889,0.5966,0.6639,0.6302
23.1,0.1946,0.4719,0.4885,0.5977,0.5481,0.5729,0.6159,0.553,0.5845,0.5998,0.6541,0.627
23.2,0.1762,0.467,0.506,0.5859,0.559,0.5724,0.6143,0.551,0.5827,0.6023,0.6433,0.6228
23.3,0.1505,0.4649,0.5263,0.5736,0.57,0.5718,0.613,0.5523,0.5826,0.6033,0.6313,0.6173
23.4,0.1177,0.4661,0.5491,0.5613,0.5809,0.5711,0.6111,0.5568,0.5839,0.6028,0.6186,0.6107
23.5,0.0776,0.471,0.574,0.5499,0.5922,0.571,0.6083,0.5642,0.5862,0.6015,0.6065,0.604
23.6,0.0304,0.4795,0.6001,0.5394,0.6043,0.5719,0.6043,0.5734,0.5889,0.5996,0.5956,0.5976
23.7,-0.0235,0.4906,0.6258,0.5293,0.6169,0.5731,0.5983,0.5822,0.5903,0.5971,0.5858,0.5914
23.8,-0.083,0.5025,0.6494,0.5189,0.6286,0.5738,0.5898,0.5886,0.5892,0.5937,0.5767,0.5852
23.9,-0.1469,0.5139,0.6707,0.5077,0.6386,0.5731,0.5786,0.5914,0.585,0.5898,0.5686,0.5792
24,-0.2136,0.5242,0.6905,0.4957,0.6462,0.5709,0.5656,0.5915,0.5785,0.5866,0.5626,0.5746
24.1,-0.2815,0.5329,0.7096,0.4833,0.6515,0.5674,0.5518,0.5898,0.5708,0.585,0.5598,0.5724
24.2,-0.3502,0.5393,0.7277,0.4705,0.655,0.5627,0.5382,0.5871,0.5627,0.5855,0.5603,0.5729
24.3,-0.4191,0.5427,0.744,0.4572,0.6572,0.5572,0.5252,0.5838,0.5545,0.5875,0.5636,0.5755
24.4,-0.4877,0.5425,0.7578,0.4437,0.6586,0.5512,0.5132,0.5798,0.5465,0.5904,0.5692,0.5798
24.5,-0.555,0.5387,0.7696,0.4308,0.6603,0.5455,0.503,0.5759,0.5395,0.5949,0.5774,0.5862
24.6,-0.6203,0.5323,0.7799,0.4195,0.6638,0.5417,0.4962,0.5729,0.5346,0.602,0.5888,0.5954
24.7,-0.6821,0.5247,0.7897,0.4114,0.6704,0.5409,0.4943,0.5715,0.5329,0.6123,0.6034,0.6078
24.8,-0.7379,0.5171,0.7995,0.4073,0.6808,0.5441,0.4983,0.5722,0.5353,0.6261,0.6205,0.6233
24.9,-0.784,0.5101,0.8095,0.4079,0.6952,0.5515,0.5095,0.5753,0.5424,0.6437,0.6396,0.6416
25,-0.8164,0.5042,0.82,0.4135,0.7125,0.563,0.5287,0.5814,0.5551,0.6651,0.6609,0.663
25.1,-0.8316,0.4995,0.8314,0.4247,0.7312,0.578,0.5559,0.5913,0.5736,0.6898,0.6846,0.6872
25.2,-0.8268,0.4965,0.8438,0.4423,0.7495,0.5959,0.5901,0.6053,0.5977,0.7165,0.7104,0.7135
25.3,-0.8,0.4959,0.8579,0.4675,0.7659,0.6167,0.6295,0.6238,0.6266,0.7438,0.7388,0.7413
25.4,-0.7512,0.4984,0.874,0.5012,0.7793,0.6403,0.672,0.6467,0.6594,0.7706,0.7697,0.7701
25.5,-0.6834,0.5039,0.8926,0.5435,0.7886,0.666,0.7156,0.6739,0.6948,0.7963,0.8024,0.7993
25.6,-0.6019,0.5116,0.9136,0.5927,0.7929,0.6928,0.758,0.7049,0.7314,0.8202,0.8358,0.828
25.7,-0.5125,0.5201,0.9364,0.6459,0.7914,0.7187,0.7971,0.7383,0.7677,0.8408,0.8676,0.8542
25.8,-0.4207,0.5276,0.9598,0.6992,0.784,0.7416,0.8311,0.7722,0.8017,0.8563,0.8948,0.8755
25.9,-0.3295,0.5327,0.9821,0.7499,0.7707,0.7603,0.8591,0.8047,0.8319,0.866,0.915,0.8905
26,-0.2407,0.5347,1.0014,0.7962,0.7525,0.7744,0.8804,0.8337,0.8571,0.8696,0.9268,0.8982
26.1,-0.1554,0.5334,1.0161,0.8367,0.73,0.7834,0.8944,0.8581,0.8763,0.8674,0.9303,0.8989
26.2,-0.0748,0.5283,1.0251,0.869,0.7035,0.7863,0.9014,0.8773,0.8893,0.86,0.9263,0.8931
26.3,0.0006,0.5194,1.0283,0.8903,0.6733,0.7818,0.9016,0.8907,0.8961,0.8479,0.9155,0.8817
26.4,0.07,0.5066,1.0253,0.899,0.6399,0.7694,0.8948,0.8978,0.8963,0.8312,0.8985,0.8648
26.5,0.1322,0.4907,1.0154,0.8952,0.6044,0.7498,0.8809,0.8982,0.8896,0.8097,0.8753,0.8425
26.6,0.1861,0.4728,0.9985,0.8796,0.5682,0.7239,0.8601,0.8918,0.8759,0.7834,0.8463,0.8148
26.7,0.2314,0.4539,0.9756,0.8535,0.5329,0.6932,0.8331,0.8793,0.8562,0.7528,0.8128,0.7828
26.8,0.2687,0.4352,0.9485,0.8187,0.4999,0.6593,0.8021,0.8619,0.832,0.7192,0.7767,0.7479
26.9,0.2992,0.4177,0.9185,0.777,0.47,0.6235,0.7689,0.8406,0.8047,0.6836,0.7392,0.7114
27,0.3234,0.402,0.8858,0.7305,0.4435,0.587,0.7346,0.8154,0.775,0.6462,0.7009,0.6735
27.1,0.3418,0.3893,0.8512,0.6821,0.4199,0.551,0.7003,0.7868,0.7435,0.6075,0.6618,0.6346
27.2,0.3544,0.3811,0.8158,0.6343,0.3992,0.5168,0.6671,0.7564,0.7118,0.5683,0.6227,0.5955
27.3,0.3612,0.3793,0.7815,0.5898,0.3826,0.4862,0.6368,0.7269,0.6818,0.5295,0.5848,0.5571
27.4,0.3622,0.3851,0.7497,0.5505,0.371,0.4607,0.6111,0.7006,0.6558,0.492,0.5493,0.5206
27.5,0.3578,0.3985,0.7206,0.5173,0.3651,0.4412,0.5912,0.6791,0.6352,0.4564,0.5166,0.4865
27.6,0.3484,0.4191,0.6934,0.4908,0.3648,0.4278,0.5777,0.6626,0.6202,0.4234,0.4861,0.4547
27.7,0.3351,0.4458,0.6677,0.471,0.3699,0.4205,0.5703,0.6507,0.6105,0.3932,0.4577,0.4254
27.8,0.3194,0.4772,0.6432,0.4585,0.3799,0.4192,0.568,0.6425,0.6053,0.3668,0.4318,0.3993
27.9,0.3029,0.5118,0.6197,0.4533,0.3946,0.424,0.5701,0.6372,0.6036,0.3453,0.4097,0.3775
28,0.2862,0.5481,0.5977,0.455,0.413,0.434,0.5753,0.6342,0.6047,0.3295,0.3921,0.3608
28.1,0.2692,0.5843,0.5776,0.4624,0.4336,0.448,0.5829,0.6329,0.6079,0.3194,0.3792,0.3493
28.2,0.2524,0.6184,0.5603,0.4739,0.4552,0.4645,0.5926,0.6332,0.6129,0.3148,0.3711,0.343
28.3,0.2358,0.649,0.546,0.4876,0.4767,0.4821,0.6038,0.6349,0.6193,0.3153,0.368,0.3417
28.4,0.2189,0.6753,0.535,0.502,0.4971,0.4996,0.6147,0.6371,0.6259,0.3199,0.3695,0.3447
28.5,0.2009,0.697,0.5265,0.5161,0.5158,0.516,0.6227,0.6391,0.6309,0.3268,0.3745,0.3506
28.6,0.1807,0.7136,0.5205,0.5293,0.5328,0.531,0.6258,0.6397,0.6327,0.3352,0.3818,0.3585
28.7,0.1573,0.7242,0.5173,0.5408,0.5483,0.5445,0.6237,0.6387,0.6312,0.3452,0.3916,0.3684
28.8,0.1308,0.7279,0.5177,0.5495,0.5623,0.5559,0.6173,0.636,0.6267,0.3574,0.4041,0.3808
28.9,0.1022,0.7239,0.5219,0.5538,0.5742,0.564,0.608,0.6319,0.6199,0.3716,0.4193,0.3954
29,0.0724,0.7121,0.5294,0.5523,0.5833,0.5678,0.5962,0.6267,0.6114,0.3863,0.4361,0.4112
29.1,0.0411,0.6925,0.5395,0.5448,0.5887,0.5668,0.5821,0.6204,0.6012,0.3999,0.4528,0.4263
29.2,0.0082,0.6656,0.5516,0.5319,0.5902,0.5611,0.566,0.6136,0.5898,0.412,0.4684,0.4402
29.3,-0.0256,0.6317,0.5655,0.5143,0.5871,0.5507,0.5487,0.6067,0.5777,0.423,0.4834,0.4532
29.4,-0.0584,0.5908,0.5807,0.4919,0.5782,0.535,0.531,0.5995,0.5653,0.4327,0.4981,0.4654
29.5,-0.0884,0.5433,0.5956,0.4644,0.5621,0.5132,0.5133,0.5913,0.5523,0.4401,0.5125,0.4763
29.6,-0.1151,0.4898,0.6091,0.4321,0.5373,0.4847,0.4957,0.5811,0.5384,0.4446,0.5266,0.4856
29.7,-0.1389,0.4313,0.6203,0.3965,0.5038,0.4501,0.478,0.5685,0.5233,0.446,0.5402,0.4931
29.8,-0.1614,0.3695,0.6289,0.3596,0.4627,0.4111,0.4609,0.5541,0.5075,0.4447,0.5531,0.4989
29.9,-0.1829,0.3067,0.6353,0.3243,0.4156,0.37,0.4458,0.539,0.4924,0.4415,0.5651,0.5033
