Time,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.9,-0.1182,0.6279,0.3417,0.4983,0.2647,0.3815,0.7643,0.2501,0.5072,0.5326,0.4272,0.4799
14,-0.1723,0.6343,0.3254,0.4897,0.2696,0.3797,0.764,0.247,0.5055,0.5286,0.4161,0.4723
14.1,-0.2201,0.6373,0.311,0.4813,0.2743,0.3778,0.7643,0.2455,0.5049,0.5281,0.4099,0.469
14.2,-0.2611,0.6371,0.3,0.4741,0.2791,0.3766,0.7666,0.2468,0.5067,0.5321,0.4096,0.4709
14.3,-0.2953,0.6341,0.2937,0.4685,0.2842,0.3764,0.772,0.2514,0.5117,0.5412,0.4156,0.4784
14.4,-0.3226,0.6287,0.2929,0.4646,0.2899,0.3772,0.7807,0.2597,0.5202,0.5555,0.4274,0.4915
14.5,-0.3422,0.6208,0.2977,0.462,0.2962,0.3791,0.7925,0.2717,0.5321,0.5748,0.4443,0.5096
14.6,-0.3533,0.6109,0.3076,0.4603,0.3038,0.3821,0.807,0.2875,0.5472,0.5982,0.465,0.5316
14.7,-0.3564,0.5993,0.3223,0.4598,0.3129,0.3864,0.8237,0.3071,0.5654,0.6248,0.4887,0.5568
14.8,-0.3526,0.5869,0.3413,0.4607,0.3235,0.3921,0.8423,0.33,0.5861,0.6539,0.5141,0.584
14.9,-0.3421,0.5744,0.3642,0.4636,0.3345,0.399,0.8621,0.3553,0.6087,0.6843,0.5398,0.6121
