Time,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC
21,-0.4755,0.4965,0.6472,0.4802,0.8164,0.6483,0.6263,0.6903,0.6583,0.4095,0.5419,0.4757
21.1,-0.4565,0.5005,0.6527,0.4688,0.821,0.6449,0.6295,0.6886,0.6591,0.3851,0.5327,0.4589
21.2,-0.4384,0.5142,0.6559,0.4624,0.8264,0.6444,0.633,0.6853,0.6591,0.3626,0.5243,0.4434
21.3,-0.4195,0.5369,0.6564,0.461,0.8315,0.6462,0.6375,0.6805,0.659,0.3424,0.5164,0.4294
21.4,-0.3977,0.5667,0.6544,0.4635,0.8356,0.6496,0.6435,0.6744,0.6589,0.3252,0.5088,0.417
21.5,-0.373,0.6013,0.6501,0.4691,0.8392,0.6541,0.6511,0.6678,0.6594,0.3115,0.5019,0.4067
21.6,-0.3475,0.6388,0.6441,0.4768,0.8437,0.6602,0.6599,0.6617,0.6608,0.3016,0.496,0.3988
21.7,-0.3239,0.6768,0.6372,0.486,0.8502,0.6681,0.6691,0.6569,0.663,0.2953,0.4916,0.3935
21.8,-0.3049,0.7131,0.6295,0.4962,0.8588,0.6775,0.6777,0.6536,0.6657,0.2923,0.4886,0.3904
21.9,-0.2919,0.7458,0.6213,0.5071,0.8687,0.6879,0.6846,0.6514,0.668,0.2925,0.4865,0.3895
22,-0.2856,0.774,0.6124,0.5183,0.8795,0.6989,0.6888,0.6501,0.6694,0.2959,0.4849,0.3904
22.1,-0.2855,0.7974,0.6027,0.5298,0.8911,0.7104,0.6896,0.6501,0.6698,0.3029,0.4834,0.3932
22.2,-0.2899,0.8162,0.5917,0.5414,0.903,0.7222,0.6864,0.6516,0.669,0.314,0.4823,0.3981
22.3,-0.2967,0.8309,0.5795,0.5532,0.9147,0.7339,0.6795,0.655,0.6673,0.3298,0.4818,0.4058
22.4,-0.3048,0.8421,0.5666,0.5655,0.9255,0.7455,0.6696,0.6601,0.6648,0.351,0.4825,0.4168
22.5,-0.3137,0.8503,0.5539,0.5783,0.9354,0.7569,0.6578,0.6669,0.6623,0.3777,0.4853,0.4315
22.6,-0.3238,0.8564,0.5428,0.5916,0.9447,0.7681,0.6449,0.6758,0.6604,0.4091,0.4913,0.4502
22.7,-0.335,0.8611,0.5347,0.6051,0.9532,0.7791,0.6317,0.687,0.6594,0.4442,0.5015,0.4728
22.8,-0.3473,0.8646,0.5302,0.6184,0.9606,0.7895,0.6185,0.7001,0.6593,0.4817,0.5158,0.4988
22.9,-0.361,0.8671,0.5289,0.6309,0.966,0.7984,0.6051,0.7142,0.6597,0.5212,0.5336,0.5274
23,-0.377,0.8685,0.5305,0.6419,0.9692,0.8056,0.5918,0.7275,0.6596,0.5626,0.5538,0.5582
23.1,-0.3961,0.8688,0.5346,0.6514,0.9706,0.811,0.5785,0.7391,0.6588,0.6057,0.5757,0.5907
23.2,-0.4179,0.868,0.5411,0.6593,0.9702,0.8148,0.5655,0.748,0.6568,0.6501,0.5987,0.6244
23.3,-0.4416,0.866,0.5493,0.6658,0.9679,0.8168,0.5531,0.7536,0.6534,0.6942,0.6222,0.6582
23.4,-0.4654,0.8626,0.5585,0.6705,0.9627,0.8166,0.5415,0.7549,0.6482,0.7362,0.6451,0.6907
23.5,-0.4873,0.8572,0.5673,0.673,0.9537,0.8133,0.5304,0.7504,0.6404,0.7744,0.6663,0.7204
23.6,-0.5061,0.8495,0.5742,0.6732,0.9407,0.8069,0.5195,0.739,0.6293,0.8083,0.6852,0.7468
23.7,-0.5208,0.8394,0.5778,0.6712,0.924,0.7976,0.5086,0.7203,0.6144,0.8379,0.7021,0.77
23.8,-0.5305,0.8268,0.5779,0.6679,0.9045,0.7862,0.4982,0.6947,0.5964,0.8631,0.7172,0.7902
23.9,-0.5335,0.8119,0.5745,0.6639,0.8827,0.7733,0.4894,0.6638,0.5766,0.8835,0.7305,0.807
24,-0.5282,0.7945,0.5682,0.6598,0.8588,0.7593,0.483,0.6297,0.5564,0.8986,0.7417,0.8201
24.1,-0.5128,0.7746,0.5596,0.6555,0.8331,0.7443,0.4787,0.5943,0.5365,0.908,0.7502,0.8291
24.2,-0.4865,0.7525,0.549,0.6503,0.8055,0.7279,0.4758,0.5588,0.5173,0.912,0.7558,0.8339
24.3,-0.4494,0.7281,0.537,0.6439,0.7764,0.7101,0.4736,0.5246,0.4991,0.9107,0.7585,0.8346
24.4,-0.4021,0.7014,0.524,0.6356,0.7458,0.6907,0.4717,0.4923,0.482,0.9041,0.7584,0.8312
24.5,-0.3463,0.6719,0.5108,0.6252,0.7142,0.6697,0.4701,0.4629,0.4665,0.892,0.7559,0.8239
24.6,-0.2837,0.6396,0.4982,0.6126,0.6824,0.6475,0.4692,0.4371,0.4531,0.8748,0.7515,0.8131
24.7,-0.2173,0.6047,0.4866,0.5979,0.6513,0.6246,0.4688,0.4156,0.4422,0.8538,0.7458,0.7998
24.8,-0.1507,0.5685,0.4765,0.5811,0.6223,0.6017,0.4684,0.3991,0.4338,0.8304,0.7398,0.7851
24.9,-0.0886,0.5327,0.4681,0.5627,0.5967,0.5797,0.4673,0.3878,0.4276,0.806,0.7343,0.7701
25,-0.0349,0.4996,0.4618,0.5432,0.5756,0.5594,0.4644,0.3819,0.4232,0.781,0.7298,0.7554
25.1,0.0078,0.4714,0.4577,0.5236,0.5595,0.5415,0.4588,0.3811,0.4199,0.7556,0.7255,0.7406
25.2,0.0385,0.4494,0.456,0.5045,0.5492,0.5268,0.4498,0.3851,0.4175,0.7305,0.7207,0.7256
25.3,0.0571,0.4342,0.457,0.4867,0.5448,0.5158,0.4381,0.3936,0.4158,0.7071,0.7151,0.7111
25.4,0.0643,0.4259,0.4612,0.4711,0.5465,0.5088,0.4252,0.4064,0.4158,0.6874,0.7093,0.6984
25.5,0.0612,0.4245,0.469,0.4586,0.5539,0.5062,0.4129,0.4232,0.418,0.6728,0.704,0.6884
25.6,0.0492,0.4296,0.481,0.4498,0.5663,0.508,0.4026,0.4437,0.4232,0.6638,0.6997,0.6817
25.7,0.0296,0.4405,0.4971,0.4449,0.5832,0.514,0.3953,0.4672,0.4312,0.6597,0.6961,0.6779
25.8,0.0033,0.456,0.5175,0.4439,0.6037,0.5238,0.3912,0.4928,0.442,0.6594,0.693,0.6762
25.9,-0.0296,0.4743,0.5415,0.4458,0.6268,0.5363,0.3904,0.5193,0.4548,0.6615,0.6897,0.6756
26,-0.0689,0.4942,0.5682,0.4497,0.6509,0.5503,0.3924,0.5452,0.4688,0.665,0.6859,0.6754
26.1,-0.1138,0.5145,0.5961,0.4555,0.6747,0.5651,0.3969,0.5692,0.4831,0.6689,0.6805,0.6747
26.2,-0.1628,0.5347,0.6236,0.4633,0.6973,0.5803,0.4037,0.5901,0.4969,0.6729,0.6732,0.673
26.3,-0.2145,0.5544,0.6495,0.4737,0.7181,0.5959,0.413,0.6076,0.5103,0.6764,0.6641,0.6702
26.4,-0.2678,0.5734,0.6738,0.4871,0.7372,0.6121,0.4253,0.6218,0.5235,0.6789,0.654,0.6664
26.5,-0.3216,0.5916,0.6967,0.503,0.7542,0.6286,0.4414,0.633,0.5372,0.6799,0.6435,0.6617
26.6,-0.3748,0.6084,0.7182,0.5206,0.7685,0.6446,0.4609,0.6412,0.551,0.6785,0.6329,0.6557
26.7,-0.4254,0.6233,0.7371,0.5384,0.7792,0.6588,0.4832,0.6458,0.5645,0.674,0.6215,0.6477
26.8,-0.4719,0.6357,0.7525,0.5553,0.7852,0.6703,0.5073,0.6464,0.5769,0.6662,0.6088,0.6375
26.9,-0.5136,0.6452,0.764,0.5709,0.7861,0.6785,0.5335,0.6435,0.5885,0.6553,0.5947,0.625
27,-0.5507,0.6521,0.7721,0.5855,0.782,0.6837,0.5627,0.6386,0.6006,0.642,0.5794,0.6107
27.1,-0.5835,0.657,0.7777,0.5997,0.7734,0.6865,0.5955,0.6334,0.6145,0.6273,0.5633,0.5953
27.2,-0.6118,0.6607,0.7816,0.6142,0.7605,0.6873,0.6309,0.6294,0.6301,0.6118,0.5468,0.5793
27.3,-0.6352,0.6637,0.784,0.6289,0.7435,0.6862,0.6664,0.6267,0.6465,0.5965,0.5302,0.5633
27.4,-0.6534,0.6664,0.7848,0.6435,0.7226,0.6831,0.6994,0.6248,0.6621,0.5822,0.5137,0.548
27.5,-0.667,0.6687,0.7842,0.658,0.6977,0.6779,0.7288,0.6232,0.676,0.5701,0.498,0.534
27.6,-0.6769,0.6705,0.7824,0.6725,0.6692,0.6708,0.7541,0.6216,0.6878,0.5608,0.4835,0.5222
27.7,-0.6849,0.6722,0.7797,0.6874,0.638,0.6627,0.7752,0.6201,0.6977,0.5549,0.4707,0.5128
27.8,-0.6921,0.6747,0.7766,0.7037,0.6062,0.6549,0.7918,0.6192,0.7055,0.5525,0.46,0.5062
27.9,-0.6992,0.679,0.773,0.7222,0.5763,0.6493,0.803,0.6189,0.7109,0.5537,0.4517,0.5027
28,-0.705,0.6862,0.7687,0.7436,0.5503,0.647,0.8087,0.6194,0.714,0.5586,0.4462,0.5024
28.1,-0.7071,0.6967,0.7637,0.7677,0.5293,0.6485,0.8095,0.6207,0.7151,0.5662,0.4437,0.505
28.2,-0.7028,0.7103,0.7575,0.7938,0.5139,0.6539,0.8059,0.6231,0.7145,0.5747,0.4441,0.5094
28.3,-0.6897,0.7268,0.75,0.8206,0.5052,0.6629,0.7982,0.6266,0.7124,0.5821,0.4468,0.5145
28.4,-0.6667,0.7457,0.7407,0.8471,0.5046,0.6759,0.7867,0.631,0.7088,0.5874,0.4512,0.5193
28.5,-0.6344,0.766,0.7295,0.8723,0.5135,0.6929,0.7718,0.6358,0.7038,0.5901,0.4563,0.5232
28.6,-0.5947,0.7869,0.7161,0.8957,0.532,0.7138,0.7552,0.6409,0.698,0.5906,0.4614,0.526
28.7,-0.55,0.8075,0.7008,0.9168,0.5596,0.7382,0.7386,0.6465,0.6925,0.5889,0.466,0.5274
28.8,-0.502,0.8266,0.6842,0.936,0.5953,0.7656,0.7235,0.6531,0.6883,0.5843,0.4701,0.5272
28.9,-0.4525,0.8436,0.667,0.9537,0.6384,0.7961,0.7111,0.6613,0.6862,0.5765,0.4737,0.5251
29,-0.4034,0.8583,0.6502,0.971,0.6884,0.8297,0.7021,0.6713,0.6867,0.5656,0.4769,0.5213
29.1,-0.3572,0.8711,0.6349,0.9886,0.744,0.8663,0.6971,0.6831,0.6901,0.5525,0.4803,0.5164
29.2,-0.3167,0.883,0.6215,1.0072,0.8032,0.9052,0.6967,0.6966,0.6967,0.5389,0.4843,0.5116
29.3,-0.2836,0.8952,0.6104,1.0269,0.8643,0.9456,0.7015,0.7121,0.7068,0.5261,0.4889,0.5075
29.4,-0.2586,0.9086,0.6016,1.0482,0.9265,0.9873,0.7114,0.7295,0.7205,0.5145,0.4938,0.5041
29.5,-0.2408,0.9243,0.5948,1.0712,0.9896,1.0304,0.7261,0.7488,0.7375,0.5042,0.4982,0.5012
29.6,-0.2288,0.9425,0.5897,1.0955,1.0525,1.074,0.7452,0.7692,0.7572,0.4948,0.5019,0.4984
29.7,-0.2204,0.9631,0.5862,1.1196,1.1137,1.1167,0.7681,0.7897,0.7789,0.4866,0.5046,0.4956
29.8,-0.2135,0.9853,0.5838,1.1416,1.1715,1.1566,0.7937,0.8095,0.8016,0.4798,0.5065,0.4931
29.9,-0.2066,1.008,0.5826,1.1603,1.2249,1.1926,0.8207,0.8284,0.8246,0.4747,0.5072,0.4909
