Time,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC
21.3,-0.3983,0.3698,0.2093,0.3699,0.292,0.3309,0.1807,0.2833,0.232,0.1814,0.2789,0.2302
21.4,-0.4116,0.3776,0.2254,0.3378,0.2747,0.3062,0.1826,0.284,0.2333,0.1975,0.2989,0.2482
21.5,-0.4158,0.3849,0.2417,0.3034,0.2549,0.2791,0.1846,0.2834,0.234,0.2191,0.3211,0.2701
21.6,-0.4095,0.3916,0.2576,0.2693,0.2345,0.2519,0.1868,0.2807,0.2338,0.2447,0.3437,0.2942
21.7,-0.394,0.3974,0.2725,0.238,0.2152,0.2266,0.189,0.2751,0.232,0.2728,0.3654,0.3191
21.8,-0.3715,0.4014,0.2863,0.2097,0.1976,0.2037,0.1908,0.2663,0.2285,0.3018,0.3849,0.3434
21.9,-0.3441,0.4024,0.2989,0.1839,0.1813,0.1826,0.1921,0.2541,0.2231,0.3308,0.4016,0.3662
22,-0.3129,0.4003,0.3105,0.1603,0.1666,0.1635,0.1928,0.2392,0.216,0.359,0.4148,0.3869
22.1,-0.2795,0.3962,0.321,0.14,0.1549,0.1474,0.1931,0.2226,0.2079,0.3854,0.4241,0.4048
22.2,-0.2462,0.3924,0.3305,0.1243,0.1482,0.1363,0.1939,0.2059,0.1999,0.4096,0.4299,0.4198
22.3,-0.2146,0.3905,0.3395,0.1138,0.1477,0.1307,0.1964,0.1903,0.1934,0.4314,0.4327,0.4321
22.4,-0.1863,0.3914,0.3488,0.1079,0.1531,0.1305,0.2011,0.177,0.1891,0.4506,0.4335,0.4421
22.5,-0.1616,0.3952,0.3592,0.1065,0.1636,0.1351,0.208,0.167,0.1875,0.4667,0.433,0.4498
22.6,-0.1397,0.4013,0.3715,0.1095,0.1786,0.144,0.2166,0.1614,0.189,0.479,0.4315,0.4552
22.7,-0.118,0.4091,0.3857,0.1163,0.1977,0.157,0.2265,0.1611,0.1938,0.488,0.4296,0.4588
22.8,-0.0935,0.4183,0.4013,0.1266,0.2204,0.1735,0.2378,0.1666,0.2022,0.4951,0.4281,0.4616
22.9,-0.0637,0.429,0.4176,0.1401,0.2462,0.1932,0.2506,0.1774,0.214,0.5013,0.4278,0.4645
23,-0.0278,0.4412,0.4342,0.1568,0.274,0.2154,0.2646,0.1928,0.2287,0.5068,0.4286,0.4677
23.1,0.0125,0.455,0.4511,0.1768,0.3027,0.2398,0.2792,0.2126,0.2459,0.5116,0.4304,0.471
23.2,0.0541,0.4699,0.4685,0.2002,0.332,0.2661,0.2938,0.2374,0.2656,0.5156,0.4329,0.4743
23.3,0.0927,0.4861,0.486,0.2267,0.3621,0.2944,0.3089,0.2676,0.2882,0.5191,0.4364,0.4777
23.4,0.1254,0.5038,0.5037,0.2563,0.3938,0.3251,0.325,0.3031,0.314,0.5227,0.4411,0.4819
23.5,0.1515,0.523,0.5214,0.2893,0.4273,0.3583,0.3422,0.3433,0.3427,0.5267,0.4478,0.4872
23.6,0.171,0.5435,0.5384,0.3247,0.4618,0.3932,0.3599,0.3869,0.3734,0.5314,0.4568,0.4941
23.7,0.1846,0.5647,0.5538,0.3604,0.496,0.4282,0.3774,0.4326,0.405,0.5368,0.4683,0.5026
23.8,0.1926,0.5859,0.567,0.3937,0.5292,0.4615,0.3941,0.4788,0.4365,0.543,0.4821,0.5126
23.9,0.1941,0.6076,0.5776,0.4234,0.5612,0.4923,0.4095,0.5241,0.4668,0.5502,0.4979,0.5241
24,0.1882,0.6301,0.5857,0.4495,0.5924,0.5209,0.4231,0.5676,0.4953,0.5581,0.5153,0.5367
24.1,0.1747,0.6524,0.5914,0.4719,0.6224,0.5472,0.4345,0.6089,0.5217,0.5661,0.5335,0.5498
24.2,0.1551,0.673,0.5949,0.4904,0.6506,0.5705,0.444,0.6477,0.5458,0.5741,0.5519,0.563
24.3,0.1309,0.6906,0.5964,0.5049,0.6762,0.5906,0.452,0.6833,0.5676,0.5825,0.5696,0.5761
24.4,0.1025,0.7048,0.5956,0.5157,0.6993,0.6075,0.4591,0.7145,0.5868,0.5916,0.5863,0.5889
24.5,0.0693,0.7156,0.5925,0.5238,0.7196,0.6217,0.4654,0.7397,0.6026,0.6015,0.6011,0.6013
24.6,0.0301,0.7227,0.5872,0.5306,0.7368,0.6337,0.4708,0.7581,0.6145,0.6118,0.6133,0.6125
24.7,-0.0156,0.726,0.5796,0.5367,0.7507,0.6437,0.4753,0.7699,0.6226,0.6216,0.6224,0.622
24.8,-0.0667,0.7255,0.5702,0.5427,0.7609,0.6518,0.4791,0.7759,0.6275,0.6305,0.6283,0.6294
24.9,-0.1213,0.7221,0.5596,0.5492,0.7676,0.6584,0.4828,0.7774,0.6301,0.6387,0.6314,0.635
25,-0.179,0.7173,0.5491,0.5569,0.7715,0.6642,0.4874,0.7756,0.6315,0.6468,0.6325,0.6397
25.1,-0.2404,0.712,0.5404,0.5654,0.773,0.6692,0.4935,0.7716,0.6325,0.656,0.6327,0.6444
25.2,-0.3061,0.7064,0.5343,0.5739,0.7721,0.673,0.5019,0.7665,0.6342,0.6667,0.6327,0.6497
25.3,-0.3751,0.7009,0.5306,0.5821,0.7693,0.6757,0.5125,0.7611,0.6368,0.6791,0.6325,0.6558
25.4,-0.446,0.6966,0.5286,0.5907,0.7654,0.678,0.525,0.7558,0.6404,0.6925,0.6322,0.6623
25.5,-0.5181,0.695,0.5277,0.6002,0.7616,0.6809,0.5389,0.7506,0.6447,0.7063,0.6314,0.6689
25.6,-0.5905,0.6963,0.5266,0.6103,0.7587,0.6845,0.5535,0.745,0.6492,0.7202,0.6297,0.6749
25.7,-0.6627,0.6997,0.5239,0.6194,0.7564,0.6879,0.5679,0.7383,0.6531,0.7335,0.6265,0.68
25.8,-0.7344,0.7041,0.5181,0.6256,0.7546,0.6901,0.581,0.73,0.6555,0.7458,0.6217,0.6838
25.9,-0.805,0.7091,0.5083,0.6287,0.7536,0.6911,0.5917,0.7202,0.656,0.7567,0.6155,0.6861
26,-0.8724,0.7142,0.4944,0.6288,0.7542,0.6915,0.5996,0.7093,0.6545,0.7665,0.6086,0.6875
26.1,-0.935,0.7183,0.4767,0.6254,0.7568,0.6911,0.6046,0.6972,0.6509,0.7758,0.6021,0.6889
26.2,-0.9917,0.7198,0.4552,0.617,0.7607,0.6889,0.6062,0.6835,0.6449,0.7843,0.5961,0.6902
26.3,-1.0416,0.718,0.4295,0.6021,0.7651,0.6836,0.6037,0.6677,0.6357,0.7911,0.59,0.6905
26.4,-1.0839,0.7121,0.4,0.5799,0.7688,0.6743,0.5968,0.6497,0.6233,0.7943,0.5829,0.6886
26.5,-1.1173,0.7024,0.3678,0.5508,0.7705,0.6606,0.5857,0.6303,0.608,0.7925,0.5739,0.6832
26.6,-1.1389,0.6895,0.3349,0.5155,0.7697,0.6426,0.5708,0.6103,0.5905,0.7842,0.5622,0.6732
26.7,-1.1464,0.674,0.3031,0.4749,0.7662,0.6205,0.5528,0.5901,0.5715,0.7684,0.5477,0.6581
26.8,-1.1385,0.6564,0.2735,0.4301,0.7597,0.5949,0.5319,0.5701,0.551,0.7451,0.5311,0.6381
26.9,-1.1156,0.6366,0.2459,0.3821,0.7495,0.5658,0.5078,0.5502,0.529,0.7148,0.5135,0.6141
27,-1.08,0.6146,0.2199,0.3328,0.7352,0.534,0.4806,0.5308,0.5057,0.6789,0.4952,0.587
27.1,-1.0334,0.591,0.196,0.2847,0.7172,0.5009,0.4515,0.5127,0.4821,0.6394,0.4763,0.5578
27.2,-0.9776,0.5664,0.1752,0.2407,0.6962,0.4684,0.4227,0.4974,0.46,0.5991,0.4577,0.5284
27.3,-0.9142,0.5414,0.1583,0.2023,0.6723,0.4373,0.3966,0.4858,0.4412,0.5608,0.4407,0.5007
27.4,-0.8435,0.5164,0.1456,0.1703,0.6457,0.408,0.3753,0.4782,0.4267,0.5265,0.4262,0.4764
27.5,-0.7662,0.4917,0.1375,0.1446,0.6166,0.3806,0.36,0.474,0.417,0.4973,0.415,0.4562
27.6,-0.6851,0.4676,0.134,0.1245,0.586,0.3552,0.3509,0.4729,0.4119,0.4733,0.4073,0.4403
27.7,-0.6037,0.4449,0.1349,0.1091,0.555,0.3321,0.3475,0.4746,0.411,0.4546,0.4037,0.4291
27.8,-0.5257,0.424,0.1401,0.0983,0.5248,0.3116,0.349,0.4784,0.4137,0.4415,0.4042,0.4229
27.9,-0.4543,0.4054,0.1496,0.092,0.4966,0.2943,0.3547,0.4839,0.4193,0.434,0.4092,0.4216
28,-0.3921,0.3891,0.1638,0.0903,0.4716,0.2809,0.3641,0.4912,0.4277,0.432,0.4191,0.4255
28.1,-0.3399,0.3755,0.1825,0.0932,0.451,0.2721,0.3767,0.5001,0.4384,0.4352,0.434,0.4346
28.2,-0.2979,0.3651,0.2052,0.1007,0.4359,0.2683,0.3914,0.5102,0.4508,0.4435,0.4533,0.4484
28.3,-0.2656,0.3585,0.2306,0.1129,0.4268,0.2699,0.4075,0.5207,0.4641,0.4568,0.4764,0.4666
28.4,-0.2428,0.3564,0.2576,0.1299,0.424,0.277,0.4242,0.5308,0.4775,0.4743,0.5021,0.4882
28.5,-0.2294,0.359,0.2847,0.1512,0.4272,0.2892,0.44,0.5397,0.4899,0.495,0.5288,0.5119
28.6,-0.224,0.3653,0.3105,0.1759,0.4354,0.3057,0.4536,0.5467,0.5001,0.5176,0.5553,0.5364
28.7,-0.226,0.3745,0.334,0.2027,0.448,0.3253,0.4636,0.5511,0.5074,0.5406,0.5801,0.5604
28.8,-0.2351,0.3858,0.355,0.2305,0.4647,0.3476,0.4698,0.5532,0.5115,0.5634,0.6025,0.583
28.9,-0.251,0.3995,0.3735,0.2589,0.4859,0.3724,0.4721,0.553,0.5126,0.586,0.6219,0.6039
29,-0.2734,0.4163,0.3898,0.2876,0.5116,0.3996,0.4709,0.5511,0.511,0.6081,0.6385,0.6233
29.1,-0.3015,0.4361,0.4046,0.3159,0.5411,0.4285,0.466,0.5478,0.5069,0.6293,0.6523,0.6408
29.2,-0.3343,0.4585,0.4184,0.3427,0.5729,0.4578,0.4573,0.5435,0.5004,0.6487,0.6631,0.6559
29.3,-0.3699,0.4825,0.4311,0.3671,0.6058,0.4864,0.445,0.5388,0.4919,0.6659,0.671,0.6685
29.4,-0.4065,0.5071,0.4427,0.3881,0.6386,0.5134,0.4296,0.5338,0.4817,0.6808,0.6762,0.6785
29.5,-0.4431,0.5309,0.4531,0.4052,0.6699,0.5376,0.4115,0.5284,0.4699,0.693,0.6786,0.6858
29.6,-0.4781,0.5529,0.4626,0.4181,0.6982,0.5581,0.3911,0.5227,0.4569,0.7018,0.6775,0.6896
29.7,-0.5088,0.5722,0.4712,0.4272,0.7222,0.5747,0.3692,0.5169,0.443,0.7063,0.672,0.6891
29.8,-0.5315,0.5879,0.479,0.4331,0.7408,0.5869,0.3467,0.5115,0.4291,0.7058,0.6615,0.6837
29.9,-0.5448,0.5996,0.4858,0.4363,0.7528,0.5945,0.3243,0.5063,0.4153,0.6995,0.6461,0.6728
