Time,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9,-0.0805,0.604,0.5865,0.4598,0.4844,0.4721,0.4738,0.4423,0.458,0.5139,0.515,0.5144
9.1,-0.0615,0.5894,0.5825,0.4385,0.4793,0.4589,0.4857,0.4422,0.4639,0.5333,0.518,0.5256
9.2,-0.0413,0.5742,0.5784,0.4205,0.4737,0.4471,0.4994,0.4439,0.4716,0.5511,0.5215,0.5363
9.3,-0.0197,0.5588,0.5741,0.4071,0.4678,0.4374,0.5145,0.4471,0.4808,0.5663,0.5249,0.5456
9.4,0.0024,0.5443,0.5696,0.3993,0.4616,0.4304,0.5306,0.4517,0.4912,0.5785,0.5284,0.5534
9.5,0.0226,0.5314,0.5656,0.3974,0.4556,0.4265,0.5475,0.4579,0.5027,0.5877,0.5321,0.5599
9.6,0.0383,0.5206,0.5626,0.4005,0.4508,0.4257,0.5649,0.466,0.5155,0.5943,0.5365,0.5654
9.7,0.0474,0.5119,0.5611,0.4071,0.4476,0.4274,0.5822,0.4766,0.5294,0.5986,0.5413,0.5699
9.8,0.0491,0.5053,0.5609,0.4161,0.4459,0.431,0.5985,0.4896,0.544,0.6003,0.546,0.5732
9.9,0.0434,0.5006,0.5612,0.4268,0.4452,0.436,0.6127,0.5041,0.5584,0.5992,0.5501,0.5746
10,0.0311,0.4978,0.5614,0.4384,0.4452,0.4418,0.624,0.5191,0.5715,0.595,0.5532,0.5741
10.1,0.0128,0.4966,0.561,0.4501,0.446,0.4481,0.6317,0.5335,0.5826,0.5879,0.555,0.5714
10.2,-0.0112,0.4969,0.5601,0.4613,0.4478,0.4545,0.6358,0.5467,0.5913,0.5783,0.5554,0.5669
10.3,-0.04,0.499,0.559,0.4718,0.4511,0.4614,0.6367,0.5587,0.5977,0.5668,0.5548,0.5608
10.4,-0.0728,0.5031,0.5579,0.4819,0.4564,0.4691,0.6347,0.5695,0.6021,0.5542,0.5539,0.554
10.5,-0.1084,0.5097,0.5569,0.4921,0.4637,0.4779,0.6302,0.5792,0.6047,0.5412,0.5534,0.5473
10.6,-0.1456,0.5185,0.5558,0.5024,0.4728,0.4876,0.6236,0.5874,0.6055,0.5285,0.5539,0.5412
10.7,-0.1828,0.5289,0.554,0.5123,0.4828,0.4976,0.6148,0.5937,0.6042,0.5162,0.555,0.5356
10.8,-0.219,0.54,0.5512,0.5219,0.493,0.5075,0.604,0.5979,0.6009,0.5044,0.5563,0.5303
10.9,-0.253,0.5518,0.5474,0.5313,0.5027,0.517,0.5911,0.6,0.5955,0.4931,0.5576,0.5254
11,-0.2839,0.5645,0.5431,0.5409,0.512,0.5264,0.5763,0.6,0.5882,0.4826,0.559,0.5208
11.1,-0.3104,0.5782,0.5385,0.551,0.5214,0.5362,0.5601,0.5978,0.5789,0.4732,0.5605,0.5168
11.2,-0.3316,0.5926,0.5336,0.5613,0.5306,0.546,0.5425,0.593,0.5678,0.4649,0.5624,0.5137
11.3,-0.3469,0.6067,0.5282,0.5711,0.5391,0.5551,0.524,0.5855,0.5547,0.4579,0.5646,0.5113
11.4,-0.3556,0.6197,0.5228,0.5799,0.546,0.563,0.5045,0.5754,0.54,0.4522,0.5669,0.5095
11.5,-0.3574,0.6309,0.5176,0.5874,0.5506,0.569,0.4842,0.5629,0.5236,0.4481,0.5691,0.5086
11.6,-0.3527,0.6398,0.513,0.5935,0.5519,0.5727,0.4632,0.5483,0.5058,0.4461,0.5719,0.509
11.7,-0.3421,0.6455,0.509,0.5977,0.5495,0.5736,0.4421,0.5319,0.487,0.4467,0.5757,0.5112
11.8,-0.3265,0.6471,0.5051,0.5993,0.543,0.5712,0.4214,0.5141,0.4677,0.4501,0.5808,0.5155
11.9,-0.3067,0.644,0.5015,0.5979,0.5319,0.5649,0.4015,0.4954,0.4485,0.4567,0.5868,0.5218
12,-0.2835,0.636,0.4979,0.593,0.5162,0.5546,0.3829,0.4766,0.4298,0.4666,0.5933,0.53
12.1,-0.2572,0.6234,0.4945,0.5843,0.4963,0.5403,0.3658,0.4584,0.4121,0.4799,0.6001,0.54
12.2,-0.2289,0.6063,0.491,0.5719,0.473,0.5224,0.3506,0.4414,0.396,0.4963,0.6068,0.5516
12.3,-0.1998,0.5854,0.4873,0.5559,0.4478,0.5018,0.3378,0.4263,0.3821,0.5147,0.6128,0.5637
12.4,-0.1712,0.5617,0.4833,0.5372,0.422,0.4796,0.328,0.4138,0.3709,0.5334,0.6171,0.5753
12.5,-0.1437,0.5367,0.4792,0.5168,0.3971,0.4569,0.3215,0.4042,0.3628,0.551,0.6193,0.5852
12.6,-0.117,0.5114,0.475,0.4955,0.3742,0.4349,0.3185,0.398,0.3583,0.5663,0.6194,0.5929
12.7,-0.0916,0.4868,0.4711,0.4738,0.3546,0.4142,0.3194,0.3958,0.3576,0.5789,0.6179,0.5984
12.8,-0.0681,0.4632,0.468,0.4514,0.3387,0.3951,0.3239,0.3984,0.3612,0.5886,0.6153,0.602
12.9,-0.0478,0.4413,0.4659,0.4282,0.3271,0.3776,0.3315,0.406,0.3687,0.5955,0.612,0.6037
13,-0.0308,0.4214,0.4649,0.4045,0.3197,0.3621,0.3412,0.4182,0.3797,0.5997,0.608,0.6038
13.1,-0.0171,0.4042,0.4646,0.3808,0.3166,0.3487,0.3524,0.4342,0.3933,0.6011,0.6032,0.6022
13.2,-0.006,0.3903,0.4647,0.3581,0.3183,0.3382,0.3645,0.453,0.4087,0.5998,0.5978,0.5988
13.3,0.003,0.3796,0.4654,0.3373,0.3252,0.3312,0.3769,0.4737,0.4253,0.5957,0.5917,0.5937
13.4,0.0105,0.3723,0.4671,0.3187,0.3371,0.3279,0.3888,0.4955,0.4421,0.589,0.585,0.587
13.5,0.0165,0.3681,0.4701,0.3026,0.3536,0.3281,0.3994,0.5177,0.4586,0.5799,0.5778,0.5789
13.6,0.0217,0.3669,0.4742,0.2888,0.3734,0.3311,0.4083,0.5395,0.4739,0.5687,0.5698,0.5693
13.7,0.0266,0.3685,0.4789,0.2779,0.3953,0.3366,0.4152,0.5598,0.4875,0.5554,0.5611,0.5582
13.8,0.0313,0.3728,0.4839,0.2705,0.4185,0.3445,0.4199,0.5781,0.499,0.54,0.5516,0.5458
13.9,0.0358,0.3799,0.4887,0.2669,0.4421,0.3545,0.4225,0.5939,0.5082,0.5227,0.5413,0.532
14,0.0393,0.3898,0.4936,0.2672,0.4652,0.3662,0.4226,0.6069,0.5148,0.5034,0.5298,0.5166
14.1,0.0413,0.4024,0.4985,0.2712,0.4875,0.3794,0.4202,0.617,0.5186,0.4823,0.5172,0.4997
14.2,0.0416,0.4179,0.5034,0.2792,0.5088,0.394,0.4151,0.6236,0.5193,0.4592,0.5036,0.4814
14.3,0.041,0.436,0.508,0.2914,0.5292,0.4103,0.4077,0.6264,0.5171,0.4347,0.4893,0.462
14.4,0.0399,0.4564,0.5115,0.3079,0.5486,0.4282,0.3986,0.6255,0.512,0.4091,0.4747,0.4419
14.5,0.0389,0.4784,0.5132,0.3282,0.5661,0.4471,0.3881,0.6209,0.5045,0.3828,0.4601,0.4215
14.6,0.0381,0.5014,0.513,0.3518,0.581,0.4664,0.3764,0.613,0.4947,0.356,0.4459,0.4009
14.7,0.0374,0.5247,0.5109,0.3783,0.5934,0.4858,0.364,0.6024,0.4832,0.329,0.4327,0.3809
14.8,0.0371,0.5479,0.5076,0.4075,0.6039,0.5057,0.3512,0.5903,0.4707,0.3024,0.4215,0.3619
14.9,0.0372,0.5706,0.5039,0.4389,0.6129,0.5259,0.3384,0.5776,0.458,0.2767,0.4134,0.345
15,0.0378,0.5928,0.5,0.4719,0.6209,0.5464,0.326,0.5651,0.4456,0.2522,0.409,0.3306
15.1,0.0391,0.6145,0.4959,0.5061,0.6279,0.567,0.3148,0.5533,0.434,0.2286,0.4079,0.3183
15.2,0.0416,0.636,0.4916,0.5411,0.6344,0.5878,0.3056,0.5425,0.424,0.2059,0.4092,0.3075
15.3,0.0459,0.6571,0.4875,0.5764,0.6409,0.6087,0.2992,0.5336,0.4164,0.1843,0.4124,0.2983
15.4,0.052,0.6772,0.4843,0.611,0.6472,0.6291,0.2963,0.5273,0.4118,0.1646,0.4175,0.291
15.5,0.0595,0.6956,0.4823,0.6432,0.6531,0.6481,0.2968,0.5238,0.4103,0.1477,0.4242,0.2859
15.6,0.0675,0.7117,0.4815,0.6719,0.6585,0.6652,0.3008,0.5228,0.4118,0.1339,0.4318,0.2828
15.7,0.0746,0.7253,0.4818,0.6966,0.6634,0.68,0.3082,0.5242,0.4162,0.1235,0.4398,0.2817
15.8,0.0795,0.7364,0.4839,0.7165,0.6676,0.6921,0.3188,0.5284,0.4236,0.1172,0.4486,0.2829
15.9,0.0808,0.7448,0.4884,0.7309,0.6711,0.701,0.3325,0.5355,0.434,0.116,0.4588,0.2874
16,0.0778,0.75,0.4959,0.7391,0.6736,0.7063,0.3489,0.5455,0.4472,0.1207,0.471,0.2958
16.1,0.0698,0.7524,0.5069,0.7413,0.675,0.7082,0.3675,0.5581,0.4628,0.1315,0.485,0.3083
16.2,0.057,0.752,0.5212,0.7385,0.6752,0.7068,0.3877,0.5725,0.4801,0.1486,0.5003,0.3244
16.3,0.0402,0.7488,0.5383,0.7315,0.6735,0.7025,0.4089,0.588,0.4985,0.1719,0.5165,0.3442
16.4,0.0203,0.7424,0.5576,0.7208,0.6689,0.6948,0.4309,0.6043,0.5176,0.2016,0.5334,0.3675
16.5,-0.0015,0.7327,0.579,0.7061,0.661,0.6836,0.4535,0.6211,0.5373,0.2372,0.5508,0.394
16.6,-0.0239,0.7196,0.602,0.6877,0.6498,0.6688,0.4765,0.6382,0.5573,0.2778,0.5683,0.423
16.7,-0.0456,0.7032,0.6261,0.6665,0.6355,0.651,0.4994,0.655,0.5772,0.3217,0.5852,0.4535
