Time,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.5,0.559,0.6347,0.6942,0.8304,0.5426,0.6865,0.9095,0.8038,0.8566,0.6825,0.5738,0.6282
8.6,0.5298,0.6394,0.6948,0.8097,0.5384,0.6741,0.9234,0.7908,0.8571,0.6813,0.5798,0.6306
8.7,0.4936,0.6443,0.6959,0.7887,0.5361,0.6624,0.9332,0.7774,0.8553,0.6793,0.5879,0.6336
8.8,0.4517,0.6492,0.6976,0.7685,0.536,0.6522,0.9396,0.7637,0.8517,0.6768,0.5983,0.6375
8.9,0.4063,0.6543,0.7004,0.75,0.5383,0.6441,0.9432,0.7499,0.8465,0.6744,0.6114,0.6429
9,0.3604,0.6602,0.7045,0.7345,0.5432,0.6389,0.9438,0.7361,0.84,0.6725,0.6273,0.6499
9.1,0.3168,0.6674,0.7094,0.7233,0.5508,0.6371,0.9412,0.723,0.8321,0.6708,0.6451,0.6579
9.2,0.2773,0.6767,0.7145,0.7173,0.5611,0.6392,0.9353,0.711,0.8231,0.6691,0.6632,0.6662
9.3,0.2431,0.6885,0.7196,0.717,0.5738,0.6454,0.9263,0.7002,0.8133,0.6672,0.6805,0.6739
9.4,0.2143,0.7028,0.7244,0.7223,0.5892,0.6557,0.9147,0.6907,0.8027,0.6652,0.6959,0.6805
9.5,0.1913,0.7198,0.7291,0.7334,0.6075,0.6704,0.9004,0.683,0.7917,0.6631,0.7094,0.6862
9.6,0.1746,0.7394,0.7333,0.7501,0.6285,0.6893,0.8835,0.6773,0.7804,0.661,0.721,0.691
