Time,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC
21.2,-0.3667,0.8048,0.4916,0.6166,0.8441,0.7304,0.7306,0.6254,0.678,0.574,0.5128,0.5434
21.3,-0.3911,0.8027,0.5049,0.6143,0.8401,0.7272,0.7577,0.6633,0.7105,0.5893,0.5197,0.5545
21.4,-0.4104,0.7962,0.5189,0.6138,0.8319,0.7229,0.7851,0.6975,0.7413,0.6045,0.5281,0.5663
21.5,-0.4256,0.786,0.5337,0.6151,0.8205,0.7178,0.8119,0.7274,0.7696,0.6193,0.5378,0.5785
21.6,-0.4372,0.7726,0.5488,0.6184,0.8069,0.7126,0.8371,0.7525,0.7948,0.6335,0.5486,0.591
21.7,-0.446,0.7571,0.5637,0.6234,0.7927,0.7081,0.8602,0.7723,0.8162,0.6474,0.5605,0.6039
21.8,-0.4526,0.7399,0.5779,0.63,0.779,0.7045,0.8808,0.7865,0.8337,0.6615,0.5733,0.6174
21.9,-0.4574,0.7218,0.5911,0.6376,0.7666,0.7021,0.8989,0.7953,0.8471,0.6759,0.5865,0.6312
22,-0.4603,0.7035,0.6028,0.6458,0.7557,0.7008,0.9143,0.7989,0.8566,0.6902,0.5996,0.6449
22.1,-0.4606,0.6856,0.6122,0.6546,0.7457,0.7002,0.9267,0.7976,0.8621,0.7036,0.612,0.6578
22.2,-0.4575,0.6684,0.6187,0.6639,0.7357,0.6998,0.9356,0.7915,0.8635,0.7152,0.6231,0.6691
22.3,-0.4511,0.652,0.6218,0.6734,0.7248,0.6991,0.9407,0.7806,0.8607,0.7246,0.6324,0.6785
22.4,-0.4424,0.6359,0.6217,0.682,0.7122,0.6971,0.9416,0.7653,0.8535,0.7316,0.64,0.6858
22.5,-0.4326,0.6198,0.619,0.6882,0.6977,0.693,0.9381,0.7463,0.8422,0.7363,0.6459,0.6911
22.6,-0.4233,0.6031,0.6142,0.6902,0.6809,0.6856,0.9293,0.7241,0.8267,0.7394,0.6502,0.6948
22.7,-0.4154,0.5856,0.6073,0.6867,0.6619,0.6743,0.9143,0.6988,0.8066,0.7408,0.6535,0.6972
22.8,-0.4093,0.5672,0.5989,0.6769,0.6405,0.6587,0.8922,0.6709,0.7816,0.7405,0.6559,0.6982
22.9,-0.4047,0.5485,0.5893,0.661,0.6169,0.6389,0.863,0.6408,0.7519,0.7377,0.6572,0.6975
23,-0.4011,0.53,0.579,0.6397,0.5913,0.6155,0.8274,0.6096,0.7185,0.7318,0.6574,0.6946
23.1,-0.3977,0.5123,0.5684,0.6143,0.5641,0.5892,0.7868,0.5782,0.6825,0.7224,0.6561,0.6893
23.2,-0.3944,0.4954,0.5575,0.5868,0.5363,0.5615,0.7428,0.5473,0.6451,0.7093,0.6533,0.6813
23.3,-0.3915,0.4797,0.5464,0.5586,0.5085,0.5336,0.6972,0.5172,0.6072,0.6927,0.6492,0.6709
23.4,-0.39,0.4654,0.5354,0.5313,0.482,0.5066,0.6515,0.4883,0.5699,0.6727,0.6437,0.6582
23.5,-0.3902,0.453,0.5249,0.5055,0.4575,0.4815,0.6077,0.461,0.5343,0.6494,0.6369,0.6432
23.6,-0.3913,0.4424,0.5148,0.4818,0.4352,0.4585,0.5671,0.4362,0.5016,0.6234,0.6285,0.626
23.7,-0.3921,0.4333,0.5052,0.4604,0.4149,0.4376,0.5307,0.4144,0.4726,0.5955,0.6185,0.607
23.8,-0.3912,0.4251,0.4955,0.4418,0.3963,0.4191,0.4994,0.3955,0.4474,0.5667,0.607,0.5868
23.9,-0.3876,0.4171,0.4858,0.4266,0.3793,0.403,0.4735,0.3794,0.4264,0.5377,0.5941,0.5659
24,-0.3804,0.4093,0.4762,0.4151,0.364,0.3896,0.4535,0.3662,0.4098,0.509,0.5801,0.5445
24.1,-0.3692,0.4017,0.4669,0.4075,0.3506,0.379,0.4398,0.356,0.3979,0.4806,0.5653,0.5229
24.2,-0.3542,0.3949,0.458,0.4036,0.3395,0.3715,0.4323,0.3492,0.3908,0.4531,0.5503,0.5017
24.3,-0.336,0.3895,0.4497,0.4032,0.331,0.3671,0.4306,0.3459,0.3883,0.4271,0.5357,0.4814
24.4,-0.3154,0.3861,0.4422,0.4058,0.3254,0.3656,0.4339,0.3459,0.3899,0.4029,0.5215,0.4622
24.5,-0.2928,0.3849,0.4357,0.4111,0.3226,0.3669,0.4414,0.3485,0.3949,0.3802,0.5073,0.4438
24.6,-0.2683,0.3861,0.4305,0.4188,0.3224,0.3706,0.4518,0.353,0.4024,0.3582,0.4925,0.4253
24.7,-0.2423,0.3899,0.4261,0.429,0.3249,0.377,0.4637,0.3586,0.4112,0.336,0.4765,0.4062
24.8,-0.2164,0.3969,0.4223,0.4424,0.3306,0.3865,0.4758,0.365,0.4204,0.3129,0.4595,0.3862
24.9,-0.1926,0.4081,0.4186,0.4598,0.3403,0.4001,0.4876,0.3719,0.4298,0.2892,0.4421,0.3657
25,-0.1736,0.4243,0.4153,0.4813,0.3551,0.4182,0.4994,0.3793,0.4393,0.2656,0.4249,0.3452
25.1,-0.1616,0.4463,0.4126,0.5061,0.3761,0.4411,0.5112,0.3871,0.4492,0.2427,0.4081,0.3254
25.2,-0.1572,0.4738,0.4109,0.5335,0.4036,0.4686,0.523,0.3953,0.4592,0.2215,0.3923,0.3069
25.3,-0.1598,0.5064,0.4104,0.5629,0.4372,0.5001,0.5344,0.4039,0.4691,0.2024,0.3779,0.2901
25.4,-0.1688,0.543,0.411,0.5944,0.4757,0.535,0.5451,0.4127,0.4789,0.186,0.3657,0.2759
25.5,-0.1835,0.5827,0.4127,0.6275,0.5177,0.5726,0.5552,0.4221,0.4887,0.1731,0.3565,0.2648
25.6,-0.2033,0.624,0.4157,0.6611,0.5625,0.6118,0.5652,0.4322,0.4987,0.1642,0.3508,0.2575
25.7,-0.2266,0.6651,0.4206,0.6926,0.6089,0.6507,0.5755,0.4435,0.5095,0.1603,0.3489,0.2546
25.8,-0.251,0.7041,0.4283,0.7196,0.6555,0.6876,0.5858,0.4563,0.5211,0.162,0.3511,0.2566
25.9,-0.2731,0.7396,0.4395,0.7414,0.7005,0.7209,0.5961,0.4707,0.5334,0.17,0.3576,0.2638
26,-0.2902,0.771,0.4545,0.7589,0.7419,0.7504,0.6062,0.4866,0.5464,0.1844,0.3682,0.2763
26.1,-0.2999,0.7984,0.4732,0.7739,0.7784,0.7762,0.6161,0.5036,0.5599,0.2043,0.3825,0.2934
26.2,-0.3008,0.8216,0.4948,0.7879,0.8089,0.7984,0.6258,0.521,0.5734,0.2283,0.3995,0.3139
26.3,-0.292,0.8404,0.5179,0.8013,0.8327,0.817,0.6351,0.5374,0.5863,0.2543,0.4177,0.336
26.4,-0.2735,0.8544,0.5406,0.8141,0.8495,0.8318,0.6433,0.5518,0.5975,0.2807,0.4356,0.3582
26.5,-0.2461,0.8635,0.5616,0.826,0.8591,0.8426,0.6498,0.5629,0.6063,0.3061,0.4519,0.379
26.6,-0.211,0.8679,0.5802,0.8363,0.862,0.8491,0.6542,0.5703,0.6122,0.3294,0.466,0.3977
26.7,-0.1694,0.8678,0.5961,0.8441,0.8583,0.8512,0.6566,0.5735,0.6151,0.3496,0.4776,0.4136
26.8,-0.122,0.8634,0.6087,0.8489,0.8486,0.8488,0.6572,0.5724,0.6148,0.3663,0.4865,0.4264
26.9,-0.0701,0.8554,0.6168,0.8514,0.8339,0.8426,0.6565,0.5669,0.6117,0.3794,0.4925,0.436
27,-0.0156,0.8445,0.6197,0.8521,0.8153,0.8337,0.6548,0.5573,0.606,0.3895,0.4957,0.4426
27.1,0.0389,0.8313,0.6171,0.8514,0.7941,0.8227,0.6523,0.5438,0.5981,0.3972,0.4961,0.4466
27.2,0.0907,0.8163,0.6094,0.8492,0.7712,0.8102,0.6492,0.5274,0.5883,0.403,0.494,0.4485
27.3,0.1376,0.8002,0.5975,0.8458,0.7475,0.7966,0.6458,0.5087,0.5772,0.4075,0.4901,0.4488
27.4,0.1779,0.7841,0.5815,0.8413,0.724,0.7827,0.6421,0.4884,0.5653,0.411,0.4844,0.4477
27.5,0.2103,0.7689,0.5615,0.8361,0.7022,0.7691,0.6384,0.4674,0.5529,0.4137,0.4768,0.4453
27.6,0.2336,0.7552,0.5378,0.83,0.6829,0.7565,0.6341,0.4462,0.5402,0.4154,0.4665,0.441
27.7,0.2471,0.7426,0.5112,0.8223,0.6664,0.7443,0.6285,0.4254,0.5269,0.4152,0.4528,0.434
27.8,0.2515,0.7307,0.483,0.8119,0.6517,0.7318,0.6208,0.405,0.5129,0.4118,0.4353,0.4235
27.9,0.2485,0.7189,0.4543,0.7989,0.6386,0.7187,0.611,0.3855,0.4983,0.4038,0.414,0.4089
28,0.2392,0.7076,0.4254,0.7836,0.6271,0.7054,0.5995,0.3668,0.4832,0.3911,0.3896,0.3903
28.1,0.2237,0.697,0.3964,0.7665,0.6181,0.6923,0.5869,0.3493,0.4681,0.3742,0.3626,0.3684
28.2,0.2006,0.6876,0.3675,0.7472,0.6116,0.6794,0.5736,0.3329,0.4532,0.3542,0.3337,0.344
28.3,0.1697,0.6789,0.3396,0.7251,0.6073,0.6662,0.5602,0.3178,0.439,0.3326,0.3033,0.318
28.4,0.133,0.6701,0.314,0.6999,0.6043,0.6521,0.5475,0.3041,0.4258,0.3104,0.2719,0.2912
28.5,0.0941,0.66,0.2915,0.6716,0.6013,0.6364,0.5362,0.2918,0.414,0.2888,0.2408,0.2648
28.6,0.0562,0.6476,0.2724,0.6407,0.5974,0.6191,0.5271,0.2806,0.4039,0.2689,0.2116,0.2402
28.7,0.0209,0.6325,0.2569,0.6075,0.5923,0.5999,0.5202,0.2702,0.3952,0.2518,0.1856,0.2187
28.8,-0.0116,0.6151,0.245,0.5722,0.5859,0.579,0.5155,0.2603,0.3879,0.2381,0.1633,0.2007
28.9,-0.041,0.5966,0.237,0.5354,0.5788,0.5571,0.5129,0.251,0.382,0.2275,0.1445,0.186
29,-0.0666,0.5783,0.2331,0.4985,0.572,0.5352,0.5128,0.2425,0.3776,0.2193,0.1294,0.1743
29.1,-0.0877,0.5614,0.2335,0.4626,0.5663,0.5145,0.5154,0.2349,0.3751,0.2132,0.1184,0.1658
29.2,-0.104,0.5466,0.2382,0.4289,0.5626,0.4957,0.5209,0.2285,0.3747,0.2092,0.112,0.1606
29.3,-0.1159,0.5343,0.2468,0.3983,0.5615,0.4799,0.5296,0.2237,0.3767,0.2072,0.1103,0.1587
29.4,-0.1235,0.5246,0.2585,0.3715,0.5639,0.4677,0.542,0.2212,0.3816,0.2067,0.1129,0.1598
29.5,-0.1271,0.5178,0.2718,0.3491,0.57,0.4595,0.5587,0.2209,0.3898,0.2069,0.1192,0.163
29.6,-0.1261,0.514,0.2855,0.3312,0.5795,0.4554,0.5796,0.2226,0.4011,0.2073,0.129,0.1681
29.7,-0.1202,0.513,0.2988,0.3178,0.5919,0.4549,0.6047,0.2264,0.4156,0.2081,0.1419,0.175
29.8,-0.1098,0.5148,0.3117,0.3089,0.6064,0.4577,0.6336,0.2328,0.4332,0.2098,0.1578,0.1838
29.9,-0.0963,0.5194,0.3248,0.3041,0.6225,0.4633,0.6658,0.2429,0.4543,0.2128,0.1771,0.195
