Time,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC
20.9,0.2206,0.5769,0.36,0.4455,0.5479,0.4967,0.1096,0.2398,0.1747,0.0768,0.086,0.0814
21,0.2126,0.5575,0.3287,0.423,0.5312,0.4771,0.0803,0.2086,0.1444,0.0767,0.0722,0.0744
21.1,0.2018,0.5357,0.2988,0.4008,0.5131,0.4569,0.0526,0.1786,0.1156,0.0797,0.0623,0.071
21.2,0.1889,0.5123,0.2713,0.3793,0.4943,0.4368,0.0277,0.1512,0.0894,0.0857,0.0564,0.071
21.3,0.1742,0.4885,0.2466,0.3593,0.4765,0.4179,0.007,0.1273,0.0672,0.0942,0.0544,0.0743
21.4,0.1577,0.4653,0.2259,0.3414,0.4608,0.4011,-0.0085,0.1083,0.0499,0.1054,0.0564,0.0809
21.5,0.1406,0.4436,0.2101,0.3265,0.4478,0.3872,-0.0181,0.0948,0.0384,0.1193,0.0627,0.091
21.6,0.125,0.4242,0.2003,0.3154,0.4374,0.3764,-0.0216,0.0874,0.0329,0.136,0.0737,0.1048
21.7,0.1125,0.4074,0.1968,0.3089,0.4294,0.3691,-0.0188,0.0858,0.0335,0.1551,0.0891,0.1221
21.8,0.1033,0.3935,0.1989,0.3069,0.4241,0.3655,-0.0097,0.0896,0.0399,0.176,0.1086,0.1423
21.9,0.0961,0.3825,0.2057,0.3096,0.422,0.3658,0.0058,0.0979,0.0519,0.1979,0.1313,0.1646
22,0.0891,0.3741,0.2163,0.3165,0.4234,0.3699,0.0281,0.1102,0.0691,0.2201,0.1564,0.1882
22.1,0.0817,0.3681,0.2302,0.3272,0.4277,0.3774,0.0572,0.1258,0.0915,0.2418,0.183,0.2124
22.2,0.0743,0.3642,0.2469,0.3409,0.4341,0.3875,0.0927,0.1441,0.1184,0.2625,0.2101,0.2363
22.3,0.0672,0.3624,0.2657,0.3567,0.442,0.3993,0.1337,0.1642,0.149,0.2814,0.237,0.2592
22.4,0.0604,0.3628,0.2859,0.3737,0.4512,0.4125,0.1791,0.1857,0.1824,0.2985,0.263,0.2807
22.5,0.054,0.3653,0.3072,0.3913,0.4617,0.4265,0.2277,0.208,0.2179,0.3135,0.2874,0.3004
22.6,0.0488,0.3697,0.3296,0.4093,0.4728,0.441,0.278,0.2312,0.2546,0.3264,0.3099,0.3182
22.7,0.0464,0.3758,0.353,0.4274,0.4839,0.4556,0.3281,0.255,0.2915,0.3373,0.3303,0.3338
22.8,0.0481,0.383,0.3771,0.4453,0.4944,0.4699,0.376,0.279,0.3275,0.3454,0.3481,0.3468
22.9,0.0545,0.3907,0.4016,0.4627,0.5039,0.4833,0.42,0.3029,0.3614,0.35,0.3624,0.3562
23,0.0649,0.3984,0.4262,0.479,0.5125,0.4957,0.4589,0.3263,0.3926,0.3505,0.3725,0.3615
23.1,0.0783,0.4056,0.4504,0.4936,0.5201,0.5069,0.4918,0.349,0.4204,0.3469,0.3782,0.3626
23.2,0.0935,0.412,0.4732,0.5061,0.5267,0.5164,0.5185,0.3704,0.4445,0.3399,0.3792,0.3596
23.3,0.1098,0.4175,0.494,0.5167,0.532,0.5243,0.539,0.39,0.4645,0.3302,0.3763,0.3533
23.4,0.1276,0.422,0.5122,0.5253,0.5359,0.5306,0.5533,0.4074,0.4804,0.3188,0.3699,0.3443
23.5,0.1474,0.4252,0.5269,0.5321,0.538,0.535,0.5622,0.422,0.4921,0.3062,0.3606,0.3334
23.6,0.1697,0.4268,0.5381,0.5368,0.5382,0.5375,0.5664,0.4336,0.5,0.2931,0.3488,0.3209
23.7,0.1947,0.427,0.5455,0.5395,0.5364,0.5379,0.5671,0.4428,0.505,0.2804,0.3352,0.3078
23.8,0.2217,0.4264,0.5494,0.5405,0.533,0.5368,0.5659,0.4506,0.5083,0.2692,0.3214,0.2953
23.9,0.2496,0.4258,0.5505,0.5402,0.5289,0.5345,0.5643,0.4583,0.5113,0.2602,0.3091,0.2846
24,0.2779,0.4256,0.5493,0.5393,0.5247,0.532,0.5635,0.4672,0.5154,0.2544,0.3,0.2772
24.1,0.3061,0.4261,0.547,0.5382,0.5214,0.5298,0.5646,0.4779,0.5213,0.2527,0.2954,0.2741
24.2,0.3337,0.4273,0.5445,0.5369,0.519,0.528,0.5681,0.4908,0.5294,0.2559,0.2966,0.2763
24.3,0.3604,0.4293,0.5428,0.5356,0.5174,0.5265,0.5743,0.5059,0.5401,0.2648,0.3039,0.2844
24.4,0.3864,0.4322,0.5422,0.5348,0.5163,0.5255,0.5836,0.5235,0.5536,0.2795,0.3176,0.2985
24.5,0.4116,0.4364,0.5425,0.5354,0.5157,0.5255,0.5961,0.5441,0.5701,0.2997,0.3373,0.3185
24.6,0.4365,0.4421,0.5439,0.5383,0.5153,0.5268,0.6118,0.568,0.5899,0.3249,0.3627,0.3438
24.7,0.4609,0.4492,0.5465,0.5438,0.5148,0.5293,0.6306,0.5951,0.6128,0.3547,0.3932,0.374
24.8,0.4842,0.4575,0.5504,0.5514,0.514,0.5327,0.652,0.6252,0.6386,0.3884,0.4281,0.4083
24.9,0.5054,0.4672,0.5558,0.5608,0.513,0.5369,0.6758,0.6576,0.6667,0.4254,0.4662,0.4458
25,0.523,0.4789,0.5624,0.5722,0.5126,0.5424,0.7019,0.6914,0.6967,0.4646,0.5063,0.4854
25.1,0.5351,0.4934,0.5698,0.5863,0.5141,0.5502,0.7302,0.726,0.7281,0.5053,0.5468,0.5261
25.2,0.5398,0.5115,0.5783,0.6032,0.5192,0.5612,0.7603,0.7606,0.7604,0.5467,0.5866,0.5666
25.3,0.5351,0.5334,0.5882,0.6224,0.529,0.5757,0.7911,0.7943,0.7927,0.5874,0.6245,0.606
25.4,0.5203,0.5585,0.5996,0.6431,0.5439,0.5935,0.8211,0.8261,0.8236,0.6259,0.6593,0.6426
25.5,0.4966,0.5867,0.6124,0.6648,0.564,0.6144,0.8491,0.8544,0.8517,0.6604,0.6898,0.6751
25.6,0.4661,0.6174,0.626,0.6879,0.5891,0.6385,0.8739,0.8787,0.8763,0.6903,0.7153,0.7028
25.7,0.4309,0.6501,0.6405,0.7124,0.6188,0.6656,0.8956,0.899,0.8973,0.7157,0.7357,0.7257
25.8,0.393,0.6837,0.656,0.7376,0.6526,0.6951,0.9144,0.9159,0.9151,0.7367,0.7508,0.7437
25.9,0.3536,0.717,0.6724,0.7623,0.6897,0.726,0.9302,0.9296,0.9299,0.7531,0.7605,0.7568
26,0.3134,0.749,0.6891,0.7853,0.7292,0.7573,0.9426,0.9401,0.9413,0.7643,0.7648,0.7645
26.1,0.2723,0.7794,0.7052,0.806,0.7708,0.7884,0.9511,0.9469,0.949,0.77,0.7635,0.7668
26.2,0.2303,0.8079,0.7198,0.8237,0.8135,0.8186,0.9555,0.95,0.9527,0.7702,0.7567,0.7635
26.3,0.1873,0.8343,0.7323,0.8378,0.8563,0.847,0.9556,0.9494,0.9525,0.7653,0.7448,0.755
26.4,0.1437,0.8576,0.7428,0.8473,0.8977,0.8725,0.9518,0.9452,0.9485,0.7558,0.7286,0.7422
26.5,0.1004,0.8775,0.7513,0.8519,0.9366,0.8942,0.9444,0.9374,0.9409,0.7427,0.7092,0.7259
26.6,0.0577,0.8941,0.7582,0.8517,0.9717,0.9117,0.9341,0.9264,0.9303,0.7267,0.6882,0.7074
26.7,0.0162,0.9078,0.7635,0.8481,1.0024,0.9252,0.9217,0.913,0.9173,0.7088,0.6671,0.688
26.8,-0.0241,0.9193,0.7673,0.8418,1.0278,0.9348,0.9077,0.8981,0.9029,0.6896,0.6469,0.6683
26.9,-0.0634,0.929,0.7694,0.833,1.0473,0.9402,0.8926,0.8825,0.8876,0.6694,0.6277,0.6485
27,-0.1023,0.937,0.7696,0.8218,1.0606,0.9412,0.8766,0.8666,0.8716,0.6481,0.6096,0.6288
27.1,-0.1406,0.9433,0.7674,0.8092,1.0674,0.9383,0.8594,0.8503,0.8549,0.6264,0.5931,0.6097
27.2,-0.1767,0.9477,0.7631,0.7964,1.0679,0.9321,0.8412,0.8341,0.8376,0.6055,0.579,0.5923
27.3,-0.2085,0.9503,0.7574,0.7848,1.062,0.9234,0.8226,0.8184,0.8205,0.5866,0.5687,0.5776
27.4,-0.2341,0.9513,0.7517,0.7751,1.0503,0.9127,0.8046,0.8037,0.8042,0.5707,0.5626,0.5666
27.5,-0.2521,0.9511,0.7467,0.7676,1.0333,0.9005,0.7876,0.7901,0.7888,0.5579,0.5608,0.5594
27.6,-0.2616,0.9499,0.7425,0.7622,1.0114,0.8868,0.7713,0.7769,0.7741,0.5479,0.5626,0.5553
27.7,-0.2614,0.9472,0.7379,0.7588,0.985,0.8719,0.7551,0.7633,0.7592,0.5399,0.5668,0.5533
27.8,-0.2511,0.9427,0.7322,0.757,0.9541,0.8555,0.7385,0.7481,0.7433,0.5334,0.5719,0.5526
27.9,-0.232,0.9364,0.7246,0.7563,0.9195,0.8379,0.7213,0.7307,0.726,0.5281,0.5773,0.5527
28,-0.2073,0.9291,0.7155,0.7563,0.8825,0.8194,0.7034,0.7108,0.7071,0.5243,0.5827,0.5535
28.1,-0.1807,0.9212,0.7054,0.7565,0.845,0.8007,0.6852,0.6885,0.6869,0.5219,0.588,0.5549
28.2,-0.1547,0.9131,0.6948,0.7569,0.8085,0.7827,0.6669,0.6639,0.6654,0.5213,0.5935,0.5574
28.3,-0.1308,0.9044,0.6836,0.7576,0.7738,0.7657,0.6487,0.6375,0.6431,0.5229,0.5995,0.5612
28.4,-0.1107,0.8948,0.6718,0.7586,0.7412,0.7499,0.6308,0.6096,0.6202,0.5268,0.606,0.5664
28.5,-0.0959,0.8841,0.6598,0.7599,0.7114,0.7356,0.6132,0.5812,0.5972,0.5327,0.6133,0.573
28.6,-0.0876,0.8725,0.6481,0.7612,0.685,0.7231,0.5952,0.5535,0.5743,0.5404,0.6212,0.5808
28.7,-0.0853,0.86,0.6368,0.7619,0.6627,0.7123,0.5758,0.527,0.5514,0.5491,0.6297,0.5894
28.8,-0.0877,0.8462,0.6256,0.761,0.6444,0.7027,0.5541,0.5022,0.5282,0.5583,0.6382,0.5982
28.9,-0.0927,0.8305,0.6143,0.7579,0.6296,0.6937,0.5301,0.4796,0.5048,0.5681,0.6465,0.6073
29,-0.0988,0.8128,0.6035,0.7517,0.618,0.6849,0.5045,0.4598,0.4822,0.5791,0.6546,0.6168
29.1,-0.1053,0.7933,0.5946,0.742,0.6097,0.6759,0.4785,0.4438,0.4612,0.5914,0.6619,0.6266
29.2,-0.1121,0.7726,0.588,0.7285,0.6051,0.6668,0.4534,0.4325,0.4429,0.6041,0.6677,0.6359
29.3,-0.1183,0.7515,0.5836,0.7116,0.6047,0.6582,0.4299,0.4261,0.428,0.6165,0.6712,0.6438
29.4,-0.123,0.7306,0.5806,0.6922,0.608,0.6501,0.4088,0.4241,0.4164,0.6275,0.6714,0.6494
29.5,-0.1255,0.7106,0.5782,0.671,0.6141,0.6425,0.3906,0.4253,0.408,0.6363,0.6677,0.652
29.6,-0.1256,0.6916,0.5764,0.6481,0.6217,0.6349,0.3756,0.4289,0.4023,0.6425,0.6598,0.6512
29.7,-0.1238,0.6736,0.5754,0.6234,0.6302,0.6268,0.3638,0.4342,0.399,0.6459,0.649,0.6474
29.8,-0.1201,0.6567,0.5758,0.5967,0.6391,0.6179,0.3553,0.441,0.3982,0.647,0.6369,0.642
29.9,-0.1145,0.6408,0.5774,0.568,0.6476,0.6078,0.3504,0.4491,0.3997,0.6467,0.6253,0.636
30,-0.1073,0.6262,0.579,0.5381,0.6547,0.5964,0.3494,0.4579,0.4036,0.646,0.6147,0.6303
30.1,-0.099,0.6132,0.5794,0.5072,0.6594,0.5833,0.3517,0.4669,0.4093,0.6452,0.6053,0.6253
30.2,-0.0905,0.6018,0.5782,0.4758,0.6611,0.5685,0.3565,0.4754,0.416,0.6446,0.5969,0.6207
30.3,-0.0818,0.5915,0.5759,0.4441,0.6593,0.5517,0.3625,0.4828,0.4227,0.6444,0.589,0.6167
30.4,-0.0727,0.5819,0.5726,0.4122,0.653,0.5326,0.3687,0.4881,0.4284,0.6448,0.5818,0.6133
30.5,-0.0627,0.5723,0.5684,0.3806,0.6415,0.511,0.3742,0.4908,0.4325,0.6459,0.575,0.6104
30.6,-0.0519,0.5622,0.563,0.3489,0.6247,0.4868,0.3786,0.4904,0.4345,0.6471,0.5682,0.6076
30.7,-0.0411,0.5514,0.5555,0.3168,0.6035,0.4602,0.3815,0.4868,0.4342,0.6471,0.5606,0.6038
30.8,-0.0321,0.5394,0.5453,0.2844,0.5793,0.4318,0.3823,0.4791,0.4307,0.6441,0.5513,0.5977
30.9,-0.0269,0.5255,0.5315,0.2515,0.5533,0.4024,0.3794,0.4665,0.423,0.637,0.5392,0.5881
31,-0.0271,0.509,0.5135,0.2182,0.5265,0.3723,0.3719,0.4483,0.4101,0.6251,0.5234,0.5743
31.1,-0.0337,0.4895,0.4911,0.1844,0.4994,0.3419,0.3596,0.4243,0.3919,0.6088,0.5031,0.556
31.2,-0.0472,0.467,0.4648,0.1501,0.4728,0.3115,0.3433,0.396,0.3696,0.589,0.4783,0.5336
31.3,-0.0672,0.4418,0.436,0.1156,0.4476,0.2816,0.3246,0.3655,0.3451,0.5669,0.4502,0.5086
31.4,-0.0915,0.4144,0.4066,0.0819,0.425,0.2535,0.3048,0.3358,0.3203,0.5438,0.4208,0.4823
31.5,-0.117,0.3854,0.3778,0.0499,0.4057,0.2278,0.2848,0.309,0.2969,0.5202,0.3913,0.4557
31.6,-0.1409,0.3556,0.3504,0.0199,0.3897,0.2048,0.2651,0.2865,0.2758,0.4963,0.3627,0.4295
31.7,-0.1615,0.3256,0.324,-0.0077,0.377,0.1847,0.2462,0.2685,0.2574,0.4728,0.3352,0.404
31.8,-0.1781,0.2958,0.2987,-0.0327,0.3678,0.1676,0.2285,0.2553,0.2419,0.4504,0.3095,0.3799
31.9,-0.1899,0.2667,0.276,-0.0543,0.3626,0.1542,0.2121,0.2474,0.2298,0.4295,0.2865,0.358
32,-0.195,0.2391,0.2569,-0.0713,0.3619,0.1453,0.1969,0.2444,0.2206,0.4105,0.2668,0.3386
32.1,-0.1915,0.2144,0.2421,-0.0825,0.3656,0.1415,0.183,0.2446,0.2138,0.3931,0.2507,0.3219
