Time,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC
21.3,-0.344,0.6413,0.5867,0.4065,0.5256,0.4661,0.7242,0.5341,0.6291,0.597,0.6274,0.6122
21.4,-0.325,0.6459,0.5702,0.4353,0.5082,0.4718,0.7323,0.5255,0.6289,0.5763,0.6269,0.6016
21.5,-0.3028,0.6491,0.5538,0.4659,0.4908,0.4783,0.7439,0.5208,0.6324,0.5555,0.6298,0.5926
21.6,-0.2777,0.6504,0.5385,0.4969,0.4745,0.4857,0.7581,0.5203,0.6392,0.5352,0.6371,0.5861
21.7,-0.2497,0.65,0.5247,0.5271,0.4601,0.4936,0.774,0.524,0.649,0.5162,0.6497,0.5829
21.8,-0.2187,0.6481,0.5134,0.5556,0.4479,0.5018,0.791,0.5316,0.6613,0.4997,0.6679,0.5838
21.9,-0.1851,0.6445,0.5055,0.5819,0.4379,0.5099,0.8091,0.5429,0.676,0.4866,0.6916,0.5891
22,-0.1497,0.6392,0.5023,0.6051,0.43,0.5176,0.8284,0.5575,0.6929,0.4776,0.7199,0.5988
22.1,-0.1138,0.6321,0.5048,0.6246,0.4245,0.5246,0.8489,0.5749,0.7119,0.4736,0.752,0.6128
22.2,-0.0787,0.6232,0.5139,0.6403,0.422,0.5311,0.8701,0.5942,0.7321,0.4753,0.7865,0.6309
22.3,-0.0453,0.6128,0.5295,0.6525,0.4226,0.5376,0.8915,0.6144,0.753,0.4836,0.8224,0.653
22.4,-0.0136,0.6019,0.5507,0.662,0.4262,0.5441,0.9129,0.6348,0.7739,0.499,0.858,0.6785
22.5,0.0167,0.5909,0.5763,0.6687,0.4318,0.5503,0.9342,0.6549,0.7946,0.5214,0.8921,0.7067
22.6,0.0461,0.58,0.6051,0.6725,0.4384,0.5555,0.9549,0.6744,0.8146,0.5503,0.9235,0.7369
22.7,0.0743,0.569,0.6357,0.6733,0.4454,0.5594,0.9742,0.6927,0.8334,0.5848,0.9512,0.768
22.8,0.1009,0.5576,0.667,0.6717,0.4525,0.5621,0.991,0.7088,0.8499,0.6228,0.9742,0.7985
22.9,0.1252,0.546,0.6977,0.6686,0.4597,0.5641,1.0041,0.7217,0.8629,0.662,0.9918,0.8269
23,0.1474,0.5349,0.7271,0.6653,0.4668,0.5661,1.013,0.7312,0.8721,0.7,1.0033,0.8517
23.1,0.1678,0.5248,0.7551,0.663,0.4741,0.5685,1.0178,0.7379,0.8779,0.735,1.0085,0.8718
23.2,0.1867,0.516,0.7812,0.6629,0.4819,0.5724,1.0192,0.7425,0.8808,0.7659,1.0077,0.8868
23.3,0.2036,0.5088,0.8053,0.6655,0.4903,0.5779,1.0174,0.7454,0.8814,0.7919,1.0012,0.8966
23.4,0.2171,0.503,0.8265,0.6696,0.4989,0.5843,1.0124,0.7466,0.8795,0.8127,0.9894,0.901
23.5,0.226,0.4987,0.8443,0.6736,0.5067,0.5902,1.0037,0.746,0.8749,0.8284,0.9723,0.9003
23.6,0.2291,0.4955,0.8586,0.6758,0.5132,0.5945,0.9916,0.7442,0.8679,0.8397,0.9505,0.8951
23.7,0.2258,0.4931,0.8698,0.6756,0.5185,0.5971,0.9767,0.742,0.8593,0.8479,0.9252,0.8866
23.8,0.2155,0.4913,0.8786,0.6731,0.5238,0.5984,0.9597,0.7405,0.8501,0.8542,0.8984,0.8763
23.9,0.1974,0.4896,0.8851,0.6686,0.5297,0.5991,0.9414,0.7401,0.8408,0.8593,0.8715,0.8654
24,0.1718,0.4878,0.8891,0.6623,0.5366,0.5994,0.922,0.7411,0.8315,0.863,0.8452,0.8541
24.1,0.1397,0.4861,0.8902,0.6548,0.5442,0.5995,0.9021,0.7436,0.8229,0.8653,0.82,0.8426
24.2,0.103,0.4851,0.8883,0.647,0.552,0.5995,0.8829,0.7476,0.8153,0.8659,0.7964,0.8312
24.3,0.0636,0.4851,0.8831,0.6395,0.5597,0.5996,0.8654,0.7526,0.809,0.8652,0.7757,0.8205
24.4,0.0227,0.4863,0.8746,0.6327,0.5669,0.5998,0.85,0.7582,0.8041,0.8639,0.7588,0.8114
24.5,-0.0182,0.4884,0.8627,0.6267,0.5734,0.6001,0.837,0.7641,0.8005,0.8627,0.7462,0.8045
24.6,-0.0574,0.491,0.8476,0.6216,0.5795,0.6006,0.8261,0.77,0.798,0.8616,0.7379,0.7997
24.7,-0.0934,0.4934,0.8294,0.6179,0.5857,0.6018,0.8172,0.7761,0.7966,0.8604,0.7334,0.7969
24.8,-0.1265,0.4951,0.8086,0.616,0.5927,0.6043,0.8105,0.7825,0.7965,0.8588,0.7325,0.7957
24.9,-0.1576,0.4964,0.7851,0.6163,0.6006,0.6085,0.8061,0.789,0.7976,0.857,0.7352,0.7961
25,-0.1861,0.4972,0.7591,0.6186,0.6089,0.6138,0.8036,0.7949,0.7992,0.8552,0.741,0.7981
25.1,-0.2107,0.4973,0.7305,0.6223,0.6164,0.6193,0.8024,0.7992,0.8008,0.853,0.749,0.801
25.2,-0.2297,0.4965,0.6993,0.6274,0.6224,0.6249,0.8021,0.8008,0.8015,0.8499,0.758,0.804
25.3,-0.2421,0.4951,0.6661,0.6343,0.6272,0.6308,0.8029,0.7993,0.8011,0.8455,0.7672,0.8064
25.4,-0.2487,0.4939,0.6316,0.6434,0.6314,0.6374,0.8046,0.7941,0.7993,0.84,0.7761,0.8081
25.5,-0.2518,0.4931,0.5965,0.6537,0.6347,0.6442,0.8069,0.7846,0.7958,0.8337,0.7839,0.8088
25.6,-0.2534,0.4927,0.561,0.6643,0.6363,0.6503,0.8091,0.7705,0.7898,0.8263,0.7895,0.8079
25.7,-0.2543,0.4921,0.5255,0.6738,0.6352,0.6545,0.8104,0.7518,0.7811,0.8169,0.7918,0.8043
25.8,-0.2542,0.4911,0.4904,0.6809,0.6304,0.6556,0.8102,0.7286,0.7694,0.8043,0.7895,0.7969
25.9,-0.2543,0.4894,0.4562,0.6845,0.6216,0.6531,0.8074,0.7007,0.7541,0.7877,0.7818,0.7848
26,-0.2565,0.4867,0.4239,0.6836,0.6086,0.6461,0.801,0.6683,0.7347,0.7665,0.7681,0.7673
26.1,-0.2632,0.4831,0.3947,0.6777,0.5912,0.6345,0.7906,0.6325,0.7116,0.7405,0.7485,0.7445
26.2,-0.2744,0.4787,0.3701,0.6672,0.5698,0.6185,0.7771,0.5955,0.6863,0.7101,0.7237,0.7169
26.3,-0.2888,0.4738,0.3513,0.653,0.5443,0.5986,0.7621,0.5597,0.6609,0.676,0.6952,0.6856
26.4,-0.3041,0.4688,0.3385,0.6358,0.5152,0.5755,0.7474,0.5268,0.6371,0.639,0.6642,0.6516
26.5,-0.3183,0.4637,0.331,0.6156,0.4829,0.5492,0.7342,0.4972,0.6157,0.6002,0.632,0.6161
26.6,-0.3304,0.4583,0.3279,0.5923,0.4482,0.5203,0.7229,0.4707,0.5968,0.5609,0.5998,0.5804
26.7,-0.3409,0.4528,0.3289,0.5669,0.4127,0.4898,0.7142,0.4476,0.5809,0.5225,0.5689,0.5457
26.8,-0.3496,0.4471,0.3343,0.5403,0.3783,0.4593,0.709,0.4289,0.5689,0.4869,0.5408,0.5139
26.9,-0.3559,0.4414,0.3443,0.5145,0.3474,0.431,0.7087,0.4156,0.5622,0.456,0.5169,0.4865
27,-0.3585,0.4358,0.3586,0.4916,0.3212,0.4064,0.7144,0.4081,0.5612,0.4309,0.4984,0.4647
27.1,-0.3562,0.4302,0.3767,0.4735,0.2999,0.3867,0.7265,0.4058,0.5662,0.4119,0.4854,0.4487
27.2,-0.347,0.425,0.3983,0.4623,0.2832,0.3727,0.7453,0.4081,0.5767,0.3982,0.4775,0.4379
27.3,-0.3294,0.421,0.4237,0.4593,0.2706,0.365,0.7702,0.4145,0.5923,0.3884,0.4742,0.4313
27.4,-0.3019,0.4187,0.4527,0.4654,0.2619,0.3637,0.7999,0.4245,0.6122,0.3817,0.475,0.4283
27.5,-0.2629,0.4193,0.4844,0.4808,0.2567,0.3688,0.8317,0.4366,0.6342,0.3774,0.4794,0.4284
27.6,-0.2123,0.4233,0.5178,0.5052,0.2545,0.3798,0.8619,0.4494,0.6556,0.3745,0.4863,0.4304
27.7,-0.1515,0.4311,0.5519,0.5376,0.255,0.3963,0.8869,0.4618,0.6743,0.372,0.4943,0.4332
27.8,-0.0829,0.4431,0.5862,0.577,0.2588,0.4179,0.9047,0.4736,0.6891,0.3695,0.5019,0.4357
27.9,-0.0083,0.4594,0.6197,0.6218,0.2667,0.4443,0.9141,0.4846,0.6993,0.3671,0.5081,0.4376
28,0.0707,0.4796,0.6504,0.6697,0.2793,0.4745,0.9144,0.4938,0.7041,0.3653,0.5117,0.4385
28.1,0.1509,0.5028,0.6764,0.7177,0.2963,0.507,0.9057,0.5008,0.7032,0.3642,0.5117,0.438
28.2,0.2288,0.5283,0.6971,0.7627,0.3174,0.54,0.889,0.5055,0.6972,0.3635,0.5068,0.4351
28.3,0.302,0.5562,0.7125,0.8025,0.3428,0.5727,0.8657,0.5084,0.6871,0.3626,0.4962,0.4294
28.4,0.3695,0.5873,0.7232,0.8365,0.3738,0.6051,0.8364,0.5102,0.6733,0.3616,0.4793,0.4205
28.5,0.4295,0.6217,0.7293,0.8651,0.4119,0.6385,0.8025,0.5112,0.6569,0.3608,0.4563,0.4085
28.6,0.4792,0.6591,0.7308,0.8892,0.4571,0.6732,0.7656,0.5116,0.6386,0.3605,0.4282,0.3943
28.7,0.5157,0.6987,0.7287,0.9083,0.5072,0.7077,0.7274,0.5116,0.6195,0.3611,0.3964,0.3787
28.8,0.5371,0.7397,0.7244,0.9208,0.5589,0.7399,0.6891,0.5118,0.6004,0.3626,0.3632,0.3629
28.9,0.5431,0.7805,0.7189,0.9253,0.609,0.7672,0.6509,0.5126,0.5818,0.3649,0.3311,0.348
29,0.5352,0.8201,0.7131,0.9218,0.6548,0.7883,0.6131,0.5147,0.5639,0.3676,0.3023,0.335
29.1,0.5148,0.8577,0.7081,0.9116,0.6947,0.8031,0.577,0.5183,0.5477,0.372,0.2789,0.3255
29.2,0.483,0.8929,0.7044,0.8967,0.7279,0.8123,0.5447,0.5238,0.5342,0.3795,0.2626,0.321
29.3,0.4414,0.9256,0.7025,0.8798,0.7539,0.8169,0.518,0.5306,0.5243,0.3922,0.2548,0.3235
29.4,0.392,0.9552,0.7027,0.8626,0.7732,0.8179,0.4982,0.5382,0.5182,0.4121,0.2568,0.3344
29.5,0.3384,0.9811,0.7048,0.8463,0.7863,0.8163,0.4856,0.5459,0.5158,0.4394,0.2694,0.3544
29.6,0.2834,1.0024,0.708,0.8314,0.7943,0.8129,0.4796,0.553,0.5163,0.4729,0.2922,0.3826
29.7,0.2282,1.0181,0.7106,0.8185,0.7977,0.8081,0.4796,0.5587,0.5191,0.5101,0.3239,0.417
29.8,0.1733,1.0276,0.711,0.8076,0.7966,0.8021,0.4851,0.5624,0.5237,0.5479,0.363,0.4554
29.9,0.1194,1.0302,0.7089,0.7991,0.7908,0.7949,0.4955,0.5645,0.53,0.5844,0.4083,0.4963
