Time,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.2,-0.0298,0.602,0.6264,0.6367,0.6227,0.6297,0.4735,0.72,0.5967,0.5322,0.5447,0.5384
8.3,-0.0263,0.6134,0.6391,0.6429,0.6332,0.6381,0.4779,0.7148,0.5964,0.5233,0.5444,0.5339
8.4,-0.0278,0.6197,0.6539,0.6427,0.641,0.6418,0.4824,0.7096,0.596,0.5174,0.5472,0.5323
8.5,-0.0342,0.6211,0.6711,0.6371,0.6451,0.6411,0.4871,0.7048,0.5959,0.5134,0.5523,0.5329
8.6,-0.0453,0.6188,0.6902,0.6279,0.6457,0.6368,0.4919,0.7008,0.5963,0.5101,0.5587,0.5344
8.7,-0.061,0.6146,0.7105,0.6168,0.6434,0.6301,0.4972,0.6977,0.5974,0.5061,0.5656,0.5358
8.8,-0.0807,0.6099,0.7313,0.6052,0.6392,0.6222,0.5028,0.6952,0.599,0.5012,0.5726,0.5369
8.9,-0.1036,0.6053,0.7517,0.5939,0.6334,0.6136,0.508,0.6936,0.6008,0.4955,0.5799,0.5377
9,-0.1281,0.6005,0.771,0.5832,0.6261,0.6046,0.5114,0.6931,0.6022,0.4894,0.5875,0.5385
9.1,-0.1537,0.5955,0.7892,0.5736,0.618,0.5958,0.5119,0.694,0.6029,0.4832,0.5951,0.5391
9.2,-0.1798,0.5909,0.8067,0.5654,0.6103,0.5879,0.5091,0.6971,0.6031,0.477,0.6026,0.5398
9.3,-0.2066,0.5882,0.8244,0.5587,0.6045,0.5816,0.5036,0.7035,0.6036,0.4712,0.61,0.5406
9.4,-0.2341,0.5882,0.8425,0.5533,0.6013,0.5773,0.4965,0.7141,0.6053,0.4666,0.6179,0.5422
9.5,-0.2625,0.5905,0.8603,0.5484,0.5997,0.5741,0.489,0.7293,0.6091,0.4637,0.6274,0.5456
9.6,-0.2917,0.5937,0.8773,0.5433,0.598,0.5707,0.4818,0.7483,0.6151,0.4636,0.6395,0.5515
9.7,-0.3218,0.5969,0.8928,0.5369,0.5956,0.5662,0.4753,0.7699,0.6226,0.4669,0.6546,0.5607
9.8,-0.353,0.5995,0.9068,0.5287,0.5926,0.5606,0.4695,0.7926,0.6311,0.4737,0.6726,0.5732
9.9,-0.386,0.6013,0.919,0.5183,0.5897,0.554,0.4643,0.8156,0.64,0.4845,0.6932,0.5888
10,-0.4219,0.6017,0.9291,0.5058,0.5876,0.5467,0.4603,0.8385,0.6494,0.5,0.7161,0.6081
10.1,-0.4612,0.6006,0.9372,0.4915,0.5864,0.539,0.4585,0.8607,0.6596,0.5208,0.7411,0.6309
10.2,-0.5031,0.5983,0.9435,0.4761,0.5868,0.5314,0.4602,0.8811,0.6706,0.5463,0.7677,0.657
10.3,-0.5445,0.5956,0.9483,0.4607,0.5899,0.5253,0.4654,0.8982,0.6818,0.5745,0.7955,0.685
10.4,-0.5802,0.5927,0.9518,0.4466,0.5959,0.5213,0.4739,0.9109,0.6924,0.6033,0.8236,0.7134
10.5,-0.6049,0.5885,0.9538,0.4349,0.6039,0.5194,0.4847,0.9189,0.7018,0.6307,0.8514,0.741
10.6,-0.6154,0.5818,0.9541,0.4261,0.6118,0.519,0.4971,0.9222,0.7096,0.6558,0.8781,0.7669
10.7,-0.6113,0.5717,0.9526,0.4204,0.618,0.5192,0.5107,0.9208,0.7158,0.678,0.9026,0.7903
10.8,-0.5951,0.5586,0.9491,0.4178,0.6223,0.5201,0.5253,0.9147,0.72,0.6964,0.9238,0.8101
10.9,-0.5693,0.5434,0.9438,0.4183,0.6256,0.5219,0.5402,0.9041,0.7221,0.7106,0.9408,0.8257
11,-0.5364,0.5264,0.9366,0.4217,0.6281,0.5249,0.5542,0.8896,0.7219,0.7207,0.9533,0.837
11.1,-0.4998,0.5082,0.9275,0.4267,0.6291,0.5279,0.5661,0.8727,0.7194,0.7275,0.9617,0.8446
11.2,-0.4627,0.4894,0.9167,0.4323,0.6274,0.5298,0.575,0.8548,0.7149,0.7322,0.9666,0.8494
11.3,-0.4272,0.4716,0.9043,0.4378,0.6226,0.5302,0.5809,0.8371,0.709,0.7352,0.9685,0.8519
11.4,-0.3933,0.457,0.8907,0.4437,0.6154,0.5295,0.5841,0.8201,0.7021,0.7369,0.968,0.8524
11.5,-0.3598,0.4466,0.8759,0.4512,0.6069,0.529,0.5852,0.8037,0.6944,0.7369,0.9651,0.851
11.6,-0.3249,0.4407,0.8599,0.4608,0.598,0.5294,0.5846,0.7882,0.6864,0.7351,0.96,0.8475
11.7,-0.288,0.4386,0.8429,0.4725,0.5887,0.5306,0.5818,0.7743,0.678,0.7319,0.9524,0.8422
11.8,-0.249,0.4397,0.8252,0.4858,0.5791,0.5324,0.5761,0.7628,0.6695,0.7279,0.9427,0.8353
11.9,-0.2086,0.4438,0.8067,0.5002,0.5698,0.535,0.5672,0.7536,0.6604,0.724,0.9311,0.8275
12,-0.1678,0.4505,0.7865,0.5147,0.5621,0.5384,0.5546,0.7462,0.6504,0.721,0.9183,0.8196
12.1,-0.1281,0.4588,0.7642,0.5279,0.5574,0.5426,0.5383,0.7393,0.6388,0.7194,0.9048,0.8121
12.2,-0.0909,0.4667,0.74,0.5387,0.5561,0.5474,0.5184,0.7324,0.6254,0.7192,0.8915,0.8053
12.3,-0.057,0.4721,0.7143,0.5459,0.5579,0.5519,0.4953,0.7255,0.6104,0.7201,0.8788,0.7994
12.4,-0.0267,0.474,0.6881,0.5494,0.5618,0.5556,0.4695,0.719,0.5943,0.7214,0.8665,0.794
12.5,-0.0001,0.4718,0.6621,0.5491,0.5668,0.5579,0.4421,0.7131,0.5776,0.7225,0.8543,0.7884
12.6,0.0226,0.4661,0.6365,0.5449,0.5724,0.5587,0.4138,0.7076,0.5607,0.7228,0.8421,0.7824
12.7,0.0407,0.4571,0.611,0.5369,0.5786,0.5578,0.3857,0.702,0.5438,0.7227,0.8298,0.7762
12.8,0.0535,0.4452,0.5852,0.5253,0.5858,0.5555,0.3585,0.6955,0.527,0.7225,0.8176,0.77
12.9,0.0607,0.4308,0.559,0.5106,0.5939,0.5523,0.3328,0.6875,0.5102,0.7222,0.8053,0.7637
13,0.0626,0.4145,0.5327,0.494,0.6031,0.5485,0.3091,0.6778,0.4934,0.7212,0.7927,0.757
13.1,0.0594,0.3974,0.507,0.4764,0.6134,0.5449,0.2879,0.6662,0.477,0.719,0.7791,0.7491
13.2,0.0509,0.3802,0.4828,0.4583,0.6246,0.5415,0.2694,0.6536,0.4615,0.7148,0.7643,0.7396
13.3,0.0379,0.3638,0.4609,0.4397,0.636,0.5378,0.254,0.6415,0.4478,0.7089,0.7481,0.7285
13.4,0.022,0.3491,0.4421,0.4209,0.6462,0.5336,0.2421,0.6313,0.4367,0.7017,0.7308,0.7162
13.5,0.0062,0.3373,0.427,0.4031,0.6538,0.5285,0.2338,0.624,0.4289,0.6937,0.713,0.7033
13.6,-0.0074,0.3295,0.416,0.3875,0.6578,0.5226,0.2291,0.6198,0.4244,0.6853,0.6952,0.6903
13.7,-0.0176,0.3263,0.4085,0.3745,0.6581,0.5163,0.2272,0.6188,0.423,0.6766,0.6781,0.6773
13.8,-0.0245,0.3276,0.404,0.364,0.6553,0.5097,0.2272,0.621,0.4241,0.6675,0.6615,0.6645
13.9,-0.0279,0.3333,0.4016,0.3554,0.6497,0.5025,0.2286,0.627,0.4278,0.6582,0.6453,0.6518
14,-0.027,0.343,0.4012,0.3484,0.6416,0.495,0.2315,0.6374,0.4345,0.6495,0.6298,0.6397
14.1,-0.0205,0.3572,0.4032,0.3435,0.6314,0.4875,0.2364,0.6529,0.4446,0.6421,0.6156,0.6288
14.2,-0.0072,0.3762,0.4082,0.3414,0.6194,0.4804,0.2432,0.6736,0.4584,0.6367,0.6033,0.62
14.3,0.0132,0.3998,0.4164,0.3424,0.6056,0.474,0.252,0.699,0.4755,0.634,0.5935,0.6138
14.4,0.0405,0.4274,0.428,0.3464,0.5902,0.4683,0.2625,0.7273,0.4949,0.6344,0.5866,0.6105
14.5,0.0746,0.4576,0.4428,0.3529,0.5731,0.463,0.2753,0.7563,0.5158,0.638,0.5826,0.6103
14.6,0.115,0.4894,0.46,0.3618,0.5548,0.4583,0.2909,0.7839,0.5374,0.6445,0.5815,0.613
14.7,0.1603,0.5221,0.4789,0.3733,0.5365,0.4549,0.3093,0.8082,0.5587,0.6539,0.583,0.6184
14.8,0.2082,0.5549,0.4986,0.3874,0.5193,0.4534,0.329,0.8279,0.5784,0.6662,0.5866,0.6264
14.9,0.2554,0.5871,0.5185,0.4043,0.5043,0.4543,0.3483,0.8423,0.5953,0.6816,0.5921,0.6368
