Time,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
17.7,-0.3088,0.4567,0.9217,0.1131,0.5721,0.3426,0.3909,0.8176,0.6043,0.5304,0.8242,0.6773
17.8,-0.3077,0.4522,0.9179,0.0721,0.5765,0.3243,0.384,0.8246,0.6043,0.5094,0.8087,0.659
17.9,-0.3036,0.4488,0.9076,0.0348,0.5799,0.3073,0.3807,0.8275,0.6041,0.4906,0.791,0.6408
18,-0.296,0.4468,0.8908,0.0027,0.5822,0.2924,0.381,0.8258,0.6034,0.4745,0.7721,0.6233
18.1,-0.2854,0.4459,0.8669,-0.0228,0.583,0.2801,0.3847,0.8196,0.6022,0.4621,0.7526,0.6073
18.2,-0.2719,0.4455,0.8359,-0.0405,0.582,0.2708,0.392,0.8091,0.6005,0.4543,0.7333,0.5938
18.3,-0.2554,0.4456,0.7986,-0.0491,0.5793,0.2651,0.4029,0.7947,0.5988,0.4519,0.7153,0.5836
18.4,-0.2341,0.4472,0.7564,-0.0468,0.5755,0.2643,0.4175,0.777,0.5973,0.4554,0.6995,0.5774
18.5,-0.2061,0.4514,0.7117,-0.0316,0.5715,0.2699,0.4349,0.7565,0.5957,0.4643,0.6865,0.5754
18.6,-0.1707,0.4592,0.667,-0.001,0.5677,0.2833,0.4544,0.7336,0.594,0.4779,0.6761,0.577
18.7,-0.1283,0.4705,0.6244,0.048,0.5636,0.3058,0.4752,0.7092,0.5922,0.495,0.668,0.5815
18.8,-0.0805,0.4843,0.5854,0.1186,0.5584,0.3385,0.4971,0.684,0.5906,0.5147,0.6618,0.5882
18.9,-0.0288,0.4995,0.5509,0.2114,0.5517,0.3815,0.5198,0.6588,0.5893,0.536,0.6576,0.5968
19,0.0249,0.5147,0.5209,0.3206,0.544,0.4323,0.5423,0.6337,0.588,0.5578,0.6551,0.6064
19.1,0.0776,0.5288,0.4956,0.4338,0.5362,0.485,0.5636,0.6087,0.5862,0.5789,0.6534,0.6161
19.2,0.127,0.5408,0.4752,0.5378,0.5283,0.533,0.583,0.5841,0.5836,0.5986,0.6516,0.6251
19.3,0.1719,0.5509,0.4597,0.6242,0.5196,0.5719,0.601,0.5604,0.5807,0.6165,0.6486,0.6325
