Time,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC
21.4,0.6008,0.8295,0.4029,0.9531,0.6975,0.8253,0.6549,0.6629,0.6589,0.4696,0.3389,0.4042
21.5,0.618,0.8675,0.4143,0.997,0.7402,0.8686,0.6966,0.6841,0.6903,0.4775,0.3379,0.4077
21.6,0.6261,0.9046,0.4274,1.0346,0.7818,0.9082,0.7349,0.7029,0.7189,0.4849,0.3376,0.4113
21.7,0.6242,0.94,0.4425,1.0654,0.8213,0.9433,0.7681,0.7188,0.7435,0.4917,0.3382,0.415
21.8,0.6124,0.9736,0.4598,1.0903,0.8581,0.9742,0.7958,0.7319,0.7638,0.4981,0.3401,0.4191
21.9,0.5917,1.0051,0.4793,1.1104,0.8914,1.0009,0.8184,0.7419,0.7801,0.504,0.3434,0.4237
22,0.5641,1.0338,0.5005,1.1261,0.9199,1.023,0.8369,0.7491,0.793,0.5095,0.3479,0.4287
22.1,0.5309,1.0588,0.5232,1.1373,0.9427,1.04,0.8524,0.7537,0.8031,0.5146,0.3537,0.4341
22.2,0.4931,1.0793,0.5472,1.1438,0.9595,1.0517,0.8654,0.7562,0.8108,0.5194,0.3612,0.4403
22.3,0.4514,1.0952,0.5722,1.1462,0.9702,1.0582,0.8764,0.7565,0.8164,0.5239,0.3707,0.4473
22.4,0.4065,1.1065,0.597,1.1448,0.9759,1.0603,0.8852,0.7544,0.8198,0.5277,0.3826,0.4552
22.5,0.3586,1.1134,0.6201,1.1402,0.9774,1.0588,0.8921,0.7503,0.8212,0.5306,0.397,0.4638
22.6,0.3076,1.1158,0.6407,1.1328,0.9755,1.0541,0.8973,0.7446,0.821,0.5329,0.4139,0.4734
22.7,0.2534,1.1136,0.6587,1.1229,0.9704,1.0466,0.9015,0.738,0.8198,0.5349,0.4336,0.4842
22.8,0.1971,1.1068,0.6738,1.1106,0.9624,1.0365,0.9052,0.7309,0.8181,0.5369,0.456,0.4964
22.9,0.1401,1.0957,0.6848,1.0961,0.9518,1.024,0.9087,0.7232,0.8159,0.5383,0.4809,0.5096
23,0.0834,1.0804,0.6905,1.0795,0.9385,1.009,0.9117,0.7143,0.813,0.5388,0.5078,0.5233
23.1,0.0269,1.061,0.69,1.0605,0.9224,0.9915,0.9139,0.7039,0.8089,0.5385,0.536,0.5372
23.2,-0.0299,1.0376,0.6832,1.0389,0.9041,0.9715,0.915,0.6923,0.8037,0.538,0.5646,0.5513
23.3,-0.087,1.0108,0.6711,1.0147,0.8848,0.9498,0.9154,0.6805,0.798,0.5378,0.5927,0.5652
23.4,-0.1438,0.9817,0.6553,0.9888,0.866,0.9274,0.9156,0.6696,0.7926,0.5379,0.6187,0.5783
23.5,-0.1991,0.9512,0.6372,0.9623,0.8489,0.9056,0.9162,0.6599,0.788,0.5381,0.6418,0.59
23.6,-0.2515,0.9197,0.6175,0.9358,0.8335,0.8846,0.9175,0.6514,0.7845,0.5382,0.6618,0.6
23.7,-0.3,0.8872,0.5967,0.9094,0.8196,0.8645,0.9194,0.6442,0.7818,0.5388,0.6787,0.6087
23.8,-0.3437,0.8537,0.575,0.8829,0.8072,0.8451,0.921,0.6386,0.7798,0.5406,0.6924,0.6165
23.9,-0.3817,0.8198,0.5528,0.8563,0.7969,0.8266,0.9214,0.6351,0.7783,0.5436,0.7023,0.6229
24,-0.4124,0.7865,0.531,0.83,0.7889,0.8094,0.9198,0.6332,0.7765,0.5465,0.7076,0.627
24.1,-0.4349,0.7556,0.5098,0.8047,0.7832,0.7939,0.9148,0.6327,0.7738,0.548,0.7079,0.628
24.2,-0.4488,0.7279,0.4896,0.7811,0.7794,0.7802,0.9055,0.6337,0.7696,0.547,0.7037,0.6253
24.3,-0.4535,0.7036,0.471,0.7591,0.7766,0.7679,0.8909,0.6361,0.7635,0.5432,0.6956,0.6194
24.4,-0.4488,0.6821,0.4545,0.7381,0.774,0.756,0.871,0.6396,0.7553,0.537,0.685,0.611
24.5,-0.4351,0.6627,0.4406,0.7172,0.7705,0.7439,0.8463,0.6435,0.7449,0.529,0.6732,0.6011
24.6,-0.4134,0.6443,0.4289,0.6958,0.7652,0.7305,0.8178,0.6469,0.7324,0.5197,0.6614,0.5905
24.7,-0.3847,0.6264,0.4186,0.6738,0.7572,0.7155,0.7865,0.6488,0.7176,0.509,0.6503,0.5796
24.8,-0.3495,0.6086,0.4095,0.6516,0.7461,0.6988,0.753,0.6486,0.7008,0.497,0.6403,0.5686
24.9,-0.3087,0.591,0.4023,0.6297,0.7321,0.6809,0.7185,0.6465,0.6825,0.4845,0.6316,0.5581
25,-0.2633,0.5739,0.3989,0.609,0.7156,0.6623,0.6843,0.6433,0.6638,0.4733,0.6248,0.549
25.1,-0.2156,0.5576,0.401,0.5898,0.6974,0.6436,0.652,0.6399,0.646,0.4658,0.6206,0.5432
25.2,-0.1674,0.5421,0.4094,0.5724,0.6779,0.6252,0.6225,0.6368,0.6296,0.464,0.6197,0.5418
25.3,-0.1206,0.5271,0.4241,0.5568,0.6577,0.6073,0.5961,0.6343,0.6152,0.4694,0.6224,0.5459
25.4,-0.0773,0.5126,0.445,0.5431,0.6375,0.5903,0.5728,0.6333,0.6031,0.483,0.6288,0.5559
25.5,-0.0394,0.499,0.4728,0.5308,0.6185,0.5747,0.5529,0.6344,0.5937,0.5056,0.6395,0.5725
25.6,-0.0083,0.4867,0.5068,0.5201,0.6014,0.5608,0.5368,0.6375,0.5872,0.5364,0.6541,0.5953
25.7,0.0158,0.4757,0.545,0.5112,0.5865,0.5489,0.5251,0.6419,0.5835,0.5739,0.6719,0.6229
25.8,0.0337,0.4662,0.5848,0.5041,0.574,0.5391,0.518,0.6469,0.5824,0.6158,0.6916,0.6537
25.9,0.0468,0.4579,0.6234,0.499,0.5638,0.5314,0.515,0.652,0.5835,0.6598,0.7119,0.6859
26,0.0554,0.4509,0.6587,0.4959,0.5556,0.5257,0.5156,0.6567,0.5861,0.7037,0.7318,0.7177
26.1,0.0593,0.4453,0.6886,0.4948,0.5493,0.522,0.5188,0.6604,0.5896,0.7455,0.75,0.7478
26.2,0.0582,0.4412,0.7113,0.4956,0.5449,0.5203,0.5232,0.6629,0.593,0.783,0.7651,0.7741
26.3,0.052,0.4389,0.7264,0.4979,0.5426,0.5202,0.5274,0.6637,0.5955,0.8143,0.776,0.7952
26.4,0.0415,0.4388,0.7355,0.5011,0.5427,0.5219,0.53,0.6631,0.5965,0.8387,0.7819,0.8103
26.5,0.0276,0.4411,0.7404,0.5053,0.5454,0.5254,0.5305,0.6617,0.5961,0.8565,0.7829,0.8197
26.6,0.0115,0.4458,0.7424,0.5109,0.5511,0.531,0.529,0.66,0.5945,0.8677,0.7796,0.8237
26.7,-0.0056,0.4535,0.7417,0.5183,0.5595,0.5389,0.5255,0.6583,0.5919,0.872,0.7721,0.8221
26.8,-0.0223,0.4641,0.7385,0.5276,0.5701,0.5488,0.5198,0.6563,0.5881,0.8686,0.7606,0.8146
26.9,-0.0376,0.4776,0.7326,0.5386,0.5824,0.5605,0.5113,0.6542,0.5828,0.8575,0.7456,0.8016
27,-0.0506,0.4939,0.7242,0.5515,0.5963,0.5739,0.4999,0.6522,0.5761,0.8397,0.7282,0.7839
27.1,-0.0607,0.5129,0.7137,0.5667,0.6119,0.5893,0.4859,0.6509,0.5684,0.817,0.709,0.763
27.2,-0.0674,0.5345,0.7016,0.5849,0.6292,0.6071,0.4697,0.6504,0.5601,0.791,0.6888,0.7399
27.3,-0.0696,0.5583,0.6882,0.6062,0.6473,0.6268,0.4526,0.6502,0.5514,0.7624,0.6683,0.7153
27.4,-0.0675,0.5831,0.6735,0.6301,0.6648,0.6474,0.4351,0.6495,0.5423,0.7318,0.6484,0.6901
27.5,-0.0621,0.6079,0.6575,0.6558,0.6806,0.6682,0.4174,0.6479,0.5327,0.7005,0.6303,0.6654
27.6,-0.0544,0.6317,0.6404,0.6826,0.6943,0.6884,0.3998,0.645,0.5224,0.6698,0.615,0.6424
27.7,-0.0452,0.6541,0.6223,0.7101,0.7059,0.708,0.3823,0.6403,0.5113,0.6411,0.6028,0.622
27.8,-0.036,0.6748,0.6039,0.7375,0.7156,0.7266,0.3655,0.6334,0.4994,0.6153,0.5934,0.6044
27.9,-0.0289,0.6932,0.5855,0.7638,0.7233,0.7435,0.3498,0.624,0.4869,0.5929,0.5869,0.5899
28,-0.025,0.7091,0.5676,0.7883,0.7284,0.7583,0.3355,0.6121,0.4738,0.5748,0.5829,0.5789
28.1,-0.0246,0.7225,0.5503,0.8106,0.7304,0.7705,0.3232,0.5977,0.4605,0.5617,0.5816,0.5717
28.2,-0.0278,0.7341,0.5338,0.8304,0.7286,0.7795,0.3131,0.5807,0.4469,0.5546,0.5826,0.5686
28.3,-0.0357,0.7441,0.5185,0.8469,0.7228,0.7848,0.305,0.5611,0.4331,0.5535,0.5855,0.5695
28.4,-0.0506,0.7522,0.5045,0.8588,0.7129,0.7859,0.2986,0.5393,0.419,0.5582,0.59,0.5741
28.5,-0.0737,0.7577,0.4916,0.8655,0.6998,0.7826,0.2934,0.516,0.4047,0.5678,0.5959,0.5819
28.6,-0.1032,0.76,0.4795,0.867,0.6851,0.7761,0.2893,0.4918,0.3905,0.581,0.603,0.592
28.7,-0.1355,0.7594,0.4679,0.8641,0.6705,0.7673,0.2863,0.4669,0.3766,0.5961,0.6106,0.6033
28.8,-0.167,0.7568,0.4562,0.8572,0.6572,0.7572,0.2844,0.4411,0.3627,0.6113,0.6174,0.6143
28.9,-0.1952,0.7531,0.4437,0.8468,0.6463,0.7466,0.283,0.4142,0.3486,0.6251,0.6225,0.6238
29,-0.2181,0.7488,0.4298,0.8337,0.6383,0.736,0.2815,0.3863,0.3339,0.6363,0.6255,0.6309
29.1,-0.234,0.7447,0.4141,0.819,0.6333,0.7262,0.279,0.3582,0.3186,0.6442,0.6264,0.6353
29.2,-0.241,0.7412,0.3965,0.8046,0.6311,0.7178,0.2754,0.331,0.3032,0.6488,0.6259,0.6374
29.3,-0.2383,0.7389,0.3776,0.7916,0.6316,0.7116,0.2707,0.3059,0.2883,0.6502,0.6244,0.6373
29.4,-0.2268,0.7383,0.3579,0.7808,0.635,0.7079,0.2653,0.284,0.2746,0.6483,0.6218,0.635
29.5,-0.2084,0.74,0.3381,0.7726,0.6414,0.707,0.2594,0.2659,0.2626,0.643,0.6177,0.6303
29.6,-0.1849,0.7438,0.3184,0.7666,0.651,0.7088,0.2533,0.2517,0.2525,0.6343,0.612,0.6232
29.7,-0.1577,0.7489,0.2987,0.7626,0.6636,0.7131,0.2478,0.2411,0.2445,0.6223,0.6051,0.6137
29.8,-0.1292,0.7543,0.2791,0.7601,0.6788,0.7195,0.2438,0.234,0.2389,0.6078,0.5973,0.6025
29.9,-0.1027,0.7588,0.2599,0.7585,0.6954,0.727,0.242,0.23,0.236,0.5915,0.5889,0.5902
