Time,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.5,-0.4592,0.573,0.7555,0.2021,0.5605,0.3813,0.5128,0.5314,0.5221,0.6481,0.6512,0.6496
12.6,-0.4563,0.5548,0.7657,0.199,0.5602,0.3796,0.5168,0.5341,0.5254,0.6676,0.6584,0.663
12.7,-0.4515,0.5334,0.7719,0.1935,0.557,0.3752,0.5225,0.5387,0.5306,0.6894,0.6642,0.6768
12.8,-0.4458,0.5102,0.7744,0.1854,0.5519,0.3687,0.5295,0.5448,0.5371,0.7134,0.6684,0.6909
12.9,-0.4398,0.4866,0.7735,0.1756,0.5464,0.361,0.5375,0.552,0.5447,0.7384,0.6703,0.7044
13,-0.4342,0.4637,0.77,0.1652,0.5416,0.3534,0.5459,0.56,0.553,0.7624,0.6702,0.7163
13.1,-0.4299,0.4417,0.7647,0.1555,0.5385,0.347,0.5543,0.5683,0.5613,0.7835,0.6685,0.726
13.2,-0.4265,0.4206,0.7584,0.1471,0.5367,0.3419,0.5619,0.5764,0.5691,0.8006,0.666,0.7333
13.3,-0.4234,0.4003,0.7517,0.1398,0.5352,0.3375,0.5677,0.5831,0.5754,0.8135,0.6633,0.7384
13.4,-0.4193,0.3809,0.7445,0.1332,0.533,0.3331,0.5705,0.5872,0.5789,0.8215,0.6604,0.7409
13.5,-0.4136,0.3626,0.7371,0.127,0.5292,0.3281,0.5691,0.5874,0.5782,0.8241,0.6567,0.7404
13.6,-0.4069,0.3456,0.7301,0.1209,0.5233,0.3221,0.5624,0.583,0.5727,0.8206,0.6523,0.7364
13.7,-0.3995,0.3301,0.7239,0.1153,0.5154,0.3154,0.5504,0.5745,0.5625,0.811,0.6473,0.7292
13.8,-0.3913,0.3162,0.7184,0.1103,0.5051,0.3077,0.5342,0.5628,0.5485,0.7959,0.6428,0.7193
13.9,-0.3814,0.3036,0.7132,0.1055,0.492,0.2987,0.5149,0.5489,0.5319,0.7757,0.6392,0.7075
14,-0.369,0.292,0.7076,0.1002,0.4761,0.2881,0.4931,0.5334,0.5133,0.7507,0.6365,0.6936
14.1,-0.3543,0.2809,0.701,0.0942,0.4579,0.2761,0.4689,0.5165,0.4927,0.7209,0.6337,0.6773
14.2,-0.3376,0.27,0.6936,0.0877,0.4381,0.2629,0.4423,0.4988,0.4705,0.6868,0.6302,0.6585
14.3,-0.3189,0.259,0.6863,0.0813,0.4165,0.2489,0.4141,0.4812,0.4477,0.6497,0.6261,0.6379
14.4,-0.298,0.2476,0.6803,0.0753,0.3928,0.234,0.3854,0.4646,0.425,0.6115,0.6221,0.6168
14.5,-0.275,0.2354,0.6767,0.0701,0.3668,0.2185,0.3576,0.4495,0.4036,0.574,0.6186,0.5963
14.6,-0.2507,0.2227,0.6758,0.0664,0.3395,0.2029,0.3317,0.4362,0.3839,0.5389,0.6155,0.5772
14.7,-0.226,0.2099,0.6779,0.065,0.3119,0.1885,0.3083,0.425,0.3666,0.5069,0.6125,0.5597
14.8,-0.2018,0.1975,0.6825,0.0673,0.285,0.1761,0.2884,0.4163,0.3523,0.4785,0.6095,0.544
14.9,-0.1782,0.1862,0.6893,0.0741,0.2593,0.1667,0.2727,0.4107,0.3417,0.4537,0.6068,0.5302
15,-0.1554,0.1768,0.6979,0.0858,0.2354,0.1606,0.2617,0.4087,0.3352,0.4326,0.605,0.5188
15.1,-0.1339,0.17,0.7078,0.1022,0.2136,0.1579,0.2557,0.4108,0.3332,0.4153,0.6047,0.51
15.2,-0.1147,0.1667,0.7187,0.1234,0.1942,0.1588,0.2545,0.4175,0.336,0.402,0.6064,0.5042
15.3,-0.0986,0.1678,0.7298,0.1497,0.1777,0.1637,0.2584,0.4291,0.3437,0.3929,0.6104,0.5017
15.4,-0.086,0.1737,0.7408,0.1817,0.1645,0.1731,0.2673,0.4457,0.3565,0.3879,0.6175,0.5027
15.5,-0.0762,0.1845,0.7511,0.2195,0.1548,0.1871,0.2812,0.4671,0.3742,0.3868,0.6276,0.5072
15.6,-0.0681,0.2003,0.7604,0.2626,0.1489,0.2057,0.2996,0.4921,0.3959,0.3894,0.6402,0.5148
15.7,-0.061,0.2215,0.7681,0.3101,0.1472,0.2286,0.3218,0.5195,0.4207,0.3954,0.6543,0.5249
15.8,-0.0552,0.2481,0.7737,0.3604,0.1504,0.2554,0.3472,0.5481,0.4476,0.4045,0.6685,0.5365
15.9,-0.0514,0.2795,0.7767,0.4113,0.1591,0.2852,0.3747,0.5768,0.4758,0.4163,0.6815,0.5489
16,-0.0498,0.3147,0.7768,0.4603,0.1736,0.3169,0.4033,0.6049,0.5041,0.4303,0.6928,0.5615
16.1,-0.0503,0.3522,0.7735,0.5051,0.1942,0.3497,0.4317,0.631,0.5314,0.4453,0.7016,0.5734
16.2,-0.053,0.3897,0.7662,0.5437,0.2205,0.3821,0.4588,0.6532,0.556,0.4598,0.7076,0.5837
16.3,-0.0584,0.4245,0.7547,0.5741,0.2512,0.4126,0.4836,0.6691,0.5763,0.4732,0.7105,0.5919
16.4,-0.0674,0.4541,0.7392,0.5948,0.2848,0.4398,0.5053,0.6766,0.5909,0.4853,0.7104,0.5978
16.5,-0.0796,0.4765,0.7203,0.6054,0.3194,0.4624,0.5229,0.6744,0.5987,0.4963,0.7073,0.6018
16.6,-0.0939,0.4916,0.699,0.6062,0.3537,0.4799,0.5362,0.6619,0.599,0.5061,0.7011,0.6036
16.7,-0.1081,0.5002,0.6764,0.5985,0.387,0.4927,0.5452,0.6404,0.5928,0.5144,0.6917,0.6031
16.8,-0.1208,0.5036,0.6536,0.5837,0.4191,0.5014,0.551,0.6123,0.5817,0.5211,0.6797,0.6004
16.9,-0.1314,0.5031,0.6313,0.5636,0.4492,0.5064,0.5548,0.581,0.5679,0.5264,0.6664,0.5964
