Time,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.8,-0.3802,0.7698,0.3786,0.188,0.7583,0.4732,0.2832,0.5306,0.4069,0.4285,0.4563,0.4424
13.9,-0.4494,0.7941,0.3824,0.1827,0.7669,0.4748,0.2902,0.5463,0.4183,0.4421,0.4531,0.4476
14,-0.5154,0.8153,0.3863,0.1859,0.7749,0.4804,0.2967,0.5626,0.4297,0.4568,0.4527,0.4548
14.1,-0.576,0.833,0.3914,0.1995,0.7818,0.4907,0.3039,0.5797,0.4418,0.4725,0.4556,0.464
14.2,-0.6296,0.847,0.3979,0.2246,0.787,0.5058,0.3123,0.5979,0.4551,0.4883,0.4617,0.475
14.3,-0.6751,0.8578,0.4058,0.262,0.7907,0.5263,0.3215,0.617,0.4692,0.5029,0.4704,0.4866
14.4,-0.7104,0.8651,0.4152,0.3122,0.7929,0.5525,0.331,0.6369,0.4839,0.5153,0.4806,0.4979
14.5,-0.7334,0.8683,0.4261,0.3739,0.7935,0.5837,0.3406,0.6572,0.4989,0.5253,0.4913,0.5083
14.6,-0.742,0.867,0.4389,0.4431,0.7917,0.6174,0.3504,0.6772,0.5138,0.534,0.502,0.518
14.7,-0.7354,0.8609,0.4525,0.5127,0.7861,0.6494,0.3597,0.6952,0.5275,0.5416,0.5126,0.5271
14.8,-0.7142,0.8497,0.4645,0.5759,0.7754,0.6757,0.3671,0.7092,0.5381,0.5478,0.522,0.5349
14.9,-0.6805,0.833,0.4721,0.6279,0.7587,0.6933,0.3712,0.7176,0.5444,0.5516,0.5292,0.5404
15,-0.6373,0.8106,0.4743,0.6671,0.7362,0.7016,0.3722,0.7205,0.5463,0.5524,0.533,0.5427
15.1,-0.5879,0.7831,0.4716,0.694,0.7099,0.7019,0.3706,0.719,0.5448,0.5505,0.5334,0.542
15.2,-0.535,0.752,0.4649,0.7104,0.6825,0.6964,0.3673,0.714,0.5406,0.5468,0.5312,0.539
15.3,-0.4811,0.7191,0.4547,0.7182,0.6563,0.6872,0.3619,0.7063,0.5341,0.5415,0.527,0.5342
15.4,-0.429,0.6862,0.4407,0.7189,0.6322,0.6756,0.3541,0.696,0.5251,0.5346,0.5207,0.5276
