Time,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC
21.6,0.1349,0.4705,0.5962,0.3933,0.3746,0.384,0.5586,0.4699,0.5142,0.5573,0.5136,0.5354
21.7,0.1098,0.4711,0.61,0.3976,0.3855,0.3916,0.5508,0.4669,0.5088,0.5635,0.5287,0.5461
21.8,0.0867,0.4704,0.6252,0.4028,0.398,0.4004,0.5439,0.4637,0.5038,0.5705,0.5458,0.5582
21.9,0.0653,0.4684,0.6413,0.4089,0.4115,0.4102,0.5383,0.4607,0.4995,0.5782,0.5652,0.5717
22,0.0458,0.4651,0.6576,0.4161,0.4256,0.4209,0.5338,0.4578,0.4958,0.586,0.5865,0.5862
22.1,0.0281,0.4604,0.6737,0.4244,0.4392,0.4318,0.5301,0.4549,0.4925,0.5929,0.6094,0.6011
22.2,0.0125,0.4547,0.6891,0.4337,0.4521,0.4429,0.5269,0.4522,0.4896,0.5987,0.6334,0.616
22.3,-0.0009,0.4485,0.7033,0.4437,0.4644,0.454,0.524,0.4499,0.487,0.6033,0.6582,0.6307
22.4,-0.0119,0.4421,0.7159,0.4542,0.4759,0.4651,0.5213,0.4485,0.4849,0.6073,0.6827,0.645
22.5,-0.02,0.4356,0.7263,0.4649,0.486,0.4754,0.5191,0.4474,0.4832,0.6109,0.706,0.6584
22.6,-0.0241,0.4289,0.7338,0.4752,0.4934,0.4843,0.5175,0.4459,0.4817,0.6142,0.7266,0.6704
22.7,-0.024,0.4219,0.7383,0.4849,0.4977,0.4913,0.5169,0.4436,0.4803,0.6168,0.7437,0.6802
22.8,-0.0202,0.4149,0.7396,0.4939,0.499,0.4964,0.5176,0.4405,0.4791,0.6185,0.7567,0.6876
22.9,-0.0137,0.4084,0.7376,0.5023,0.498,0.5002,0.5195,0.4369,0.4782,0.619,0.7655,0.6923
23,-0.0057,0.403,0.7323,0.51,0.4952,0.5026,0.5224,0.433,0.4777,0.6188,0.7702,0.6945
23.1,0.0034,0.3989,0.7239,0.517,0.4906,0.5038,0.5263,0.4285,0.4774,0.6184,0.7708,0.6946
23.2,0.0135,0.3957,0.7126,0.5229,0.4836,0.5033,0.5315,0.423,0.4772,0.6185,0.768,0.6933
23.3,0.0235,0.3929,0.6988,0.5275,0.4744,0.5009,0.5381,0.4166,0.4773,0.6197,0.7626,0.6911
23.4,0.0324,0.3904,0.6828,0.5305,0.4631,0.4968,0.5462,0.4094,0.4778,0.622,0.7555,0.6888
23.5,0.0396,0.3884,0.665,0.5325,0.4501,0.4913,0.5559,0.4015,0.4787,0.6259,0.7475,0.6867
23.6,0.046,0.3871,0.6459,0.534,0.4356,0.4848,0.5669,0.3928,0.4799,0.6314,0.7389,0.6851
23.7,0.0535,0.3868,0.6259,0.5357,0.4194,0.4776,0.5787,0.3832,0.4809,0.6386,0.7298,0.6842
23.8,0.064,0.3872,0.6053,0.5382,0.401,0.4696,0.5908,0.3725,0.4816,0.6475,0.7205,0.684
23.9,0.0778,0.3876,0.5839,0.5415,0.3799,0.4607,0.6027,0.3609,0.4818,0.6574,0.7109,0.6841
24,0.0937,0.3877,0.5615,0.5449,0.3565,0.4507,0.614,0.3485,0.4813,0.6677,0.7009,0.6843
24.1,0.1094,0.3879,0.538,0.5477,0.3316,0.4397,0.6245,0.3352,0.4799,0.6774,0.6903,0.6838
24.2,0.1227,0.3887,0.5135,0.5494,0.3066,0.428,0.6343,0.3211,0.4777,0.6861,0.6789,0.6825
24.3,0.1324,0.3906,0.4886,0.5496,0.2829,0.4163,0.6437,0.3062,0.475,0.6938,0.6672,0.6805
24.4,0.1386,0.3938,0.4637,0.5485,0.2611,0.4048,0.6536,0.2911,0.4724,0.7006,0.6554,0.678
24.5,0.1425,0.3985,0.4402,0.5459,0.242,0.394,0.6648,0.2762,0.4705,0.7064,0.6442,0.6753
24.6,0.1457,0.4048,0.4191,0.5423,0.226,0.3841,0.6777,0.2621,0.4699,0.7111,0.6339,0.6725
24.7,0.1494,0.4129,0.4013,0.5375,0.2135,0.3755,0.6924,0.2496,0.471,0.7142,0.6243,0.6693
24.8,0.1537,0.4231,0.3871,0.5319,0.2044,0.3682,0.7082,0.2393,0.4737,0.7155,0.6153,0.6654
24.9,0.1584,0.4353,0.3767,0.5259,0.1987,0.3623,0.7247,0.2314,0.478,0.7149,0.6071,0.661
25,0.1629,0.4494,0.3705,0.5198,0.1965,0.3581,0.741,0.2265,0.4838,0.7123,0.6003,0.6563
25.1,0.166,0.4649,0.3687,0.5136,0.1981,0.3559,0.7567,0.2247,0.4907,0.7081,0.5958,0.652
25.2,0.1668,0.4816,0.3712,0.5071,0.204,0.3556,0.771,0.2259,0.4985,0.7022,0.5939,0.6481
25.3,0.1643,0.4997,0.3774,0.5001,0.2142,0.3571,0.7831,0.2298,0.5065,0.6946,0.5942,0.6444
25.4,0.1586,0.5187,0.3866,0.4922,0.2285,0.3603,0.7924,0.2362,0.5143,0.6852,0.596,0.6406
25.5,0.1498,0.5383,0.3981,0.4832,0.2465,0.3648,0.7989,0.2448,0.5219,0.6744,0.5985,0.6364
25.6,0.1374,0.5574,0.4111,0.4725,0.2674,0.3699,0.8024,0.2554,0.5289,0.6629,0.6011,0.632
25.7,0.1205,0.5752,0.4252,0.4594,0.2906,0.375,0.8027,0.2674,0.535,0.651,0.6036,0.6273
25.8,0.0986,0.591,0.4395,0.4433,0.315,0.3792,0.7988,0.2801,0.5394,0.6385,0.6055,0.622
25.9,0.0716,0.6045,0.4535,0.4241,0.3401,0.3821,0.7893,0.2926,0.541,0.6248,0.6063,0.6155
26,0.0401,0.6159,0.4671,0.4022,0.3656,0.3839,0.7733,0.304,0.5386,0.6093,0.6058,0.6076
26.1,0.0053,0.6256,0.48,0.3783,0.3921,0.3852,0.7502,0.3139,0.5321,0.5925,0.6041,0.5983
26.2,-0.0322,0.634,0.4921,0.353,0.4201,0.3866,0.7203,0.3227,0.5215,0.5752,0.6016,0.5884
26.3,-0.0717,0.641,0.5028,0.3269,0.4498,0.3883,0.6841,0.3307,0.5074,0.5583,0.5989,0.5786
26.4,-0.1129,0.6463,0.5114,0.2999,0.4802,0.39,0.6422,0.3382,0.4902,0.5421,0.5957,0.5689
26.5,-0.1554,0.6494,0.5172,0.272,0.51,0.391,0.5956,0.3448,0.4702,0.5264,0.5915,0.559
26.6,-0.199,0.6503,0.5198,0.2435,0.5382,0.3909,0.5456,0.3501,0.4478,0.5112,0.5862,0.5487
26.7,-0.2436,0.6493,0.5189,0.2154,0.5644,0.3899,0.4934,0.3535,0.4234,0.4964,0.5797,0.5381
26.8,-0.288,0.6468,0.5146,0.1892,0.5885,0.3889,0.4404,0.3547,0.3976,0.4828,0.5727,0.5277
26.9,-0.3293,0.6435,0.5067,0.1666,0.6103,0.3885,0.3881,0.3544,0.3712,0.4709,0.5653,0.5181
27,-0.364,0.6393,0.4953,0.1481,0.6289,0.3885,0.3381,0.3531,0.3456,0.4606,0.5574,0.509
27.1,-0.389,0.6345,0.4809,0.1333,0.6433,0.3883,0.2918,0.3515,0.3216,0.4512,0.5486,0.4999
27.2,-0.4035,0.6292,0.4641,0.1211,0.6526,0.3869,0.2506,0.3498,0.3002,0.4422,0.539,0.4906
27.3,-0.4086,0.624,0.4458,0.1107,0.6576,0.3842,0.2156,0.3481,0.2819,0.4338,0.529,0.4814
27.4,-0.4058,0.6196,0.4272,0.1021,0.6596,0.3808,0.188,0.3465,0.2672,0.4273,0.5195,0.4734
27.5,-0.3953,0.6166,0.4096,0.0959,0.6597,0.3778,0.1688,0.3458,0.2573,0.4248,0.5116,0.4682
27.6,-0.3763,0.615,0.3949,0.0925,0.6581,0.3753,0.1593,0.3469,0.2531,0.4284,0.5068,0.4676
27.7,-0.348,0.6143,0.3845,0.0922,0.6538,0.373,0.1601,0.3505,0.2553,0.4391,0.5063,0.4727
27.8,-0.3109,0.6137,0.3794,0.094,0.6458,0.3699,0.1711,0.3567,0.2639,0.4576,0.5113,0.4845
27.9,-0.2679,0.6122,0.3801,0.0967,0.634,0.3653,0.191,0.3657,0.2784,0.4839,0.5226,0.5032
28,-0.2227,0.6092,0.3865,0.0987,0.619,0.3588,0.218,0.3774,0.2977,0.5173,0.5397,0.5285
28.1,-0.1787,0.6039,0.3982,0.0991,0.6019,0.3505,0.2497,0.3915,0.3206,0.5564,0.5616,0.559
28.2,-0.1382,0.5961,0.4152,0.0973,0.5841,0.3407,0.2841,0.4073,0.3457,0.5986,0.5872,0.5929
28.3,-0.1029,0.5857,0.4373,0.0935,0.5665,0.33,0.3197,0.4242,0.3719,0.6419,0.6157,0.6288
28.4,-0.0736,0.5727,0.4644,0.0879,0.5498,0.3189,0.3555,0.4421,0.3988,0.6846,0.6467,0.6657
28.5,-0.0508,0.5575,0.4958,0.0812,0.5339,0.3076,0.3914,0.4611,0.4263,0.7252,0.6795,0.7024
28.6,-0.0351,0.5402,0.5304,0.0737,0.5183,0.296,0.4269,0.4811,0.454,0.7624,0.7127,0.7375
28.7,-0.0267,0.521,0.5667,0.0654,0.5023,0.2838,0.4615,0.5018,0.4817,0.7953,0.7443,0.7698
28.8,-0.0263,0.5001,0.6035,0.0564,0.4853,0.2708,0.4949,0.5226,0.5087,0.8234,0.773,0.7982
28.9,-0.0345,0.4779,0.6401,0.0465,0.4675,0.257,0.5264,0.5428,0.5346,0.8463,0.7983,0.8223
29,-0.0523,0.4547,0.6762,0.0356,0.4497,0.2426,0.5557,0.562,0.5589,0.8639,0.8202,0.8421
29.1,-0.0801,0.4314,0.712,0.0235,0.4329,0.2282,0.5823,0.5803,0.5813,0.8767,0.8393,0.858
29.2,-0.1169,0.4086,0.7472,0.0107,0.4183,0.2145,0.6062,0.5979,0.602,0.8849,0.8555,0.8702
29.3,-0.1603,0.3876,0.7814,-0.0011,0.4073,0.2031,0.6273,0.6149,0.6211,0.8888,0.8692,0.879
29.4,-0.209,0.3699,0.8141,-0.0103,0.4013,0.1955,0.6463,0.6323,0.6393,0.8894,0.8807,0.885
29.5,-0.2631,0.3569,0.8448,-0.015,0.402,0.1935,0.6642,0.651,0.6576,0.8876,0.8905,0.8891
29.6,-0.3238,0.3494,0.8731,-0.0146,0.4115,0.1985,0.682,0.6718,0.6769,0.8842,0.8992,0.8917
29.7,-0.3913,0.348,0.8983,-0.0091,0.4313,0.2111,0.7004,0.6947,0.6975,0.8794,0.9065,0.893
29.8,-0.4635,0.353,0.9193,0.0008,0.4611,0.231,0.7189,0.7184,0.7187,0.8732,0.9115,0.8923
29.9,-0.5365,0.3643,0.9353,0.0154,0.4995,0.2575,0.7366,0.7412,0.7389,0.8651,0.9134,0.8892
