Time,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian
21.5,0.1947,0.9521,0.7811,0.7709,0.9305,0.8507,0.8254,0.7906,0.808,0.7835,0.7104,0.7469
21.6,0.2038,0.9548,0.7639,0.7701,0.9311,0.8506,0.7941,0.7839,0.789,0.7711,0.6943,0.7327
21.7,0.2095,0.9556,0.7447,0.7687,0.928,0.8484,0.7617,0.7744,0.7681,0.7572,0.6773,0.7172
21.8,0.2111,0.954,0.7243,0.7661,0.921,0.8435,0.7287,0.7622,0.7455,0.7421,0.6602,0.7011
21.9,0.2078,0.95,0.7038,0.7619,0.9104,0.8362,0.696,0.7476,0.7218,0.7262,0.6439,0.6851
22,0.1992,0.9441,0.6839,0.7565,0.8974,0.8269,0.6643,0.7314,0.6979,0.71,0.6288,0.6694
22.1,0.1855,0.9366,0.6648,0.7499,0.8827,0.8163,0.6343,0.7138,0.6741,0.6935,0.6146,0.6541
22.2,0.1681,0.928,0.6464,0.7425,0.8671,0.8048,0.6068,0.6953,0.651,0.6775,0.6011,0.6393
22.3,0.1476,0.9185,0.629,0.7344,0.8508,0.7926,0.5828,0.6764,0.6296,0.6629,0.5884,0.6256
22.4,0.1245,0.9084,0.6129,0.7263,0.8345,0.7804,0.5626,0.6576,0.6101,0.6502,0.5771,0.6136
22.5,0.0985,0.8977,0.5986,0.7184,0.8184,0.7684,0.5462,0.6392,0.5927,0.6396,0.5676,0.6036
22.6,0.0693,0.8861,0.586,0.7108,0.8026,0.7567,0.5336,0.6213,0.5774,0.6312,0.5602,0.5957
22.7,0.0367,0.8731,0.5748,0.7036,0.7868,0.7452,0.525,0.6042,0.5646,0.6248,0.5545,0.5897
22.8,0.0015,0.8584,0.5639,0.6965,0.7711,0.7338,0.5204,0.588,0.5542,0.6201,0.5504,0.5853
22.9,-0.0347,0.8413,0.5524,0.6891,0.755,0.722,0.5199,0.5727,0.5463,0.6168,0.5477,0.5822
23,-0.0694,0.8211,0.5399,0.6808,0.738,0.7094,0.5231,0.5582,0.5406,0.6143,0.546,0.5802
23.1,-0.1007,0.7969,0.5262,0.6713,0.7198,0.6955,0.5298,0.5441,0.537,0.6122,0.5449,0.5785
23.2,-0.1268,0.7681,0.511,0.6605,0.7003,0.6804,0.5395,0.5306,0.535,0.6095,0.5435,0.5765
23.3,-0.1463,0.7352,0.494,0.6493,0.68,0.6647,0.5522,0.5176,0.5349,0.6059,0.5409,0.5734
23.4,-0.1578,0.6997,0.4756,0.6389,0.66,0.6495,0.5688,0.5056,0.5372,0.6015,0.5368,0.5692
23.5,-0.1604,0.6641,0.457,0.6309,0.6417,0.6363,0.5902,0.4956,0.5429,0.5968,0.5317,0.5642
23.6,-0.1545,0.6308,0.4407,0.6266,0.6266,0.6266,0.6169,0.4886,0.5527,0.5921,0.5261,0.5591
23.7,-0.1413,0.6022,0.4287,0.6268,0.6155,0.6212,0.6483,0.485,0.5667,0.5876,0.5202,0.5539
23.8,-0.1222,0.579,0.4226,0.6316,0.6082,0.6199,0.6832,0.4845,0.5838,0.5832,0.5139,0.5485
23.9,-0.0982,0.562,0.4235,0.6405,0.6045,0.6225,0.7196,0.4863,0.603,0.5788,0.5073,0.5431
24,-0.0709,0.5516,0.4314,0.6526,0.6042,0.6284,0.7559,0.4902,0.6231,0.5746,0.501,0.5378
24.1,-0.0423,0.5478,0.4459,0.6674,0.607,0.6372,0.7909,0.4962,0.6435,0.5708,0.4958,0.5333
24.2,-0.0137,0.55,0.4671,0.6847,0.6128,0.6488,0.8241,0.5044,0.6643,0.5684,0.4926,0.5305
24.3,0.0139,0.5573,0.4952,0.7044,0.6212,0.6628,0.8557,0.5157,0.6857,0.5693,0.4927,0.531
24.4,0.0398,0.5689,0.5296,0.726,0.6318,0.6789,0.8853,0.5303,0.7078,0.5748,0.4972,0.536
24.5,0.0638,0.5834,0.5688,0.7488,0.6444,0.6966,0.9122,0.5482,0.7302,0.5854,0.5064,0.5459
24.6,0.0849,0.5989,0.6105,0.7711,0.6583,0.7147,0.9351,0.5684,0.7517,0.6002,0.5197,0.56
24.7,0.1025,0.614,0.6529,0.7916,0.6729,0.7322,0.9526,0.5895,0.771,0.6175,0.5359,0.5767
24.8,0.116,0.6276,0.6951,0.8095,0.687,0.7482,0.9636,0.6106,0.7871,0.6362,0.5538,0.595
24.9,0.1253,0.6393,0.737,0.8242,0.6997,0.762,0.9681,0.6311,0.7996,0.6561,0.5729,0.6145
25,0.1304,0.6489,0.7778,0.8358,0.7103,0.773,0.9665,0.6508,0.8086,0.6776,0.593,0.6353
25.1,0.132,0.6563,0.8156,0.844,0.7184,0.7812,0.9592,0.669,0.8141,0.7003,0.6139,0.6571
25.2,0.1308,0.6607,0.8484,0.8489,0.724,0.7865,0.9469,0.6846,0.8157,0.7232,0.6349,0.679
25.3,0.1278,0.6619,0.875,0.8509,0.727,0.789,0.9301,0.6968,0.8135,0.7448,0.6549,0.6999
25.4,0.1241,0.6597,0.8951,0.8506,0.7274,0.789,0.9099,0.7057,0.8078,0.7646,0.6731,0.7189
25.5,0.1209,0.6546,0.9091,0.8486,0.7251,0.7868,0.8877,0.7119,0.7998,0.7828,0.6898,0.7363
25.6,0.1191,0.6469,0.9178,0.8452,0.7199,0.7825,0.8649,0.7162,0.7906,0.7998,0.7055,0.7527
25.7,0.1189,0.6364,0.9217,0.8401,0.7116,0.7758,0.8426,0.7185,0.7805,0.8158,0.7205,0.7682
25.8,0.1207,0.6225,0.9214,0.833,0.6996,0.7663,0.8208,0.7183,0.7696,0.8301,0.7347,0.7824
25.9,0.1253,0.6043,0.9173,0.8233,0.6834,0.7534,0.8,0.7152,0.7576,0.8424,0.7475,0.795
26,0.1331,0.5811,0.9096,0.811,0.6628,0.7369,0.7804,0.709,0.7447,0.8527,0.7582,0.8054
26.1,0.1447,0.5532,0.8984,0.7957,0.6381,0.7169,0.7628,0.6999,0.7314,0.8613,0.7663,0.8138
26.2,0.1607,0.5221,0.8833,0.7776,0.6098,0.6937,0.7476,0.6887,0.7181,0.8684,0.7716,0.82
26.3,0.1814,0.4894,0.8652,0.7566,0.5787,0.6677,0.7348,0.6758,0.7053,0.8743,0.7738,0.824
26.4,0.2057,0.4572,0.8456,0.7335,0.5463,0.6399,0.7243,0.6619,0.6931,0.8796,0.773,0.8263
26.5,0.2318,0.4275,0.8265,0.7094,0.5146,0.612,0.716,0.6481,0.6821,0.8853,0.77,0.8276
26.6,0.258,0.4026,0.8093,0.6853,0.4859,0.5856,0.7103,0.6359,0.6731,0.8915,0.7659,0.8287
26.7,0.2833,0.3842,0.7948,0.6621,0.4622,0.5622,0.7078,0.6265,0.6672,0.8983,0.7615,0.8299
26.8,0.3072,0.3733,0.7832,0.6408,0.4449,0.5429,0.7095,0.6206,0.6651,0.9053,0.757,0.8311
26.9,0.3296,0.37,0.7752,0.6217,0.4344,0.5281,0.7157,0.6185,0.6671,0.9119,0.7521,0.832
27,0.3511,0.373,0.7714,0.6048,0.4302,0.5175,0.7258,0.6198,0.6728,0.9183,0.7468,0.8325
27.1,0.372,0.3804,0.7716,0.5899,0.4311,0.5105,0.7391,0.624,0.6815,0.9242,0.7415,0.8329
27.2,0.393,0.3909,0.7751,0.5768,0.4359,0.5064,0.7548,0.6303,0.6926,0.9296,0.7373,0.8334
27.3,0.4145,0.4033,0.781,0.5656,0.4437,0.5047,0.7726,0.6383,0.7055,0.9346,0.7347,0.8346
27.4,0.4363,0.4175,0.7884,0.5565,0.4541,0.5053,0.7916,0.6479,0.7198,0.939,0.7341,0.8366
27.5,0.4578,0.4334,0.7974,0.5501,0.4675,0.5088,0.8107,0.6591,0.7349,0.9426,0.7354,0.839
27.6,0.4783,0.4512,0.8081,0.547,0.484,0.5155,0.8287,0.6719,0.7503,0.945,0.7383,0.8416
27.7,0.4968,0.4709,0.8203,0.5472,0.5034,0.5253,0.8448,0.686,0.7654,0.9461,0.7424,0.8443
27.8,0.5119,0.4919,0.8328,0.5504,0.5251,0.5377,0.8588,0.701,0.7799,0.9458,0.7474,0.8466
27.9,0.5219,0.5126,0.8442,0.5556,0.5473,0.5514,0.8709,0.7161,0.7935,0.9441,0.753,0.8486
28,0.5249,0.5315,0.8539,0.5621,0.5683,0.5652,0.8816,0.7307,0.8061,0.9411,0.7589,0.85
28.1,0.5197,0.5477,0.8614,0.5697,0.5873,0.5785,0.891,0.7444,0.8177,0.937,0.7652,0.8511
28.2,0.5059,0.5612,0.8669,0.5784,0.6043,0.5913,0.8996,0.7571,0.8283,0.9318,0.7718,0.8518
28.3,0.4835,0.5721,0.8699,0.5881,0.6194,0.6037,0.9073,0.7686,0.8379,0.9256,0.7787,0.8521
28.4,0.4532,0.5802,0.8697,0.5985,0.6326,0.6156,0.9141,0.7785,0.8463,0.9181,0.7852,0.8516
28.5,0.417,0.5852,0.8662,0.6092,0.644,0.6266,0.9201,0.7866,0.8534,0.9092,0.7908,0.85
28.6,0.3772,0.5871,0.8601,0.6196,0.6538,0.6367,0.9256,0.7933,0.8594,0.8995,0.7957,0.8476
28.7,0.3349,0.5861,0.8524,0.6295,0.6621,0.6458,0.9308,0.799,0.8649,0.8899,0.7999,0.8449
28.8,0.2902,0.5828,0.8443,0.6388,0.6689,0.6538,0.9361,0.8039,0.87,0.881,0.8035,0.8422
28.9,0.2422,0.5774,0.8361,0.6468,0.6734,0.6601,0.9406,0.8075,0.8741,0.873,0.806,0.8395
29,0.1913,0.569,0.8272,0.6526,0.6744,0.6635,0.9432,0.8085,0.8758,0.8656,0.8065,0.8361
29.1,0.1388,0.5569,0.8173,0.6552,0.6709,0.6631,0.9421,0.8057,0.8739,0.8582,0.8044,0.8313
29.2,0.0868,0.5414,0.8065,0.6548,0.6628,0.6588,0.9367,0.7989,0.8678,0.8503,0.799,0.8246
29.3,0.0365,0.524,0.7952,0.652,0.6513,0.6517,0.9271,0.7889,0.858,0.8419,0.79,0.8159
29.4,-0.0116,0.5064,0.7836,0.648,0.6378,0.6429,0.9137,0.7764,0.8451,0.833,0.7772,0.8051
29.5,-0.0577,0.49,0.7717,0.6436,0.6234,0.6335,0.897,0.7621,0.8295,0.8235,0.7605,0.792
29.6,-0.1022,0.4756,0.7597,0.6392,0.6088,0.624,0.8769,0.7462,0.8116,0.8126,0.7401,0.7763
29.7,-0.1445,0.4636,0.7484,0.6351,0.5947,0.6149,0.8539,0.7293,0.7916,0.8,0.716,0.758
29.8,-0.1839,0.4546,0.7388,0.6317,0.5819,0.6068,0.8289,0.7124,0.7706,0.7857,0.6892,0.7375
29.9,-0.2195,0.4492,0.7313,0.6292,0.5715,0.6003,0.8031,0.6964,0.7497,0.7696,0.6606,0.7151
