Time,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC,Toyota bZ4X - Barry Believes 30 TVC
21.1,0.2916,0.611,0.5493,0.6289,0.595,0.612,0.6902,0.5935,0.6418,0.6338,0.4861,0.5599
21.2,0.2925,0.5891,0.538,0.6145,0.5795,0.597,0.6825,0.5906,0.6366,0.6234,0.4864,0.5549
21.3,0.2883,0.5684,0.5262,0.6013,0.567,0.5842,0.6727,0.587,0.6298,0.6109,0.4854,0.5482
21.4,0.2792,0.5491,0.5136,0.5891,0.5565,0.5728,0.6606,0.5817,0.6211,0.5967,0.4832,0.54
21.5,0.2648,0.5318,0.4999,0.5774,0.5472,0.5623,0.6461,0.5743,0.6102,0.5817,0.4798,0.5307
21.6,0.2441,0.5173,0.486,0.5664,0.5387,0.5525,0.6297,0.5643,0.597,0.5665,0.4754,0.5209
21.7,0.217,0.5057,0.4729,0.556,0.5306,0.5433,0.6125,0.5521,0.5823,0.5518,0.4703,0.5111
21.8,0.1853,0.4969,0.4617,0.5467,0.5233,0.535,0.5956,0.5389,0.5673,0.5379,0.4651,0.5015
21.9,0.151,0.4903,0.4525,0.5387,0.5171,0.5279,0.5798,0.5257,0.5527,0.5251,0.4598,0.4925
22,0.1157,0.4857,0.4451,0.5319,0.5125,0.5222,0.5652,0.5131,0.5392,0.5135,0.4544,0.4839
22.1,0.0804,0.4831,0.4391,0.5258,0.5094,0.5176,0.5515,0.5012,0.5263,0.5031,0.4487,0.4759
22.2,0.0462,0.4819,0.4346,0.5197,0.5072,0.5134,0.5384,0.4892,0.5138,0.494,0.4428,0.4684
22.3,0.0145,0.4809,0.4315,0.5131,0.5044,0.5087,0.5257,0.4765,0.5011,0.4861,0.4365,0.4613
22.4,-0.0133,0.4787,0.4295,0.5051,0.5,0.5025,0.5132,0.463,0.4881,0.4791,0.4297,0.4544
22.5,-0.0364,0.4742,0.4279,0.4953,0.4933,0.4943,0.5005,0.4488,0.4747,0.4729,0.4223,0.4476
22.6,-0.0546,0.4666,0.4259,0.4833,0.4842,0.4838,0.4873,0.4341,0.4607,0.4674,0.4142,0.4408
22.7,-0.0678,0.4557,0.423,0.4692,0.4725,0.4709,0.4738,0.419,0.4464,0.4624,0.4053,0.4339
22.8,-0.0756,0.4413,0.419,0.4534,0.4579,0.4556,0.4609,0.4038,0.4324,0.4582,0.3962,0.4272
22.9,-0.0781,0.4233,0.4134,0.4361,0.4404,0.4382,0.45,0.3891,0.4196,0.4555,0.3872,0.4214
23,-0.0759,0.402,0.4055,0.4175,0.4207,0.4191,0.4416,0.3755,0.4085,0.4548,0.3786,0.4167
23.1,-0.071,0.3782,0.3949,0.3977,0.4004,0.399,0.4355,0.3634,0.3994,0.456,0.3706,0.4133
23.2,-0.0656,0.3531,0.3823,0.3772,0.3809,0.379,0.4313,0.3531,0.3922,0.4586,0.3633,0.411
23.3,-0.0611,0.3277,0.3682,0.3563,0.3634,0.3598,0.4285,0.3445,0.3865,0.4625,0.3569,0.4097
23.4,-0.0578,0.3032,0.3534,0.3357,0.3485,0.3421,0.4272,0.3376,0.3824,0.4674,0.3512,0.4093
23.5,-0.0555,0.2801,0.3384,0.3161,0.3367,0.3264,0.4274,0.3323,0.3799,0.4734,0.3463,0.4099
23.6,-0.0547,0.2592,0.3233,0.2982,0.3282,0.3132,0.4293,0.3286,0.379,0.4808,0.3422,0.4115
23.7,-0.0568,0.2407,0.3092,0.2823,0.3232,0.3027,0.433,0.3263,0.3797,0.4897,0.3394,0.4146
23.8,-0.0637,0.2246,0.2972,0.2686,0.3219,0.2953,0.4387,0.3257,0.3822,0.5001,0.3384,0.4192
23.9,-0.0765,0.2113,0.2884,0.2572,0.3241,0.2907,0.4467,0.3271,0.3869,0.5121,0.3395,0.4258
24,-0.0952,0.2012,0.2839,0.2483,0.3295,0.2889,0.4575,0.3312,0.3944,0.5261,0.3434,0.4348
24.1,-0.1199,0.1955,0.2843,0.2425,0.3382,0.2903,0.471,0.3388,0.4049,0.5423,0.3501,0.4462
24.2,-0.1512,0.1951,0.2901,0.2403,0.3507,0.2955,0.4861,0.3496,0.4178,0.5604,0.3596,0.46
24.3,-0.1899,0.2009,0.301,0.2425,0.3672,0.3048,0.5018,0.3627,0.4322,0.5799,0.3713,0.4756
24.4,-0.2367,0.213,0.3169,0.2493,0.3871,0.3182,0.5175,0.3772,0.4474,0.6004,0.3847,0.4926
24.5,-0.2907,0.2311,0.337,0.2608,0.4093,0.335,0.5334,0.3927,0.463,0.6214,0.3993,0.5103
24.6,-0.3489,0.2539,0.3606,0.2761,0.4323,0.3542,0.5494,0.4092,0.4793,0.6425,0.4143,0.5284
24.7,-0.4074,0.2802,0.3867,0.2945,0.4547,0.3746,0.5651,0.4264,0.4958,0.663,0.4293,0.5462
24.8,-0.4624,0.3084,0.4141,0.3152,0.4758,0.3955,0.58,0.4442,0.5121,0.6824,0.444,0.5632
24.9,-0.5109,0.3374,0.4423,0.3375,0.4949,0.4162,0.5934,0.4623,0.5279,0.6996,0.4578,0.5787
25,-0.5499,0.3659,0.4704,0.3609,0.5116,0.4362,0.6053,0.4808,0.5431,0.7137,0.47,0.5918
25.1,-0.5758,0.3925,0.4972,0.3844,0.5252,0.4548,0.6154,0.4992,0.5573,0.7238,0.4795,0.6016
25.2,-0.5862,0.4152,0.5208,0.407,0.5351,0.4711,0.6224,0.5162,0.5693,0.7288,0.4857,0.6073
25.3,-0.5801,0.4327,0.5401,0.4272,0.5404,0.4838,0.6247,0.5305,0.5776,0.7281,0.4881,0.6081
25.4,-0.5587,0.445,0.5542,0.4442,0.5407,0.4924,0.621,0.5409,0.5809,0.7214,0.4866,0.604
25.5,-0.5247,0.453,0.5633,0.4576,0.5361,0.4968,0.6112,0.547,0.5791,0.7089,0.4815,0.5952
25.6,-0.481,0.4581,0.5678,0.468,0.5275,0.4977,0.5962,0.5493,0.5727,0.6912,0.4733,0.5823
25.7,-0.4297,0.4616,0.5677,0.4764,0.516,0.4962,0.5777,0.5482,0.563,0.6693,0.4625,0.5659
25.8,-0.3727,0.4648,0.5636,0.4842,0.5035,0.4939,0.5573,0.5449,0.5511,0.6441,0.4499,0.547
25.9,-0.3116,0.4694,0.5562,0.4929,0.4913,0.4921,0.5365,0.5402,0.5383,0.6165,0.4363,0.5264
26,-0.2476,0.4763,0.5466,0.5034,0.481,0.4922,0.5161,0.535,0.5256,0.5872,0.4222,0.5047
26.1,-0.1821,0.4867,0.5359,0.5164,0.4734,0.4949,0.4973,0.5295,0.5134,0.5574,0.4084,0.4829
26.2,-0.1168,0.5013,0.5246,0.5325,0.4689,0.5007,0.481,0.5241,0.5025,0.5286,0.3953,0.462
26.3,-0.0531,0.5201,0.5129,0.552,0.4678,0.5099,0.468,0.5193,0.4936,0.502,0.3833,0.4426
26.4,0.0085,0.5429,0.5009,0.5755,0.4705,0.523,0.4588,0.5158,0.4873,0.4782,0.3726,0.4254
26.5,0.067,0.5687,0.4896,0.6027,0.4773,0.54,0.4534,0.5143,0.4839,0.4572,0.3633,0.4103
26.6,0.1213,0.5964,0.4796,0.6327,0.4888,0.5607,0.4514,0.515,0.4832,0.4394,0.3555,0.3974
26.7,0.169,0.6243,0.4707,0.664,0.5051,0.5846,0.4517,0.5171,0.4844,0.4252,0.3487,0.3869
26.8,0.2084,0.651,0.4621,0.6952,0.5264,0.6108,0.454,0.52,0.487,0.415,0.3427,0.3788
26.9,0.2387,0.6758,0.4532,0.7248,0.5523,0.6386,0.4581,0.5233,0.4907,0.4087,0.3374,0.3731
27,0.2602,0.6978,0.4436,0.752,0.5826,0.6673,0.4638,0.5275,0.4957,0.4057,0.3327,0.3692
27.1,0.2742,0.7166,0.4336,0.7759,0.6166,0.6963,0.4709,0.5333,0.5021,0.4046,0.3286,0.3666
27.2,0.2819,0.7318,0.4236,0.7961,0.6531,0.7246,0.4786,0.5408,0.5097,0.4046,0.3249,0.3647
27.3,0.285,0.7436,0.414,0.8129,0.6913,0.7521,0.4866,0.5498,0.5182,0.4054,0.3217,0.3636
27.4,0.2856,0.7525,0.4053,0.827,0.7308,0.7789,0.4946,0.5602,0.5274,0.4072,0.3195,0.3634
27.5,0.2858,0.7588,0.3981,0.8391,0.7715,0.8053,0.5025,0.5716,0.5371,0.4098,0.3187,0.3642
27.6,0.2864,0.7627,0.3922,0.8487,0.8123,0.8305,0.5098,0.5832,0.5465,0.4127,0.3191,0.3659
27.7,0.287,0.7638,0.3874,0.8547,0.8511,0.8529,0.5158,0.5942,0.555,0.4153,0.3205,0.3679
27.8,0.287,0.7616,0.3834,0.8562,0.8849,0.8705,0.5204,0.6046,0.5625,0.4173,0.3224,0.3698
27.9,0.2863,0.7559,0.3811,0.8524,0.9113,0.8819,0.5237,0.615,0.5693,0.4187,0.3247,0.3717
28,0.2854,0.7464,0.3815,0.843,0.9293,0.8862,0.5259,0.6264,0.5762,0.4195,0.3275,0.3735
28.1,0.2844,0.7337,0.3857,0.8286,0.9388,0.8837,0.5269,0.6384,0.5826,0.4197,0.3308,0.3753
28.2,0.2824,0.7184,0.3939,0.81,0.9405,0.8753,0.5261,0.6499,0.588,0.4191,0.3341,0.3766
28.3,0.2782,0.7021,0.4059,0.7886,0.9354,0.862,0.5233,0.66,0.5917,0.4173,0.337,0.3772
28.4,0.2712,0.6862,0.4209,0.7657,0.9247,0.8452,0.5186,0.6684,0.5935,0.4145,0.3392,0.3769
28.5,0.262,0.6719,0.4387,0.742,0.9095,0.8257,0.5121,0.675,0.5935,0.4114,0.3412,0.3763
28.6,0.2511,0.6595,0.4592,0.7176,0.8902,0.8039,0.5037,0.6794,0.5916,0.409,0.3439,0.3764
28.7,0.2382,0.6493,0.4817,0.6922,0.8666,0.7794,0.4933,0.6809,0.5871,0.4081,0.3478,0.3779
28.8,0.2231,0.6415,0.505,0.6656,0.8388,0.7522,0.4811,0.679,0.58,0.4094,0.3531,0.3812
28.9,0.206,0.6361,0.5281,0.6379,0.8075,0.7227,0.4678,0.6742,0.571,0.4138,0.3597,0.3867
29,0.1889,0.6324,0.5508,0.6095,0.7733,0.6914,0.4545,0.6675,0.561,0.4218,0.3678,0.3948
29.1,0.1742,0.6289,0.5729,0.5805,0.7373,0.6589,0.4415,0.6593,0.5504,0.4337,0.3776,0.4056
29.2,0.1627,0.6248,0.5939,0.5507,0.7004,0.6256,0.4285,0.649,0.5388,0.449,0.3888,0.4189
29.3,0.1542,0.6189,0.6127,0.5199,0.6633,0.5916,0.4151,0.636,0.5256,0.4668,0.4009,0.4338
29.4,0.148,0.611,0.6279,0.4877,0.6263,0.557,0.4012,0.6196,0.5104,0.4867,0.413,0.4498
29.5,0.1437,0.6007,0.6381,0.4541,0.5891,0.5216,0.387,0.5999,0.4935,0.5082,0.4244,0.4663
29.6,0.1406,0.5874,0.6417,0.4193,0.5517,0.4855,0.3727,0.5777,0.4752,0.531,0.4349,0.483
29.7,0.1378,0.5708,0.6373,0.3832,0.5143,0.4487,0.358,0.5539,0.4559,0.554,0.444,0.499
29.8,0.1342,0.5508,0.6236,0.3453,0.478,0.4117,0.3423,0.5295,0.4359,0.5755,0.4513,0.5134
29.9,0.1291,0.5275,0.5997,0.3057,0.4435,0.3746,0.3254,0.5056,0.4155,0.594,0.4559,0.525
