Time,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.2,0.0931,0.9924,0.3552,1.3184,1.0947,1.2065,1.0026,0.609,0.8058,0.4146,0.4838,0.4492
11.3,0.1771,0.9705,0.3741,1.2853,1.0621,1.1737,0.9891,0.5914,0.7902,0.377,0.4949,0.436
11.4,0.2598,0.9487,0.3972,1.25,1.0274,1.1387,0.9754,0.5758,0.7756,0.3348,0.5034,0.4191
11.5,0.3364,0.927,0.4242,1.2121,0.9909,1.1015,0.9618,0.5622,0.762,0.2897,0.5092,0.3994
11.6,0.4022,0.9046,0.4548,1.1704,0.9528,1.0616,0.9484,0.5506,0.7495,0.244,0.5124,0.3782
11.7,0.4556,0.8811,0.4891,1.1244,0.9135,1.0189,0.9354,0.5419,0.7386,0.2001,0.5138,0.3569
11.8,0.4979,0.8568,0.5266,1.0743,0.8739,0.9741,0.9235,0.5367,0.7301,0.1604,0.5138,0.3371
11.9,0.5299,0.8326,0.5663,1.021,0.8355,0.9282,0.9138,0.5358,0.7248,0.127,0.5126,0.3198
12,0.5506,0.8091,0.6065,0.9649,0.7993,0.8821,0.9073,0.5397,0.7235,0.1014,0.5103,0.3059
12.1,0.5585,0.7866,0.6455,0.9063,0.7665,0.8364,0.9044,0.5488,0.7266,0.0846,0.5069,0.2957
12.2,0.5537,0.7651,0.6829,0.8453,0.7372,0.7913,0.905,0.5629,0.734,0.0766,0.5028,0.2897
12.3,0.5375,0.7449,0.7185,0.7825,0.7109,0.7467,0.9084,0.5813,0.7448,0.0773,0.4984,0.2879
12.4,0.5119,0.726,0.7522,0.7196,0.6878,0.7037,0.9133,0.6029,0.7581,0.0868,0.494,0.2904
12.5,0.4775,0.709,0.7831,0.6594,0.6694,0.6644,0.9191,0.6265,0.7728,0.1052,0.4902,0.2977
12.6,0.4337,0.6944,0.8105,0.6051,0.6567,0.6309,0.9259,0.6509,0.7884,0.1332,0.4878,0.3105
12.7,0.3808,0.6833,0.8339,0.5598,0.6494,0.6046,0.9335,0.6751,0.8043,0.1709,0.4878,0.3294
12.8,0.3204,0.6763,0.8531,0.5251,0.6471,0.5861,0.9415,0.6986,0.82,0.2175,0.4906,0.354
12.9,0.2548,0.674,0.8673,0.5013,0.6494,0.5753,0.9489,0.7213,0.8351,0.2702,0.4947,0.3824
13,0.1868,0.676,0.875,0.4875,0.6553,0.5714,0.9551,0.7425,0.8488,0.3252,0.4981,0.4116
13.1,0.1195,0.6813,0.8742,0.4828,0.6632,0.573,0.9593,0.7615,0.8604,0.3783,0.4995,0.4389
13.2,0.0555,0.6888,0.8636,0.486,0.6712,0.5786,0.9614,0.7775,0.8695,0.4262,0.4984,0.4623
13.3,-0.003,0.6982,0.8422,0.4958,0.6787,0.5873,0.9615,0.7908,0.8762,0.467,0.495,0.481
13.4,-0.0554,0.7098,0.8102,0.5109,0.6865,0.5987,0.9603,0.8024,0.8813,0.5003,0.4897,0.495
13.5,-0.1011,0.7244,0.7687,0.5309,0.6962,0.6135,0.9586,0.8134,0.886,0.5269,0.4832,0.5051
13.6,-0.1395,0.7423,0.7192,0.5562,0.7089,0.6326,0.9572,0.8247,0.8909,0.5486,0.4769,0.5128
13.7,-0.1708,0.7625,0.6639,0.5861,0.7244,0.6553,0.9564,0.8365,0.8965,0.5667,0.4713,0.519
13.8,-0.1959,0.7837,0.6052,0.6191,0.7422,0.6806,0.9562,0.8493,0.9028,0.5813,0.4663,0.5238
13.9,-0.217,0.8052,0.5458,0.6536,0.7623,0.7079,0.9562,0.8634,0.9098,0.592,0.4611,0.5266
14,-0.2363,0.8272,0.4884,0.6892,0.7856,0.7374,0.9559,0.8794,0.9176,0.5988,0.4554,0.5271
14.1,-0.2556,0.8504,0.435,0.727,0.813,0.77,0.9548,0.8969,0.9259,0.6023,0.4498,0.526
14.2,-0.2761,0.8751,0.3871,0.7676,0.8446,0.8061,0.9523,0.9155,0.9339,0.603,0.4452,0.5241
14.3,-0.2985,0.9008,0.3455,0.8109,0.8801,0.8455,0.9477,0.9351,0.9414,0.6014,0.4421,0.5217
14.4,-0.3231,0.9271,0.3107,0.856,0.9196,0.8878,0.9403,0.9562,0.9483,0.5973,0.4397,0.5185
14.5,-0.3498,0.9536,0.2834,0.9016,0.9633,0.9325,0.9298,0.9787,0.9542,0.5901,0.4371,0.5136
