Time,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC
21.2,0.3757,0.7489,0.6088,0.8362,0.6578,0.747,0.5009,0.6718,0.5864,0.321,0.2393,0.2802
21.3,0.3052,0.7481,0.5922,0.8106,0.656,0.7333,0.471,0.6382,0.5546,0.318,0.2226,0.2703
21.4,0.2304,0.7468,0.5719,0.783,0.6534,0.7182,0.4385,0.6019,0.5202,0.3162,0.208,0.2621
21.5,0.1512,0.7446,0.5487,0.7535,0.6505,0.702,0.404,0.5653,0.4847,0.3151,0.1957,0.2554
21.6,0.0679,0.7414,0.5241,0.7225,0.648,0.6852,0.3684,0.5302,0.4493,0.3148,0.186,0.2504
21.7,-0.0179,0.7369,0.4992,0.6905,0.6461,0.6683,0.3321,0.4978,0.4149,0.315,0.1796,0.2473
21.8,-0.1042,0.7312,0.4745,0.6582,0.6451,0.6517,0.2959,0.4683,0.3821,0.3158,0.1766,0.2462
21.9,-0.1893,0.7244,0.4507,0.6269,0.6451,0.636,0.2607,0.4419,0.3513,0.3169,0.1766,0.2468
22,-0.2719,0.7166,0.4283,0.5977,0.6462,0.622,0.2276,0.419,0.3233,0.318,0.1794,0.2487
22.1,-0.3511,0.7079,0.4084,0.5717,0.649,0.6103,0.1978,0.4002,0.299,0.319,0.1846,0.2518
22.2,-0.4261,0.6984,0.3916,0.5493,0.6537,0.6015,0.1723,0.386,0.2792,0.3201,0.1917,0.2559
22.3,-0.496,0.6881,0.3781,0.5308,0.6601,0.5954,0.1519,0.3763,0.2641,0.3214,0.2006,0.261
22.4,-0.559,0.6773,0.3679,0.5159,0.6676,0.5918,0.137,0.3708,0.2539,0.323,0.2115,0.2673
22.5,-0.6138,0.6661,0.3614,0.5047,0.6762,0.5904,0.128,0.3693,0.2487,0.3249,0.2247,0.2748
22.6,-0.6588,0.6549,0.3589,0.497,0.686,0.5915,0.1253,0.3723,0.2488,0.3271,0.2403,0.2837
22.7,-0.693,0.644,0.3606,0.4926,0.697,0.5948,0.1292,0.3797,0.2544,0.33,0.2588,0.2944
22.8,-0.716,0.6337,0.3667,0.4911,0.7084,0.5998,0.1397,0.3918,0.2657,0.3336,0.2807,0.3072
22.9,-0.7279,0.6243,0.3769,0.4921,0.7196,0.6058,0.1562,0.4084,0.2823,0.3381,0.3069,0.3225
23,-0.7287,0.616,0.391,0.4955,0.73,0.6127,0.178,0.4291,0.3036,0.3437,0.3379,0.3408
23.1,-0.7185,0.6095,0.4081,0.5016,0.7393,0.6204,0.2039,0.453,0.3285,0.3506,0.3732,0.3619
23.2,-0.6971,0.6056,0.4267,0.5104,0.7475,0.6289,0.2322,0.4788,0.3555,0.3582,0.4116,0.3849
23.3,-0.6651,0.6041,0.445,0.5216,0.7542,0.6379,0.2612,0.5049,0.3831,0.3655,0.4513,0.4084
23.4,-0.6233,0.6046,0.4614,0.5345,0.7585,0.6465,0.2892,0.5295,0.4094,0.3717,0.4902,0.431
23.5,-0.573,0.6058,0.4745,0.5478,0.7593,0.6535,0.3152,0.5513,0.4332,0.3761,0.5265,0.4513
23.6,-0.5159,0.6069,0.4836,0.5612,0.7562,0.6587,0.3391,0.5692,0.4541,0.3787,0.5577,0.4682
23.7,-0.4539,0.6075,0.4882,0.5746,0.7502,0.6624,0.3615,0.5824,0.4719,0.3802,0.5813,0.4807
23.8,-0.388,0.6075,0.4873,0.5877,0.7418,0.6648,0.3827,0.5898,0.4863,0.3813,0.595,0.4882
23.9,-0.319,0.6068,0.4799,0.6,0.7312,0.6656,0.4019,0.5904,0.4962,0.3826,0.5979,0.4903
24,-0.2476,0.6044,0.4658,0.6107,0.7175,0.6641,0.417,0.5833,0.5002,0.3841,0.5902,0.4872
24.1,-0.1753,0.5996,0.4458,0.6189,0.7001,0.6595,0.4261,0.5682,0.4971,0.3851,0.5729,0.479
24.2,-0.1044,0.5919,0.4221,0.6246,0.6795,0.652,0.4278,0.5455,0.4867,0.3849,0.5474,0.4661
24.3,-0.0367,0.5815,0.3974,0.6282,0.6571,0.6426,0.4222,0.5173,0.4698,0.3831,0.5163,0.4497
24.4,0.0268,0.569,0.3744,0.6304,0.6347,0.6325,0.4109,0.4862,0.4485,0.3801,0.4827,0.4314
24.5,0.0858,0.5541,0.3548,0.6325,0.6133,0.6229,0.3958,0.4546,0.4252,0.3764,0.4487,0.4125
24.6,0.1392,0.5367,0.339,0.6355,0.5938,0.6147,0.3786,0.4246,0.4016,0.3716,0.4156,0.3936
24.7,0.1864,0.517,0.327,0.6402,0.5769,0.6086,0.3601,0.3978,0.3789,0.3653,0.3841,0.3747
24.8,0.2267,0.4954,0.3186,0.647,0.5629,0.605,0.341,0.3752,0.3581,0.3573,0.3553,0.3563
24.9,0.2603,0.4729,0.3139,0.655,0.552,0.6035,0.3214,0.3575,0.3394,0.3475,0.33,0.3388
25,0.2881,0.4506,0.3132,0.6631,0.5442,0.6037,0.3017,0.3446,0.3232,0.3361,0.3088,0.3225
25.1,0.311,0.4292,0.3163,0.6705,0.5398,0.6052,0.2826,0.3367,0.3096,0.3236,0.2912,0.3074
25.2,0.3293,0.4095,0.3225,0.6769,0.5397,0.6083,0.2652,0.3337,0.2994,0.31,0.2761,0.2931
25.3,0.3425,0.392,0.3304,0.682,0.5447,0.6133,0.2507,0.3357,0.2932,0.2956,0.2628,0.2792
25.4,0.3506,0.3774,0.3387,0.6857,0.5549,0.6203,0.2402,0.3428,0.2915,0.2812,0.2512,0.2662
25.5,0.3545,0.366,0.3466,0.6877,0.5693,0.6285,0.2347,0.3548,0.2948,0.2681,0.2413,0.2547
25.6,0.3564,0.358,0.3541,0.6876,0.5861,0.6369,0.2353,0.3713,0.3033,0.2578,0.2335,0.2456
25.7,0.359,0.3533,0.3614,0.6857,0.6037,0.6447,0.2427,0.392,0.3174,0.2512,0.2278,0.2395
25.8,0.3634,0.3525,0.3683,0.6826,0.621,0.6518,0.2572,0.4171,0.3371,0.2486,0.2243,0.2365
25.9,0.3685,0.3559,0.374,0.6784,0.6376,0.658,0.2784,0.4458,0.3621,0.2499,0.2226,0.2362
26,0.3718,0.3635,0.3777,0.673,0.6526,0.6628,0.3052,0.4761,0.3906,0.255,0.2222,0.2386
26.1,0.3715,0.3751,0.3787,0.6662,0.6655,0.6658,0.3359,0.505,0.4204,0.2639,0.2227,0.2433
26.2,0.3669,0.3902,0.3774,0.6585,0.6756,0.667,0.3691,0.5303,0.4497,0.2774,0.224,0.2507
26.3,0.3585,0.4078,0.3745,0.65,0.6826,0.6663,0.4043,0.5507,0.4775,0.2964,0.2263,0.2614
26.4,0.348,0.4267,0.3707,0.6409,0.6859,0.6634,0.4416,0.5661,0.5038,0.3223,0.23,0.2762
26.5,0.3373,0.4453,0.3666,0.6312,0.6851,0.6581,0.4807,0.576,0.5283,0.3555,0.2354,0.2955
26.6,0.3278,0.4621,0.3627,0.6209,0.6796,0.6503,0.5213,0.5798,0.5505,0.3954,0.2426,0.319
26.7,0.3212,0.4757,0.3601,0.6102,0.6696,0.6399,0.5633,0.5769,0.5701,0.441,0.2516,0.3463
26.8,0.3174,0.4855,0.36,0.5989,0.6556,0.6273,0.6067,0.5673,0.587,0.4907,0.2627,0.3767
26.9,0.3148,0.4913,0.3633,0.5869,0.6383,0.6126,0.6502,0.5516,0.6009,0.5426,0.2762,0.4094
27,0.3108,0.4931,0.3706,0.5737,0.6187,0.5962,0.6917,0.5309,0.6113,0.5942,0.292,0.4431
27.1,0.3036,0.4914,0.3818,0.5591,0.5976,0.5784,0.7289,0.5062,0.6176,0.6424,0.31,0.4762
27.2,0.2929,0.4871,0.3963,0.5436,0.5758,0.5597,0.7598,0.4791,0.6194,0.6844,0.3298,0.5071
27.3,0.2792,0.4811,0.4141,0.528,0.5538,0.5409,0.7836,0.4512,0.6174,0.7184,0.3513,0.5348
27.4,0.2633,0.4741,0.4351,0.5128,0.5321,0.5225,0.7999,0.4242,0.6121,0.7442,0.3744,0.5593
27.5,0.2445,0.4669,0.4595,0.4984,0.511,0.5047,0.8094,0.3996,0.6045,0.7622,0.3991,0.5806
27.6,0.2224,0.46,0.4868,0.485,0.4911,0.4881,0.8132,0.378,0.5956,0.7733,0.4248,0.5991
27.7,0.1972,0.4541,0.5157,0.4734,0.4733,0.4734,0.812,0.3598,0.5859,0.7784,0.4506,0.6145
27.8,0.1706,0.4496,0.5446,0.4645,0.458,0.4612,0.806,0.3449,0.5755,0.7776,0.4754,0.6265
27.9,0.1438,0.4465,0.5715,0.4583,0.4451,0.4517,0.7952,0.3335,0.5644,0.7707,0.4979,0.6343
28,0.1165,0.4446,0.5948,0.4542,0.4344,0.4443,0.7796,0.3254,0.5525,0.7582,0.517,0.6376
28.1,0.0878,0.4436,0.6131,0.451,0.4255,0.4382,0.7599,0.3209,0.5404,0.7413,0.532,0.6366
28.2,0.0573,0.4438,0.6268,0.4482,0.4188,0.4335,0.7374,0.3202,0.5288,0.7218,0.543,0.6324
28.3,0.026,0.4455,0.6368,0.446,0.4152,0.4306,0.7138,0.324,0.5189,0.702,0.5506,0.6263
28.4,-0.0045,0.4489,0.6437,0.4447,0.4151,0.4299,0.6904,0.3328,0.5116,0.6833,0.5559,0.6196
28.5,-0.0327,0.4534,0.6475,0.4451,0.4185,0.4318,0.6682,0.3469,0.5076,0.6665,0.5589,0.6127
28.6,-0.0572,0.4582,0.6481,0.4471,0.4241,0.4356,0.6478,0.3662,0.507,0.6516,0.5593,0.6054
28.7,-0.0769,0.4626,0.6462,0.4509,0.4308,0.4409,0.6296,0.3901,0.5099,0.6385,0.5567,0.5976
28.8,-0.0902,0.4671,0.6428,0.4577,0.4385,0.4481,0.6141,0.4186,0.5163,0.6277,0.5514,0.5895
28.9,-0.0959,0.4723,0.6393,0.4686,0.4473,0.458,0.6015,0.4516,0.5266,0.6192,0.5436,0.5814
29,-0.0934,0.4787,0.6367,0.4844,0.4577,0.4711,0.5917,0.4891,0.5404,0.6136,0.5338,0.5737
29.1,-0.0831,0.4863,0.6344,0.5052,0.4699,0.4876,0.5843,0.5299,0.5571,0.6113,0.5221,0.5667
29.2,-0.0662,0.4947,0.6318,0.5309,0.4836,0.5072,0.5794,0.572,0.5757,0.612,0.5086,0.5603
29.3,-0.0435,0.5034,0.6286,0.5602,0.4981,0.5292,0.5771,0.6128,0.5949,0.6157,0.4936,0.5547
29.4,-0.0157,0.5118,0.6256,0.5919,0.5125,0.5522,0.5772,0.6506,0.6139,0.6226,0.478,0.5503
29.5,0.0167,0.5193,0.6237,0.6245,0.526,0.5753,0.5796,0.6846,0.6321,0.6337,0.4628,0.5482
29.6,0.0523,0.526,0.6237,0.657,0.5383,0.5977,0.5839,0.7149,0.6494,0.6491,0.4497,0.5494
29.7,0.0895,0.5321,0.6255,0.6885,0.5494,0.619,0.5901,0.7416,0.6658,0.6684,0.4402,0.5543
29.8,0.1266,0.5377,0.6287,0.7186,0.559,0.6388,0.5977,0.7646,0.6812,0.6901,0.4352,0.5626
29.9,0.1617,0.5432,0.6332,0.7468,0.567,0.6569,0.6059,0.7841,0.695,0.7119,0.435,0.5734
