Time,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10,0.0653,0.6995,0.9457,0.7757,0.8568,0.8163,1.0564,0.8896,0.973,0.9382,0.9494,0.9438
10.1,0.071,0.6993,0.9333,0.7728,0.8526,0.8127,1.0441,0.8838,0.9639,0.9226,0.9319,0.9273
10.2,0.0752,0.6979,0.9191,0.768,0.8463,0.8071,1.0285,0.877,0.9528,0.904,0.9127,0.9083
10.3,0.078,0.6949,0.9031,0.7617,0.8385,0.8001,1.0102,0.8694,0.9398,0.8824,0.8919,0.8872
10.4,0.0787,0.6904,0.8855,0.7547,0.8301,0.7924,0.9896,0.8609,0.9253,0.8582,0.8698,0.864
10.5,0.0772,0.6849,0.8665,0.748,0.822,0.785,0.9676,0.8517,0.9096,0.8318,0.8468,0.8393
10.6,0.0739,0.6789,0.8471,0.7422,0.8147,0.7785,0.945,0.8417,0.8934,0.8038,0.8238,0.8138
10.7,0.0695,0.6722,0.8279,0.7376,0.8082,0.7729,0.9225,0.8311,0.8768,0.7752,0.8015,0.7883
10.8,0.064,0.6645,0.8095,0.7339,0.8024,0.7682,0.901,0.8199,0.8605,0.7469,0.7807,0.7638
10.9,0.0569,0.6561,0.7924,0.7308,0.7971,0.764,0.8811,0.8084,0.8448,0.7202,0.7619,0.7411
11,0.0475,0.6474,0.7772,0.7284,0.7925,0.7605,0.8635,0.7971,0.8303,0.696,0.7456,0.7208
11.1,0.0359,0.6393,0.7647,0.727,0.789,0.758,0.8488,0.7865,0.8176,0.6753,0.7322,0.7038
11.2,0.0227,0.6321,0.7557,0.7266,0.7869,0.7567,0.8375,0.7773,0.8074,0.6585,0.7221,0.6903
11.3,0.0087,0.626,0.7504,0.7274,0.7863,0.7569,0.8301,0.7698,0.7999,0.6457,0.7152,0.6805
