Time,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
15.3,-0.041,0.4874,0.1142,0.4156,0.6301,0.5229,0.2603,0.245,0.2526,0.3532,0.4014,0.3773
15.4,-0.0164,0.4793,0.1115,0.4234,0.6167,0.52,0.2926,0.2381,0.2653,0.3542,0.4119,0.3831
15.5,0.0057,0.4698,0.1093,0.4278,0.6026,0.5152,0.3271,0.229,0.2781,0.3558,0.4218,0.3888
15.6,0.025,0.4593,0.1088,0.4302,0.5881,0.5092,0.3631,0.2195,0.2913,0.358,0.4313,0.3947
15.7,0.0412,0.4481,0.1104,0.4311,0.5732,0.5022,0.3994,0.2106,0.305,0.3611,0.4406,0.4008
15.8,0.0543,0.4361,0.1141,0.4308,0.5577,0.4942,0.4349,0.2025,0.3187,0.3649,0.4496,0.4072
15.9,0.064,0.4235,0.1188,0.4296,0.5411,0.4854,0.4684,0.195,0.3317,0.369,0.4581,0.4136
16,0.0699,0.4104,0.1234,0.4273,0.5232,0.4753,0.499,0.188,0.3435,0.3729,0.4654,0.4191
16.1,0.0721,0.3967,0.1271,0.4237,0.5038,0.4638,0.5264,0.1818,0.3541,0.3761,0.4709,0.4235
16.2,0.0716,0.3827,0.1294,0.4183,0.4834,0.4509,0.5504,0.1765,0.3634,0.3788,0.4745,0.4266
16.3,0.0695,0.3688,0.1305,0.4109,0.4631,0.437,0.571,0.1723,0.3717,0.381,0.4768,0.4289
16.4,0.0672,0.3559,0.1307,0.4018,0.444,0.4229,0.588,0.1697,0.3788,0.3828,0.4779,0.4303
16.5,0.0652,0.3445,0.1306,0.3914,0.4271,0.4092,0.6012,0.169,0.3851,0.384,0.478,0.431
16.6,0.0645,0.3348,0.1303,0.3803,0.4129,0.3966,0.6106,0.1705,0.3905,0.3845,0.4769,0.4307
16.7,0.0659,0.3271,0.1297,0.3683,0.4018,0.3851,0.6161,0.1739,0.395,0.3849,0.4751,0.43
16.8,0.0693,0.3216,0.1287,0.3555,0.3939,0.3747,0.6176,0.1793,0.3984,0.3856,0.4733,0.4294
16.9,0.0734,0.3189,0.128,0.3418,0.3892,0.3655,0.6154,0.1872,0.4013,0.3865,0.4719,0.4292
17,0.0765,0.3191,0.1277,0.3273,0.3874,0.3574,0.6098,0.198,0.4039,0.3873,0.4705,0.4289
17.1,0.0784,0.3214,0.1275,0.312,0.3879,0.3499,0.6011,0.2114,0.4063,0.3873,0.4681,0.4277
17.2,0.0799,0.325,0.1263,0.2953,0.3902,0.3428,0.5895,0.2263,0.4079,0.3861,0.4639,0.425
17.3,0.0816,0.329,0.1225,0.2771,0.3939,0.3355,0.5753,0.2414,0.4083,0.3836,0.458,0.4208
17.4,0.0833,0.3334,0.1152,0.2579,0.3993,0.3286,0.5588,0.2557,0.4072,0.3796,0.4509,0.4152
17.5,0.0849,0.3388,0.1043,0.239,0.4067,0.3228,0.5403,0.2681,0.4042,0.3742,0.4426,0.4084
