Time,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC
21.3,-0.1383,0.4342,0.4377,0.3658,0.386,0.3759,0.5987,0.343,0.4708,0.4934,0.5611,0.5273
21.4,-0.1507,0.4312,0.4304,0.3457,0.3853,0.3655,0.5817,0.3351,0.4584,0.5091,0.5644,0.5368
21.5,-0.1628,0.4293,0.4224,0.3259,0.3854,0.3557,0.5626,0.3272,0.4449,0.5213,0.5648,0.543
21.6,-0.1744,0.4286,0.4134,0.307,0.3867,0.3468,0.542,0.3195,0.4307,0.5306,0.5624,0.5465
21.7,-0.186,0.4292,0.4032,0.2883,0.3888,0.3385,0.5206,0.3118,0.4162,0.5379,0.5575,0.5477
21.8,-0.1984,0.4317,0.3924,0.2698,0.3915,0.3307,0.4994,0.3043,0.4018,0.5432,0.5499,0.5465
21.9,-0.2122,0.4364,0.3816,0.2523,0.3953,0.3238,0.4796,0.2973,0.3884,0.5465,0.5398,0.5432
22,-0.2267,0.4437,0.3712,0.2371,0.4009,0.319,0.4617,0.291,0.3764,0.5478,0.5282,0.538
22.1,-0.2404,0.4535,0.3617,0.2258,0.4086,0.3172,0.446,0.2858,0.3659,0.5476,0.5164,0.532
22.2,-0.2516,0.4659,0.3537,0.2193,0.4183,0.3188,0.433,0.2818,0.3574,0.547,0.5057,0.5263
22.3,-0.2595,0.4804,0.3481,0.2178,0.43,0.3239,0.4236,0.2798,0.3517,0.5473,0.4968,0.522
22.4,-0.2646,0.4965,0.3458,0.2214,0.4442,0.3328,0.4184,0.2804,0.3494,0.5491,0.4899,0.5195
22.5,-0.2686,0.5136,0.347,0.2297,0.4612,0.3454,0.4182,0.2835,0.3509,0.5528,0.4849,0.5188
22.6,-0.2727,0.5305,0.3517,0.2414,0.4806,0.361,0.4226,0.2891,0.3558,0.5584,0.4815,0.52
22.7,-0.2773,0.5458,0.3598,0.2548,0.5009,0.3778,0.431,0.2967,0.3639,0.5657,0.4792,0.5225
22.8,-0.2824,0.5593,0.3712,0.2683,0.5209,0.3946,0.4432,0.3065,0.3749,0.5745,0.4776,0.526
22.9,-0.2882,0.5715,0.3855,0.282,0.5399,0.411,0.4598,0.3189,0.3893,0.5848,0.4765,0.5306
23,-0.2945,0.5833,0.4024,0.2965,0.5588,0.4277,0.4815,0.3343,0.4079,0.5978,0.4763,0.537
23.1,-0.3001,0.5947,0.4212,0.3128,0.5783,0.4455,0.509,0.3529,0.4309,0.6145,0.4779,0.5462
23.2,-0.3035,0.6049,0.4419,0.3311,0.5978,0.4644,0.5421,0.375,0.4585,0.6357,0.4825,0.5591
23.3,-0.3039,0.6133,0.464,0.3513,0.6167,0.484,0.5793,0.401,0.4902,0.6607,0.4907,0.5757
23.4,-0.3007,0.6203,0.4868,0.3738,0.6345,0.5041,0.6188,0.4308,0.5248,0.6884,0.5022,0.5953
23.5,-0.2939,0.6269,0.5087,0.3992,0.6514,0.5253,0.6586,0.4635,0.561,0.7171,0.5164,0.6168
23.6,-0.2832,0.6336,0.528,0.4278,0.6671,0.5475,0.6971,0.4975,0.5973,0.7457,0.5327,0.6392
23.7,-0.2685,0.6406,0.5435,0.4592,0.6811,0.5701,0.7329,0.5316,0.6322,0.773,0.5504,0.6617
23.8,-0.2497,0.6476,0.5546,0.4917,0.6927,0.5922,0.7656,0.5653,0.6654,0.7984,0.5691,0.6838
23.9,-0.2262,0.6548,0.5619,0.5243,0.7012,0.6127,0.795,0.599,0.697,0.8209,0.5879,0.7044
24,-0.1971,0.6627,0.5657,0.5564,0.7063,0.6314,0.8209,0.6329,0.7269,0.8393,0.6059,0.7226
24.1,-0.162,0.6717,0.5663,0.5881,0.7085,0.6483,0.8422,0.6662,0.7542,0.8528,0.6226,0.7377
24.2,-0.1213,0.6813,0.5636,0.6181,0.7077,0.6629,0.8574,0.6973,0.7773,0.8607,0.6379,0.7493
24.3,-0.0752,0.6908,0.5577,0.6448,0.7037,0.6742,0.8656,0.724,0.7948,0.8628,0.6517,0.7572
24.4,-0.0243,0.6997,0.549,0.6669,0.6962,0.6816,0.8674,0.7458,0.8066,0.8595,0.6638,0.7617
24.5,0.03,0.7079,0.5381,0.6842,0.6858,0.685,0.8639,0.7627,0.8133,0.8519,0.6741,0.763
24.6,0.0862,0.716,0.526,0.6966,0.6729,0.6847,0.8566,0.7752,0.8159,0.8401,0.6824,0.7613
24.7,0.1431,0.7244,0.514,0.7043,0.6583,0.6813,0.8459,0.7838,0.8148,0.824,0.6886,0.7563
24.8,0.1994,0.7332,0.5026,0.7074,0.6421,0.6748,0.8325,0.7887,0.8106,0.8036,0.6925,0.748
24.9,0.2532,0.7426,0.4927,0.7056,0.6251,0.6654,0.8168,0.7904,0.8036,0.7799,0.6941,0.737
25,0.3023,0.7524,0.4846,0.6991,0.6078,0.6534,0.7993,0.7892,0.7943,0.7535,0.693,0.7232
25.1,0.3448,0.7626,0.4789,0.689,0.5905,0.6397,0.7803,0.786,0.7832,0.7245,0.6893,0.7069
25.2,0.3802,0.773,0.4762,0.6766,0.5737,0.6251,0.76,0.7814,0.7707,0.6922,0.6838,0.688
25.3,0.4082,0.7839,0.4771,0.6629,0.5583,0.6106,0.7386,0.7762,0.7574,0.6565,0.6774,0.667
25.4,0.4287,0.7953,0.4817,0.6487,0.5451,0.5969,0.7159,0.7707,0.7433,0.6181,0.6715,0.6448
25.5,0.4407,0.8076,0.4899,0.6342,0.5349,0.5845,0.6922,0.7655,0.7288,0.5778,0.6665,0.6222
25.6,0.4432,0.8207,0.5013,0.6193,0.5282,0.5738,0.6676,0.7611,0.7143,0.5359,0.6623,0.5991
25.7,0.4352,0.8351,0.5155,0.6042,0.5256,0.5649,0.6426,0.7574,0.7,0.4924,0.6582,0.5753
25.8,0.4154,0.8506,0.5319,0.5885,0.5272,0.5579,0.6176,0.7539,0.6858,0.4483,0.6542,0.5513
25.9,0.3839,0.8662,0.5497,0.5723,0.5326,0.5525,0.593,0.7499,0.6715,0.4055,0.651,0.5283
26,0.3426,0.881,0.5685,0.5556,0.5407,0.5481,0.5695,0.7452,0.6573,0.3658,0.6493,0.5076
26.1,0.2946,0.8944,0.5879,0.5391,0.5504,0.5447,0.5476,0.74,0.6438,0.3306,0.6495,0.49
26.2,0.2439,0.9061,0.6074,0.5239,0.5615,0.5427,0.5283,0.7346,0.6314,0.3011,0.6514,0.4763
26.3,0.1938,0.9159,0.6269,0.5111,0.5743,0.5427,0.5122,0.7293,0.6208,0.2784,0.6552,0.4668
26.4,0.1467,0.9226,0.646,0.501,0.5886,0.5448,0.4995,0.7239,0.6117,0.2631,0.6606,0.4618
26.5,0.1033,0.9248,0.6644,0.4928,0.6033,0.5481,0.4895,0.7182,0.6038,0.2551,0.6671,0.4611
26.6,0.0621,0.922,0.6818,0.4856,0.6172,0.5514,0.4813,0.7119,0.5966,0.2539,0.6735,0.4637
26.7,0.0218,0.9156,0.6978,0.4793,0.6302,0.5547,0.4747,0.7048,0.5897,0.2585,0.6787,0.4686
26.8,-0.0178,0.9078,0.7118,0.4747,0.6427,0.5587,0.4705,0.6968,0.5837,0.2684,0.6824,0.4754
26.9,-0.0569,0.8998,0.7238,0.4728,0.6553,0.564,0.4698,0.6885,0.5792,0.284,0.6848,0.4844
27,-0.0961,0.8914,0.7342,0.4738,0.6674,0.5706,0.4736,0.6811,0.5774,0.3055,0.6856,0.4956
27.1,-0.1361,0.8818,0.7435,0.4765,0.6785,0.5775,0.4824,0.676,0.5792,0.3329,0.6842,0.5085
27.2,-0.176,0.8708,0.7521,0.48,0.6881,0.5841,0.4959,0.6738,0.5849,0.3652,0.6794,0.5223
27.3,-0.2139,0.8589,0.7603,0.4846,0.6966,0.5906,0.5133,0.6748,0.594,0.4012,0.6709,0.5361
27.4,-0.2483,0.847,0.7684,0.4911,0.7044,0.5978,0.5336,0.6788,0.6062,0.4401,0.6593,0.5497
27.5,-0.2792,0.8354,0.7765,0.4997,0.7118,0.6058,0.5563,0.6854,0.6209,0.4813,0.646,0.5636
27.6,-0.3073,0.8241,0.7841,0.5096,0.7181,0.6138,0.581,0.6944,0.6377,0.5235,0.6323,0.5779
27.7,-0.3324,0.813,0.7911,0.5201,0.7226,0.6214,0.6073,0.7058,0.6565,0.5647,0.619,0.5919
27.8,-0.3542,0.8025,0.7976,0.5313,0.7252,0.6282,0.6348,0.7198,0.6773,0.603,0.6062,0.6046
27.9,-0.3728,0.7935,0.8041,0.5433,0.726,0.6346,0.6624,0.7367,0.6995,0.6364,0.5939,0.6151
28,-0.3885,0.7865,0.8103,0.5565,0.7251,0.6408,0.6884,0.756,0.7222,0.6617,0.5818,0.6218
28.1,-0.4015,0.7816,0.8156,0.5707,0.7222,0.6464,0.7112,0.7766,0.7439,0.6774,0.5691,0.6233
28.2,-0.4119,0.7782,0.819,0.5855,0.7168,0.6512,0.7299,0.7971,0.7635,0.6838,0.555,0.6194
28.3,-0.4196,0.7758,0.8195,0.6005,0.709,0.6547,0.7441,0.8161,0.7801,0.6814,0.5392,0.6103
28.4,-0.4244,0.7739,0.8173,0.615,0.6987,0.6568,0.7534,0.8326,0.793,0.6703,0.522,0.5961
28.5,-0.4255,0.7719,0.8127,0.6278,0.6858,0.6568,0.7572,0.8459,0.8015,0.65,0.504,0.577
28.6,-0.4224,0.769,0.8056,0.6379,0.6709,0.6544,0.7548,0.8553,0.805,0.6208,0.4855,0.5531
28.7,-0.415,0.7647,0.7951,0.6442,0.6544,0.6493,0.7464,0.8596,0.803,0.5838,0.4655,0.5247
28.8,-0.4037,0.7585,0.7803,0.6467,0.6371,0.6419,0.7323,0.8583,0.7953,0.5407,0.4436,0.4921
28.9,-0.3899,0.75,0.7605,0.6455,0.619,0.6322,0.7131,0.8507,0.7819,0.4936,0.4196,0.4566
29,-0.3754,0.7392,0.7356,0.6402,0.6,0.6201,0.6892,0.8367,0.763,0.4446,0.394,0.4193
29.1,-0.3616,0.7261,0.7062,0.6312,0.5802,0.6057,0.6612,0.8165,0.7389,0.3953,0.3671,0.3812
29.2,-0.3491,0.7111,0.6732,0.6188,0.5597,0.5893,0.6297,0.7903,0.71,0.347,0.3393,0.3432
29.3,-0.3389,0.694,0.6377,0.6034,0.5387,0.571,0.5954,0.759,0.6772,0.3009,0.3109,0.3059
29.4,-0.3312,0.675,0.601,0.5854,0.5174,0.5514,0.5592,0.7239,0.6415,0.2579,0.2824,0.2702
29.5,-0.3262,0.6546,0.5643,0.5655,0.4966,0.531,0.5224,0.6867,0.6046,0.2192,0.2542,0.2367
29.6,-0.324,0.6338,0.5287,0.5446,0.4771,0.5108,0.4857,0.6494,0.5676,0.1862,0.2265,0.2063
29.7,-0.3251,0.614,0.4948,0.5233,0.4597,0.4915,0.4502,0.6131,0.5316,0.1599,0.1994,0.1796
29.8,-0.3289,0.5962,0.4625,0.5023,0.4443,0.4733,0.4165,0.5782,0.4974,0.1408,0.1731,0.1569
29.9,-0.3344,0.5811,0.4313,0.4818,0.4309,0.4564,0.3854,0.5454,0.4654,0.1288,0.1479,0.1384
