Time,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC
21.4,0.1606,0.8323,0.4455,0.921,0.8078,0.8644,0.3627,0.4014,0.3821,0.8972,0.7821,0.8396
21.5,0.0927,0.8289,0.4725,0.9104,0.8318,0.8711,0.3634,0.418,0.3907,0.9062,0.7861,0.8462
21.6,0.0305,0.8232,0.4964,0.8946,0.851,0.8728,0.3678,0.4335,0.4007,0.9149,0.7876,0.8512
21.7,-0.0248,0.8159,0.5176,0.8745,0.8651,0.8698,0.3752,0.4473,0.4112,0.9223,0.7869,0.8546
21.8,-0.0726,0.8072,0.5363,0.8508,0.8738,0.8623,0.3852,0.4589,0.4221,0.9281,0.7845,0.8563
21.9,-0.1121,0.7968,0.5523,0.8238,0.8762,0.85,0.3982,0.4679,0.433,0.932,0.7808,0.8564
22,-0.1422,0.7845,0.5651,0.7937,0.8714,0.8326,0.4142,0.4739,0.4441,0.9338,0.776,0.8549
22.1,-0.163,0.7707,0.5745,0.7612,0.8599,0.8105,0.433,0.4774,0.4552,0.9336,0.7702,0.8519
22.2,-0.1759,0.7558,0.5803,0.7269,0.8424,0.7846,0.4534,0.4789,0.4662,0.9312,0.7632,0.8472
22.3,-0.1833,0.7399,0.5827,0.6916,0.82,0.7558,0.4741,0.4794,0.4768,0.9263,0.755,0.8406
22.4,-0.1868,0.7229,0.5822,0.6561,0.7931,0.7246,0.4942,0.4795,0.4869,0.9186,0.7454,0.832
22.5,-0.1869,0.7043,0.5792,0.6214,0.7621,0.6918,0.5132,0.4797,0.4964,0.9082,0.735,0.8216
22.6,-0.1832,0.6847,0.5741,0.5888,0.7278,0.6583,0.5313,0.48,0.5056,0.8955,0.7241,0.8098
22.7,-0.1753,0.665,0.5671,0.5596,0.6918,0.6257,0.5483,0.4809,0.5146,0.8807,0.7133,0.797
22.8,-0.1645,0.6464,0.5579,0.5347,0.6561,0.5954,0.5639,0.4823,0.5231,0.8638,0.7027,0.7833
22.9,-0.1524,0.6295,0.5459,0.5143,0.622,0.5682,0.577,0.4837,0.5303,0.845,0.6921,0.7685
23,-0.1396,0.6138,0.531,0.4982,0.5901,0.5441,0.5869,0.4839,0.5354,0.8242,0.681,0.7526
23.1,-0.1259,0.5992,0.5133,0.4865,0.5607,0.5236,0.5933,0.4823,0.5378,0.8016,0.6692,0.7354
23.2,-0.1105,0.5857,0.4936,0.4798,0.5345,0.5071,0.5963,0.4792,0.5377,0.7781,0.6567,0.7174
23.3,-0.0936,0.574,0.4728,0.4784,0.5122,0.4953,0.5964,0.4753,0.5358,0.7541,0.6438,0.6989
23.4,-0.0763,0.5648,0.4513,0.4823,0.4947,0.4885,0.5937,0.4708,0.5323,0.73,0.6308,0.6804
23.5,-0.0605,0.5585,0.4292,0.4908,0.4828,0.4868,0.5881,0.4653,0.5267,0.7059,0.6181,0.662
23.6,-0.0478,0.5549,0.4066,0.5032,0.4768,0.49,0.5795,0.4576,0.5186,0.6818,0.6054,0.6436
23.7,-0.0385,0.5538,0.3837,0.519,0.4767,0.4978,0.5682,0.4472,0.5077,0.658,0.5923,0.6252
23.8,-0.032,0.5545,0.361,0.5376,0.4821,0.5099,0.555,0.4341,0.4945,0.6348,0.5789,0.6068
23.9,-0.0265,0.5566,0.3387,0.5582,0.4919,0.5251,0.5406,0.419,0.4798,0.6126,0.5654,0.589
24,-0.0204,0.5595,0.3169,0.5798,0.5048,0.5423,0.526,0.4027,0.4643,0.5922,0.5526,0.5724
24.1,-0.013,0.5624,0.2955,0.6013,0.5192,0.5603,0.5119,0.3856,0.4488,0.5739,0.5407,0.5573
24.2,-0.0039,0.5643,0.2748,0.6213,0.5339,0.5776,0.4993,0.3682,0.4337,0.5577,0.5298,0.5438
24.3,0.0064,0.5647,0.255,0.639,0.5476,0.5933,0.4885,0.3508,0.4197,0.543,0.5198,0.5314
24.4,0.0179,0.5633,0.2363,0.6537,0.5589,0.6063,0.4799,0.3336,0.4068,0.5294,0.51,0.5197
24.5,0.0306,0.5602,0.2186,0.6648,0.567,0.6159,0.4733,0.3168,0.395,0.5164,0.5002,0.5083
24.6,0.0448,0.5557,0.2015,0.6721,0.5713,0.6217,0.4682,0.3009,0.3846,0.5041,0.49,0.497
24.7,0.0611,0.5503,0.185,0.6761,0.572,0.624,0.4648,0.2863,0.3756,0.4925,0.4793,0.4859
24.8,0.0796,0.5449,0.1693,0.6775,0.5699,0.6237,0.4635,0.2735,0.3685,0.482,0.4686,0.4753
24.9,0.1004,0.5399,0.1551,0.6773,0.5657,0.6215,0.4646,0.2631,0.3638,0.4731,0.4591,0.4661
25,0.1233,0.5355,0.1427,0.6757,0.5592,0.6174,0.4679,0.2552,0.3616,0.4663,0.4516,0.4589
25.1,0.1478,0.5313,0.1322,0.6722,0.5498,0.611,0.4729,0.2499,0.3614,0.4616,0.446,0.4538
25.2,0.1734,0.5269,0.1228,0.6661,0.5375,0.6018,0.4785,0.2471,0.3628,0.4586,0.4415,0.4501
25.3,0.1991,0.5224,0.1139,0.6573,0.5228,0.59,0.4841,0.2463,0.3652,0.4565,0.4366,0.4465
25.4,0.2241,0.5182,0.1052,0.6466,0.5068,0.5767,0.4893,0.2475,0.3684,0.4547,0.4303,0.4425
25.5,0.2472,0.5145,0.0971,0.6351,0.4907,0.5629,0.4939,0.2506,0.3722,0.453,0.4225,0.4377
25.6,0.2671,0.5113,0.0904,0.6236,0.4753,0.5494,0.4981,0.2554,0.3767,0.4515,0.4137,0.4326
25.7,0.2827,0.5084,0.0855,0.6121,0.4612,0.5367,0.5022,0.2611,0.3816,0.45,0.4044,0.4272
25.8,0.2935,0.5059,0.0823,0.6011,0.4484,0.5247,0.5063,0.2669,0.3866,0.4485,0.3951,0.4218
25.9,0.2996,0.5042,0.0808,0.591,0.4371,0.5141,0.5106,0.2718,0.3912,0.4471,0.3861,0.4166
26,0.3016,0.5039,0.0808,0.5828,0.4279,0.5053,0.5152,0.2754,0.3953,0.4458,0.378,0.4119
26.1,0.3004,0.5054,0.0828,0.5771,0.4209,0.499,0.5202,0.2778,0.399,0.445,0.3715,0.4082
26.2,0.2966,0.5084,0.0871,0.5743,0.4164,0.4953,0.5259,0.2796,0.4028,0.4447,0.367,0.4058
26.3,0.2908,0.5129,0.0942,0.5742,0.4142,0.4942,0.5327,0.2814,0.407,0.4453,0.3649,0.4051
26.4,0.2831,0.5185,0.1045,0.5767,0.4143,0.4955,0.5411,0.2835,0.4123,0.4467,0.3657,0.4062
26.5,0.2733,0.525,0.1174,0.5817,0.4168,0.4992,0.5512,0.2864,0.4188,0.4494,0.3695,0.4095
26.6,0.2611,0.5325,0.1324,0.5886,0.4217,0.5051,0.5629,0.2905,0.4267,0.4533,0.3765,0.4149
26.7,0.2459,0.5409,0.1486,0.5968,0.429,0.5129,0.5754,0.2962,0.4358,0.4584,0.3862,0.4223
26.8,0.2276,0.5501,0.1654,0.6055,0.4388,0.5222,0.5876,0.3035,0.4455,0.4639,0.3981,0.431
26.9,0.2064,0.56,0.1825,0.6144,0.4508,0.5326,0.5985,0.312,0.4553,0.4694,0.4116,0.4405
27,0.1835,0.57,0.1997,0.6235,0.4644,0.5439,0.6083,0.3215,0.4649,0.4749,0.4261,0.4505
27.1,0.1604,0.5798,0.2171,0.6325,0.4788,0.5556,0.6174,0.3323,0.4748,0.4807,0.4416,0.4611
27.2,0.1387,0.5886,0.2352,0.641,0.4929,0.5669,0.6262,0.3449,0.4855,0.4872,0.4583,0.4728
27.3,0.1201,0.5957,0.2538,0.6482,0.5056,0.5769,0.6348,0.3596,0.4972,0.4947,0.4764,0.4855
27.4,0.1052,0.6005,0.2727,0.6538,0.5159,0.5849,0.643,0.3758,0.5094,0.5029,0.4954,0.4991
27.5,0.0941,0.6023,0.291,0.6576,0.5227,0.5901,0.6505,0.3922,0.5213,0.5116,0.5147,0.5131
27.6,0.0864,0.601,0.3087,0.6592,0.5255,0.5924,0.6572,0.4075,0.5324,0.521,0.5338,0.5274
27.7,0.0817,0.597,0.3254,0.659,0.5242,0.5916,0.6632,0.4209,0.5421,0.5314,0.5521,0.5418
27.8,0.0802,0.5908,0.3415,0.6572,0.5194,0.5883,0.6683,0.4318,0.5501,0.5431,0.5696,0.5563
27.9,0.0825,0.5833,0.3569,0.6544,0.5118,0.5831,0.672,0.4397,0.5558,0.5564,0.5862,0.5713
28,0.0889,0.5749,0.3718,0.6512,0.502,0.5766,0.6738,0.444,0.5589,0.5714,0.6021,0.5868
28.1,0.0994,0.5658,0.386,0.6479,0.4906,0.5692,0.6736,0.4444,0.559,0.5883,0.617,0.6026
28.2,0.1138,0.5562,0.3996,0.6445,0.4776,0.5611,0.6714,0.4408,0.5561,0.6067,0.6306,0.6187
28.3,0.1314,0.5463,0.4127,0.6409,0.4633,0.5521,0.6676,0.4337,0.5506,0.6263,0.6429,0.6346
28.4,0.1511,0.5368,0.4254,0.6372,0.4483,0.5427,0.6622,0.4234,0.5428,0.6465,0.6534,0.65
28.5,0.1708,0.5285,0.4372,0.6334,0.4336,0.5335,0.655,0.4103,0.5327,0.6666,0.6622,0.6644
28.6,0.1879,0.5221,0.4483,0.6299,0.4205,0.5252,0.6464,0.3948,0.5206,0.6865,0.6692,0.6779
28.7,0.2004,0.5186,0.4586,0.6274,0.41,0.5187,0.6371,0.3779,0.5075,0.7065,0.6751,0.6908
28.8,0.2069,0.5186,0.4688,0.6269,0.4034,0.5152,0.628,0.3608,0.4944,0.7267,0.6803,0.7035
28.9,0.2075,0.5228,0.4791,0.6298,0.4015,0.5157,0.6201,0.3446,0.4824,0.7467,0.6847,0.7157
29,0.2021,0.5317,0.4892,0.6367,0.4045,0.5206,0.6138,0.3299,0.4718,0.7654,0.6877,0.7266
29.1,0.191,0.5457,0.4987,0.6475,0.4121,0.5298,0.6089,0.3164,0.4626,0.7818,0.6888,0.7353
29.2,0.1751,0.5646,0.5076,0.6619,0.4241,0.543,0.6054,0.3042,0.4548,0.7954,0.6874,0.7414
29.3,0.1555,0.5885,0.5161,0.6796,0.4409,0.5603,0.6037,0.2935,0.4486,0.806,0.6839,0.745
29.4,0.1339,0.6163,0.5241,0.7006,0.4625,0.5816,0.6043,0.2848,0.4445,0.814,0.6785,0.7463
29.5,0.1119,0.6466,0.5309,0.7245,0.4886,0.6065,0.6077,0.2785,0.4431,0.8193,0.6714,0.7453
29.6,0.0913,0.6773,0.5357,0.7497,0.5181,0.6339,0.6138,0.2748,0.4443,0.821,0.6621,0.7416
29.7,0.0735,0.7064,0.5377,0.7743,0.5494,0.6618,0.622,0.2738,0.4479,0.8184,0.6502,0.7343
29.8,0.0597,0.7328,0.5361,0.7962,0.5808,0.6885,0.6315,0.2753,0.4534,0.8112,0.6353,0.7232
29.9,0.0512,0.7555,0.5301,0.8145,0.6103,0.7124,0.6422,0.2793,0.4607,0.7995,0.6175,0.7085
