Time,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.8,-0.1243,0.6539,0.7066,0.6635,0.738,0.7008,0.4564,0.7548,0.6056,0.5488,0.6472,0.598
8.9,-0.1407,0.6542,0.7198,0.6617,0.7362,0.699,0.4726,0.7704,0.6215,0.5561,0.6648,0.6104
9,-0.1489,0.6556,0.7307,0.6634,0.7338,0.6986,0.4901,0.784,0.637,0.5654,0.6804,0.6229
9.1,-0.1501,0.6581,0.7393,0.6686,0.7306,0.6996,0.5084,0.7948,0.6516,0.5768,0.6939,0.6354
9.2,-0.1451,0.6609,0.7448,0.676,0.7265,0.7012,0.527,0.8017,0.6643,0.5902,0.705,0.6476
9.3,-0.1348,0.663,0.7463,0.6838,0.7209,0.7023,0.5449,0.8032,0.6741,0.6056,0.7132,0.6594
9.4,-0.1203,0.6635,0.7429,0.6907,0.7134,0.702,0.5614,0.7984,0.6799,0.6223,0.7183,0.6703
9.5,-0.1032,0.6622,0.735,0.6963,0.7041,0.7002,0.5758,0.7871,0.6815,0.6397,0.7201,0.6799
9.6,-0.0847,0.6596,0.7235,0.701,0.6933,0.6971,0.5882,0.7702,0.6792,0.6574,0.719,0.6882
9.7,-0.0654,0.6559,0.7096,0.7047,0.6807,0.6927,0.5983,0.7489,0.6736,0.6752,0.7158,0.6955
9.8,-0.0457,0.6508,0.6937,0.7065,0.6661,0.6863,0.6055,0.7245,0.665,0.693,0.7111,0.7021
9.9,-0.026,0.644,0.6757,0.7055,0.6491,0.6773,0.6091,0.6975,0.6533,0.7099,0.7053,0.7076
10,-0.0071,0.6356,0.655,0.7014,0.6296,0.6655,0.6083,0.6682,0.6382,0.7244,0.6985,0.7114
10.1,0.0101,0.6264,0.6319,0.6953,0.6082,0.6517,0.603,0.6373,0.6202,0.7354,0.6911,0.7132
10.2,0.0252,0.6171,0.6075,0.6881,0.5861,0.6371,0.5936,0.6063,0.5999,0.7424,0.6837,0.7131
10.3,0.038,0.6086,0.5825,0.6802,0.5641,0.6221,0.58,0.5764,0.5782,0.7457,0.6766,0.7112
10.4,0.0484,0.6014,0.5578,0.6712,0.5429,0.607,0.5621,0.5483,0.5552,0.7454,0.6696,0.7075
10.5,0.0559,0.5962,0.5345,0.6611,0.5227,0.5919,0.5398,0.5228,0.5313,0.7413,0.6622,0.7018
10.6,0.0604,0.5939,0.514,0.6502,0.504,0.5771,0.5141,0.5006,0.5073,0.7336,0.6547,0.6941
10.7,0.0618,0.5953,0.4975,0.6397,0.4873,0.5635,0.4867,0.4823,0.4845,0.7229,0.6475,0.6852
10.8,0.0607,0.6008,0.4853,0.6303,0.4731,0.5517,0.4595,0.4684,0.4639,0.7099,0.641,0.6755
10.9,0.0586,0.6102,0.4768,0.6223,0.4615,0.5419,0.4337,0.4585,0.4461,0.6953,0.6351,0.6652
11,0.0571,0.6232,0.4712,0.6156,0.4524,0.534,0.411,0.4522,0.4316,0.6793,0.629,0.6542
11.1,0.0569,0.6391,0.4679,0.6107,0.4457,0.5282,0.393,0.4494,0.4212,0.6622,0.6224,0.6423
11.2,0.0581,0.6573,0.4666,0.6083,0.4414,0.5248,0.3804,0.4499,0.4152,0.6442,0.6153,0.6297
11.3,0.0597,0.6764,0.4667,0.6085,0.4397,0.5241,0.3735,0.4538,0.4137,0.6253,0.608,0.6167
11.4,0.061,0.6954,0.4675,0.6116,0.4407,0.5261,0.3721,0.4607,0.4164,0.6057,0.6008,0.6033
11.5,0.0624,0.7132,0.4686,0.6174,0.4444,0.5309,0.3758,0.4703,0.423,0.5855,0.5935,0.5895
11.6,0.0642,0.7295,0.4698,0.6258,0.4507,0.5383,0.3838,0.4822,0.433,0.565,0.5859,0.5755
11.7,0.0664,0.7434,0.4712,0.6365,0.459,0.5478,0.395,0.4961,0.4455,0.5447,0.5785,0.5616
11.8,0.0689,0.7543,0.4727,0.6486,0.4686,0.5586,0.4081,0.511,0.4595,0.5246,0.5717,0.5481
11.9,0.071,0.7616,0.4739,0.6616,0.479,0.5703,0.4219,0.526,0.474,0.5051,0.5659,0.5355
12,0.0719,0.7657,0.4744,0.6753,0.4902,0.5827,0.4359,0.5407,0.4883,0.4866,0.5613,0.524
12.1,0.0706,0.7677,0.4744,0.6894,0.5027,0.596,0.4498,0.5549,0.5024,0.4702,0.5582,0.5142
12.2,0.0655,0.7683,0.4742,0.7033,0.5169,0.6101,0.4637,0.5687,0.5162,0.4567,0.5564,0.5066
12.3,0.0551,0.7675,0.4746,0.7162,0.5328,0.6245,0.4779,0.5815,0.5297,0.4468,0.556,0.5014
12.4,0.0387,0.7648,0.4757,0.727,0.55,0.6385,0.4919,0.5925,0.5422,0.4402,0.5566,0.4984
12.5,0.0168,0.7595,0.4772,0.7344,0.5678,0.6511,0.5048,0.5999,0.5524,0.4364,0.5581,0.4972
12.6,-0.0097,0.7517,0.4781,0.7376,0.5856,0.6616,0.5158,0.6029,0.5593,0.4353,0.5602,0.4978
12.7,-0.0398,0.7421,0.478,0.7364,0.6037,0.67,0.5242,0.601,0.5626,0.437,0.563,0.5
12.8,-0.0721,0.7316,0.4767,0.7309,0.6221,0.6765,0.5296,0.5949,0.5622,0.4411,0.5665,0.5038
12.9,-0.1041,0.7212,0.4741,0.7213,0.6406,0.6809,0.5317,0.5849,0.5583,0.4471,0.5708,0.5089
13,-0.1322,0.7114,0.4696,0.7073,0.6582,0.6827,0.53,0.5711,0.5506,0.4547,0.5756,0.5152
13.1,-0.1525,0.7024,0.4623,0.6887,0.6737,0.6812,0.5238,0.5533,0.5385,0.4636,0.5804,0.522
13.2,-0.1625,0.6941,0.4517,0.6659,0.6863,0.6761,0.5126,0.5313,0.5219,0.4731,0.5843,0.5287
13.3,-0.1623,0.6869,0.4378,0.64,0.696,0.668,0.4962,0.5055,0.5008,0.4826,0.5867,0.5347
13.4,-0.1533,0.6811,0.4213,0.6119,0.7031,0.6575,0.4753,0.4765,0.4759,0.4921,0.5876,0.5399
13.5,-0.1375,0.6768,0.4031,0.5821,0.7082,0.6452,0.4506,0.4459,0.4482,0.5017,0.587,0.5443
13.6,-0.1166,0.6736,0.3843,0.5507,0.7111,0.6309,0.4225,0.4154,0.419,0.5117,0.5851,0.5484
13.7,-0.0929,0.671,0.3661,0.5173,0.7112,0.6143,0.3915,0.3867,0.3891,0.5225,0.5819,0.5522
13.8,-0.0686,0.6683,0.3496,0.4821,0.7083,0.5952,0.3585,0.361,0.3597,0.5344,0.5776,0.556
