Time,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.1,0.1769,0.5535,0.6095,0.6555,0.5055,0.5805,0.7875,0.6897,0.7386,0.614,0.5394,0.5767
10.2,0.1971,0.5612,0.6337,0.6439,0.494,0.5689,0.7908,0.6775,0.7342,0.6195,0.544,0.5817
10.3,0.2135,0.5694,0.6533,0.6339,0.4835,0.5587,0.79,0.6621,0.7261,0.6202,0.5488,0.5845
10.4,0.226,0.5779,0.669,0.6251,0.4746,0.5498,0.785,0.6442,0.7146,0.6165,0.5547,0.5856
10.5,0.2348,0.587,0.6809,0.6176,0.4675,0.5426,0.776,0.6242,0.7001,0.6091,0.5618,0.5855
10.6,0.2394,0.597,0.6887,0.612,0.4624,0.5372,0.7634,0.6022,0.6828,0.5987,0.5703,0.5845
10.7,0.2395,0.6082,0.6924,0.6082,0.4591,0.5336,0.748,0.5779,0.663,0.586,0.5796,0.5828
10.8,0.2345,0.6204,0.6923,0.606,0.4574,0.5317,0.7311,0.5515,0.6413,0.5717,0.5894,0.5806
10.9,0.224,0.6336,0.6883,0.6053,0.4575,0.5314,0.7139,0.524,0.619,0.5564,0.599,0.5777
11,0.2083,0.6483,0.6801,0.6068,0.4601,0.5334,0.6979,0.4969,0.5974,0.5408,0.6077,0.5743
11.1,0.1885,0.6652,0.6668,0.611,0.4656,0.5383,0.6843,0.4716,0.578,0.5251,0.6149,0.57
11.2,0.1663,0.6844,0.6476,0.6187,0.4745,0.5466,0.6742,0.449,0.5616,0.5097,0.6212,0.5655
11.3,0.1435,0.7054,0.6231,0.6298,0.4865,0.5581,0.6684,0.43,0.5492,0.495,0.6277,0.5614
11.4,0.1215,0.7272,0.5943,0.6435,0.501,0.5722,0.6675,0.4157,0.5416,0.4812,0.6351,0.5581
11.5,0.1001,0.749,0.5627,0.6592,0.5176,0.5884,0.671,0.407,0.539,0.4685,0.6432,0.5559
11.6,0.0794,0.7703,0.5299,0.677,0.5363,0.6066,0.6781,0.4043,0.5412,0.457,0.6522,0.5546
11.7,0.0599,0.7906,0.4975,0.6971,0.557,0.627,0.6875,0.4071,0.5473,0.4469,0.6618,0.5543
11.8,0.0427,0.8093,0.4675,0.7197,0.5792,0.6494,0.6983,0.4145,0.5564,0.4384,0.672,0.5552
11.9,0.0283,0.8257,0.442,0.7444,0.6022,0.6733,0.7097,0.4257,0.5677,0.4316,0.682,0.5568
12,0.0166,0.8397,0.422,0.7711,0.6253,0.6982,0.7212,0.4404,0.5808,0.426,0.691,0.5585
