Time,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC
21.1,-0.297,0.5715,0.4376,0.5508,0.5645,0.5576,0.7068,0.4165,0.5616,0.6551,0.4553,0.5552
21.2,-0.3005,0.564,0.4387,0.54,0.5573,0.5486,0.686,0.398,0.542,0.6343,0.4444,0.5393
21.3,-0.3028,0.5562,0.4409,0.5315,0.5494,0.5405,0.6605,0.3824,0.5214,0.6136,0.4334,0.5235
21.4,-0.3025,0.5484,0.4438,0.5257,0.541,0.5334,0.6312,0.3702,0.5007,0.5941,0.4227,0.5084
21.5,-0.2989,0.5408,0.447,0.5225,0.5318,0.5272,0.5991,0.3615,0.4803,0.5766,0.413,0.4948
21.6,-0.2923,0.5335,0.4504,0.5213,0.5217,0.5215,0.5644,0.3564,0.4604,0.5615,0.4044,0.4829
21.7,-0.2831,0.5265,0.4541,0.5216,0.5106,0.5161,0.5275,0.3549,0.4412,0.5487,0.3968,0.4728
21.8,-0.2717,0.5196,0.4581,0.5226,0.4981,0.5104,0.4888,0.3565,0.4227,0.5381,0.3901,0.4641
21.9,-0.258,0.5128,0.4622,0.5237,0.4845,0.5041,0.4486,0.3605,0.4046,0.529,0.3837,0.4564
22,-0.2419,0.5057,0.4662,0.5244,0.4699,0.4972,0.4074,0.3661,0.3867,0.5205,0.3775,0.449
22.1,-0.2239,0.4988,0.4706,0.5245,0.455,0.4898,0.3659,0.3726,0.3692,0.5116,0.3712,0.4414
22.2,-0.205,0.4924,0.4755,0.5238,0.44,0.4819,0.3258,0.3796,0.3527,0.5019,0.3645,0.4332
22.3,-0.1857,0.4872,0.4813,0.5221,0.4253,0.4737,0.2887,0.3871,0.3379,0.4907,0.3566,0.4237
22.4,-0.1666,0.4831,0.4879,0.519,0.4111,0.465,0.2557,0.3947,0.3252,0.478,0.3471,0.4126
22.5,-0.1484,0.4793,0.4949,0.5137,0.3968,0.4553,0.2272,0.4023,0.3148,0.4633,0.3354,0.3994
22.6,-0.1318,0.475,0.5022,0.5053,0.382,0.4437,0.2036,0.4096,0.3066,0.4464,0.321,0.3837
22.7,-0.1179,0.47,0.5096,0.4932,0.3666,0.4299,0.1851,0.4166,0.3008,0.4268,0.3039,0.3654
22.8,-0.1075,0.4643,0.517,0.4772,0.3515,0.4143,0.1719,0.4228,0.2974,0.4045,0.2842,0.3443
22.9,-0.1018,0.4581,0.5243,0.4582,0.3377,0.3979,0.1639,0.4279,0.2959,0.3796,0.2626,0.3211
23,-0.102,0.4515,0.5312,0.4368,0.3264,0.3816,0.1603,0.4313,0.2958,0.3524,0.2396,0.296
23.1,-0.1086,0.4441,0.5373,0.4134,0.3181,0.3657,0.1602,0.433,0.2966,0.3234,0.2159,0.2696
23.2,-0.1212,0.4359,0.5423,0.3883,0.3128,0.3506,0.1628,0.4332,0.298,0.293,0.1918,0.2424
23.3,-0.1393,0.427,0.5462,0.3621,0.3106,0.3364,0.1674,0.4324,0.2999,0.2619,0.168,0.2149
23.4,-0.1621,0.4185,0.5494,0.3355,0.3118,0.3237,0.1741,0.4308,0.3024,0.2305,0.1448,0.1876
23.5,-0.1886,0.4112,0.5526,0.3102,0.3166,0.3134,0.1828,0.4286,0.3057,0.1997,0.1226,0.1612
23.6,-0.2175,0.4061,0.5561,0.2877,0.3248,0.3063,0.1936,0.4258,0.3097,0.1707,0.102,0.1364
23.7,-0.2476,0.4033,0.5603,0.2693,0.336,0.3027,0.2065,0.4228,0.3146,0.1447,0.0839,0.1143
23.8,-0.2781,0.4024,0.5653,0.2556,0.3496,0.3026,0.2215,0.4201,0.3208,0.1225,0.0696,0.0961
23.9,-0.3088,0.4036,0.5706,0.2473,0.365,0.3062,0.2387,0.4182,0.3284,0.1049,0.0601,0.0825
24,-0.3393,0.4072,0.5753,0.2452,0.3827,0.3139,0.2579,0.4179,0.3379,0.0921,0.056,0.074
24.1,-0.3686,0.4141,0.5789,0.2499,0.4031,0.3265,0.279,0.42,0.3495,0.0843,0.057,0.0707
24.2,-0.395,0.4252,0.5812,0.2617,0.427,0.3444,0.3016,0.4252,0.3634,0.0816,0.0632,0.0724
24.3,-0.4176,0.4405,0.5827,0.2807,0.4541,0.3674,0.325,0.434,0.3795,0.0837,0.0742,0.0789
24.4,-0.4356,0.46,0.5833,0.3062,0.4838,0.395,0.349,0.4463,0.3976,0.0902,0.0895,0.0898
24.5,-0.4469,0.4834,0.5831,0.3379,0.5152,0.4266,0.3735,0.4616,0.4176,0.1006,0.1084,0.1045
24.6,-0.449,0.5106,0.5819,0.3749,0.548,0.4615,0.3987,0.4793,0.439,0.1147,0.1298,0.1222
24.7,-0.4398,0.5414,0.5798,0.4164,0.5817,0.499,0.4241,0.4986,0.4613,0.1321,0.1531,0.1426
24.8,-0.4186,0.575,0.5776,0.4613,0.6156,0.5385,0.4491,0.5185,0.4838,0.1525,0.1778,0.1651
24.9,-0.3861,0.6105,0.5763,0.5082,0.6491,0.5786,0.4731,0.5385,0.5058,0.1751,0.2037,0.1894
25,-0.3446,0.6469,0.5759,0.5552,0.6813,0.6183,0.4953,0.5582,0.5267,0.1991,0.23,0.2146
25.1,-0.2972,0.6831,0.5763,0.6001,0.7115,0.6558,0.5149,0.577,0.546,0.2239,0.2559,0.2399
25.2,-0.2474,0.7173,0.5767,0.6402,0.7393,0.6898,0.5315,0.5944,0.5629,0.249,0.2808,0.2649
25.3,-0.198,0.7481,0.5771,0.6737,0.7641,0.7189,0.5448,0.61,0.5774,0.2743,0.3043,0.2893
25.4,-0.1511,0.7745,0.5781,0.6992,0.7851,0.7421,0.5554,0.6238,0.5896,0.2996,0.3263,0.3129
25.5,-0.1082,0.7959,0.5801,0.7171,0.8017,0.7594,0.564,0.6365,0.6003,0.3248,0.3467,0.3358
25.6,-0.0699,0.8122,0.5832,0.7282,0.8135,0.7708,0.5708,0.6487,0.6098,0.3501,0.3656,0.3579
25.7,-0.0362,0.8235,0.5875,0.7334,0.8207,0.777,0.5757,0.6608,0.6182,0.3759,0.383,0.3795
25.8,-0.0071,0.8304,0.5931,0.7333,0.8237,0.7785,0.5787,0.6723,0.6255,0.4021,0.3997,0.4009
25.9,0.0177,0.8339,0.6006,0.7285,0.8233,0.7759,0.5803,0.6831,0.6317,0.4285,0.416,0.4222
26,0.0383,0.8353,0.6105,0.7197,0.8203,0.77,0.5807,0.6932,0.637,0.4543,0.4321,0.4432
26.1,0.0547,0.8358,0.6231,0.7083,0.816,0.7621,0.5805,0.703,0.6418,0.4789,0.4479,0.4634
26.2,0.0664,0.836,0.6385,0.6955,0.8112,0.7534,0.5794,0.7124,0.6459,0.5019,0.4629,0.4824
26.3,0.0738,0.8359,0.6564,0.6825,0.8068,0.7446,0.5774,0.7211,0.6493,0.5229,0.4769,0.4999
26.4,0.0779,0.8356,0.6767,0.6702,0.8027,0.7365,0.5746,0.7283,0.6514,0.5419,0.4896,0.5158
26.5,0.0808,0.8355,0.6991,0.6595,0.799,0.7293,0.5715,0.7332,0.6523,0.5589,0.5008,0.5299
26.6,0.0839,0.8363,0.7232,0.6514,0.7959,0.7237,0.569,0.7359,0.6524,0.5738,0.5101,0.5419
26.7,0.0875,0.8386,0.7478,0.6468,0.7939,0.7203,0.5678,0.737,0.6524,0.586,0.5173,0.5516
26.8,0.0908,0.842,0.7718,0.646,0.7926,0.7193,0.5684,0.737,0.6527,0.5953,0.5222,0.5587
26.9,0.0927,0.8456,0.7939,0.6492,0.7913,0.7203,0.5706,0.7357,0.6531,0.6011,0.5248,0.5629
27,0.0919,0.8476,0.8132,0.6557,0.7889,0.7223,0.5737,0.7324,0.6531,0.6024,0.5251,0.5637
27.1,0.0869,0.847,0.8285,0.6645,0.7844,0.7245,0.5765,0.7269,0.6517,0.5986,0.5231,0.5608
27.2,0.0763,0.8433,0.8388,0.6747,0.7784,0.7265,0.5781,0.7196,0.6488,0.5897,0.5188,0.5543
27.3,0.0592,0.8369,0.8434,0.6849,0.7717,0.7283,0.5777,0.7113,0.6445,0.5764,0.5116,0.544
27.4,0.0361,0.828,0.8417,0.6934,0.7651,0.7293,0.5752,0.7028,0.639,0.5591,0.5006,0.5299
27.5,0.0092,0.8162,0.8341,0.6986,0.7585,0.7285,0.5704,0.6942,0.6323,0.538,0.4852,0.5116
27.6,-0.0197,0.8013,0.8212,0.6994,0.7516,0.7255,0.5632,0.6853,0.6242,0.5131,0.4651,0.4891
27.7,-0.0498,0.7839,0.8038,0.6957,0.7447,0.7202,0.554,0.6761,0.615,0.4848,0.4409,0.4628
27.8,-0.0806,0.765,0.7825,0.688,0.7386,0.7133,0.544,0.6673,0.6056,0.454,0.4138,0.4339
27.9,-0.1108,0.7458,0.7584,0.6771,0.7341,0.7056,0.5342,0.6594,0.5968,0.422,0.3855,0.4037
28,-0.1384,0.7268,0.7326,0.6633,0.7311,0.6972,0.5252,0.6524,0.5888,0.3902,0.3572,0.3737
28.1,-0.1624,0.7082,0.706,0.6474,0.7289,0.6881,0.5172,0.6463,0.5818,0.3603,0.3304,0.3454
28.2,-0.1821,0.6896,0.6784,0.6298,0.7269,0.6783,0.51,0.6402,0.5751,0.3334,0.3057,0.3195
28.3,-0.1975,0.6714,0.6496,0.6104,0.7251,0.6677,0.5031,0.6334,0.5683,0.3098,0.2828,0.2963
28.4,-0.2081,0.6536,0.6191,0.5893,0.7236,0.6565,0.4967,0.6252,0.5609,0.2896,0.2617,0.2756
28.5,-0.2126,0.6364,0.5872,0.5672,0.7228,0.645,0.4911,0.6154,0.5532,0.2728,0.2422,0.2575
28.6,-0.21,0.6203,0.5552,0.546,0.7226,0.6343,0.487,0.6046,0.5458,0.2599,0.2247,0.2423
28.7,-0.2003,0.606,0.5249,0.5272,0.7231,0.6251,0.485,0.5939,0.5394,0.2517,0.2094,0.2305
28.8,-0.1844,0.5936,0.4981,0.5113,0.7238,0.6176,0.4851,0.5843,0.5347,0.2486,0.1968,0.2227
28.9,-0.1642,0.583,0.4757,0.4977,0.7239,0.6108,0.4871,0.5768,0.5319,0.2508,0.1866,0.2187
29,-0.141,0.5739,0.4578,0.4857,0.7228,0.6043,0.4904,0.5714,0.5309,0.2577,0.1783,0.218
29.1,-0.116,0.5665,0.4444,0.4751,0.7205,0.5978,0.4954,0.5683,0.5319,0.2688,0.1713,0.22
29.2,-0.0902,0.5609,0.4355,0.4664,0.717,0.5917,0.5024,0.5676,0.535,0.2834,0.1657,0.2245
29.3,-0.0649,0.5572,0.4317,0.46,0.7121,0.5861,0.5113,0.5695,0.5404,0.301,0.1613,0.2312
29.4,-0.0417,0.5553,0.4329,0.4568,0.7052,0.581,0.522,0.5742,0.5481,0.3209,0.1579,0.2394
29.5,-0.0214,0.5543,0.4384,0.457,0.6952,0.5761,0.5339,0.5809,0.5574,0.3431,0.1548,0.249
29.6,-0.0038,0.5534,0.4472,0.4605,0.6814,0.5709,0.5465,0.5887,0.5676,0.3676,0.1522,0.2599
29.7,0.0115,0.5517,0.4586,0.4659,0.6633,0.5646,0.5601,0.5964,0.5782,0.3947,0.1507,0.2727
29.8,0.0243,0.5486,0.4724,0.4712,0.641,0.5561,0.5752,0.6039,0.5895,0.4244,0.1511,0.2878
29.9,0.0332,0.5437,0.4891,0.4744,0.6149,0.5447,0.5926,0.6114,0.602,0.4565,0.1542,0.3054
