Time,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC
21.2,0.1062,0.4287,0.3935,0.2216,0.4048,0.3132,0.4122,0.4439,0.428,0.5365,0.4867,0.5116
21.3,0.0653,0.4378,0.3807,0.2245,0.3987,0.3116,0.3677,0.4233,0.3955,0.5209,0.4753,0.4981
21.4,0.0211,0.4474,0.3692,0.2307,0.3954,0.313,0.323,0.4022,0.3626,0.5051,0.4651,0.4851
21.5,-0.0271,0.4571,0.3592,0.2384,0.3962,0.3173,0.2793,0.381,0.3302,0.4889,0.4555,0.4722
21.6,-0.0786,0.4656,0.351,0.2462,0.4015,0.3238,0.2378,0.3604,0.2991,0.4729,0.4462,0.4595
21.7,-0.1314,0.4715,0.3449,0.2529,0.4104,0.3317,0.1996,0.3407,0.2702,0.4584,0.4379,0.4481
21.8,-0.1849,0.4743,0.3416,0.2583,0.4221,0.3402,0.1651,0.3222,0.2436,0.4468,0.4322,0.4395
21.9,-0.2407,0.4747,0.3423,0.262,0.4368,0.3494,0.1341,0.3054,0.2197,0.4392,0.4312,0.4352
22,-0.3024,0.4738,0.3477,0.2637,0.4557,0.3597,0.1061,0.291,0.1985,0.4365,0.4356,0.4361
22.1,-0.3723,0.4727,0.3582,0.2629,0.4798,0.3714,0.0804,0.2792,0.1798,0.439,0.4454,0.4422
22.2,-0.4499,0.4713,0.3735,0.2597,0.5085,0.3841,0.0567,0.2704,0.1635,0.4467,0.4605,0.4536
22.3,-0.5305,0.4689,0.3932,0.2545,0.5397,0.3971,0.0348,0.265,0.1499,0.4594,0.4804,0.4699
22.4,-0.6085,0.4655,0.4172,0.2483,0.5706,0.4094,0.0152,0.2638,0.1395,0.4769,0.5042,0.4905
22.5,-0.6804,0.4617,0.4457,0.2427,0.5997,0.4212,-0.0014,0.2683,0.1335,0.4993,0.5308,0.515
22.6,-0.7451,0.4584,0.4793,0.2398,0.6271,0.4334,-0.0136,0.2801,0.1332,0.5268,0.559,0.5429
22.7,-0.8009,0.4571,0.5179,0.2421,0.6527,0.4474,-0.0202,0.3009,0.1403,0.5597,0.5876,0.5736
22.8,-0.8438,0.459,0.5614,0.2523,0.6754,0.4639,-0.0195,0.3317,0.1561,0.5979,0.6155,0.6067
22.9,-0.8677,0.4648,0.6097,0.2717,0.6925,0.4821,-0.0101,0.3723,0.1811,0.6405,0.6422,0.6413
23,-0.866,0.4741,0.6615,0.2998,0.7013,0.5006,0.009,0.4209,0.2149,0.6866,0.6676,0.6771
23.1,-0.8357,0.4857,0.7144,0.3356,0.7008,0.5182,0.0379,0.474,0.256,0.7353,0.691,0.7132
23.2,-0.7792,0.4975,0.765,0.3768,0.6914,0.5341,0.0762,0.5276,0.3019,0.7844,0.7114,0.7479
23.3,-0.7012,0.5075,0.8104,0.4198,0.6739,0.5469,0.1227,0.5776,0.3501,0.8291,0.7273,0.7782
23.4,-0.6073,0.5145,0.8478,0.46,0.6499,0.555,0.1761,0.621,0.3985,0.8643,0.7381,0.8012
23.5,-0.504,0.5181,0.8749,0.4945,0.6222,0.5584,0.2347,0.6568,0.4457,0.8868,0.7445,0.8156
23.6,-0.3977,0.5191,0.8897,0.5233,0.5939,0.5586,0.2968,0.6844,0.4906,0.8956,0.7471,0.8214
23.7,-0.2946,0.5178,0.8921,0.5473,0.5673,0.5573,0.3597,0.7045,0.5321,0.8915,0.747,0.8192
23.8,-0.1992,0.5143,0.8832,0.5669,0.5437,0.5553,0.4205,0.7172,0.5689,0.876,0.7453,0.8106
23.9,-0.1145,0.5078,0.8646,0.5812,0.5229,0.5521,0.4765,0.7228,0.5997,0.8512,0.7436,0.7974
24,-0.0417,0.4979,0.838,0.5889,0.5043,0.5466,0.5259,0.7217,0.6238,0.8198,0.7431,0.7814
24.1,0.0188,0.4849,0.806,0.59,0.4876,0.5388,0.5678,0.7146,0.6412,0.7849,0.7445,0.7647
24.2,0.0681,0.4696,0.7711,0.5857,0.4727,0.5292,0.6023,0.703,0.6526,0.75,0.7482,0.7491
24.3,0.1073,0.4529,0.7367,0.5777,0.4597,0.5187,0.63,0.6883,0.6591,0.7183,0.7541,0.7362
24.4,0.1366,0.4355,0.7057,0.5669,0.4489,0.5079,0.652,0.6718,0.6619,0.6931,0.7619,0.7275
24.5,0.1559,0.418,0.6797,0.5537,0.4408,0.4973,0.6696,0.6548,0.6622,0.6765,0.771,0.7237
24.6,0.1639,0.4009,0.6595,0.538,0.4364,0.4872,0.6847,0.6385,0.6616,0.6687,0.7808,0.7247
24.7,0.161,0.3846,0.645,0.5203,0.4364,0.4784,0.6986,0.6242,0.6614,0.6686,0.7905,0.7296
24.8,0.1495,0.3699,0.6361,0.5016,0.4413,0.4714,0.712,0.6132,0.6626,0.6746,0.8001,0.7374
24.9,0.1332,0.3578,0.633,0.4829,0.4505,0.4667,0.7253,0.6063,0.6658,0.686,0.81,0.748
25,0.1152,0.3496,0.6358,0.4648,0.463,0.4639,0.7378,0.6037,0.6708,0.7026,0.8209,0.7618
25.1,0.0967,0.3463,0.6443,0.4478,0.4779,0.4628,0.7489,0.6051,0.677,0.7236,0.8334,0.7785
25.2,0.078,0.3488,0.6574,0.4322,0.4949,0.4636,0.7584,0.6105,0.6844,0.7473,0.8471,0.7972
25.3,0.0597,0.3573,0.6741,0.4185,0.5137,0.4661,0.7667,0.6195,0.6931,0.7724,0.861,0.8167
25.4,0.0436,0.3713,0.6935,0.4069,0.5335,0.4702,0.7743,0.632,0.7031,0.7981,0.8737,0.8359
25.5,0.0329,0.3899,0.7147,0.3973,0.5532,0.4752,0.7809,0.6469,0.7139,0.8241,0.8843,0.8542
25.6,0.0299,0.412,0.7369,0.3898,0.5718,0.4808,0.7864,0.6629,0.7246,0.8495,0.8923,0.8709
25.7,0.0352,0.4371,0.7594,0.385,0.5891,0.487,0.7903,0.6791,0.7347,0.8736,0.8973,0.8854
25.8,0.0469,0.4646,0.7813,0.384,0.6057,0.4948,0.7925,0.6951,0.7438,0.8957,0.8991,0.8974
25.9,0.0626,0.4942,0.8024,0.3871,0.6221,0.5046,0.793,0.7109,0.7519,0.916,0.8984,0.9072
26,0.0812,0.5247,0.8226,0.3938,0.6379,0.5158,0.792,0.7264,0.7592,0.935,0.8959,0.9154
26.1,0.1024,0.5542,0.8414,0.4028,0.6517,0.5272,0.7893,0.7412,0.7653,0.953,0.8925,0.9227
26.2,0.1258,0.5807,0.8584,0.4128,0.662,0.5374,0.7844,0.7548,0.7696,0.9696,0.8889,0.9292
26.3,0.1507,0.6032,0.8733,0.4233,0.6688,0.5461,0.7766,0.7666,0.7716,0.9843,0.8856,0.9349
26.4,0.1759,0.6221,0.8861,0.435,0.6728,0.5539,0.7655,0.7763,0.7709,0.9968,0.8827,0.9397
26.5,0.2005,0.6381,0.8965,0.4487,0.675,0.5618,0.7509,0.784,0.7674,1.0065,0.8803,0.9434
26.6,0.2239,0.6518,0.9043,0.4644,0.6758,0.5701,0.7329,0.7896,0.7613,1.0124,0.8779,0.9451
26.7,0.2452,0.6625,0.9098,0.4811,0.6754,0.5783,0.712,0.7938,0.7529,1.013,0.8752,0.9441
26.8,0.2634,0.6691,0.9138,0.4975,0.6737,0.5856,0.6889,0.7973,0.7431,1.0077,0.8722,0.9399
26.9,0.2774,0.6707,0.9175,0.5126,0.6709,0.5918,0.6645,0.8008,0.7326,0.9964,0.8695,0.9329
27,0.2873,0.6673,0.9217,0.5262,0.6668,0.5965,0.6394,0.8045,0.7219,0.9798,0.8681,0.924
27.1,0.294,0.6597,0.9268,0.5381,0.6611,0.5996,0.6142,0.8083,0.7113,0.9591,0.8683,0.9137
27.2,0.2985,0.6483,0.9322,0.5477,0.6534,0.6005,0.5896,0.8119,0.7007,0.9345,0.8697,0.9021
27.3,0.3009,0.6336,0.9374,0.554,0.6435,0.5987,0.5658,0.8152,0.6905,0.9057,0.8716,0.8886
27.4,0.2996,0.6157,0.9427,0.556,0.6316,0.5938,0.544,0.818,0.681,0.8731,0.8735,0.8733
27.5,0.2932,0.5953,0.9485,0.5533,0.6185,0.5859,0.525,0.8202,0.6726,0.838,0.8756,0.8568
27.6,0.2817,0.574,0.9552,0.5467,0.6052,0.5759,0.5097,0.8214,0.6656,0.8017,0.8778,0.8397
27.7,0.2659,0.5544,0.9626,0.5375,0.5932,0.5653,0.4991,0.8215,0.6603,0.7651,0.8796,0.8223
27.8,0.2463,0.5386,0.9699,0.527,0.5846,0.5558,0.4938,0.8202,0.657,0.7291,0.8801,0.8046
27.9,0.2225,0.5284,0.977,0.5161,0.581,0.5486,0.4945,0.818,0.6562,0.6945,0.879,0.7868
28,0.1941,0.5247,0.9842,0.5053,0.5836,0.5445,0.5013,0.815,0.6582,0.6628,0.8764,0.7696
28.1,0.1611,0.5278,0.992,0.4955,0.5922,0.5438,0.5141,0.8113,0.6627,0.6353,0.8728,0.7541
28.2,0.1241,0.538,0.9999,0.4876,0.6061,0.5469,0.5318,0.8065,0.6692,0.6126,0.8679,0.7402
28.3,0.0831,0.5544,1.0073,0.4817,0.6249,0.5533,0.5531,0.8003,0.6767,0.5939,0.861,0.7274
28.4,0.038,0.5756,1.0138,0.4774,0.6476,0.5625,0.5765,0.7924,0.6844,0.5783,0.8513,0.7148
28.5,-0.0102,0.5991,1.0195,0.4739,0.6731,0.5735,0.6006,0.783,0.6918,0.5648,0.8389,0.7019
28.6,-0.0589,0.6226,1.0243,0.4712,0.7,0.5856,0.6245,0.7724,0.6985,0.5533,0.8245,0.6889
28.7,-0.1047,0.6444,1.0281,0.4702,0.727,0.5986,0.6472,0.7607,0.704,0.5442,0.8088,0.6765
28.8,-0.1451,0.6638,1.0311,0.4718,0.7536,0.6127,0.6678,0.748,0.7079,0.5381,0.793,0.6655
28.9,-0.179,0.6811,1.0336,0.4771,0.7793,0.6282,0.686,0.7347,0.7103,0.5352,0.778,0.6566
29,-0.2062,0.6967,1.0358,0.4871,0.8031,0.6451,0.7018,0.7208,0.7113,0.5354,0.7643,0.6498
29.1,-0.2269,0.7103,1.0372,0.5024,0.8233,0.6628,0.7147,0.7064,0.7105,0.5378,0.7521,0.645
29.2,-0.2404,0.7214,1.0371,0.5224,0.8381,0.6802,0.7246,0.6911,0.7079,0.5418,0.7417,0.6417
29.3,-0.2447,0.7293,1.0348,0.5459,0.8462,0.6961,0.7315,0.6748,0.7032,0.5471,0.7329,0.64
29.4,-0.2382,0.7339,1.0299,0.5724,0.8468,0.7096,0.7359,0.6575,0.6967,0.5536,0.7258,0.6397
29.5,-0.2205,0.7353,1.0227,0.602,0.8406,0.7213,0.7381,0.6397,0.6889,0.5612,0.7205,0.6408
29.6,-0.1925,0.7349,1.0139,0.6351,0.8284,0.7318,0.7387,0.622,0.6803,0.5695,0.7171,0.6433
29.7,-0.1552,0.7337,1.0042,0.671,0.8111,0.741,0.7374,0.6049,0.6712,0.5784,0.7158,0.6471
29.8,-0.1094,0.7323,0.9932,0.7076,0.7881,0.7478,0.7341,0.5884,0.6613,0.5877,0.7168,0.6522
29.9,-0.0544,0.7299,0.9803,0.7427,0.7583,0.7505,0.7283,0.572,0.6501,0.5976,0.7196,0.6586
