Time,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10,-0.2201,0.7769,0.6372,0.706,0.6443,0.6752,0.6453,0.3967,0.521,0.5117,0.5557,0.5337
10.1,-0.1969,0.7746,0.6323,0.705,0.6372,0.6711,0.6447,0.3987,0.5217,0.5322,0.5743,0.5533
10.2,-0.1718,0.7709,0.6257,0.7004,0.6303,0.6654,0.6417,0.401,0.5213,0.5549,0.5947,0.5748
10.3,-0.1456,0.7658,0.6174,0.6926,0.6231,0.6578,0.6364,0.4033,0.5198,0.5794,0.6163,0.5978
10.4,-0.1193,0.7596,0.6066,0.6824,0.615,0.6487,0.6295,0.4054,0.5175,0.6051,0.6383,0.6217
10.5,-0.0936,0.7524,0.5929,0.6709,0.6059,0.6384,0.6214,0.4068,0.5141,0.6312,0.6597,0.6454
10.6,-0.0685,0.744,0.576,0.6586,0.5959,0.6272,0.6118,0.4066,0.5092,0.6564,0.6788,0.6676
10.7,-0.0439,0.7343,0.5556,0.645,0.5846,0.6148,0.6001,0.4041,0.5021,0.6789,0.6939,0.6864
10.8,-0.0205,0.7231,0.5312,0.6297,0.5716,0.6006,0.5854,0.3991,0.4923,0.6972,0.7037,0.7005
10.9,0.0017,0.7107,0.5029,0.6128,0.5565,0.5846,0.5671,0.392,0.4795,0.7102,0.7071,0.7087
11,0.023,0.6979,0.4709,0.5949,0.5399,0.5674,0.5452,0.383,0.4641,0.7171,0.7034,0.7102
11.1,0.0441,0.6854,0.4364,0.5769,0.5228,0.5498,0.5205,0.3723,0.4464,0.7177,0.6924,0.705
11.2,0.065,0.6734,0.4009,0.5589,0.5056,0.5323,0.4943,0.36,0.4271,0.7127,0.6749,0.6938
11.3,0.0844,0.6616,0.366,0.5409,0.4882,0.5146,0.4676,0.346,0.4068,0.7034,0.6527,0.6781
11.4,0.0997,0.6493,0.3335,0.5228,0.4705,0.4967,0.4415,0.3309,0.3862,0.6913,0.6278,0.6596
11.5,0.1084,0.6363,0.3052,0.5053,0.4532,0.4793,0.4173,0.3154,0.3664,0.6773,0.6018,0.6396
11.6,0.109,0.623,0.283,0.4896,0.4376,0.4636,0.3967,0.3008,0.3488,0.6624,0.5762,0.6193
11.7,0.1017,0.6103,0.2687,0.4772,0.4243,0.4508,0.3818,0.2878,0.3348,0.6472,0.5526,0.5999
11.8,0.0872,0.5988,0.2632,0.4693,0.4128,0.4411,0.374,0.2769,0.3254,0.6324,0.5323,0.5823
11.9,0.0665,0.5891,0.2664,0.4669,0.4021,0.4345,0.3744,0.2682,0.3213,0.6187,0.5167,0.5677
12,0.0408,0.5813,0.2771,0.4703,0.3925,0.4314,0.3826,0.2621,0.3223,0.607,0.5065,0.5568
12.1,0.0115,0.5754,0.2936,0.4796,0.3851,0.4323,0.3979,0.2594,0.3286,0.5978,0.5016,0.5497
12.2,-0.0207,0.571,0.3144,0.4936,0.3805,0.437,0.4186,0.2609,0.3398,0.5917,0.5016,0.5466
12.3,-0.0567,0.5676,0.3373,0.5113,0.3787,0.445,0.4428,0.267,0.3549,0.589,0.5061,0.5476
12.4,-0.0968,0.565,0.3608,0.5316,0.3793,0.4555,0.4689,0.2772,0.3731,0.5901,0.5151,0.5526
12.5,-0.1402,0.5628,0.3843,0.5536,0.3821,0.4679,0.4953,0.2906,0.3929,0.5944,0.5278,0.5611
12.6,-0.1849,0.5609,0.4072,0.5764,0.3867,0.4816,0.5207,0.3058,0.4133,0.6009,0.5434,0.5721
12.7,-0.2297,0.5587,0.4288,0.5982,0.393,0.4956,0.5441,0.3216,0.4329,0.6088,0.5613,0.5851
