Time,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.6,-0.2405,0.8107,0.664,0.7041,0.8768,0.7904,0.7277,0.7616,0.7447,0.4618,0.55,0.5059
7.7,-0.2235,0.8088,0.6734,0.6858,0.8632,0.7745,0.7228,0.7707,0.7467,0.4639,0.554,0.5089
7.8,-0.2105,0.8078,0.6804,0.6671,0.8509,0.759,0.7164,0.7769,0.7467,0.4672,0.5567,0.512
7.9,-0.2012,0.8072,0.6849,0.6481,0.8393,0.7437,0.7087,0.7796,0.7441,0.4724,0.558,0.5152
8,-0.1952,0.8062,0.6871,0.6291,0.8275,0.7283,0.7001,0.7786,0.7393,0.4796,0.558,0.5188
8.1,-0.1924,0.8042,0.6867,0.6103,0.8149,0.7126,0.6913,0.774,0.7326,0.4887,0.5569,0.5228
8.2,-0.1938,0.8012,0.6832,0.5917,0.8015,0.6966,0.6823,0.7662,0.7242,0.4991,0.5548,0.5269
8.3,-0.2002,0.7977,0.6766,0.5738,0.7882,0.681,0.6726,0.7561,0.7143,0.5105,0.5514,0.531
8.4,-0.2108,0.7945,0.667,0.5575,0.7759,0.6667,0.662,0.7444,0.7032,0.522,0.5468,0.5344
8.5,-0.2235,0.7923,0.6546,0.5441,0.7657,0.6549,0.6509,0.7318,0.6913,0.533,0.5411,0.537
8.6,-0.2368,0.7914,0.6395,0.5349,0.7577,0.6463,0.64,0.7187,0.6793,0.5427,0.5348,0.5388
8.7,-0.2506,0.7915,0.6218,0.5306,0.7519,0.6412,0.6299,0.7054,0.6676,0.5512,0.5294,0.5403
8.8,-0.2654,0.7928,0.6022,0.5311,0.7481,0.6396,0.6204,0.692,0.6562,0.5588,0.5266,0.5427
8.9,-0.2814,0.795,0.5819,0.5358,0.7464,0.6411,0.6112,0.6792,0.6452,0.5658,0.5277,0.5468
9,-0.2979,0.7978,0.5625,0.5439,0.7472,0.6455,0.6026,0.6676,0.6351,0.5726,0.5332,0.5529
9.1,-0.3137,0.8007,0.5457,0.5545,0.7501,0.6523,0.595,0.6577,0.6263,0.579,0.5431,0.561
9.2,-0.3276,0.803,0.5331,0.5674,0.7549,0.6611,0.589,0.6497,0.6194,0.5845,0.5569,0.5707
9.3,-0.3378,0.8052,0.5257,0.5826,0.7612,0.6719,0.585,0.643,0.614,0.589,0.574,0.5815
9.4,-0.3421,0.8081,0.5238,0.6003,0.7693,0.6848,0.5829,0.6373,0.6101,0.5922,0.5941,0.5932
9.5,-0.3393,0.8124,0.5272,0.6207,0.7798,0.7003,0.5827,0.6323,0.6075,0.5937,0.6169,0.6053
9.6,-0.3296,0.8178,0.5348,0.6432,0.793,0.7181,0.5853,0.628,0.6066,0.593,0.6414,0.6172
9.7,-0.3141,0.8236,0.5452,0.6668,0.8084,0.7376,0.5912,0.624,0.6076,0.5897,0.666,0.6278
9.8,-0.2937,0.8291,0.5568,0.6907,0.8255,0.7581,0.6,0.62,0.61,0.5836,0.6889,0.6362
9.9,-0.2694,0.834,0.5689,0.7144,0.8431,0.7788,0.6103,0.6154,0.6129,0.5748,0.7087,0.6418
10,-0.2426,0.8381,0.5807,0.7373,0.8603,0.7988,0.6205,0.6099,0.6152,0.5638,0.7246,0.6442
10.1,-0.2153,0.8405,0.5911,0.758,0.8753,0.8166,0.6293,0.6035,0.6164,0.5507,0.7361,0.6434
10.2,-0.1901,0.8398,0.5987,0.7744,0.8864,0.8304,0.6365,0.5964,0.6164,0.5355,0.7426,0.6391
10.3,-0.169,0.8352,0.6022,0.7847,0.893,0.8389,0.6416,0.5886,0.6151,0.518,0.7438,0.6309
10.4,-0.1526,0.8269,0.6008,0.7884,0.8951,0.8417,0.6446,0.5801,0.6124,0.4982,0.7391,0.6186
10.5,-0.14,0.8156,0.5946,0.786,0.8937,0.8398,0.6454,0.5709,0.6081,0.4759,0.728,0.6019
10.6,-0.1296,0.802,0.5832,0.7785,0.8894,0.8339,0.6445,0.5605,0.6025,0.451,0.7104,0.5807
10.7,-0.1212,0.7862,0.5666,0.7665,0.8824,0.8245,0.6426,0.5486,0.5956,0.4239,0.6869,0.5554
