Time,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC
21.4,-0.1573,0.7243,0.6095,0.5788,0.6922,0.6355,0.6105,0.5618,0.5861,0.6646,0.6223,0.6434
21.5,-0.1764,0.71,0.6037,0.5533,0.684,0.6187,0.5972,0.55,0.5736,0.6491,0.6168,0.633
21.6,-0.1943,0.6959,0.5994,0.529,0.6773,0.6031,0.5849,0.54,0.5624,0.6323,0.6111,0.6217
21.7,-0.2102,0.6823,0.5967,0.5062,0.6724,0.5893,0.5741,0.5319,0.553,0.6152,0.6056,0.6104
21.8,-0.2229,0.6695,0.5958,0.4856,0.6696,0.5776,0.5654,0.5262,0.5458,0.5988,0.6009,0.5999
21.9,-0.2317,0.658,0.5969,0.4677,0.6692,0.5685,0.5594,0.5233,0.5414,0.5844,0.5975,0.5909
22,-0.2366,0.6479,0.6003,0.453,0.6714,0.5622,0.5569,0.5237,0.5403,0.5732,0.596,0.5846
22.1,-0.2383,0.6391,0.6062,0.4416,0.676,0.5588,0.5582,0.5275,0.5428,0.5665,0.5968,0.5816
22.2,-0.2374,0.6316,0.6146,0.4335,0.6828,0.5581,0.5633,0.535,0.5491,0.5645,0.6002,0.5824
22.3,-0.2341,0.6251,0.6249,0.4289,0.6912,0.5601,0.5721,0.5457,0.5589,0.5674,0.6059,0.5866
22.4,-0.2279,0.6197,0.6367,0.4276,0.7008,0.5642,0.584,0.5591,0.5716,0.5746,0.6135,0.594
22.5,-0.2184,0.6155,0.6494,0.4297,0.7115,0.5706,0.5984,0.5746,0.5865,0.5853,0.6229,0.6041
22.6,-0.2059,0.6126,0.6626,0.4351,0.7231,0.5791,0.6148,0.5917,0.6032,0.5991,0.6339,0.6165
22.7,-0.1908,0.6109,0.6759,0.4438,0.7354,0.5896,0.6325,0.6096,0.621,0.6154,0.6464,0.6309
22.8,-0.1739,0.61,0.6888,0.4553,0.7475,0.6014,0.651,0.628,0.6395,0.6335,0.6602,0.6468
22.9,-0.156,0.6092,0.7006,0.4688,0.7586,0.6137,0.6696,0.6462,0.6579,0.6526,0.6747,0.6637
23,-0.1382,0.6082,0.7109,0.4835,0.7679,0.6257,0.6875,0.6636,0.6756,0.6722,0.6894,0.6808
23.1,-0.1216,0.6069,0.7195,0.4985,0.7751,0.6368,0.7039,0.6795,0.6917,0.6916,0.7037,0.6977
23.2,-0.1068,0.6052,0.7263,0.5128,0.7798,0.6463,0.7181,0.6934,0.7057,0.7102,0.7169,0.7136
23.3,-0.0939,0.603,0.7313,0.526,0.782,0.654,0.7295,0.7049,0.7172,0.7272,0.7284,0.7278
23.4,-0.0826,0.5999,0.7345,0.5372,0.7814,0.6593,0.7378,0.7138,0.7258,0.7419,0.7375,0.7397
23.5,-0.0729,0.5958,0.7356,0.5462,0.7784,0.6623,0.7428,0.7196,0.7312,0.7539,0.7437,0.7488
23.6,-0.0642,0.5908,0.7345,0.5525,0.7732,0.6629,0.7445,0.7223,0.7334,0.7629,0.7463,0.7546
23.7,-0.0563,0.5849,0.7311,0.5562,0.7662,0.6612,0.743,0.7215,0.7323,0.769,0.7448,0.7569
23.8,-0.0489,0.5779,0.725,0.5574,0.7575,0.6575,0.7387,0.7174,0.728,0.7723,0.739,0.7557
23.9,-0.0425,0.5699,0.7163,0.5563,0.7475,0.6519,0.7316,0.7105,0.7211,0.7731,0.729,0.751
24,-0.0372,0.5614,0.7054,0.5538,0.7366,0.6452,0.7223,0.7014,0.7119,0.7715,0.7153,0.7434
24.1,-0.0322,0.5533,0.6929,0.5504,0.7256,0.638,0.7113,0.6908,0.7011,0.7682,0.6984,0.7333
24.2,-0.0269,0.5468,0.6798,0.5471,0.7155,0.6313,0.6989,0.6792,0.6891,0.7636,0.6789,0.7213
24.3,-0.0206,0.5425,0.6664,0.5443,0.707,0.6256,0.6856,0.6669,0.6763,0.7581,0.6577,0.7079
24.4,-0.0129,0.5403,0.6531,0.5424,0.7004,0.6214,0.6719,0.6541,0.663,0.752,0.6356,0.6938
24.5,-0.0034,0.5401,0.6399,0.5417,0.696,0.6188,0.6582,0.6409,0.6496,0.7455,0.6134,0.6795
24.6,0.0074,0.5417,0.6269,0.5423,0.6939,0.6181,0.6448,0.6276,0.6362,0.739,0.5921,0.6655
24.7,0.0187,0.5447,0.6143,0.5446,0.6945,0.6196,0.632,0.6143,0.6232,0.7326,0.5724,0.6525
24.8,0.03,0.5495,0.6026,0.5487,0.6984,0.6235,0.6205,0.6016,0.6111,0.7262,0.5548,0.6405
24.9,0.0407,0.5561,0.5925,0.5551,0.7059,0.6305,0.6108,0.59,0.6004,0.7198,0.5397,0.6297
25,0.0503,0.5645,0.5843,0.564,0.7173,0.6406,0.6037,0.58,0.5918,0.7133,0.5273,0.6203
25.1,0.0581,0.5746,0.5784,0.5757,0.7325,0.6541,0.5994,0.5716,0.5855,0.7068,0.5179,0.6124
25.2,0.0634,0.5859,0.5748,0.5902,0.751,0.6706,0.598,0.5649,0.5814,0.7006,0.5118,0.6062
25.3,0.0652,0.598,0.5736,0.6074,0.772,0.6897,0.5997,0.5601,0.5799,0.6947,0.5087,0.6017
25.4,0.0625,0.6106,0.5748,0.6269,0.7949,0.7109,0.6046,0.5577,0.5811,0.6893,0.5085,0.5989
25.5,0.0547,0.6238,0.5785,0.6482,0.8191,0.7336,0.6125,0.558,0.5852,0.6842,0.5108,0.5975
25.6,0.0417,0.6376,0.5845,0.6704,0.8439,0.7572,0.6229,0.5608,0.5918,0.6788,0.515,0.5969
25.7,0.0237,0.6519,0.5923,0.6932,0.8688,0.781,0.6352,0.5656,0.6004,0.6731,0.5206,0.5969
25.8,0.0015,0.6665,0.6015,0.716,0.8931,0.8045,0.6485,0.5718,0.6102,0.6673,0.5274,0.5974
25.9,-0.0239,0.6814,0.6118,0.7386,0.9162,0.8274,0.6625,0.5792,0.6208,0.6619,0.5354,0.5987
26,-0.0511,0.6961,0.6227,0.7606,0.9374,0.849,0.6767,0.5875,0.6321,0.6577,0.5448,0.6012
26.1,-0.0792,0.7099,0.6337,0.7815,0.9562,0.8689,0.6913,0.5964,0.6438,0.6549,0.5554,0.6052
26.2,-0.1074,0.7224,0.6443,0.8006,0.9723,0.8864,0.706,0.6052,0.6556,0.6538,0.5673,0.6106
26.3,-0.1347,0.7329,0.6543,0.8172,0.9849,0.9011,0.7205,0.6132,0.6669,0.6544,0.5798,0.6171
26.4,-0.1601,0.7411,0.6634,0.8308,0.9935,0.9122,0.7345,0.6196,0.6771,0.6567,0.5923,0.6245
26.5,-0.1819,0.7467,0.6714,0.8413,0.9974,0.9193,0.7477,0.6246,0.6861,0.6602,0.6042,0.6322
26.6,-0.1985,0.7496,0.6781,0.8487,0.9961,0.9224,0.7598,0.6284,0.6941,0.665,0.6149,0.64
26.7,-0.2091,0.7501,0.6832,0.8534,0.9899,0.9217,0.7712,0.6314,0.7013,0.6708,0.6246,0.6477
26.8,-0.2137,0.7486,0.6867,0.8558,0.9797,0.9177,0.7815,0.634,0.7078,0.6777,0.6332,0.6554
26.9,-0.2124,0.7454,0.6885,0.8563,0.9659,0.9111,0.7907,0.6363,0.7135,0.6852,0.6407,0.6629
27,-0.2057,0.7412,0.6888,0.8555,0.9492,0.9024,0.7985,0.6384,0.7184,0.6928,0.6471,0.6699
27.1,-0.1944,0.7361,0.6876,0.8539,0.93,0.892,0.8044,0.6403,0.7224,0.6997,0.6527,0.6762
27.2,-0.1797,0.7305,0.6854,0.8522,0.9089,0.8806,0.8082,0.6422,0.7252,0.7051,0.6577,0.6814
27.3,-0.1624,0.7248,0.6822,0.8509,0.8868,0.8689,0.8094,0.6439,0.7267,0.7085,0.6622,0.6854
27.4,-0.143,0.7192,0.6784,0.8502,0.8645,0.8574,0.8077,0.645,0.7263,0.7095,0.6662,0.6879
27.5,-0.1217,0.714,0.6744,0.8499,0.8426,0.8463,0.8029,0.6448,0.7238,0.7077,0.6696,0.6886
27.6,-0.0994,0.7091,0.6702,0.8496,0.8214,0.8355,0.7949,0.6432,0.7191,0.7033,0.6721,0.6877
27.7,-0.077,0.7046,0.6661,0.8487,0.801,0.8248,0.7842,0.64,0.7121,0.6963,0.6737,0.685
27.8,-0.0556,0.7,0.6624,0.8467,0.782,0.8144,0.7713,0.6357,0.7035,0.687,0.6746,0.6808
27.9,-0.0359,0.6953,0.6596,0.8438,0.765,0.8044,0.7568,0.6306,0.6937,0.6759,0.6749,0.6754
28,-0.019,0.6905,0.6581,0.84,0.7507,0.7954,0.7412,0.6253,0.6832,0.6634,0.6747,0.669
28.1,-0.0053,0.6859,0.6582,0.8353,0.7395,0.7874,0.7248,0.62,0.6724,0.6497,0.674,0.6619
28.2,0.0048,0.6821,0.6598,0.8298,0.7313,0.7805,0.708,0.615,0.6615,0.6353,0.6731,0.6542
28.3,0.0105,0.6791,0.6628,0.8234,0.726,0.7747,0.6914,0.6103,0.6509,0.6207,0.6718,0.6462
28.4,0.0114,0.6768,0.6669,0.8162,0.7233,0.7697,0.6755,0.6061,0.6408,0.6068,0.6704,0.6386
28.5,0.0075,0.6753,0.6719,0.8078,0.723,0.7654,0.6608,0.6029,0.6318,0.5944,0.6691,0.6318
28.6,-0.0007,0.6742,0.6779,0.798,0.7246,0.7613,0.6475,0.6009,0.6242,0.5839,0.6682,0.6261
28.7,-0.0122,0.6733,0.6848,0.7863,0.7277,0.757,0.6356,0.6004,0.618,0.5753,0.6679,0.6216
28.8,-0.0258,0.6724,0.6922,0.7728,0.7317,0.7523,0.625,0.6013,0.6132,0.5684,0.668,0.6182
28.9,-0.0408,0.6715,0.6998,0.7576,0.7362,0.7469,0.6158,0.6034,0.6096,0.563,0.6683,0.6156
29,-0.0563,0.6706,0.7071,0.7413,0.741,0.7411,0.6079,0.6063,0.6071,0.5593,0.6684,0.6139
29.1,-0.0712,0.6696,0.7139,0.7245,0.7456,0.7351,0.6015,0.6098,0.6056,0.5574,0.6684,0.6129
29.2,-0.0848,0.6687,0.72,0.7078,0.7501,0.7289,0.5965,0.614,0.6053,0.5576,0.668,0.6128
29.3,-0.097,0.6678,0.7251,0.6913,0.7542,0.7227,0.5933,0.6187,0.606,0.5597,0.667,0.6134
29.4,-0.1078,0.6668,0.729,0.6754,0.7577,0.7166,0.5919,0.624,0.6079,0.5636,0.6653,0.6145
29.5,-0.1175,0.666,0.7315,0.6604,0.7604,0.7104,0.5923,0.6295,0.6109,0.5692,0.6628,0.616
29.6,-0.1254,0.6654,0.7324,0.6461,0.7618,0.704,0.5944,0.6347,0.6146,0.5762,0.6594,0.6178
29.7,-0.1307,0.665,0.7315,0.6327,0.7616,0.6971,0.598,0.6392,0.6186,0.584,0.655,0.6195
29.8,-0.1326,0.6647,0.7286,0.6202,0.7597,0.69,0.6027,0.6428,0.6228,0.5924,0.6497,0.621
29.9,-0.1314,0.6646,0.7242,0.609,0.7566,0.6828,0.6085,0.6458,0.6271,0.6015,0.644,0.6228
