Time,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.1,0.0517,0.5812,0.9578,0.6862,0.7061,0.6961,0.6946,0.804,0.7493,0.7416,0.815,0.7783
10.2,0.0467,0.5783,0.9569,0.6856,0.704,0.6948,0.6895,0.8013,0.7454,0.7465,0.8243,0.7854
10.3,0.0374,0.5767,0.9537,0.6833,0.7027,0.693,0.6832,0.7961,0.7396,0.7461,0.828,0.787
10.4,0.0252,0.5762,0.9485,0.6794,0.7019,0.6907,0.6759,0.789,0.7325,0.7405,0.8261,0.7833
10.5,0.0117,0.5764,0.9416,0.6741,0.7013,0.6877,0.6682,0.7806,0.7244,0.7303,0.8193,0.7748
10.6,-0.002,0.5774,0.9331,0.6678,0.7005,0.6841,0.6607,0.7713,0.716,0.7164,0.8082,0.7623
10.7,-0.0149,0.5791,0.9231,0.6607,0.6993,0.68,0.6534,0.7615,0.7075,0.6994,0.7933,0.7464
10.8,-0.0268,0.5816,0.9121,0.6531,0.6974,0.6753,0.6464,0.7515,0.6989,0.6799,0.775,0.7275
10.9,-0.0371,0.5847,0.9002,0.6451,0.6946,0.6699,0.6397,0.7416,0.6907,0.6585,0.7539,0.7062
11,-0.045,0.5877,0.8879,0.6366,0.6905,0.6635,0.6338,0.7325,0.6832,0.6362,0.7309,0.6836
11.1,-0.0501,0.5904,0.8755,0.6275,0.685,0.6563,0.6295,0.7243,0.6769,0.6143,0.7071,0.6607
11.2,-0.0521,0.5928,0.8632,0.6186,0.678,0.6483,0.6272,0.7171,0.6721,0.5941,0.6833,0.6387
11.3,-0.051,0.5949,0.8508,0.6106,0.6699,0.6402,0.6271,0.7106,0.6688,0.5762,0.6602,0.6182
11.4,-0.0475,0.5968,0.8375,0.6039,0.6605,0.6322,0.6285,0.7044,0.6664,0.5611,0.6383,0.5997
11.5,-0.042,0.5984,0.8228,0.599,0.6502,0.6246,0.6305,0.698,0.6642,0.5486,0.6176,0.5831
11.6,-0.0353,0.5998,0.8067,0.5961,0.6392,0.6177,0.6328,0.6913,0.662,0.5396,0.5988,0.5692
11.7,-0.0284,0.6007,0.7897,0.5952,0.6278,0.6115,0.6358,0.6844,0.6601,0.5349,0.583,0.5589
