Time,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.7,0.1296,0.3966,0.2043,0.4728,0.5031,0.488,0.3754,0.2325,0.304,0.3412,0.2333,0.2872
6.8,0.1379,0.3967,0.2203,0.4909,0.4909,0.4909,0.3785,0.2257,0.3021,0.3551,0.2529,0.304
6.9,0.1433,0.4001,0.2395,0.5122,0.479,0.4956,0.3861,0.2236,0.3049,0.3716,0.2742,0.3229
7,0.1451,0.4068,0.2607,0.5358,0.4671,0.5015,0.3977,0.226,0.3119,0.39,0.2968,0.3434
7.1,0.1433,0.4165,0.2829,0.5609,0.4549,0.5079,0.4119,0.2329,0.3224,0.4092,0.3201,0.3646
7.2,0.138,0.4289,0.305,0.5863,0.4428,0.5145,0.4273,0.244,0.3356,0.4282,0.3436,0.3859
7.3,0.1295,0.4439,0.3259,0.6109,0.4315,0.5212,0.4424,0.2588,0.3506,0.4463,0.3668,0.4065
7.4,0.1177,0.4611,0.345,0.6335,0.4222,0.5278,0.4564,0.2764,0.3664,0.4636,0.3895,0.4265
7.5,0.1028,0.4796,0.3618,0.6525,0.4157,0.5341,0.4683,0.2957,0.382,0.4806,0.4115,0.446
7.6,0.085,0.498,0.3762,0.6668,0.4123,0.5396,0.478,0.3153,0.3966,0.4974,0.4328,0.4651
7.7,0.065,0.515,0.388,0.6756,0.412,0.5438,0.4847,0.3338,0.4092,0.5137,0.453,0.4833
7.8,0.0441,0.5289,0.3973,0.6786,0.414,0.5463,0.488,0.3496,0.4188,0.5287,0.4717,0.5002
7.9,0.0237,0.5385,0.4042,0.6758,0.4167,0.5463,0.4875,0.362,0.4248,0.5418,0.4888,0.5153
8,0.0051,0.5428,0.4092,0.6672,0.4186,0.5429,0.4837,0.3706,0.4271,0.5532,0.5044,0.5288
8.1,-0.0116,0.5416,0.4125,0.6527,0.4183,0.5355,0.4772,0.3757,0.4265,0.563,0.5187,0.5409
8.2,-0.0271,0.5348,0.4144,0.6326,0.4151,0.5239,0.4691,0.3778,0.4234,0.5717,0.5318,0.5517
8.3,-0.0425,0.5231,0.4154,0.6073,0.4091,0.5082,0.4599,0.3771,0.4185,0.5787,0.5431,0.5609
8.4,-0.0578,0.5073,0.4158,0.5778,0.4004,0.4891,0.4506,0.3743,0.4124,0.5833,0.552,0.5676
8.5,-0.0722,0.4883,0.4162,0.5454,0.3896,0.4675,0.4419,0.37,0.406,0.5855,0.5582,0.5718
8.6,-0.0847,0.4672,0.4169,0.5119,0.3776,0.4447,0.4349,0.3655,0.4002,0.5861,0.5622,0.5741
8.7,-0.0944,0.4449,0.418,0.4788,0.3648,0.4218,0.4299,0.3616,0.3957,0.586,0.5646,0.5753
8.8,-0.1013,0.4217,0.4199,0.4471,0.3514,0.3992,0.427,0.3588,0.3929,0.5859,0.5655,0.5757
8.9,-0.1059,0.3974,0.4229,0.4172,0.3371,0.3771,0.4258,0.357,0.3914,0.5859,0.5646,0.5752
9,-0.1087,0.3722,0.4272,0.3893,0.3217,0.3555,0.4263,0.3556,0.391,0.5858,0.5614,0.5736
9.1,-0.1098,0.3463,0.433,0.364,0.3058,0.3349,0.4282,0.3543,0.3913,0.5861,0.5563,0.5712
9.2,-0.1091,0.3205,0.4401,0.3418,0.2905,0.3161,0.4312,0.3528,0.392,0.5876,0.5501,0.5688
9.3,-0.1063,0.2956,0.4485,0.3234,0.2769,0.3002,0.4348,0.351,0.3929,0.5909,0.544,0.5674
9.4,-0.1011,0.2722,0.458,0.309,0.2655,0.2873,0.438,0.3491,0.3936,0.5961,0.5383,0.5672
9.5,-0.0934,0.2507,0.4684,0.2985,0.2565,0.2775,0.4407,0.3469,0.3938,0.603,0.5331,0.568
9.6,-0.0839,0.2314,0.48,0.2918,0.2499,0.2708,0.443,0.3449,0.3939,0.6116,0.5286,0.5701
9.7,-0.0738,0.2148,0.4927,0.2887,0.2467,0.2677,0.4456,0.3437,0.3947,0.6222,0.5251,0.5737
9.8,-0.0645,0.2017,0.5062,0.289,0.2479,0.2685,0.4487,0.3437,0.3962,0.6347,0.5226,0.5787
9.9,-0.0568,0.1929,0.5198,0.2925,0.2538,0.2732,0.4512,0.3444,0.3978,0.6482,0.5208,0.5845
10,-0.0512,0.1888,0.5322,0.2986,0.2636,0.2811,0.4519,0.3451,0.3985,0.6617,0.519,0.5903
10.1,-0.0474,0.1897,0.5424,0.3065,0.2757,0.2911,0.4497,0.3448,0.3973,0.6744,0.517,0.5957
10.2,-0.0447,0.1952,0.5496,0.3158,0.2888,0.3023,0.4446,0.3427,0.3936,0.6861,0.5145,0.6003
10.3,-0.0427,0.205,0.5529,0.326,0.3016,0.3138,0.4368,0.3384,0.3876,0.6965,0.5114,0.6039
10.4,-0.0413,0.2184,0.552,0.3365,0.313,0.3247,0.4269,0.3317,0.3793,0.7055,0.5076,0.6066
10.5,-0.0402,0.2346,0.547,0.3468,0.3219,0.3343,0.4152,0.3226,0.3689,0.7127,0.5033,0.608
