Time,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
5.1,0.5377,0.8398,0.0859,0.8521,0.6212,0.7367,0.5641,0.5365,0.5503,0.6362,0.4718,0.554
5.2,0.5061,0.853,0.0912,0.8748,0.6634,0.7691,0.5672,0.5457,0.5564,0.6391,0.4655,0.5523
5.3,0.4701,0.8643,0.103,0.8987,0.7067,0.8027,0.5706,0.5576,0.5641,0.645,0.4658,0.5554
5.4,0.43,0.8731,0.1226,0.9249,0.7487,0.8368,0.5743,0.5718,0.5731,0.6541,0.4735,0.5638
5.5,0.3863,0.8782,0.1514,0.9539,0.787,0.8704,0.5785,0.5875,0.583,0.6667,0.4888,0.5778
5.6,0.3389,0.8785,0.1899,0.9851,0.8196,0.9023,0.5828,0.6033,0.5931,0.683,0.5112,0.5971
5.7,0.2881,0.8732,0.2372,1.0176,0.8449,0.9313,0.587,0.6181,0.6026,0.7028,0.5399,0.6214
5.8,0.234,0.8614,0.2915,1.0502,0.8615,0.9558,0.5913,0.6315,0.6114,0.7253,0.5736,0.6494
5.9,0.1772,0.8431,0.3508,1.0812,0.8687,0.9749,0.5963,0.6439,0.6201,0.7487,0.6109,0.6798
6,0.1186,0.8192,0.4125,1.1091,0.8667,0.9879,0.6028,0.6555,0.6292,0.7707,0.6502,0.7105
6.1,0.0602,0.791,0.4738,1.1335,0.8564,0.995,0.6112,0.6663,0.6388,0.7894,0.6903,0.7399
6.2,0.005,0.7605,0.5322,1.1547,0.8388,0.9968,0.6214,0.6762,0.6488,0.8034,0.7303,0.7668
6.3,-0.044,0.7289,0.5855,1.1724,0.8143,0.9934,0.6328,0.6847,0.6588,0.8114,0.7685,0.7899
6.4,-0.0853,0.6972,0.631,1.185,0.7836,0.9843,0.6445,0.6912,0.6678,0.8123,0.8027,0.8075
6.5,-0.1176,0.6664,0.6661,1.1903,0.7475,0.9689,0.6561,0.6948,0.6755,0.8045,0.8303,0.8174
6.6,-0.1397,0.6374,0.6887,1.1866,0.7075,0.947,0.6677,0.6954,0.6815,0.7868,0.8491,0.8179
6.7,-0.1508,0.6109,0.6988,1.1734,0.6655,0.9194,0.6797,0.6926,0.6862,0.759,0.8586,0.8088
6.8,-0.1516,0.5868,0.6978,1.1514,0.6231,0.8872,0.6919,0.6866,0.6893,0.7223,0.859,0.7906
6.9,-0.144,0.5648,0.6872,1.1214,0.5811,0.8513,0.7035,0.6778,0.6907,0.6788,0.8505,0.7647
7,-0.1301,0.5441,0.6686,1.0843,0.5397,0.812,0.7136,0.6666,0.6901,0.6308,0.8332,0.732
7.1,-0.1118,0.5244,0.6434,1.0408,0.4994,0.7701,0.7211,0.6534,0.6873,0.5805,0.8076,0.6941
7.2,-0.0907,0.5056,0.6135,0.9922,0.4611,0.7267,0.7256,0.6381,0.6819,0.5304,0.7759,0.6531
7.3,-0.0681,0.4878,0.5807,0.94,0.4263,0.6831,0.7273,0.6205,0.6739,0.4822,0.7404,0.6113
7.4,-0.0448,0.4714,0.5465,0.8854,0.3958,0.6406,0.7268,0.6009,0.6639,0.4372,0.7029,0.57
7.5,-0.0205,0.4564,0.5119,0.8291,0.3702,0.5996,0.7249,0.58,0.6524,0.3962,0.6645,0.5303
7.6,0.0052,0.4426,0.4775,0.7719,0.3495,0.5607,0.7218,0.558,0.6399,0.3598,0.626,0.4929
7.7,0.033,0.4299,0.4441,0.7153,0.334,0.5246,0.7178,0.536,0.6269,0.3288,0.5888,0.4588
7.8,0.0626,0.4193,0.4131,0.6612,0.3244,0.4928,0.7127,0.5154,0.6141,0.3042,0.5546,0.4294
