Time,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC
21,-0.0757,0.5488,0.5201,0.4815,0.5311,0.5063,0.6457,0.6486,0.6471,0.6656,0.7078,0.6867
21.1,-0.041,0.539,0.536,0.4853,0.5078,0.4965,0.6495,0.6616,0.6556,0.6724,0.7112,0.6918
21.2,-0.0062,0.5286,0.5537,0.4884,0.4843,0.4863,0.6525,0.6732,0.6629,0.6783,0.7124,0.6954
21.3,0.0274,0.5177,0.5726,0.491,0.4611,0.476,0.6545,0.6831,0.6688,0.6833,0.7118,0.6975
21.4,0.0596,0.5061,0.5914,0.493,0.4384,0.4657,0.6556,0.691,0.6733,0.6873,0.7096,0.6984
21.5,0.0904,0.4941,0.6086,0.4941,0.4163,0.4552,0.6562,0.6965,0.6763,0.6905,0.7054,0.6979
21.6,0.1201,0.4821,0.6225,0.4944,0.3946,0.4445,0.6559,0.6992,0.6775,0.6929,0.6987,0.6958
21.7,0.1491,0.4708,0.6319,0.4942,0.3735,0.4339,0.6542,0.699,0.6766,0.6946,0.6889,0.6918
21.8,0.1772,0.4606,0.6363,0.4937,0.3533,0.4235,0.6508,0.696,0.6734,0.6958,0.6754,0.6856
21.9,0.2039,0.4519,0.6355,0.4931,0.3344,0.4137,0.6457,0.6901,0.6679,0.6959,0.6584,0.6771
22,0.2289,0.445,0.6294,0.4925,0.317,0.4047,0.6391,0.6814,0.6602,0.6948,0.6379,0.6663
22.1,0.2521,0.4406,0.6179,0.4922,0.3012,0.3967,0.6317,0.6696,0.6507,0.6921,0.6146,0.6533
22.2,0.2729,0.4391,0.6007,0.4924,0.2872,0.3898,0.6242,0.6547,0.6394,0.6882,0.589,0.6386
22.3,0.2908,0.4401,0.5778,0.4926,0.2751,0.3839,0.6164,0.6368,0.6266,0.6832,0.5622,0.6227
22.4,0.3053,0.4432,0.5498,0.4928,0.2656,0.3792,0.6081,0.6158,0.612,0.677,0.5348,0.6059
22.5,0.3154,0.4478,0.5177,0.4931,0.2592,0.3761,0.5986,0.5921,0.5953,0.6693,0.5075,0.5884
22.6,0.3198,0.4538,0.4835,0.4939,0.2565,0.3752,0.5874,0.5663,0.5769,0.6596,0.4812,0.5704
22.7,0.3183,0.4616,0.4491,0.4959,0.2577,0.3768,0.5747,0.5399,0.5573,0.648,0.4567,0.5524
22.8,0.3109,0.4712,0.4159,0.4996,0.2624,0.381,0.5608,0.5142,0.5375,0.6348,0.4349,0.5349
22.9,0.298,0.4824,0.3851,0.505,0.2703,0.3877,0.5468,0.4903,0.5185,0.6208,0.4162,0.5185
23,0.2798,0.4946,0.3576,0.5118,0.2811,0.3964,0.5333,0.4689,0.5011,0.6063,0.4011,0.5037
23.1,0.2561,0.5075,0.3348,0.5198,0.2948,0.4073,0.5209,0.4512,0.486,0.592,0.3904,0.4912
23.2,0.2273,0.5211,0.3183,0.529,0.3113,0.4201,0.5098,0.4379,0.4739,0.5785,0.3845,0.4815
23.3,0.1949,0.5354,0.3095,0.5394,0.3297,0.4345,0.5004,0.4294,0.4649,0.5666,0.3837,0.4751
23.4,0.1605,0.5505,0.3086,0.5506,0.3494,0.45,0.4931,0.4253,0.4592,0.5568,0.3872,0.472
23.5,0.1259,0.5662,0.3148,0.5622,0.3702,0.4662,0.4881,0.425,0.4565,0.5495,0.3943,0.4719
23.6,0.0919,0.5822,0.327,0.5743,0.3923,0.4833,0.4858,0.4271,0.4564,0.5443,0.4036,0.4739
23.7,0.0587,0.5985,0.3436,0.5868,0.4159,0.5014,0.4861,0.4309,0.4585,0.5409,0.4142,0.4776
23.8,0.026,0.6148,0.3633,0.5998,0.4409,0.5204,0.4892,0.4361,0.4626,0.5388,0.4255,0.4822
23.9,-0.0059,0.6308,0.3849,0.6128,0.4664,0.5396,0.4946,0.4426,0.4686,0.5378,0.4369,0.4873
24,-0.0362,0.6456,0.4067,0.6249,0.491,0.558,0.502,0.45,0.476,0.5372,0.4481,0.4926
24.1,-0.0635,0.6584,0.4264,0.635,0.514,0.5745,0.5105,0.4571,0.4838,0.5364,0.4583,0.4974
24.2,-0.0865,0.6685,0.442,0.6425,0.5347,0.5886,0.5193,0.4624,0.4909,0.5348,0.4671,0.5009
24.3,-0.105,0.6755,0.4524,0.6472,0.553,0.6001,0.5278,0.465,0.4964,0.5324,0.474,0.5032
24.4,-0.1193,0.6796,0.4573,0.6498,0.5688,0.6093,0.5359,0.4642,0.5,0.5297,0.4789,0.5043
24.5,-0.1295,0.6811,0.4573,0.651,0.5819,0.6164,0.5435,0.4603,0.5019,0.527,0.4819,0.5044
24.6,-0.1353,0.6804,0.4529,0.6514,0.5918,0.6216,0.5506,0.4535,0.5021,0.5239,0.4827,0.5033
24.7,-0.1358,0.6785,0.4446,0.6512,0.5986,0.6249,0.5568,0.4443,0.5005,0.5202,0.4811,0.5006
24.8,-0.1312,0.6762,0.4331,0.6501,0.6027,0.6264,0.5615,0.4328,0.4972,0.5152,0.4769,0.4961
24.9,-0.1217,0.6744,0.4194,0.6479,0.6046,0.6262,0.5642,0.4196,0.4919,0.5088,0.4704,0.4896
25,-0.1079,0.6733,0.4048,0.6446,0.6049,0.6248,0.5648,0.4052,0.485,0.5009,0.462,0.4815
25.1,-0.091,0.6725,0.3903,0.6404,0.604,0.6222,0.5632,0.3902,0.4767,0.4914,0.4522,0.4718
25.2,-0.0728,0.6714,0.376,0.6349,0.602,0.6185,0.5594,0.3747,0.4671,0.4802,0.4414,0.4608
25.3,-0.0553,0.6695,0.362,0.6278,0.5988,0.6133,0.5532,0.3587,0.456,0.467,0.4297,0.4483
25.4,-0.0398,0.6667,0.3479,0.6187,0.5948,0.6067,0.5449,0.342,0.4434,0.452,0.4169,0.4345
25.5,-0.0271,0.663,0.3335,0.6073,0.5905,0.5989,0.5345,0.3246,0.4296,0.4359,0.4034,0.4196
25.6,-0.0176,0.6587,0.3187,0.5935,0.5868,0.5901,0.5222,0.3068,0.4145,0.4187,0.3892,0.404
25.7,-0.0112,0.654,0.3038,0.5776,0.5841,0.5808,0.5077,0.2892,0.3985,0.4007,0.3747,0.3877
25.8,-0.007,0.6495,0.2894,0.5601,0.5828,0.5714,0.491,0.2723,0.3816,0.3817,0.36,0.3709
25.9,-0.0051,0.6457,0.2761,0.5413,0.5831,0.5622,0.4723,0.2569,0.3646,0.3621,0.3455,0.3538
26,-0.0055,0.6427,0.2642,0.5217,0.5849,0.5533,0.4527,0.2439,0.3483,0.3424,0.3315,0.337
26.1,-0.0083,0.6402,0.254,0.5015,0.5888,0.5451,0.4335,0.2341,0.3338,0.3235,0.3184,0.321
26.2,-0.0135,0.6382,0.2452,0.4811,0.5951,0.5381,0.4159,0.2283,0.3221,0.3055,0.3066,0.306
26.3,-0.0208,0.6365,0.2374,0.4613,0.604,0.5326,0.4007,0.2268,0.3138,0.2886,0.2965,0.2925
26.4,-0.0292,0.6353,0.2305,0.4427,0.6153,0.529,0.3882,0.2296,0.3089,0.2731,0.2888,0.2809
26.5,-0.0378,0.6346,0.2242,0.426,0.6285,0.5273,0.3785,0.2368,0.3076,0.2592,0.2841,0.2716
26.6,-0.046,0.6344,0.2188,0.4122,0.6433,0.5277,0.3716,0.2482,0.3099,0.2469,0.2826,0.2647
26.7,-0.054,0.6344,0.2143,0.4023,0.6596,0.531,0.3684,0.264,0.3162,0.236,0.2842,0.2601
26.8,-0.0618,0.6342,0.2108,0.3978,0.6776,0.5377,0.3698,0.2845,0.3271,0.2262,0.2893,0.2577
26.9,-0.0694,0.6333,0.2088,0.3993,0.697,0.5481,0.3767,0.3098,0.3432,0.2177,0.2988,0.2583
27,-0.0757,0.6305,0.2084,0.4069,0.7164,0.5617,0.3899,0.3392,0.3646,0.2112,0.3139,0.2626
27.1,-0.0791,0.625,0.2094,0.4197,0.7342,0.5769,0.4094,0.3717,0.3905,0.2076,0.336,0.2718
27.2,-0.0785,0.616,0.212,0.4361,0.7487,0.5924,0.4344,0.406,0.4202,0.2073,0.3653,0.2863
27.3,-0.0732,0.6033,0.2163,0.4548,0.7588,0.6068,0.4634,0.441,0.4522,0.2106,0.401,0.3058
27.4,-0.0615,0.5869,0.2225,0.4748,0.764,0.6194,0.4947,0.4754,0.485,0.2175,0.441,0.3292
27.5,-0.0431,0.5673,0.2307,0.4953,0.7641,0.6297,0.5267,0.5072,0.5169,0.2279,0.4832,0.3555
27.6,-0.0196,0.5446,0.2406,0.5145,0.7594,0.637,0.5579,0.5351,0.5465,0.2423,0.5257,0.384
27.7,0.0063,0.5193,0.2519,0.5306,0.7499,0.6402,0.5872,0.5584,0.5728,0.2606,0.567,0.4138
27.8,0.0317,0.4922,0.2645,0.5425,0.7353,0.6389,0.6133,0.5769,0.5951,0.2818,0.6059,0.4438
27.9,0.0557,0.4649,0.2786,0.5499,0.7156,0.6327,0.6348,0.5911,0.6129,0.3037,0.6413,0.4725
28,0.0791,0.4398,0.294,0.5533,0.6908,0.6221,0.6512,0.6014,0.6263,0.3247,0.6729,0.4988
28.1,0.1027,0.4189,0.3108,0.5538,0.6617,0.6077,0.6629,0.6086,0.6357,0.3443,0.7009,0.5226
28.2,0.1255,0.4028,0.3291,0.5517,0.6294,0.5905,0.671,0.6134,0.6422,0.3628,0.7261,0.5444
28.3,0.1459,0.3898,0.3484,0.5472,0.5952,0.5712,0.6763,0.617,0.6466,0.3807,0.7489,0.5648
28.4,0.1614,0.378,0.368,0.5401,0.5605,0.5503,0.6797,0.6197,0.6497,0.3983,0.7697,0.584
28.5,0.1699,0.3665,0.3872,0.5307,0.5265,0.5286,0.6811,0.6219,0.6515,0.4153,0.7886,0.6019
28.6,0.1705,0.356,0.4057,0.5199,0.4948,0.5073,0.6804,0.6241,0.6523,0.4315,0.8061,0.6188
28.7,0.1643,0.348,0.4238,0.5093,0.4669,0.4881,0.6781,0.6268,0.6525,0.4472,0.8226,0.6349
28.8,0.1531,0.3439,0.4424,0.5008,0.4443,0.4725,0.6754,0.6307,0.653,0.4625,0.8388,0.6507
28.9,0.1382,0.3445,0.4624,0.4959,0.4278,0.4618,0.6732,0.636,0.6546,0.4781,0.8553,0.6667
29,0.1203,0.3503,0.4841,0.4958,0.4178,0.4568,0.6722,0.6424,0.6573,0.4939,0.8723,0.6831
29.1,0.0994,0.3615,0.5076,0.5013,0.4145,0.4579,0.6728,0.6497,0.6613,0.5103,0.8903,0.7003
29.2,0.0742,0.3776,0.5326,0.5125,0.4181,0.4653,0.6754,0.6575,0.6664,0.5277,0.9095,0.7186
29.3,0.0432,0.3977,0.5591,0.5291,0.4291,0.4791,0.6807,0.6658,0.6732,0.5467,0.93,0.7383
29.4,0.0062,0.4212,0.5864,0.5506,0.448,0.4993,0.6893,0.6748,0.6821,0.5673,0.9508,0.759
29.5,-0.0345,0.4475,0.6134,0.5762,0.4742,0.5252,0.7012,0.6839,0.6926,0.5881,0.9706,0.7793
29.6,-0.0753,0.4759,0.6392,0.605,0.5063,0.5556,0.7154,0.6917,0.7035,0.6074,0.9877,0.7976
29.7,-0.1123,0.506,0.6637,0.6357,0.542,0.5889,0.73,0.6967,0.7133,0.6241,1.0007,0.8124
29.8,-0.1429,0.537,0.6871,0.6668,0.5795,0.6232,0.7437,0.6981,0.7209,0.6381,1.0093,0.8237
29.9,-0.1656,0.5688,0.7094,0.6968,0.6178,0.6573,0.7559,0.6961,0.726,0.6499,1.013,0.8314
