Time,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC
21.4,0.1622,0.5888,0.3707,0.5428,0.286,0.4144,0.5612,0.6417,0.6015,0.2067,0.2437,0.2252
21.5,0.18,0.5994,0.3723,0.5423,0.2915,0.4169,0.5518,0.6255,0.5887,0.1877,0.2211,0.2044
21.6,0.1993,0.6089,0.3729,0.54,0.2984,0.4192,0.5409,0.606,0.5735,0.1738,0.2049,0.1894
21.7,0.2202,0.6175,0.3729,0.5363,0.3065,0.4214,0.5291,0.5843,0.5567,0.1642,0.195,0.1796
21.8,0.2424,0.625,0.3729,0.5323,0.3156,0.424,0.5164,0.5612,0.5388,0.1579,0.1905,0.1742
21.9,0.2656,0.6314,0.3733,0.5292,0.3255,0.4274,0.5031,0.5375,0.5203,0.1539,0.1912,0.1725
22,0.2899,0.6359,0.3745,0.5274,0.3357,0.4316,0.4897,0.514,0.5019,0.1519,0.1964,0.1742
22.1,0.3142,0.6377,0.3759,0.5268,0.3457,0.4362,0.4766,0.4915,0.484,0.1517,0.2052,0.1784
22.2,0.3364,0.6368,0.3771,0.5267,0.3549,0.4408,0.4639,0.47,0.4669,0.1525,0.2161,0.1843
22.3,0.3541,0.6336,0.3775,0.5268,0.3633,0.445,0.4513,0.4493,0.4503,0.1538,0.2278,0.1908
22.4,0.3656,0.629,0.3769,0.527,0.3715,0.4492,0.4384,0.4293,0.4339,0.1553,0.2399,0.1976
22.5,0.3704,0.6231,0.3752,0.5273,0.3794,0.4534,0.4249,0.41,0.4174,0.1566,0.2524,0.2045
22.6,0.3695,0.6157,0.3717,0.5274,0.3866,0.457,0.4103,0.3911,0.4007,0.1576,0.2654,0.2115
22.7,0.3638,0.6069,0.366,0.5271,0.3922,0.4597,0.3945,0.3729,0.3837,0.1581,0.2783,0.2182
22.8,0.3536,0.597,0.3578,0.5264,0.3965,0.4614,0.3776,0.3554,0.3665,0.1577,0.2905,0.2241
22.9,0.339,0.5868,0.348,0.5255,0.3997,0.4626,0.3599,0.339,0.3494,0.1564,0.3014,0.2289
23,0.3195,0.5766,0.3377,0.5243,0.4024,0.4633,0.3423,0.324,0.3331,0.1546,0.3112,0.2329
23.1,0.2956,0.5668,0.3275,0.523,0.4045,0.4638,0.3252,0.3103,0.3178,0.1529,0.32,0.2365
23.2,0.2682,0.558,0.3179,0.5217,0.4065,0.4641,0.3087,0.2983,0.3035,0.1516,0.3281,0.2399
23.3,0.2384,0.5513,0.309,0.5215,0.4088,0.4651,0.2925,0.2884,0.2904,0.1508,0.3355,0.2431
23.4,0.2075,0.548,0.3008,0.5232,0.4123,0.4677,0.2765,0.2809,0.2787,0.1506,0.3419,0.2463
23.5,0.1765,0.5485,0.2936,0.5268,0.4177,0.4723,0.261,0.2761,0.2685,0.1513,0.3475,0.2494
23.6,0.1462,0.5522,0.2878,0.5319,0.4249,0.4784,0.2464,0.2738,0.2601,0.1536,0.3527,0.2532
23.7,0.1176,0.558,0.2838,0.5378,0.4336,0.4857,0.2331,0.2739,0.2535,0.1581,0.3583,0.2582
23.8,0.0919,0.5651,0.2818,0.5437,0.4428,0.4932,0.2214,0.2756,0.2485,0.1652,0.3648,0.265
23.9,0.07,0.5729,0.2819,0.5493,0.4515,0.5004,0.2114,0.2783,0.2449,0.175,0.3726,0.2738
24,0.0526,0.5808,0.2844,0.5544,0.4588,0.5066,0.2032,0.2811,0.2422,0.1875,0.3818,0.2846
24.1,0.0406,0.5881,0.2898,0.5589,0.4639,0.5114,0.1972,0.2835,0.2404,0.2029,0.3921,0.2975
24.2,0.034,0.5939,0.2975,0.5627,0.4661,0.5144,0.1932,0.2853,0.2393,0.2208,0.4031,0.312
24.3,0.0328,0.5976,0.3065,0.5656,0.4655,0.5155,0.191,0.2862,0.2386,0.2405,0.4142,0.3273
24.4,0.0363,0.5992,0.3158,0.5671,0.4623,0.5147,0.1905,0.2861,0.2383,0.2612,0.4248,0.343
24.5,0.0444,0.5991,0.3251,0.5673,0.4571,0.5122,0.192,0.2855,0.2387,0.2823,0.4347,0.3585
24.6,0.0575,0.5973,0.3341,0.5665,0.45,0.5082,0.1959,0.285,0.2404,0.3032,0.4432,0.3732
24.7,0.0766,0.5936,0.3414,0.5657,0.4412,0.5035,0.2026,0.2849,0.2438,0.3233,0.4494,0.3864
24.8,0.1018,0.588,0.3453,0.5656,0.4314,0.4985,0.2125,0.2853,0.2489,0.3421,0.4524,0.3972
24.9,0.1328,0.5804,0.3444,0.5669,0.4212,0.494,0.2258,0.286,0.2559,0.3586,0.451,0.4048
25,0.169,0.5714,0.3386,0.5697,0.4115,0.4906,0.2428,0.2872,0.265,0.3724,0.4452,0.4088
25.1,0.2088,0.5613,0.3292,0.5739,0.4026,0.4882,0.2633,0.289,0.2762,0.3829,0.4355,0.4092
25.2,0.2504,0.5501,0.3179,0.5793,0.3949,0.4871,0.2868,0.2916,0.2892,0.3901,0.423,0.4066
25.3,0.2924,0.5382,0.3057,0.5861,0.3885,0.4873,0.3126,0.2956,0.3041,0.394,0.4087,0.4013
25.4,0.3334,0.5261,0.2932,0.5941,0.3841,0.4891,0.3401,0.3016,0.3209,0.3947,0.3933,0.394
25.5,0.3714,0.515,0.2809,0.6032,0.3825,0.4928,0.3688,0.3098,0.3393,0.3921,0.378,0.385
25.6,0.4039,0.5063,0.2695,0.6135,0.3844,0.499,0.3981,0.3197,0.3589,0.386,0.364,0.375
25.7,0.4289,0.5009,0.2594,0.6252,0.3908,0.508,0.4272,0.3309,0.379,0.3763,0.3529,0.3646
25.8,0.4458,0.4992,0.2505,0.6387,0.4021,0.5204,0.4553,0.3432,0.3993,0.3631,0.3457,0.3544
25.9,0.4546,0.5009,0.243,0.6539,0.4175,0.5357,0.4818,0.3565,0.4192,0.3471,0.3431,0.3451
26,0.4556,0.5054,0.2374,0.6702,0.4362,0.5532,0.506,0.3709,0.4385,0.3302,0.3455,0.3378
26.1,0.4493,0.5125,0.2352,0.6871,0.4575,0.5723,0.5279,0.3863,0.4571,0.3149,0.3533,0.3341
26.2,0.4371,0.5218,0.2374,0.7043,0.4812,0.5927,0.5474,0.4026,0.475,0.3033,0.3668,0.335
26.3,0.4212,0.5333,0.2443,0.722,0.5069,0.6145,0.5645,0.4196,0.492,0.2968,0.386,0.3414
26.4,0.4042,0.5466,0.2553,0.7402,0.5338,0.637,0.5794,0.4365,0.508,0.2958,0.4104,0.3531
26.5,0.3886,0.5613,0.27,0.7585,0.5605,0.6595,0.5923,0.4531,0.5227,0.3005,0.4397,0.3701
26.6,0.3768,0.5769,0.2879,0.7765,0.5865,0.6815,0.6033,0.4692,0.5362,0.3103,0.4731,0.3917
26.7,0.3701,0.5926,0.3081,0.7933,0.6111,0.7022,0.6123,0.4848,0.5485,0.3247,0.5096,0.4171
26.8,0.3698,0.6073,0.3294,0.8078,0.6336,0.7207,0.6189,0.4986,0.5587,0.3425,0.5478,0.4452
26.9,0.3764,0.6199,0.3506,0.8185,0.6527,0.7356,0.6229,0.5094,0.5662,0.3632,0.5863,0.4747
27,0.3898,0.6296,0.3713,0.8249,0.6669,0.7459,0.6248,0.5161,0.5705,0.3854,0.6241,0.5047
27.1,0.4091,0.6361,0.3911,0.8268,0.6755,0.7511,0.6248,0.5183,0.5715,0.4077,0.6592,0.5335
27.2,0.4328,0.6392,0.4093,0.8242,0.6782,0.7512,0.6227,0.5161,0.5694,0.4279,0.6902,0.559
27.3,0.4593,0.6383,0.4254,0.8171,0.6748,0.7459,0.6185,0.5097,0.5641,0.4445,0.7159,0.5802
27.4,0.4871,0.6326,0.4388,0.8051,0.6647,0.7349,0.6119,0.4991,0.5555,0.4571,0.7356,0.5963
27.5,0.5149,0.6221,0.4483,0.788,0.6479,0.7179,0.6025,0.484,0.5432,0.4656,0.7479,0.6068
27.6,0.5409,0.6073,0.4529,0.7661,0.6255,0.6958,0.5897,0.464,0.5269,0.4698,0.7521,0.611
27.7,0.5638,0.5896,0.4528,0.7404,0.5993,0.6698,0.5734,0.4399,0.5066,0.4692,0.7478,0.6085
27.8,0.5833,0.5705,0.4488,0.7123,0.5707,0.6415,0.5541,0.4129,0.4835,0.463,0.735,0.599
27.9,0.5999,0.551,0.4418,0.6831,0.5406,0.6118,0.5331,0.385,0.4591,0.4509,0.7142,0.5825
28,0.6142,0.5315,0.4316,0.6536,0.5096,0.5816,0.5113,0.3577,0.4345,0.4337,0.6855,0.5596
28.1,0.6257,0.5121,0.4177,0.6244,0.4792,0.5518,0.4886,0.3317,0.4101,0.4129,0.6502,0.5316
28.2,0.6326,0.493,0.4004,0.5958,0.4509,0.5234,0.4654,0.3076,0.3865,0.3906,0.6106,0.5006
28.3,0.6335,0.4749,0.3815,0.5688,0.4259,0.4974,0.4427,0.2866,0.3646,0.3687,0.5698,0.4693
28.4,0.6273,0.4585,0.3628,0.5443,0.4043,0.4743,0.4216,0.2697,0.3456,0.3491,0.5308,0.4399
28.5,0.6134,0.4448,0.3448,0.5231,0.3857,0.4544,0.4033,0.2571,0.3302,0.3325,0.4949,0.4137
28.6,0.592,0.4345,0.3267,0.5058,0.3703,0.438,0.3882,0.2488,0.3185,0.3185,0.4624,0.3905
28.7,0.5636,0.4281,0.3075,0.4925,0.3586,0.4256,0.3763,0.2445,0.3104,0.306,0.4336,0.3698
28.8,0.5289,0.4257,0.2873,0.4831,0.3515,0.4173,0.3674,0.2442,0.3058,0.2942,0.4089,0.3515
28.9,0.4889,0.4273,0.2673,0.4774,0.3486,0.413,0.3613,0.2473,0.3043,0.283,0.3887,0.3359
29,0.4454,0.4324,0.2489,0.4751,0.3489,0.412,0.3578,0.254,0.3059,0.2731,0.3733,0.3232
29.1,0.4012,0.4399,0.2338,0.476,0.3511,0.4135,0.3569,0.2648,0.3109,0.2651,0.3625,0.3138
29.2,0.3596,0.4486,0.2231,0.4797,0.3542,0.417,0.3586,0.2798,0.3192,0.2602,0.3565,0.3083
29.3,0.3232,0.458,0.2179,0.4858,0.3576,0.4217,0.3624,0.2978,0.3301,0.2587,0.3549,0.3068
29.4,0.2937,0.4675,0.2187,0.4931,0.3601,0.4266,0.3674,0.3166,0.342,0.2604,0.3575,0.309
29.5,0.2718,0.4771,0.2261,0.5009,0.3612,0.4311,0.3729,0.3345,0.3537,0.264,0.3636,0.3138
29.6,0.2576,0.4867,0.2401,0.5084,0.3609,0.4347,0.3788,0.3517,0.3653,0.2676,0.3723,0.3199
29.7,0.2499,0.4959,0.2593,0.5152,0.3597,0.4375,0.3854,0.3687,0.3771,0.2688,0.3834,0.3261
29.8,0.2477,0.5046,0.2806,0.5209,0.3582,0.4395,0.3927,0.3849,0.3888,0.2656,0.3964,0.331
29.9,0.2499,0.5124,0.3013,0.525,0.3563,0.4406,0.3996,0.3993,0.3995,0.2565,0.4108,0.3336
