Time,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC
21,-0.0319,0.4822,0.7851,0.5512,0.4261,0.4886,0.6561,0.4897,0.5729,0.8004,0.9169,0.8586
21.1,-0.0231,0.4817,0.7951,0.5639,0.4351,0.4995,0.6479,0.4888,0.5683,0.7967,0.8922,0.8445
21.2,-0.0076,0.482,0.8055,0.5747,0.4446,0.5096,0.6396,0.4897,0.5646,0.7907,0.8646,0.8277
21.3,0.0126,0.4833,0.8155,0.5836,0.4544,0.519,0.631,0.4917,0.5614,0.7825,0.8349,0.8087
21.4,0.0349,0.4854,0.8248,0.5906,0.4644,0.5275,0.622,0.495,0.5585,0.7722,0.8047,0.7885
21.5,0.0575,0.4876,0.8337,0.5953,0.4742,0.5348,0.6123,0.4998,0.5561,0.7601,0.7752,0.7676
21.6,0.0794,0.4891,0.8426,0.5975,0.4835,0.5405,0.602,0.507,0.5545,0.7459,0.7471,0.7465
21.7,0.0999,0.4898,0.8513,0.5975,0.4929,0.5452,0.5907,0.5168,0.5538,0.7298,0.7204,0.7251
21.8,0.1181,0.4897,0.8592,0.5962,0.503,0.5496,0.5782,0.529,0.5536,0.7122,0.6949,0.7036
21.9,0.133,0.4887,0.8657,0.5944,0.5146,0.5545,0.5642,0.5427,0.5535,0.6937,0.6701,0.6819
22,0.1436,0.4868,0.8699,0.5932,0.5285,0.5608,0.5496,0.5575,0.5535,0.6751,0.6463,0.6607
22.1,0.1494,0.4836,0.8713,0.5932,0.5446,0.5689,0.5351,0.5732,0.5542,0.6572,0.624,0.6406
22.2,0.1494,0.4791,0.8692,0.594,0.5623,0.5781,0.5216,0.5897,0.5557,0.6402,0.6037,0.622
22.3,0.1418,0.4728,0.8637,0.5949,0.5808,0.5878,0.5092,0.6064,0.5578,0.6239,0.5858,0.6048
22.4,0.1245,0.4651,0.8544,0.5952,0.5999,0.5976,0.4977,0.6218,0.5598,0.6081,0.5704,0.5892
22.5,0.0971,0.4567,0.8417,0.595,0.6199,0.6075,0.4873,0.6343,0.5608,0.593,0.5584,0.5757
22.6,0.0608,0.4492,0.8263,0.5943,0.6407,0.6175,0.4782,0.6428,0.5605,0.5796,0.5502,0.5649
22.7,0.019,0.4436,0.8095,0.5925,0.6618,0.6271,0.4703,0.6467,0.5585,0.569,0.5457,0.5573
22.8,-0.0257,0.4404,0.7915,0.589,0.6821,0.6356,0.4628,0.6456,0.5542,0.5618,0.544,0.5529
22.9,-0.0725,0.4397,0.7726,0.5836,0.7007,0.6422,0.4548,0.6391,0.547,0.5582,0.5441,0.5511
23,-0.1223,0.4421,0.7527,0.5767,0.7172,0.6469,0.4461,0.6271,0.5366,0.5584,0.5458,0.5521
23.1,-0.1752,0.4476,0.7328,0.569,0.7315,0.6502,0.4369,0.6099,0.5234,0.5628,0.549,0.5559
23.2,-0.229,0.4567,0.7144,0.5608,0.7437,0.6522,0.4279,0.5889,0.5084,0.5715,0.5538,0.5627
23.3,-0.2794,0.4695,0.6989,0.5523,0.7537,0.653,0.4195,0.5657,0.4926,0.5843,0.5602,0.5723
23.4,-0.3219,0.486,0.687,0.5436,0.7614,0.6525,0.4122,0.5418,0.477,0.6006,0.5682,0.5844
23.5,-0.354,0.5062,0.6784,0.5351,0.7669,0.651,0.4065,0.5182,0.4623,0.6198,0.5779,0.5988
23.6,-0.3743,0.5297,0.6722,0.5274,0.7705,0.6489,0.4027,0.4955,0.4491,0.6412,0.589,0.6151
23.7,-0.3822,0.5557,0.6676,0.5211,0.7731,0.6471,0.4012,0.4743,0.4377,0.6635,0.6011,0.6323
23.8,-0.3783,0.5834,0.6642,0.5167,0.7757,0.6462,0.4017,0.4556,0.4287,0.6855,0.6132,0.6493
23.9,-0.3647,0.6118,0.6619,0.5141,0.7793,0.6467,0.4044,0.4399,0.4221,0.7058,0.625,0.6654
24,-0.3448,0.64,0.6608,0.513,0.784,0.6485,0.4091,0.4277,0.4184,0.7236,0.6365,0.68
24.1,-0.3224,0.6671,0.6608,0.5128,0.7891,0.651,0.4158,0.419,0.4174,0.7385,0.6477,0.6931
24.2,-0.3,0.692,0.6613,0.5127,0.7938,0.6532,0.4242,0.4135,0.4188,0.7502,0.658,0.7041
24.3,-0.2795,0.7134,0.6615,0.5123,0.798,0.6552,0.4336,0.4107,0.4221,0.7577,0.666,0.7119
24.4,-0.262,0.7311,0.6603,0.5125,0.8025,0.6575,0.444,0.4099,0.4269,0.7602,0.6703,0.7153
24.5,-0.2489,0.7451,0.6568,0.5146,0.8083,0.6614,0.4557,0.4106,0.4332,0.7578,0.6703,0.714
24.6,-0.2419,0.756,0.6509,0.5197,0.8159,0.6678,0.4692,0.4124,0.4408,0.7509,0.6664,0.7087
24.7,-0.2413,0.7642,0.6436,0.5283,0.825,0.6766,0.4844,0.4153,0.4498,0.7409,0.6595,0.7002
24.8,-0.2462,0.7694,0.6362,0.5396,0.8343,0.687,0.5011,0.4198,0.4604,0.7283,0.6505,0.6894
24.9,-0.2546,0.7718,0.6303,0.5521,0.8429,0.6975,0.5189,0.4264,0.4727,0.7139,0.6403,0.6771
25,-0.2646,0.7718,0.6266,0.5648,0.8503,0.7076,0.5377,0.4352,0.4864,0.6983,0.6296,0.6639
25.1,-0.2749,0.7704,0.6255,0.5776,0.8565,0.7171,0.5572,0.4458,0.5015,0.6825,0.619,0.6508
25.2,-0.2841,0.768,0.6267,0.5897,0.8617,0.7257,0.5773,0.4572,0.5173,0.6676,0.609,0.6383
25.3,-0.2911,0.7646,0.6299,0.6002,0.8656,0.7329,0.5976,0.4685,0.5331,0.6545,0.5998,0.6271
25.4,-0.2945,0.7598,0.6348,0.6078,0.8673,0.7376,0.6177,0.479,0.5483,0.6435,0.5916,0.6175
25.5,-0.2937,0.7532,0.6417,0.6104,0.8658,0.7381,0.6367,0.4885,0.5626,0.6349,0.585,0.6099
25.6,-0.2891,0.7442,0.651,0.6056,0.8593,0.7325,0.6536,0.4974,0.5755,0.6285,0.581,0.6047
25.7,-0.2804,0.733,0.6632,0.5919,0.847,0.7194,0.6675,0.5056,0.5865,0.625,0.5805,0.6028
25.8,-0.2669,0.7196,0.6778,0.569,0.8284,0.6987,0.6775,0.5129,0.5952,0.625,0.5842,0.6046
25.9,-0.2474,0.7043,0.6944,0.5376,0.8038,0.6707,0.6837,0.5191,0.6014,0.6289,0.5917,0.6103
26,-0.2217,0.6868,0.7123,0.4986,0.7737,0.6361,0.6858,0.5239,0.6048,0.636,0.6025,0.6193
26.1,-0.1901,0.6668,0.731,0.4536,0.7387,0.5961,0.6838,0.5272,0.6055,0.6458,0.6161,0.631
26.2,-0.1531,0.6447,0.7498,0.4053,0.7001,0.5527,0.6784,0.5291,0.6037,0.6576,0.6326,0.6451
26.3,-0.11,0.6214,0.7685,0.3574,0.6596,0.5085,0.6711,0.5299,0.6005,0.6707,0.6523,0.6615
26.4,-0.0603,0.5982,0.7874,0.3126,0.6192,0.4659,0.6633,0.5305,0.5969,0.6846,0.6749,0.6797
26.5,-0.0044,0.5759,0.8068,0.2724,0.5807,0.4265,0.656,0.5315,0.5937,0.6978,0.699,0.6984
26.6,0.0564,0.5547,0.8268,0.2373,0.545,0.3912,0.6497,0.5333,0.5915,0.7087,0.7228,0.7157
26.7,0.1202,0.535,0.8475,0.2078,0.5132,0.3605,0.645,0.5368,0.5909,0.7155,0.7452,0.7303
26.8,0.1855,0.5166,0.8687,0.1848,0.4858,0.3353,0.6425,0.5426,0.5926,0.7175,0.7657,0.7416
26.9,0.251,0.4991,0.8901,0.1688,0.4634,0.3161,0.6425,0.5512,0.5968,0.7145,0.7842,0.7494
27,0.3161,0.4818,0.9109,0.1601,0.4459,0.303,0.645,0.5619,0.6035,0.7067,0.7997,0.7532
27.1,0.3795,0.4638,0.93,0.1578,0.4328,0.2953,0.6499,0.5737,0.6118,0.6942,0.8106,0.7524
27.2,0.4398,0.4454,0.9458,0.1611,0.4233,0.2922,0.6571,0.5853,0.6212,0.6781,0.8155,0.7468
27.3,0.4963,0.4271,0.957,0.1698,0.417,0.2934,0.6675,0.5959,0.6317,0.6597,0.8143,0.737
27.4,0.5483,0.4102,0.9633,0.1849,0.4141,0.2995,0.6816,0.6058,0.6437,0.6413,0.8075,0.7244
27.5,0.5951,0.3953,0.965,0.2071,0.415,0.311,0.6992,0.615,0.6571,0.6251,0.796,0.7105
27.6,0.635,0.3823,0.9624,0.2363,0.4199,0.3281,0.719,0.6235,0.6713,0.6125,0.7807,0.6966
27.7,0.6662,0.3711,0.956,0.2716,0.4289,0.3503,0.7392,0.6309,0.685,0.6043,0.7626,0.6835
27.8,0.6872,0.3617,0.9467,0.3118,0.4426,0.3772,0.7581,0.6371,0.6976,0.6004,0.7431,0.6718
27.9,0.6975,0.3548,0.9358,0.3561,0.4614,0.4087,0.7747,0.6428,0.7088,0.6002,0.7233,0.6617
28,0.6974,0.351,0.9249,0.4032,0.4856,0.4444,0.7877,0.6488,0.7183,0.603,0.7035,0.6533
28.1,0.6886,0.3507,0.915,0.4508,0.5142,0.4825,0.7956,0.6557,0.7256,0.6081,0.6837,0.6459
28.2,0.6739,0.3533,0.9062,0.496,0.5455,0.5207,0.7975,0.6629,0.7302,0.6147,0.6636,0.6391
28.3,0.6564,0.3575,0.8979,0.5358,0.5769,0.5563,0.7932,0.6695,0.7313,0.6221,0.6433,0.6327
28.4,0.6385,0.3625,0.8894,0.568,0.6067,0.5874,0.7832,0.6742,0.7287,0.6301,0.6231,0.6266
28.5,0.6216,0.3676,0.8801,0.5915,0.6339,0.6127,0.7685,0.6765,0.7225,0.6388,0.6033,0.621
28.6,0.6058,0.3727,0.8702,0.6058,0.6578,0.6318,0.7507,0.6764,0.7136,0.6484,0.5838,0.6161
28.7,0.5916,0.3777,0.8601,0.611,0.6781,0.6446,0.731,0.6748,0.7029,0.6591,0.5651,0.6121
28.8,0.5796,0.3824,0.8504,0.6081,0.6945,0.6513,0.7106,0.6726,0.6916,0.6705,0.548,0.6093
28.9,0.5704,0.3865,0.8417,0.5984,0.7068,0.6526,0.6902,0.671,0.6806,0.6822,0.5335,0.6078
29,0.564,0.3899,0.8345,0.5834,0.7152,0.6493,0.6705,0.6704,0.6705,0.6936,0.5221,0.6079
29.1,0.5597,0.3924,0.8295,0.5643,0.7204,0.6424,0.6516,0.6712,0.6614,0.7047,0.514,0.6094
29.2,0.557,0.3942,0.8268,0.5427,0.723,0.6328,0.6337,0.6733,0.6535,0.7154,0.509,0.6122
29.3,0.5554,0.3956,0.8264,0.5198,0.7239,0.6219,0.6171,0.6766,0.6469,0.726,0.5071,0.6166
29.4,0.5547,0.3968,0.828,0.4975,0.7244,0.6109,0.602,0.6811,0.6416,0.7374,0.5088,0.6231
29.5,0.5545,0.3988,0.831,0.4774,0.726,0.6017,0.5883,0.6866,0.6375,0.7504,0.5147,0.6325
29.6,0.5538,0.4021,0.8348,0.4606,0.7304,0.5955,0.5757,0.6931,0.6344,0.7652,0.5253,0.6452
29.7,0.5506,0.4074,0.8395,0.4474,0.7384,0.5929,0.5636,0.7004,0.632,0.7818,0.5405,0.6611
29.8,0.542,0.4149,0.8455,0.4372,0.7498,0.5935,0.5518,0.7086,0.6302,0.7996,0.5601,0.6799
29.9,0.5253,0.4246,0.853,0.4296,0.7642,0.5969,0.5403,0.7172,0.6288,0.8182,0.5836,0.7009
