Time,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC
21.5,0.0435,0.5985,0.5609,0.6318,0.4882,0.56,0.6182,0.5646,0.5914,0.6759,0.6276,0.6518
21.6,0.1051,0.5774,0.5389,0.6208,0.4663,0.5436,0.5972,0.557,0.5771,0.6488,0.605,0.6269
21.7,0.1669,0.557,0.5124,0.6111,0.4458,0.5284,0.5775,0.547,0.5622,0.6194,0.5806,0.6
21.8,0.2262,0.538,0.4834,0.6028,0.427,0.5149,0.5598,0.5351,0.5474,0.5883,0.5549,0.5716
21.9,0.2809,0.5212,0.4532,0.5966,0.4104,0.5035,0.5444,0.5219,0.5332,0.5555,0.5281,0.5418
22,0.3293,0.5072,0.4227,0.5927,0.3962,0.4945,0.5311,0.508,0.5196,0.5214,0.5003,0.5109
22.1,0.3702,0.496,0.3921,0.5913,0.3849,0.4881,0.5193,0.494,0.5067,0.4865,0.4717,0.4791
22.2,0.4027,0.4877,0.362,0.5924,0.3766,0.4845,0.5085,0.4803,0.4944,0.4515,0.4428,0.4471
22.3,0.4261,0.4825,0.3326,0.5957,0.3714,0.4836,0.4988,0.4672,0.483,0.4172,0.4139,0.4156
22.4,0.4398,0.4803,0.3049,0.6013,0.3693,0.4853,0.4904,0.4548,0.4726,0.3843,0.386,0.3851
22.5,0.4434,0.4813,0.2797,0.6091,0.3703,0.4897,0.4833,0.4433,0.4633,0.3533,0.3598,0.3565
22.6,0.4365,0.4852,0.2573,0.6186,0.3746,0.4966,0.4771,0.433,0.455,0.3252,0.3359,0.3306
22.7,0.4203,0.4914,0.2378,0.6284,0.3822,0.5053,0.4716,0.4241,0.4478,0.3011,0.3148,0.308
22.8,0.3968,0.4992,0.221,0.6378,0.3932,0.5155,0.4669,0.4173,0.4421,0.2816,0.2971,0.2893
22.9,0.3685,0.5083,0.2073,0.6463,0.4071,0.5267,0.4637,0.4134,0.4385,0.2666,0.2837,0.2751
23,0.3377,0.5184,0.1977,0.6537,0.4234,0.5386,0.4623,0.4135,0.4379,0.2556,0.2754,0.2655
23.1,0.3058,0.5291,0.1931,0.66,0.4407,0.5504,0.4631,0.4179,0.4405,0.2483,0.2726,0.2605
23.2,0.2741,0.5398,0.1938,0.6649,0.4572,0.5611,0.4655,0.426,0.4457,0.2443,0.2749,0.2596
23.3,0.2444,0.5499,0.1991,0.6679,0.4711,0.5695,0.4684,0.4357,0.4521,0.2436,0.2817,0.2626
23.4,0.2189,0.5585,0.2083,0.6691,0.481,0.575,0.4711,0.4448,0.4579,0.246,0.2924,0.2692
23.5,0.1993,0.5655,0.2206,0.6686,0.4867,0.5776,0.473,0.4521,0.4626,0.2517,0.3068,0.2792
23.6,0.1864,0.571,0.2357,0.6666,0.4883,0.5774,0.4745,0.4578,0.4661,0.2605,0.3249,0.2927
23.7,0.1796,0.575,0.2535,0.6626,0.4858,0.5742,0.4761,0.4625,0.4693,0.2729,0.3463,0.3096
23.8,0.1789,0.5773,0.2734,0.656,0.479,0.5675,0.4785,0.4666,0.4725,0.2885,0.3707,0.3296
23.9,0.1851,0.5775,0.2943,0.6465,0.4676,0.557,0.4814,0.4701,0.4757,0.3067,0.3972,0.352
24,0.1989,0.5756,0.3145,0.6344,0.4519,0.5431,0.4844,0.4725,0.4785,0.3268,0.4248,0.3758
24.1,0.2198,0.5719,0.3321,0.6206,0.4331,0.5269,0.4871,0.4739,0.4805,0.3481,0.4524,0.4003
24.2,0.2461,0.5675,0.3456,0.6061,0.413,0.5096,0.489,0.4749,0.4819,0.3705,0.4794,0.4249
24.3,0.2754,0.5631,0.3548,0.5918,0.3929,0.4924,0.4898,0.4758,0.4828,0.3937,0.5059,0.4498
24.4,0.3046,0.5594,0.3604,0.5788,0.3745,0.4766,0.4898,0.4775,0.4836,0.4174,0.5321,0.4748
24.5,0.3309,0.5568,0.3637,0.5679,0.359,0.4635,0.4893,0.4807,0.485,0.4402,0.5577,0.499
24.6,0.3517,0.5554,0.3664,0.5596,0.3476,0.4536,0.4882,0.486,0.4871,0.4609,0.5826,0.5217
24.7,0.3657,0.5549,0.3698,0.5534,0.3402,0.4468,0.4859,0.4932,0.4895,0.4788,0.6064,0.5426
24.8,0.3719,0.5549,0.375,0.5483,0.3363,0.4423,0.4825,0.5013,0.4919,0.4935,0.6289,0.5612
24.9,0.3698,0.5553,0.3818,0.5442,0.3357,0.4399,0.4788,0.5102,0.4945,0.5041,0.6492,0.5766
25,0.3593,0.5563,0.3898,0.5415,0.3384,0.44,0.4754,0.5196,0.4975,0.5098,0.6658,0.5878
25.1,0.3413,0.5579,0.3993,0.5415,0.3445,0.443,0.4729,0.53,0.5014,0.5101,0.6772,0.5936
25.2,0.3174,0.5605,0.4103,0.5447,0.3543,0.4495,0.4709,0.5413,0.5061,0.5047,0.6827,0.5937
25.3,0.2887,0.5645,0.4228,0.5516,0.3675,0.4595,0.4689,0.5538,0.5114,0.4941,0.6824,0.5883
25.4,0.2568,0.5698,0.4369,0.5618,0.3839,0.4729,0.4668,0.5671,0.517,0.4789,0.6768,0.5779
25.5,0.223,0.5759,0.4522,0.5746,0.4027,0.4886,0.4651,0.5807,0.5229,0.4598,0.6669,0.5633
25.6,0.1886,0.5821,0.4683,0.589,0.4226,0.5058,0.4643,0.5935,0.5289,0.4373,0.6533,0.5453
25.7,0.1552,0.5879,0.4851,0.6044,0.4424,0.5234,0.4646,0.6043,0.5345,0.4123,0.6372,0.5248
25.8,0.1241,0.5933,0.5026,0.6203,0.4615,0.5409,0.4663,0.6127,0.5395,0.386,0.6195,0.5027
25.9,0.0957,0.5989,0.5199,0.6365,0.4801,0.5583,0.4699,0.6189,0.5444,0.3593,0.6008,0.48
26,0.0705,0.6047,0.5357,0.6525,0.4981,0.5753,0.4758,0.6234,0.5496,0.3329,0.581,0.4569
26.1,0.0491,0.6109,0.5489,0.6678,0.5156,0.5917,0.4844,0.6264,0.5554,0.3072,0.5603,0.4337
26.2,0.0318,0.6169,0.5595,0.6818,0.5319,0.6069,0.4953,0.6279,0.5616,0.2829,0.5392,0.411
26.3,0.0181,0.6226,0.5686,0.6949,0.547,0.6209,0.5078,0.6283,0.568,0.2609,0.5186,0.3898
26.4,0.007,0.628,0.5774,0.7077,0.561,0.6344,0.5216,0.6278,0.5747,0.2423,0.4991,0.3707
26.5,-0.0027,0.6336,0.5861,0.7211,0.575,0.648,0.5368,0.627,0.5819,0.2279,0.4808,0.3543
26.6,-0.0112,0.6398,0.5945,0.7352,0.5895,0.6623,0.5537,0.6266,0.5902,0.2178,0.4642,0.341
26.7,-0.0181,0.647,0.6021,0.75,0.6048,0.6774,0.5722,0.6274,0.5998,0.2122,0.4497,0.331
26.8,-0.023,0.655,0.6089,0.7651,0.6207,0.6929,0.5918,0.6304,0.6111,0.211,0.4387,0.3249
26.9,-0.0268,0.664,0.6153,0.7801,0.6368,0.7085,0.612,0.6367,0.6243,0.2146,0.4322,0.3234
27,-0.0311,0.6739,0.6218,0.7943,0.6527,0.7235,0.6321,0.6464,0.6392,0.2234,0.4308,0.3271
27.1,-0.0368,0.6848,0.6284,0.8066,0.6677,0.7372,0.6506,0.6591,0.6548,0.2381,0.4343,0.3362
27.2,-0.0437,0.696,0.6349,0.8163,0.6811,0.7487,0.6661,0.6734,0.6698,0.2588,0.4415,0.3501
27.3,-0.0509,0.7067,0.6409,0.8228,0.6924,0.7576,0.6777,0.6883,0.683,0.2854,0.4517,0.3686
27.4,-0.0578,0.7168,0.6465,0.8268,0.7019,0.7644,0.6861,0.7033,0.6947,0.3176,0.4646,0.3911
27.5,-0.0647,0.7261,0.6526,0.8289,0.7099,0.7694,0.6927,0.7183,0.7055,0.3549,0.4803,0.4176
27.6,-0.0723,0.7345,0.6601,0.8292,0.716,0.7726,0.6989,0.7331,0.716,0.3969,0.4994,0.4482
27.7,-0.081,0.7412,0.67,0.8268,0.7197,0.7732,0.7056,0.7477,0.7267,0.4428,0.5222,0.4825
27.8,-0.0909,0.7449,0.6821,0.8206,0.7204,0.7705,0.7142,0.7616,0.7379,0.4906,0.5476,0.5191
27.9,-0.1017,0.7448,0.6952,0.8099,0.7182,0.764,0.725,0.7743,0.7496,0.5374,0.574,0.5557
28,-0.112,0.7402,0.7084,0.7948,0.7133,0.754,0.7373,0.7842,0.7607,0.5818,0.5995,0.5907
28.1,-0.1199,0.7316,0.7211,0.7761,0.7058,0.741,0.7499,0.7902,0.7701,0.6228,0.623,0.6229
28.2,-0.1238,0.7193,0.7332,0.7555,0.6961,0.7258,0.7625,0.7922,0.7773,0.6591,0.6434,0.6512
28.3,-0.1232,0.7043,0.745,0.7351,0.6844,0.7098,0.7749,0.7913,0.7831,0.6897,0.6602,0.6749
28.4,-0.1188,0.6871,0.7568,0.7168,0.6718,0.6943,0.7872,0.7891,0.7882,0.7139,0.6731,0.6935
28.5,-0.1119,0.6684,0.769,0.7014,0.659,0.6802,0.7987,0.7865,0.7926,0.7318,0.6825,0.7071
28.6,-0.1042,0.6488,0.7813,0.6891,0.6466,0.6679,0.8084,0.7837,0.7961,0.7437,0.6888,0.7163
28.7,-0.0968,0.6288,0.7932,0.6792,0.6347,0.657,0.8159,0.7808,0.7984,0.7499,0.6925,0.7212
28.8,-0.0898,0.6087,0.8047,0.671,0.6232,0.6471,0.8217,0.7779,0.7998,0.7509,0.6934,0.7221
28.9,-0.0831,0.5888,0.8153,0.664,0.612,0.638,0.8266,0.7755,0.801,0.747,0.6913,0.7192
29,-0.0763,0.5695,0.8249,0.6583,0.6005,0.6294,0.831,0.7738,0.8024,0.7392,0.6864,0.7128
29.1,-0.0689,0.5517,0.8334,0.6541,0.5889,0.6215,0.8348,0.7733,0.804,0.7286,0.6791,0.7038
29.2,-0.0603,0.5362,0.8406,0.6518,0.5776,0.6147,0.8378,0.7746,0.8062,0.7158,0.6696,0.6927
29.3,-0.0503,0.5238,0.8462,0.6514,0.568,0.6097,0.8404,0.7783,0.8094,0.7007,0.658,0.6794
29.4,-0.0388,0.5147,0.8501,0.6533,0.5616,0.6074,0.8424,0.7853,0.8139,0.6832,0.6445,0.6638
29.5,-0.0256,0.5089,0.853,0.6572,0.5587,0.608,0.8435,0.796,0.8197,0.6636,0.6295,0.6465
29.6,-0.011,0.506,0.8557,0.6629,0.5588,0.6108,0.8429,0.8102,0.8265,0.6429,0.6135,0.6282
29.7,0.0046,0.5054,0.8587,0.6699,0.5605,0.6152,0.8405,0.8275,0.834,0.622,0.5967,0.6094
29.8,0.0208,0.5064,0.8613,0.6774,0.5624,0.6199,0.8364,0.8471,0.8417,0.601,0.5793,0.5901
29.9,0.0378,0.5083,0.8621,0.6846,0.5633,0.6239,0.8303,0.8679,0.8491,0.58,0.5612,0.5706
