Time,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.8,-0.1371,0.5682,0.4275,0.647,0.614,0.6305,0.7186,0.5402,0.6294,0.5461,0.5177,0.5319
8.9,-0.1181,0.5483,0.4125,0.6354,0.5935,0.6145,0.7162,0.5328,0.6245,0.5361,0.5162,0.5261
9,-0.1024,0.5288,0.3972,0.6235,0.5732,0.5983,0.711,0.5257,0.6183,0.5254,0.5146,0.52
9.1,-0.0899,0.5097,0.3822,0.611,0.5529,0.5819,0.7026,0.519,0.6108,0.5147,0.5126,0.5137
9.2,-0.0804,0.4913,0.3676,0.5978,0.5324,0.5651,0.6909,0.5126,0.6018,0.5043,0.5099,0.5071
9.3,-0.074,0.474,0.3534,0.5842,0.5119,0.548,0.6765,0.5062,0.5914,0.4945,0.5056,0.5
9.4,-0.0702,0.4584,0.3393,0.5705,0.4916,0.531,0.6598,0.4996,0.5797,0.4853,0.4991,0.4922
9.5,-0.0685,0.4447,0.3252,0.5568,0.4713,0.5141,0.6411,0.4925,0.5668,0.4768,0.4901,0.4834
9.6,-0.0684,0.4323,0.3112,0.5428,0.4509,0.4969,0.6205,0.4851,0.5528,0.469,0.4787,0.4739
9.7,-0.0692,0.4202,0.2975,0.5275,0.4304,0.479,0.5982,0.4774,0.5378,0.4626,0.4653,0.4639
9.8,-0.0705,0.4078,0.2839,0.5105,0.41,0.4602,0.5744,0.469,0.5217,0.4578,0.4507,0.4543
9.9,-0.0715,0.3948,0.2705,0.4917,0.3899,0.4408,0.5493,0.4598,0.5045,0.4551,0.4353,0.4452
10,-0.0717,0.3815,0.2573,0.4721,0.3701,0.4211,0.5235,0.4495,0.4865,0.4543,0.4194,0.4368
10.1,-0.0712,0.3679,0.2443,0.4522,0.3504,0.4013,0.4975,0.4384,0.4679,0.4549,0.4033,0.4291
10.2,-0.0704,0.3543,0.2317,0.4324,0.3308,0.3816,0.4716,0.4265,0.449,0.4566,0.387,0.4218
10.3,-0.0694,0.3413,0.2195,0.4131,0.3114,0.3622,0.4463,0.414,0.4302,0.4586,0.3708,0.4147
10.4,-0.0675,0.3298,0.208,0.3944,0.2922,0.3433,0.4221,0.4015,0.4118,0.4607,0.3548,0.4077
10.5,-0.0633,0.32,0.1976,0.3767,0.273,0.3248,0.3993,0.3895,0.3944,0.4625,0.3394,0.4009
10.6,-0.0556,0.3118,0.1889,0.3604,0.2536,0.307,0.3779,0.3786,0.3782,0.4639,0.3252,0.3945
10.7,-0.0439,0.3044,0.182,0.3459,0.2342,0.2901,0.3581,0.3689,0.3635,0.4647,0.3129,0.3888
10.8,-0.0291,0.2975,0.1768,0.3332,0.2153,0.2743,0.34,0.3605,0.3502,0.465,0.303,0.384
10.9,-0.0126,0.2913,0.1729,0.3221,0.1979,0.26,0.3238,0.3536,0.3387,0.465,0.296,0.3805
11,0.004,0.2861,0.1704,0.3124,0.1826,0.2475,0.3094,0.3486,0.329,0.4646,0.2921,0.3784
11.1,0.0195,0.282,0.1697,0.3042,0.1695,0.2369,0.297,0.3454,0.3212,0.4643,0.2917,0.378
11.2,0.0337,0.2787,0.1712,0.2974,0.1588,0.2281,0.2871,0.3437,0.3154,0.4645,0.2958,0.3802
11.3,0.0468,0.2759,0.1746,0.2918,0.1505,0.2211,0.2803,0.3426,0.3114,0.466,0.3047,0.3854
11.4,0.0594,0.2734,0.1793,0.2874,0.1451,0.2163,0.2769,0.3414,0.3092,0.4695,0.3184,0.394
11.5,0.0714,0.2712,0.1848,0.2845,0.1429,0.2137,0.2772,0.34,0.3086,0.4755,0.3362,0.4059
11.6,0.0821,0.269,0.191,0.2831,0.1444,0.2137,0.2813,0.3388,0.3101,0.4845,0.3575,0.421
11.7,0.0908,0.2662,0.1979,0.2829,0.1498,0.2164,0.289,0.3383,0.3136,0.4967,0.3818,0.4393
11.8,0.0972,0.2625,0.2053,0.2833,0.1597,0.2215,0.2995,0.3386,0.3191,0.5124,0.4093,0.4608
11.9,0.1015,0.2578,0.2126,0.2839,0.1744,0.2292,0.3122,0.3399,0.3261,0.5314,0.4401,0.4858
12,0.1042,0.2531,0.2198,0.2846,0.1942,0.2394,0.3267,0.3423,0.3345,0.5537,0.4739,0.5138
12.1,0.1058,0.2494,0.2274,0.2857,0.2184,0.252,0.3429,0.3465,0.3447,0.5788,0.51,0.5444
12.2,0.1067,0.2476,0.2361,0.2877,0.2465,0.2671,0.3607,0.3532,0.3569,0.6062,0.547,0.5766
12.3,0.1056,0.2483,0.2465,0.2906,0.2784,0.2845,0.3801,0.3625,0.3713,0.6347,0.5834,0.609
12.4,0.1005,0.252,0.2589,0.294,0.3141,0.304,0.4009,0.3743,0.3876,0.6626,0.6174,0.64
12.5,0.0898,0.2583,0.273,0.2972,0.353,0.3251,0.4222,0.3877,0.4049,0.6886,0.6478,0.6682
12.6,0.0731,0.2672,0.289,0.3003,0.3935,0.3469,0.4438,0.4021,0.423,0.7121,0.6741,0.6931
12.7,0.0513,0.2787,0.3072,0.3034,0.4338,0.3686,0.4661,0.418,0.4421,0.7331,0.6965,0.7148
12.8,0.0266,0.2931,0.3283,0.307,0.4725,0.3898,0.4896,0.4363,0.4629,0.7518,0.7158,0.7338
12.9,0.0018,0.3103,0.3532,0.3118,0.509,0.4104,0.5146,0.4577,0.4861,0.7683,0.7327,0.7505
13,-0.0201,0.3302,0.3819,0.3183,0.5423,0.4303,0.541,0.4822,0.5116,0.7824,0.7475,0.765
13.1,-0.0365,0.3522,0.4139,0.3277,0.5718,0.4498,0.5689,0.5091,0.539,0.7938,0.7601,0.777
13.2,-0.0453,0.3757,0.4477,0.3411,0.597,0.469,0.5979,0.5372,0.5676,0.8021,0.77,0.786
13.3,-0.0455,0.4,0.4816,0.3591,0.6174,0.4882,0.6278,0.5655,0.5967,0.8071,0.7766,0.7918
13.4,-0.0364,0.4246,0.5139,0.3814,0.6325,0.507,0.658,0.5929,0.6254,0.8085,0.7793,0.7939
13.5,-0.0184,0.4491,0.5433,0.4072,0.6428,0.525,0.6877,0.6183,0.653,0.8065,0.7775,0.792
13.6,0.0076,0.4732,0.5685,0.4354,0.6486,0.542,0.7162,0.6407,0.6785,0.8013,0.7707,0.786
13.7,0.0399,0.4968,0.5889,0.4653,0.651,0.5581,0.7431,0.6594,0.7013,0.7933,0.759,0.7762
13.8,0.0766,0.5196,0.6038,0.496,0.6504,0.5732,0.7675,0.674,0.7207,0.7831,0.7434,0.7632
13.9,0.1149,0.5411,0.6125,0.5264,0.647,0.5867,0.7877,0.6841,0.7359,0.7713,0.7246,0.7479
