Time,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC
21.6,0.0843,0.6138,0.5702,0.6873,0.5696,0.6285,0.5538,0.6671,0.6105,0.5002,0.592,0.5461
21.7,0.0573,0.6176,0.5842,0.6869,0.5707,0.6288,0.555,0.6667,0.6108,0.5107,0.5932,0.5519
21.8,0.031,0.6236,0.598,0.6874,0.5712,0.6293,0.5577,0.6657,0.6117,0.5231,0.5955,0.5593
21.9,0.0046,0.6316,0.6109,0.6884,0.5708,0.6296,0.5617,0.664,0.6128,0.5374,0.5988,0.5681
22,-0.0224,0.6409,0.6219,0.6892,0.569,0.6291,0.5665,0.661,0.6138,0.5531,0.6027,0.5779
22.1,-0.0501,0.6508,0.63,0.6892,0.5656,0.6274,0.5719,0.6565,0.6142,0.5696,0.6065,0.5881
22.2,-0.0779,0.6611,0.6346,0.6888,0.5611,0.6249,0.5776,0.6508,0.6142,0.5866,0.61,0.5983
22.3,-0.1052,0.6723,0.6356,0.6889,0.5572,0.623,0.584,0.6442,0.6141,0.6037,0.6131,0.6084
22.4,-0.1318,0.6845,0.6331,0.6902,0.555,0.6226,0.5908,0.6372,0.614,0.6202,0.6156,0.6179
22.5,-0.1574,0.6974,0.6276,0.6929,0.5555,0.6242,0.5977,0.63,0.6138,0.6354,0.6177,0.6266
22.6,-0.1813,0.7099,0.6195,0.6971,0.5585,0.6278,0.6042,0.6227,0.6134,0.6489,0.6192,0.6341
22.7,-0.2029,0.7208,0.6091,0.7029,0.5638,0.6334,0.6097,0.6154,0.6126,0.6605,0.6199,0.6402
22.8,-0.2219,0.7295,0.5964,0.7101,0.5709,0.6405,0.6139,0.6081,0.611,0.6699,0.6195,0.6447
22.9,-0.2384,0.7359,0.5811,0.7182,0.5797,0.649,0.6162,0.6004,0.6083,0.677,0.6177,0.6474
23,-0.2517,0.7401,0.5631,0.7261,0.5898,0.6579,0.6162,0.5921,0.6041,0.6818,0.6145,0.6482
23.1,-0.2611,0.7418,0.5426,0.7327,0.6006,0.6666,0.6139,0.5832,0.5985,0.6843,0.6099,0.6471
23.2,-0.266,0.7407,0.5206,0.7374,0.6116,0.6745,0.6094,0.5746,0.592,0.6846,0.6042,0.6444
23.3,-0.2674,0.737,0.4977,0.7403,0.6227,0.6815,0.6031,0.5672,0.5851,0.6829,0.5978,0.6404
23.4,-0.2666,0.7316,0.4749,0.7421,0.6336,0.6878,0.5955,0.5614,0.5784,0.6798,0.591,0.6354
23.5,-0.2643,0.7254,0.4529,0.7431,0.6437,0.6934,0.587,0.5573,0.5722,0.6758,0.5842,0.63
23.6,-0.2599,0.719,0.4326,0.7432,0.652,0.6976,0.5782,0.5551,0.5666,0.6717,0.5778,0.6247
23.7,-0.2525,0.7124,0.415,0.7419,0.6579,0.6999,0.5692,0.5549,0.562,0.6677,0.5721,0.6199
23.8,-0.2418,0.7053,0.4011,0.7387,0.6614,0.7001,0.5599,0.5569,0.5584,0.6639,0.567,0.6155
23.9,-0.228,0.6978,0.3913,0.7338,0.6634,0.6986,0.5503,0.5616,0.556,0.66,0.5626,0.6113
24,-0.2116,0.6907,0.3862,0.7278,0.6647,0.6963,0.541,0.5693,0.5551,0.6559,0.559,0.6075
24.1,-0.1923,0.6847,0.3868,0.7214,0.6662,0.6938,0.5326,0.5802,0.5564,0.6524,0.5566,0.6045
24.2,-0.17,0.6803,0.3938,0.7148,0.6682,0.6915,0.5257,0.5945,0.5601,0.65,0.5559,0.6029
24.3,-0.145,0.6776,0.407,0.708,0.6706,0.6893,0.5205,0.6115,0.566,0.6485,0.5566,0.6026
24.4,-0.118,0.6766,0.4257,0.7008,0.6728,0.6868,0.5169,0.6303,0.5736,0.6474,0.5585,0.603
24.5,-0.0901,0.6772,0.4489,0.6934,0.6748,0.6841,0.5149,0.6499,0.5824,0.6463,0.5612,0.6038
24.6,-0.062,0.6792,0.4756,0.6866,0.6764,0.6815,0.5146,0.6692,0.5919,0.6451,0.5643,0.6047
24.7,-0.0347,0.6821,0.5046,0.6808,0.6779,0.6793,0.5159,0.6874,0.6017,0.6437,0.5677,0.6057
24.8,-0.0093,0.6852,0.5345,0.6758,0.6791,0.6774,0.5183,0.7037,0.611,0.6422,0.571,0.6066
24.9,0.0131,0.6879,0.5637,0.6709,0.6798,0.6753,0.5208,0.7173,0.619,0.64,0.5738,0.6069
25,0.0312,0.6903,0.5906,0.6653,0.6798,0.6726,0.5227,0.728,0.6254,0.637,0.5761,0.6066
25.1,0.0437,0.6923,0.6141,0.6588,0.6792,0.669,0.5239,0.7357,0.6298,0.6331,0.5779,0.6055
25.2,0.0498,0.6939,0.6335,0.6515,0.6788,0.6651,0.5246,0.7408,0.6327,0.6285,0.5792,0.6038
25.3,0.0494,0.6952,0.6485,0.6437,0.6791,0.6614,0.5247,0.7436,0.6342,0.6233,0.58,0.6017
25.4,0.0431,0.6963,0.6594,0.6358,0.6809,0.6584,0.5243,0.7446,0.6345,0.6178,0.5804,0.5991
25.5,0.0319,0.6977,0.6668,0.6282,0.6845,0.6563,0.5233,0.7443,0.6338,0.6116,0.5804,0.596
25.6,0.0158,0.6999,0.6715,0.6215,0.6898,0.6557,0.5216,0.7428,0.6322,0.6047,0.58,0.5923
25.7,-0.0049,0.7033,0.6739,0.6166,0.697,0.6568,0.5195,0.7398,0.6297,0.5971,0.5792,0.5882
25.8,-0.0299,0.7075,0.6739,0.614,0.7055,0.6597,0.5178,0.7352,0.6265,0.5893,0.578,0.5837
25.9,-0.058,0.712,0.6713,0.6138,0.7148,0.6643,0.5168,0.7289,0.6228,0.582,0.5765,0.5792
26,-0.0881,0.7162,0.6663,0.6156,0.7243,0.67,0.517,0.7209,0.619,0.5761,0.5749,0.5755
26.1,-0.1201,0.7204,0.6591,0.6188,0.7334,0.6761,0.5184,0.7111,0.6148,0.5722,0.5738,0.573
26.2,-0.1548,0.7249,0.6502,0.6221,0.742,0.6821,0.5205,0.6995,0.61,0.5704,0.5735,0.572
26.3,-0.1923,0.7303,0.6396,0.6247,0.7501,0.6874,0.5228,0.6859,0.6043,0.5703,0.574,0.5722
26.4,-0.2322,0.7375,0.6279,0.6264,0.7579,0.6921,0.5253,0.6709,0.5981,0.5715,0.5752,0.5734
26.5,-0.2729,0.747,0.6162,0.6277,0.7662,0.6969,0.5282,0.6556,0.5919,0.5738,0.5774,0.5756
26.6,-0.312,0.7591,0.6055,0.6294,0.7753,0.7024,0.532,0.641,0.5865,0.5772,0.581,0.5791
26.7,-0.3473,0.7734,0.5963,0.6318,0.7852,0.7085,0.5369,0.6274,0.5822,0.5819,0.5866,0.5843
26.8,-0.377,0.7885,0.5882,0.6345,0.7952,0.7148,0.5422,0.6145,0.5784,0.5877,0.5942,0.591
26.9,-0.4003,0.803,0.5804,0.6366,0.8045,0.7205,0.5474,0.6021,0.5748,0.5942,0.6032,0.5987
27,-0.4174,0.8159,0.5722,0.6378,0.813,0.7254,0.5523,0.5904,0.5714,0.6011,0.6127,0.6069
27.1,-0.429,0.8263,0.564,0.6384,0.8209,0.7296,0.557,0.5799,0.5685,0.6077,0.6219,0.6148
27.2,-0.4363,0.8338,0.5559,0.639,0.8288,0.7339,0.5619,0.5709,0.5664,0.6138,0.6303,0.622
27.3,-0.44,0.8383,0.5482,0.6402,0.837,0.7386,0.5675,0.5633,0.5654,0.6193,0.6377,0.6285
27.4,-0.4397,0.84,0.5408,0.6421,0.8447,0.7434,0.5738,0.5571,0.5655,0.6248,0.6443,0.6345
27.5,-0.4355,0.8387,0.5336,0.6446,0.8508,0.7477,0.5808,0.552,0.5664,0.6302,0.6502,0.6402
27.6,-0.4279,0.8342,0.5265,0.6474,0.8539,0.7506,0.5881,0.5478,0.568,0.6353,0.6554,0.6453
27.7,-0.4178,0.8259,0.519,0.6497,0.8529,0.7513,0.5949,0.5444,0.5696,0.6395,0.659,0.6492
27.8,-0.4056,0.8133,0.5105,0.6503,0.8475,0.7489,0.6006,0.5415,0.571,0.6418,0.6603,0.6511
27.9,-0.3909,0.7968,0.5006,0.648,0.8377,0.7429,0.6046,0.5392,0.5719,0.6418,0.6588,0.6503
28,-0.373,0.7772,0.4899,0.6427,0.8245,0.7336,0.6073,0.5379,0.5726,0.6395,0.6543,0.6469
28.1,-0.3521,0.7553,0.4792,0.635,0.8089,0.7219,0.6093,0.5385,0.5739,0.6352,0.6476,0.6414
28.2,-0.3293,0.7318,0.4692,0.6256,0.7919,0.7087,0.6116,0.5418,0.5767,0.6296,0.6395,0.6345
28.3,-0.3061,0.7074,0.4603,0.6148,0.7741,0.6945,0.6146,0.5479,0.5812,0.6229,0.6308,0.6268
28.4,-0.2839,0.6829,0.4522,0.6027,0.7558,0.6792,0.6187,0.5566,0.5877,0.6155,0.6224,0.6189
28.5,-0.2633,0.6592,0.4454,0.5894,0.7376,0.6635,0.6241,0.5679,0.596,0.6078,0.615,0.6114
28.6,-0.2447,0.6374,0.4404,0.5759,0.7201,0.648,0.6314,0.5813,0.6063,0.6001,0.6092,0.6047
28.7,-0.2282,0.6186,0.4381,0.5629,0.7041,0.6335,0.6406,0.5964,0.6185,0.5927,0.6052,0.599
28.8,-0.2139,0.6033,0.4388,0.5516,0.6902,0.6209,0.6514,0.6125,0.6319,0.5859,0.603,0.5944
28.9,-0.2024,0.5922,0.4425,0.5429,0.6791,0.611,0.6633,0.629,0.6462,0.5796,0.6026,0.5911
29,-0.1945,0.5855,0.4482,0.5375,0.6716,0.6045,0.6757,0.6456,0.6607,0.5743,0.6039,0.5891
29.1,-0.1911,0.5831,0.4551,0.5354,0.6684,0.6019,0.6884,0.6618,0.6751,0.5703,0.6066,0.5885
29.2,-0.1926,0.5845,0.4629,0.5366,0.6699,0.6033,0.7013,0.6776,0.6895,0.568,0.6107,0.5893
29.3,-0.1993,0.5895,0.4723,0.5408,0.676,0.6084,0.7143,0.6926,0.7034,0.5677,0.6158,0.5918
29.4,-0.2118,0.5977,0.4835,0.5475,0.686,0.6168,0.7266,0.7066,0.7166,0.5694,0.6215,0.5954
29.5,-0.2297,0.6095,0.4962,0.5566,0.6996,0.6281,0.7379,0.7196,0.7288,0.5724,0.6271,0.5997
29.6,-0.2519,0.6252,0.51,0.5684,0.7168,0.6426,0.7476,0.7318,0.7397,0.5756,0.6318,0.6037
29.7,-0.2761,0.6447,0.5243,0.5832,0.7373,0.6603,0.7558,0.7434,0.7496,0.5786,0.6349,0.6068
29.8,-0.3002,0.6673,0.5387,0.6016,0.7606,0.6811,0.7628,0.7543,0.7585,0.5817,0.6361,0.6089
29.9,-0.3216,0.6922,0.5529,0.6243,0.7854,0.7048,0.7688,0.7643,0.7665,0.5853,0.6351,0.6102
