Time,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC
21.4,0.3243,0.5879,0.6094,0.4892,0.4256,0.4574,0.5516,0.5412,0.5464,0.756,0.6645,0.7102
21.5,0.333,0.6048,0.6242,0.4982,0.4394,0.4688,0.5477,0.5515,0.5496,0.7605,0.6732,0.7168
21.6,0.3409,0.621,0.6405,0.5069,0.4523,0.4796,0.5445,0.5618,0.5531,0.766,0.6826,0.7243
21.7,0.3484,0.6361,0.6583,0.5153,0.4638,0.4896,0.5421,0.5715,0.5568,0.773,0.6933,0.7331
21.8,0.3555,0.6504,0.6773,0.5239,0.4743,0.4991,0.5408,0.5806,0.5607,0.7815,0.7053,0.7434
21.9,0.3608,0.6639,0.6972,0.5326,0.4843,0.5084,0.541,0.589,0.565,0.791,0.7186,0.7548
22,0.3613,0.6763,0.7178,0.541,0.4945,0.5177,0.5426,0.5964,0.5695,0.8003,0.7325,0.7664
22.1,0.3548,0.6869,0.7378,0.5479,0.5052,0.5265,0.5452,0.6024,0.5738,0.8086,0.7455,0.7771
22.2,0.3403,0.695,0.7557,0.5526,0.5163,0.5345,0.548,0.6063,0.5771,0.8149,0.7564,0.7857
22.3,0.3185,0.7005,0.7701,0.5554,0.5282,0.5418,0.5505,0.6076,0.579,0.8183,0.7644,0.7914
22.4,0.291,0.7042,0.7802,0.5574,0.541,0.5492,0.5524,0.6067,0.5795,0.8186,0.7693,0.7939
22.5,0.2596,0.7073,0.7863,0.5596,0.555,0.5573,0.554,0.6039,0.5789,0.816,0.7713,0.7936
22.6,0.226,0.7108,0.7891,0.5625,0.57,0.5662,0.5558,0.5999,0.5778,0.811,0.7707,0.7908
22.7,0.191,0.715,0.7891,0.5657,0.5858,0.5758,0.5581,0.5952,0.5767,0.8043,0.768,0.7862
22.8,0.1549,0.7201,0.7867,0.5691,0.6018,0.5854,0.561,0.5903,0.5757,0.7966,0.7637,0.7801
22.9,0.1174,0.7258,0.7816,0.5724,0.6177,0.595,0.5644,0.5854,0.5749,0.7884,0.7581,0.7733
23,0.0784,0.7317,0.7737,0.5758,0.6331,0.6045,0.5683,0.5804,0.5743,0.7802,0.7517,0.7659
23.1,0.0383,0.7377,0.7629,0.5792,0.6478,0.6135,0.5726,0.5749,0.5738,0.7721,0.7448,0.7584
23.2,-0.0017,0.7432,0.7498,0.5825,0.6614,0.622,0.5774,0.569,0.5732,0.7646,0.7377,0.7512
23.3,-0.0406,0.748,0.7351,0.5858,0.6741,0.6299,0.5828,0.5625,0.5727,0.7582,0.7308,0.7445
23.4,-0.0777,0.752,0.7197,0.5893,0.6863,0.6378,0.589,0.5561,0.5726,0.7535,0.7247,0.7391
23.5,-0.1129,0.7555,0.7045,0.5939,0.6984,0.6462,0.5964,0.5501,0.5733,0.7511,0.7199,0.7355
23.6,-0.1458,0.759,0.6901,0.6006,0.7108,0.6557,0.6052,0.545,0.5751,0.7513,0.7171,0.7342
23.7,-0.1752,0.763,0.6771,0.6098,0.7232,0.6665,0.6153,0.5409,0.5781,0.7541,0.7166,0.7354
23.8,-0.1999,0.7683,0.6662,0.6222,0.736,0.6791,0.6266,0.5381,0.5824,0.7597,0.7189,0.7393
23.9,-0.219,0.7757,0.658,0.6383,0.7495,0.6939,0.6395,0.5372,0.5884,0.7683,0.7241,0.7462
24,-0.2322,0.7862,0.6533,0.6584,0.7643,0.7113,0.6545,0.5391,0.5968,0.7802,0.7324,0.7563
24.1,-0.2398,0.7998,0.6523,0.6825,0.7805,0.7315,0.6717,0.5445,0.6081,0.7959,0.744,0.7699
24.2,-0.2419,0.8161,0.6551,0.71,0.7979,0.7539,0.6906,0.5535,0.622,0.8151,0.7583,0.7867
24.3,-0.2385,0.8343,0.6613,0.7399,0.8163,0.7781,0.7098,0.5656,0.6377,0.8372,0.7743,0.8058
24.4,-0.2296,0.8537,0.6704,0.7714,0.8353,0.8034,0.7278,0.5804,0.6541,0.8614,0.7912,0.8263
24.5,-0.2158,0.8739,0.6815,0.8031,0.8549,0.829,0.7438,0.5975,0.6707,0.8866,0.8079,0.8472
24.6,-0.1982,0.8941,0.6935,0.8331,0.8743,0.8537,0.7572,0.6166,0.6869,0.9115,0.8234,0.8675
24.7,-0.1775,0.9126,0.705,0.8598,0.8924,0.8761,0.7673,0.6371,0.7022,0.9346,0.8366,0.8856
24.8,-0.1533,0.9275,0.7153,0.8818,0.9077,0.8948,0.7738,0.6581,0.716,0.9543,0.8467,0.9005
24.9,-0.1247,0.9372,0.7239,0.8994,0.9198,0.9096,0.7764,0.6792,0.7278,0.9694,0.853,0.9112
25,-0.091,0.9416,0.7306,0.9136,0.9287,0.9211,0.7759,0.7001,0.738,0.9792,0.8555,0.9174
25.1,-0.0531,0.9415,0.7353,0.9254,0.9347,0.93,0.773,0.7206,0.7468,0.983,0.8542,0.9186
25.2,-0.0129,0.9376,0.7373,0.9343,0.938,0.9361,0.7676,0.7399,0.7538,0.98,0.8486,0.9143
25.3,0.0276,0.9304,0.7355,0.9395,0.9382,0.9389,0.7595,0.757,0.7582,0.9698,0.8384,0.9041
25.4,0.0667,0.9207,0.7297,0.9407,0.9358,0.9382,0.7482,0.7711,0.7596,0.9526,0.8236,0.8881
25.5,0.1037,0.9096,0.72,0.9391,0.9315,0.9353,0.7344,0.7823,0.7583,0.9299,0.8048,0.8673
25.6,0.1383,0.8984,0.7072,0.9363,0.9263,0.9313,0.7197,0.7914,0.7555,0.9033,0.7834,0.8433
25.7,0.1696,0.8882,0.6924,0.9333,0.921,0.9272,0.7055,0.7993,0.7524,0.8743,0.7608,0.8175
25.8,0.1959,0.8797,0.676,0.9298,0.9156,0.9227,0.6922,0.806,0.7491,0.8439,0.7378,0.7909
25.9,0.2161,0.8728,0.6582,0.9248,0.91,0.9174,0.6796,0.8111,0.7454,0.8123,0.7145,0.7634
26,0.2298,0.8673,0.6392,0.9181,0.904,0.9111,0.667,0.8143,0.7407,0.7799,0.691,0.7354
26.1,0.2373,0.8629,0.6195,0.9099,0.898,0.9039,0.6543,0.8155,0.7349,0.7473,0.6679,0.7076
26.2,0.2392,0.8595,0.5997,0.9006,0.8919,0.8963,0.6416,0.815,0.7283,0.7155,0.6461,0.6808
26.3,0.2366,0.857,0.5808,0.8906,0.8861,0.8883,0.6294,0.8132,0.7213,0.6853,0.626,0.6556
26.4,0.2303,0.8554,0.5636,0.8799,0.8804,0.8801,0.618,0.8107,0.7143,0.6573,0.6078,0.6326
26.5,0.2207,0.8544,0.5486,0.8683,0.8747,0.8715,0.6074,0.8076,0.7075,0.6318,0.5916,0.6117
26.6,0.2085,0.8538,0.5358,0.8555,0.8688,0.8622,0.5975,0.804,0.7008,0.6089,0.5774,0.5931
26.7,0.194,0.853,0.5251,0.8416,0.8625,0.852,0.5884,0.7997,0.694,0.5882,0.5652,0.5767
26.8,0.178,0.8517,0.5161,0.8268,0.8555,0.8412,0.58,0.7944,0.6872,0.5697,0.5549,0.5623
26.9,0.1611,0.85,0.5085,0.8117,0.8479,0.8298,0.572,0.7881,0.68,0.5532,0.5461,0.5497
27,0.1444,0.8481,0.5019,0.7969,0.8397,0.8183,0.5645,0.7807,0.6726,0.5385,0.5384,0.5385
27.1,0.1285,0.8462,0.4962,0.7825,0.831,0.8067,0.5572,0.7723,0.6648,0.5255,0.5314,0.5285
27.2,0.1135,0.8441,0.4912,0.7684,0.8218,0.7951,0.5503,0.7629,0.6566,0.5141,0.5249,0.5195
27.3,0.0996,0.8412,0.4869,0.7545,0.812,0.7832,0.5436,0.7523,0.648,0.5039,0.5187,0.5113
27.4,0.0869,0.8369,0.4833,0.7405,0.8013,0.7709,0.5369,0.7404,0.6386,0.4944,0.5126,0.5035
27.5,0.0756,0.8308,0.4804,0.7265,0.7897,0.7581,0.5297,0.727,0.6284,0.4855,0.5066,0.4961
27.6,0.0653,0.8229,0.4785,0.7123,0.7773,0.7448,0.522,0.7125,0.6173,0.4772,0.5007,0.4889
27.7,0.0557,0.8138,0.478,0.698,0.7641,0.7311,0.5141,0.6973,0.6057,0.4696,0.495,0.4823
27.8,0.0458,0.8036,0.4794,0.6839,0.7503,0.7171,0.5065,0.682,0.5943,0.4628,0.4901,0.4765
27.9,0.0352,0.7921,0.4831,0.6703,0.7355,0.7029,0.4999,0.6669,0.5834,0.4567,0.486,0.4713
28,0.0233,0.7788,0.489,0.6571,0.7194,0.6883,0.4947,0.6519,0.5733,0.4507,0.4826,0.4666
28.1,0.01,0.7636,0.4967,0.6443,0.702,0.6731,0.4905,0.637,0.5637,0.444,0.4795,0.4618
28.2,-0.0048,0.7464,0.5058,0.6317,0.6834,0.6575,0.4869,0.622,0.5544,0.4364,0.4766,0.4565
28.3,-0.0214,0.7279,0.5159,0.6193,0.6643,0.6418,0.4835,0.607,0.5453,0.4275,0.4738,0.4506
28.4,-0.0401,0.7087,0.5269,0.6073,0.6451,0.6262,0.4802,0.5924,0.5363,0.4175,0.4712,0.4443
28.5,-0.0614,0.6896,0.5382,0.5958,0.6262,0.611,0.4768,0.5782,0.5275,0.4067,0.4689,0.4378
28.6,-0.0852,0.6707,0.5495,0.5845,0.6083,0.5964,0.473,0.5647,0.5189,0.3958,0.4671,0.4315
28.7,-0.1105,0.6523,0.5602,0.5729,0.5914,0.5821,0.4685,0.5518,0.5101,0.3856,0.4661,0.4259
28.8,-0.1361,0.6341,0.5704,0.5605,0.5754,0.5679,0.4631,0.5398,0.5014,0.3771,0.4665,0.4218
28.9,-0.1603,0.6159,0.5801,0.5468,0.5599,0.5533,0.4568,0.5288,0.4928,0.3712,0.4685,0.4198
29,-0.1814,0.5972,0.5893,0.5313,0.5439,0.5376,0.4496,0.5191,0.4843,0.368,0.4722,0.4201
29.1,-0.1983,0.5777,0.5977,0.5137,0.5268,0.5202,0.4409,0.5103,0.4756,0.3672,0.4767,0.422
29.2,-0.2098,0.5575,0.6045,0.4936,0.5083,0.501,0.43,0.5023,0.4661,0.368,0.4814,0.4247
29.3,-0.2153,0.537,0.6095,0.4715,0.4891,0.4803,0.4166,0.4948,0.4557,0.3697,0.4858,0.4277
29.4,-0.214,0.5171,0.6131,0.4479,0.4699,0.4589,0.401,0.4882,0.4446,0.3726,0.4902,0.4314
29.5,-0.2058,0.4988,0.6158,0.4242,0.4512,0.4377,0.3847,0.4832,0.434,0.3779,0.4951,0.4365
29.6,-0.1918,0.4823,0.6178,0.4015,0.4332,0.4173,0.3684,0.4803,0.4243,0.3861,0.5009,0.4435
29.7,-0.1738,0.4676,0.6188,0.3802,0.4154,0.3978,0.3525,0.4791,0.4158,0.3968,0.5073,0.4521
29.8,-0.1535,0.4544,0.6181,0.3608,0.398,0.3794,0.3372,0.4789,0.408,0.4092,0.5138,0.4615
29.9,-0.1314,0.4433,0.6154,0.3439,0.3815,0.3627,0.3224,0.479,0.4007,0.4226,0.5202,0.4714
