Time,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC
21,0.0721,0.6183,0.5007,0.6822,0.4927,0.5875,0.528,0.6431,0.5855,0.7401,0.7981,0.7691
21.1,0.0892,0.6055,0.5126,0.6671,0.4781,0.5726,0.5285,0.6481,0.5883,0.7396,0.8131,0.7763
21.2,0.1034,0.5936,0.5274,0.6523,0.4636,0.558,0.5322,0.6546,0.5934,0.7358,0.8227,0.7792
21.3,0.1137,0.5827,0.5444,0.6383,0.4502,0.5442,0.537,0.6622,0.5996,0.7286,0.8256,0.7771
21.4,0.1189,0.5728,0.5624,0.6254,0.4393,0.5323,0.5408,0.6704,0.6056,0.7173,0.821,0.7691
21.5,0.1176,0.5638,0.5804,0.6144,0.4326,0.5235,0.5428,0.6786,0.6107,0.7007,0.8088,0.7547
21.6,0.1098,0.5561,0.5976,0.6061,0.431,0.5185,0.5431,0.6862,0.6146,0.679,0.79,0.7345
21.7,0.0962,0.5502,0.6126,0.6009,0.4345,0.5177,0.5421,0.6923,0.6172,0.6534,0.7663,0.7099
21.8,0.0779,0.5462,0.6237,0.5982,0.4426,0.5204,0.5398,0.696,0.6179,0.6258,0.7394,0.6826
21.9,0.0559,0.5436,0.6293,0.5969,0.4546,0.5258,0.5357,0.6963,0.616,0.5969,0.7103,0.6536
22,0.0312,0.5422,0.6289,0.5959,0.4703,0.5331,0.5296,0.6928,0.6112,0.5672,0.6799,0.6236
22.1,0.0047,0.5414,0.6229,0.5948,0.4892,0.542,0.5214,0.6858,0.6036,0.5374,0.6492,0.5933
22.2,-0.0222,0.5413,0.6121,0.5942,0.5111,0.5526,0.5112,0.6758,0.5935,0.5085,0.6191,0.5638
22.3,-0.0477,0.5418,0.5973,0.5947,0.5357,0.5652,0.4989,0.6637,0.5813,0.4817,0.5909,0.5363
22.4,-0.0699,0.5434,0.5791,0.5969,0.563,0.5799,0.4847,0.6503,0.5675,0.4581,0.5653,0.5117
22.5,-0.0877,0.5461,0.5589,0.6007,0.5927,0.5967,0.4693,0.6369,0.5531,0.4379,0.5429,0.4904
22.6,-0.1001,0.5502,0.5378,0.6056,0.6241,0.6149,0.4535,0.6251,0.5393,0.4215,0.5245,0.473
22.7,-0.1051,0.5559,0.5171,0.6115,0.6563,0.6339,0.4383,0.6155,0.5269,0.4096,0.5107,0.4602
22.8,-0.1007,0.563,0.4971,0.6183,0.6876,0.6529,0.4241,0.6086,0.5163,0.4029,0.502,0.4524
22.9,-0.0853,0.5713,0.4781,0.6262,0.7166,0.6714,0.4113,0.6039,0.5076,0.4007,0.498,0.4494
23,-0.0589,0.5803,0.4605,0.6353,0.7427,0.689,0.4005,0.601,0.5008,0.4024,0.4985,0.4505
23.1,-0.0234,0.5899,0.4452,0.6449,0.7653,0.7051,0.3929,0.5998,0.4964,0.4072,0.5037,0.4555
23.2,0.0178,0.6,0.4332,0.6542,0.7847,0.7195,0.3898,0.6004,0.4951,0.4149,0.5134,0.4642
23.3,0.0616,0.6107,0.4252,0.6627,0.8012,0.732,0.3924,0.6027,0.4975,0.4247,0.5271,0.4759
23.4,0.1049,0.6218,0.4213,0.6701,0.815,0.7426,0.4011,0.6065,0.5038,0.4363,0.5436,0.49
23.5,0.1451,0.6333,0.4214,0.6768,0.8264,0.7516,0.4159,0.6115,0.5137,0.4496,0.562,0.5058
23.6,0.1794,0.6449,0.4253,0.683,0.8355,0.7593,0.4358,0.6173,0.5265,0.4645,0.5814,0.523
23.7,0.2037,0.6565,0.4334,0.6887,0.8425,0.7656,0.4596,0.6232,0.5414,0.4808,0.6008,0.5408
23.8,0.2147,0.6677,0.4458,0.6934,0.8475,0.7704,0.4857,0.6287,0.5572,0.4979,0.6196,0.5588
23.9,0.2107,0.6783,0.4624,0.6972,0.8507,0.7739,0.5125,0.6337,0.5731,0.5148,0.6373,0.576
24,0.1926,0.6886,0.4827,0.7007,0.8526,0.7767,0.5391,0.6383,0.5887,0.5306,0.6535,0.5921
24.1,0.163,0.6993,0.5058,0.7048,0.8538,0.7793,0.5647,0.6426,0.6036,0.5452,0.668,0.6066
24.2,0.1239,0.7107,0.5302,0.7095,0.8545,0.782,0.5882,0.6462,0.6172,0.5588,0.6801,0.6194
24.3,0.0771,0.7224,0.554,0.7138,0.8544,0.7841,0.6081,0.6481,0.6281,0.5708,0.6886,0.6297
24.4,0.0241,0.7333,0.5754,0.7162,0.8529,0.7845,0.6227,0.6469,0.6348,0.5807,0.6925,0.6366
24.5,-0.033,0.7427,0.5933,0.7162,0.8498,0.783,0.6313,0.642,0.6367,0.5875,0.6914,0.6395
24.6,-0.0919,0.7508,0.6073,0.7144,0.8455,0.78,0.6338,0.6337,0.6337,0.5906,0.6855,0.6381
24.7,-0.1507,0.7583,0.6173,0.7118,0.8407,0.7763,0.6314,0.6225,0.627,0.5897,0.6757,0.6327
24.8,-0.208,0.7656,0.6227,0.709,0.8354,0.7722,0.6256,0.609,0.6173,0.5851,0.6626,0.6238
24.9,-0.2626,0.7727,0.6228,0.7055,0.8291,0.7673,0.6175,0.5934,0.6055,0.5771,0.6463,0.6117
25,-0.3135,0.7791,0.6173,0.7006,0.8213,0.761,0.6079,0.5761,0.592,0.5658,0.6274,0.5966
25.1,-0.3592,0.7846,0.6064,0.6939,0.8114,0.7527,0.5977,0.5575,0.5776,0.5512,0.606,0.5786
25.2,-0.3981,0.7892,0.5913,0.6856,0.7993,0.7425,0.5872,0.5384,0.5628,0.5334,0.5825,0.5579
25.3,-0.4285,0.7926,0.5729,0.6762,0.7847,0.7304,0.5764,0.5195,0.5479,0.512,0.5574,0.5347
25.4,-0.4489,0.7942,0.5523,0.666,0.767,0.7165,0.5647,0.5015,0.5331,0.4874,0.5308,0.5091
25.5,-0.4589,0.7933,0.5303,0.6549,0.7464,0.7007,0.5519,0.4849,0.5184,0.4602,0.5036,0.4819
25.6,-0.459,0.7893,0.5079,0.643,0.7235,0.6833,0.5382,0.4707,0.5045,0.4317,0.4767,0.4542
25.7,-0.4502,0.7824,0.4862,0.6306,0.6999,0.6652,0.5243,0.4598,0.492,0.4039,0.4517,0.4278
25.8,-0.4329,0.7726,0.4661,0.6184,0.6769,0.6476,0.5107,0.4527,0.4817,0.3781,0.4303,0.4042
25.9,-0.4079,0.76,0.4479,0.6067,0.6552,0.6309,0.4977,0.4491,0.4734,0.3552,0.4136,0.3844
26,-0.3756,0.7441,0.4314,0.5952,0.6345,0.6148,0.4855,0.4481,0.4668,0.3357,0.4031,0.3694
26.1,-0.3362,0.7245,0.4166,0.5838,0.6138,0.5988,0.474,0.4489,0.4615,0.3199,0.4001,0.36
26.2,-0.2912,0.7006,0.4038,0.5726,0.5925,0.5825,0.4636,0.4514,0.4575,0.308,0.4064,0.3572
26.3,-0.2425,0.6723,0.394,0.5619,0.5702,0.5661,0.4545,0.4557,0.4551,0.2999,0.4233,0.3616
26.4,-0.1918,0.6394,0.3877,0.5515,0.5469,0.5492,0.4472,0.4623,0.4548,0.2955,0.4511,0.3733
26.5,-0.1407,0.6025,0.385,0.5412,0.5226,0.5319,0.4417,0.471,0.4564,0.2943,0.488,0.3912
26.6,-0.0903,0.5629,0.3852,0.5305,0.4977,0.5141,0.438,0.4812,0.4596,0.2957,0.5304,0.413
26.7,-0.0414,0.5226,0.3875,0.5193,0.4728,0.496,0.4359,0.492,0.464,0.2988,0.5739,0.4364
26.8,0.0048,0.4834,0.3915,0.5077,0.4485,0.4781,0.435,0.5029,0.469,0.3043,0.6148,0.4596
26.9,0.0466,0.4473,0.3972,0.4959,0.4256,0.4608,0.435,0.5135,0.4743,0.3124,0.651,0.4817
27,0.0823,0.4155,0.4051,0.4845,0.4046,0.4445,0.4363,0.5235,0.4799,0.323,0.6812,0.5021
27.1,0.111,0.3887,0.4153,0.4737,0.3857,0.4297,0.4394,0.5327,0.4861,0.3355,0.7052,0.5204
27.2,0.1331,0.3677,0.4277,0.4644,0.3693,0.4168,0.445,0.5411,0.493,0.3497,0.7232,0.5365
27.3,0.1501,0.3529,0.4419,0.4569,0.3555,0.4062,0.4531,0.5485,0.5008,0.3656,0.7355,0.5506
27.4,0.1635,0.3445,0.4572,0.4516,0.3441,0.3979,0.4632,0.5544,0.5088,0.383,0.742,0.5625
27.5,0.1743,0.3423,0.473,0.4485,0.3347,0.3916,0.4745,0.5583,0.5164,0.4009,0.7428,0.5718
27.6,0.183,0.3454,0.4886,0.4474,0.3267,0.387,0.4861,0.56,0.523,0.4176,0.7384,0.578
27.7,0.1904,0.3534,0.5036,0.4483,0.3198,0.384,0.4974,0.5598,0.5286,0.4326,0.7302,0.5814
27.8,0.1972,0.3658,0.5179,0.4517,0.3147,0.3832,0.5081,0.5587,0.5334,0.446,0.7197,0.5828
27.9,0.2037,0.3826,0.5316,0.4578,0.3125,0.3852,0.5183,0.5575,0.5379,0.4585,0.708,0.5832
28,0.2092,0.4037,0.5442,0.4664,0.3141,0.3902,0.5277,0.5569,0.5423,0.4701,0.6952,0.5827
28.1,0.2128,0.4286,0.5551,0.4768,0.32,0.3984,0.5363,0.5574,0.5468,0.4806,0.6813,0.5809
28.2,0.2136,0.4565,0.5634,0.4883,0.3298,0.4091,0.5439,0.5589,0.5514,0.4896,0.6667,0.5781
28.3,0.2112,0.4861,0.5693,0.5004,0.3434,0.4219,0.5506,0.5617,0.5561,0.4974,0.6523,0.5749
28.4,0.2062,0.5158,0.5732,0.513,0.3606,0.4368,0.5566,0.5656,0.5611,0.5041,0.6391,0.5716
28.5,0.1992,0.5442,0.5754,0.5259,0.3808,0.4533,0.562,0.5705,0.5662,0.5097,0.6274,0.5686
28.6,0.1901,0.5706,0.5756,0.5391,0.4034,0.4713,0.5668,0.5759,0.5713,0.5138,0.6169,0.5654
28.7,0.1784,0.5946,0.573,0.5524,0.4278,0.4901,0.5708,0.5814,0.5761,0.5159,0.6071,0.5615
28.8,0.1636,0.6164,0.5675,0.5653,0.4533,0.5093,0.5743,0.587,0.5806,0.516,0.5976,0.5568
28.9,0.1454,0.6358,0.5595,0.5778,0.4797,0.5287,0.5777,0.5924,0.585,0.5142,0.5886,0.5514
29,0.124,0.6524,0.55,0.5899,0.5061,0.548,0.5811,0.5973,0.5892,0.5107,0.5799,0.5453
29.1,0.0994,0.6653,0.5392,0.6014,0.5313,0.5664,0.5842,0.6012,0.5927,0.5053,0.571,0.5382
29.2,0.0719,0.6742,0.5268,0.6119,0.5542,0.583,0.5864,0.6036,0.595,0.4977,0.5612,0.5294
29.3,0.0417,0.6789,0.5126,0.6209,0.5745,0.5977,0.5872,0.6043,0.5957,0.488,0.5502,0.5191
29.4,0.0088,0.6797,0.4976,0.6285,0.5927,0.6106,0.5867,0.6039,0.5953,0.4766,0.5375,0.5071
29.5,-0.0271,0.6768,0.4831,0.6351,0.6093,0.6222,0.5845,0.6026,0.5935,0.4633,0.522,0.4927
29.6,-0.0655,0.6704,0.4701,0.6414,0.6243,0.6328,0.5801,0.6001,0.5901,0.4478,0.5029,0.4754
29.7,-0.1061,0.6609,0.4589,0.6477,0.6376,0.6426,0.5726,0.5955,0.5841,0.4301,0.4799,0.455
29.8,-0.1476,0.6489,0.4484,0.6537,0.6489,0.6513,0.5613,0.5882,0.5748,0.4108,0.4533,0.432
29.9,-0.1886,0.6351,0.4382,0.6591,0.6584,0.6588,0.5456,0.5779,0.5618,0.3906,0.4237,0.4071
