Time,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.2,-0.0657,0.6996,0.3996,0.5652,0.6518,0.6085,0.6311,0.4764,0.5538,0.2332,0.5438,0.3885
8.3,-0.0821,0.7033,0.4032,0.5642,0.6557,0.61,0.6371,0.4818,0.5595,0.2191,0.5223,0.3707
8.4,-0.097,0.7038,0.4053,0.5573,0.6542,0.6058,0.6391,0.4874,0.5633,0.2058,0.5008,0.3533
8.5,-0.1114,0.7018,0.406,0.5455,0.6478,0.5966,0.6365,0.4921,0.5643,0.1938,0.4794,0.3366
8.6,-0.1243,0.6983,0.4048,0.53,0.6374,0.5837,0.6293,0.4948,0.5621,0.183,0.4578,0.3204
8.7,-0.1328,0.694,0.4009,0.5126,0.6232,0.5679,0.618,0.4952,0.5566,0.1732,0.4357,0.3045
8.8,-0.1345,0.6887,0.3935,0.4943,0.605,0.5496,0.6032,0.4928,0.548,0.1643,0.4127,0.2885
8.9,-0.1283,0.6819,0.3826,0.476,0.5826,0.5293,0.5846,0.487,0.5358,0.1562,0.3889,0.2726
9,-0.1138,0.6731,0.3685,0.4585,0.5565,0.5075,0.5617,0.4781,0.5199,0.1498,0.3643,0.257
9.1,-0.0912,0.6629,0.3522,0.4426,0.528,0.4853,0.5347,0.4665,0.5006,0.1455,0.3392,0.2424
9.2,-0.061,0.652,0.3348,0.4287,0.4987,0.4637,0.5042,0.4528,0.4785,0.1439,0.3139,0.2289
9.3,-0.0244,0.6406,0.3165,0.417,0.4698,0.4434,0.4709,0.4374,0.4541,0.1449,0.2887,0.2168
9.4,0.0164,0.6284,0.2972,0.407,0.4423,0.4246,0.4346,0.4204,0.4275,0.1477,0.2636,0.2056
9.5,0.0596,0.6151,0.2769,0.3982,0.4169,0.4075,0.3952,0.4018,0.3985,0.1516,0.2385,0.1951
9.6,0.1036,0.6011,0.256,0.3908,0.3947,0.3928,0.3536,0.382,0.3678,0.1566,0.214,0.1853
9.7,0.147,0.5877,0.2355,0.3852,0.3765,0.3809,0.3117,0.3621,0.3369,0.1623,0.1901,0.1762
9.8,0.1874,0.5758,0.2159,0.3812,0.3623,0.3717,0.2712,0.3427,0.307,0.1684,0.1672,0.1678
9.9,0.2227,0.5654,0.1974,0.3779,0.3514,0.3647,0.2326,0.3237,0.2782,0.1741,0.1449,0.1595
10,0.2509,0.5561,0.1797,0.3748,0.3433,0.359,0.1958,0.3047,0.2502,0.1784,0.123,0.1507
10.1,0.2715,0.5473,0.1626,0.3718,0.3377,0.3547,0.1608,0.2855,0.2232,0.18,0.1011,0.1405
10.2,0.2843,0.5393,0.1469,0.3695,0.3352,0.3524,0.1289,0.2672,0.198,0.1774,0.0797,0.1285
10.3,0.2892,0.533,0.1333,0.369,0.3367,0.3528,0.1019,0.2513,0.1766,0.1704,0.0593,0.1149
10.4,0.2865,0.5288,0.1229,0.3705,0.3424,0.3564,0.0812,0.2394,0.1603,0.1598,0.041,0.1004
10.5,0.2765,0.527,0.1172,0.3739,0.3523,0.3631,0.0678,0.2325,0.1501,0.1466,0.0257,0.0862
10.6,0.2606,0.5276,0.1173,0.3799,0.3662,0.3731,0.0623,0.2316,0.1469,0.1326,0.0155,0.074
10.7,0.2411,0.531,0.1243,0.3895,0.3845,0.387,0.066,0.2383,0.1521,0.1203,0.0127,0.0665
10.8,0.2198,0.5379,0.1394,0.4034,0.4076,0.4055,0.0805,0.2541,0.1673,0.1118,0.0198,0.0658
10.9,0.1978,0.5484,0.1629,0.4213,0.4361,0.4287,0.1059,0.2793,0.1926,0.1083,0.0385,0.0734
11,0.1755,0.5622,0.1948,0.4419,0.4695,0.4557,0.1413,0.3131,0.2272,0.1104,0.0699,0.0902
11.1,0.1524,0.5786,0.2347,0.4641,0.5072,0.4857,0.1849,0.3541,0.2695,0.1186,0.1144,0.1165
11.2,0.1278,0.5973,0.2825,0.4874,0.5484,0.5179,0.2349,0.4009,0.3179,0.1329,0.1712,0.152
11.3,0.1015,0.6179,0.3372,0.5115,0.5922,0.5518,0.289,0.4515,0.3703,0.1523,0.2374,0.1948
11.4,0.0736,0.6401,0.3967,0.5359,0.637,0.5865,0.3447,0.5033,0.424,0.175,0.3078,0.2414
11.5,0.0457,0.6635,0.4577,0.5602,0.6813,0.6207,0.3995,0.5538,0.4766,0.199,0.3766,0.2878
11.6,0.0194,0.6871,0.5164,0.5838,0.7236,0.6537,0.4514,0.6009,0.5261,0.2232,0.4394,0.3313
11.7,-0.0042,0.7102,0.5697,0.607,0.7628,0.6849,0.4991,0.6424,0.5708,0.2474,0.4941,0.3708
11.8,-0.0246,0.7323,0.6148,0.6297,0.7981,0.7139,0.5415,0.6767,0.6091,0.2714,0.54,0.4057
11.9,-0.0416,0.7531,0.6495,0.6518,0.8289,0.7404,0.578,0.703,0.6405,0.2941,0.5765,0.4353
12,-0.0543,0.7721,0.6737,0.6729,0.8543,0.7636,0.6083,0.7219,0.6651,0.3145,0.6036,0.4591
12.1,-0.0627,0.7888,0.6892,0.6921,0.8739,0.783,0.6322,0.7344,0.6833,0.3324,0.6226,0.4775
12.2,-0.0672,0.803,0.6981,0.7086,0.8871,0.7979,0.6498,0.7417,0.6957,0.3486,0.6343,0.4915
12.3,-0.0684,0.8144,0.7019,0.7221,0.8939,0.808,0.6615,0.7443,0.7029,0.3634,0.6399,0.5016
12.4,-0.0661,0.8232,0.7015,0.7324,0.8943,0.8134,0.6672,0.7427,0.7049,0.376,0.6396,0.5078
12.5,-0.0606,0.8295,0.6972,0.7391,0.8886,0.8139,0.6669,0.7372,0.7021,0.3852,0.6336,0.5094
12.6,-0.053,0.8331,0.6901,0.7417,0.8776,0.8096,0.661,0.7287,0.6949,0.3902,0.6231,0.5066
12.7,-0.0451,0.8339,0.6812,0.7398,0.8623,0.801,0.6505,0.7182,0.6843,0.3919,0.6095,0.5007
12.8,-0.0384,0.8325,0.6716,0.7333,0.8441,0.7887,0.6366,0.7069,0.6717,0.3917,0.5943,0.493
12.9,-0.033,0.8297,0.6616,0.7229,0.824,0.7734,0.6208,0.696,0.6584,0.3906,0.5784,0.4845
13,-0.0286,0.8257,0.6511,0.7088,0.8025,0.7556,0.6046,0.6862,0.6454,0.389,0.5624,0.4757
13.1,-0.0248,0.8203,0.6397,0.6909,0.78,0.7355,0.5888,0.6778,0.6333,0.3864,0.546,0.4662
13.2,-0.0215,0.8127,0.6275,0.6687,0.7571,0.7129,0.5736,0.671,0.6223,0.3825,0.5287,0.4556
13.3,-0.0192,0.8025,0.6147,0.6419,0.7347,0.6883,0.5593,0.6657,0.6125,0.3771,0.5108,0.444
13.4,-0.0185,0.7896,0.6017,0.6112,0.7138,0.6625,0.5463,0.6623,0.6043,0.3702,0.4929,0.4315
13.5,-0.019,0.7744,0.5886,0.5778,0.6952,0.6365,0.5355,0.6607,0.5981,0.3623,0.4761,0.4192
13.6,-0.0195,0.7576,0.5753,0.5432,0.6794,0.6113,0.5276,0.6614,0.5945,0.3547,0.4613,0.408
13.7,-0.019,0.7398,0.5621,0.5087,0.6665,0.5876,0.5231,0.6643,0.5937,0.3487,0.4493,0.399
13.8,-0.0162,0.7217,0.5488,0.4755,0.6567,0.5661,0.5216,0.6694,0.5955,0.3454,0.4402,0.3928
13.9,-0.0104,0.7042,0.535,0.4446,0.6502,0.5474,0.5229,0.6761,0.5995,0.345,0.4336,0.3893
14,-0.0007,0.6884,0.5199,0.4168,0.6471,0.532,0.5264,0.6842,0.6053,0.3469,0.4296,0.3882
14.1,0.0131,0.6747,0.5035,0.3929,0.6477,0.5203,0.5322,0.6934,0.6128,0.3509,0.4286,0.3898
14.2,0.0301,0.6631,0.4859,0.373,0.6522,0.5126,0.5402,0.7036,0.6219,0.3572,0.4312,0.3942
14.3,0.0487,0.6533,0.4677,0.3566,0.6607,0.5086,0.5502,0.714,0.6321,0.3657,0.438,0.4019
14.4,0.0675,0.6446,0.4493,0.3435,0.6734,0.5085,0.5615,0.7237,0.6426,0.3767,0.4491,0.4129
14.5,0.0854,0.6372,0.4309,0.3334,0.6902,0.5118,0.5736,0.7317,0.6527,0.3897,0.4639,0.4268
14.6,0.1015,0.6312,0.4126,0.3266,0.7107,0.5186,0.5864,0.7374,0.6619,0.4039,0.4815,0.4427
14.7,0.1153,0.627,0.3953,0.3234,0.7344,0.5289,0.5993,0.7407,0.67,0.4186,0.5014,0.46
14.8,0.127,0.6256,0.3796,0.3244,0.7608,0.5426,0.6122,0.742,0.6771,0.4338,0.5233,0.4786
14.9,0.1359,0.6275,0.366,0.33,0.7894,0.5597,0.6246,0.7416,0.6831,0.45,0.5469,0.4985
