Time,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.9,-0.3415,0.7774,0.5713,0.5001,0.6782,0.5891,0.3821,0.3151,0.3486,0.7541,0.7173,0.7357
10,-0.3123,0.7761,0.599,0.5228,0.6627,0.5927,0.3861,0.3168,0.3514,0.7865,0.7534,0.77
10.1,-0.2841,0.7738,0.6272,0.5453,0.6443,0.5948,0.391,0.3216,0.3563,0.8133,0.7904,0.8019
10.2,-0.2549,0.7704,0.6542,0.5676,0.6231,0.5953,0.3956,0.3279,0.3618,0.8328,0.8266,0.8297
10.3,-0.2235,0.7658,0.6791,0.5898,0.5994,0.5946,0.3999,0.3345,0.3672,0.8445,0.8603,0.8524
10.4,-0.1904,0.7604,0.7015,0.6119,0.5742,0.5931,0.4044,0.341,0.3727,0.8486,0.8902,0.8694
10.5,-0.1572,0.755,0.721,0.6339,0.5489,0.5914,0.4095,0.3477,0.3786,0.8453,0.915,0.8801
10.6,-0.1245,0.7508,0.7373,0.6566,0.5248,0.5907,0.4155,0.3556,0.3855,0.8347,0.9335,0.8841
10.7,-0.0912,0.7489,0.75,0.6811,0.5037,0.5924,0.4226,0.3656,0.3941,0.817,0.9447,0.8809
10.8,-0.0565,0.7498,0.7592,0.7081,0.4871,0.5976,0.4312,0.3784,0.4048,0.7934,0.9473,0.8703
10.9,-0.0206,0.754,0.765,0.738,0.4762,0.6071,0.4417,0.3941,0.4179,0.7649,0.9401,0.8525
11,0.0146,0.7615,0.7674,0.77,0.472,0.621,0.4542,0.4121,0.4332,0.7328,0.9229,0.8278
11.1,0.0468,0.7718,0.7666,0.8028,0.4747,0.6388,0.4686,0.4315,0.4501,0.6984,0.8964,0.7974
11.2,0.0742,0.7837,0.7632,0.8349,0.4836,0.6593,0.4844,0.4511,0.4677,0.6628,0.8623,0.7626
